last_first,description,born,died,birthplace,birth_city,birth_state,deathplace,artist_type,wikidata_description,name,creator_string
"DeArcangelis, Gloria","1957-, born Munich, Germany",1957,,Q1726,Munich, Germany,,drawer,drawer,Gloria DeArcangelis,"['DeArcangelis, Gloria (1957-, born Munich, Germany)']"
"Reuther, Kit",1957-,1957,,,,,,painter,painter,Kit Reuther,"['Reuther, Kit (1957-)']"
"Maine, Stephen","1958-, born Hartford, CT",1958,,Q33486,Hartford, CT,,printmaker,printmaker,Stephen Maine,"['Maine, Stephen (1958-, born Hartford, CT)']"
"Vasek, Vera","1959-, born Buffalo, NY",1959,,Q40435,Buffalo, NY,,printmaker,printmaker,Vera Vasek,"['Vasek, Vera (1959-, born Buffalo, NY)']"
"Killaars, Fransje","Dutch artist, born 1959",1959,,,,,,printmaker,Dutch artist,Fransje Killaars,"['Killaars, Fransje (Dutch artist, born 1959)']"
"Friesicke, Sabine","1960-, born Hamburg, Germany",1960,,Q1055,Hamburg, Germany,,painter,painter,Sabine Friesicke,"['Friesicke, Sabine (1960-, born Hamburg, Germany)']"
"Sook, Koo Kyung","1960-, born Seoul, Korea",1960,,Q1192050,Seoul, Korea,,photographer,photographer,Koo Kyung Sook,"['Sook, Koo Kyung (1960-, born Seoul, Korea)']"
"Karlik, Steve","1960-, born Portland, OR",1960,,Q6106,Portland, OR,,printmaker,printmaker,Steve Karlik,"['Karlik, Steve (1960-, born Portland, OR)']"
"Verbeek, Kees","1961-, born Son, Netherlands",1961,,Q628616,Son, Netherlands,,book artist,book artist,Kees Verbeek,"['Verbeek, Kees (1961-, born Son, Netherlands)']"
"Sietens, Guntars","1962-, born Kuldiga, Latvia",1962,,Q155281,Kuldiga, Latvia,,printmaker,printmaker,Guntars Sietens,"['Sietens, Guntars (1962-, born Kuldiga, Latvia)']"
"Matz, Jeff","1963-, born Orlando, FL",1963,,Q49233,Orlando, FL,,printmaker,printmaker,Jeff Matz,"['Matz, Jeff (1963-, born Orlando, FL)']"
"Gonzáles, Teo","1964-, born Quinto, Spain",1964,,Q1752280,Quinto, Spain,,drawer,drawer,Teo Gonzáles,"['Gonzáles, Teo (1964-, born Quinto, Spain)']"
"Namgay, Phurba","1964-, born Chendipji, Tongsa, Bhutan",1964,,Q4511781,Chendipji," Tongsa, Bhutan",,painter,painter,Phurba Namgay,"['Namgay, Phurba (1964-, born Chendipji, Tongsa, Bhutan)']"
"Chiplis, Martha","1964-, born Indianapolis, IN",1964,,Q6346,Indianapolis, IN,,printmaker,printmaker,Martha Chiplis,"['Chiplis, Martha (1964-, born Indianapolis, IN)']"
"Hochstetler, T. Max",1964-,1964,,,,,,painter,painter,T. Max Hochstetler,"['Hochstetler, T. Max (1964-)', 'Hochstetler, T. Max']"
"Shotz, Allison","American artist, born 1964",1964,,,,,,printmaker,American artist,Allison Shotz,"['Shotz, Allison (American artist, born 1964)']"
"Frederick, Michael","1966-, born Chabanse, IL",1966,,Q2188558,Chabanse, IL,,printmaker,printmaker,Michael Frederick,"['Frederick, Michael (1966-, born Chabanse, IL)', 'Frederick, Michael, (1966-, born Chabanse, IL)', 'Frederick, Michael, for Hatch Show Print (1966-, born Chabanse, IL)', 'Frederick, Mike']"
"Kadi, Ramon Marcus","1967, born Surabaya, Indonesia",1967,,Q11462,Surabaya, Indonesia,,printmaker,printmaker,Ramon Marcus Kadi,"['Kadi, Ramon Marcus (1967, born Surabaya, Indonesia)']"
"Elrod, Joel","1967-, born Omaha, NE",1967,,Q43199,Omaha, NE,,printmaker,printmaker,Joel Elrod,"['Elrod, Joel (1967-, born Omaha, NE)']"
"Dooley, Tim","1967-, born Miami, FL",1967,,Q8652,Miami, FL,,printmaker,printmaker,Tim Dooley,"['Dooley, Tim and Wilson, Aaron  (1967-, 1972-, born Miami, FL; Xenia, OH)', 'Dooley, Tim and Wilson, Aaron (1967-, 1972-, born Miami, FL; Xenia, OH)']"
"Grzeca, Dan","1968-, born Chicago, IL",1968,,Q1297,Chicago, IL,,painter,painter,Dan Grzeca,"['Grzeca, Dan (1968-, born Chicago, IL)']"
"Powney, J. Suzanne","1969-, born Biloxi, MS",1969,,Q490720,Biloxi, MS,,printmaker,printmaker,J. Suzanne Powney,"['Powney, J. Suzanne  (1969-, born Biloxi, MS)']"
"Dunson, Samuel L. Jr.","1970-, born Dayton, OH",1970,,Q34739,Dayton, OH,,painter,painter,"Samuel L. Dunson, Jr.","['Dunson, Samuel L. Jr. (1970-, born Dayton, OH)']"
"McAleer-Keeler, Kerry","1971-, born Providence, RI",1971,,Q18383,Providence, RI,,printmaker,printmaker,Kerry McAleer-Keeler,"['McAleer-Keeler, Kerry (1971-, born Providence, RI)']"
"Ruffin, Katherine McCanless","1972-, born Huntsville, AL",1972,,Q79860,Huntsville, AL,,printmaker,printmaker,Katherine McCanless Ruffin,"['Ruffin, Katherine McCanless  (1972-, born Huntsville, AL)']"
"Sudyka, Diana",1972-,1972,,,,,,printmaker,printmaker,Diana Sudyka,"['Sudyka, Diana (1972-)']"
"Egan, Matt","1973-, born Newmarket, Ontario, Canada",1973,,Q52999,Newmarket, Ontario,,artist,artist,Matt Egan,"['Egan, Matt, Muise, Heather (1973-, 1971-, born Newmarket, Ontario, Canada; Windsor, Ontario, Canada)']"
"Daly, Mat",1974-,1974,,,,,,printmaker,printmaker,Mat Daly,"['Daly, Mat (1974-)']"
"Jimerfield, Dan","1974-, born Cumberland, MO",1974,,,Cumberland, MO,,printmaker,printmaker,Dan Jimerfield,"['Jimerfield, Dan (1974-, born Cumberland, MO)', 'Jimerfield, Dan, for Hatch Show Print (1974-, born Cumberland, MO)']"
Bryce McCloud,"1975, born Nashville, TN",1975,,Q23197,Nashville, TN,,printmaker,printmaker,Bryce McCloud,"['Bryce McCloud (1975, born Nashville, TN)']"
"McCloud, Bryce","1975, born Nashville, TN",1975,,Q23197,Nashville, TN,,printmaker,printmaker,Bryce McCloud,"['McCloud, Bryce (1975, born Nashville, TN)', 'McCloud, Bryce (1975-, born Nashville, TN)', 'McCloud, Bryce (Nashville, TN, born 1975-)', 'McCloud, Bryce, (1975-, born Nashville, TN)', 'McCloud, Bryce, for Hatch Show Print (1975-, born Nashville, TN)']"
"Millard, Travis","1975-, born St. Joseph, MO",1975,,Q745120,St. Joseph, MO,,printmaker,printmaker,Travis Millard,"['Millard, Travis (1975-, born St. Joseph, MO)', 'Millard, Travis']"
"Shane, Joel","1976-, born Winnipeg, Manitoba, Canada",1976,,Q2135,Winnipeg, Manitoba,,printmaker,printmaker,Joel Shane,"['Shane, Joel (1976-, born Winnipeg, Manitoba, Canada)']"
"Creightney, Karsten","1976-, born Albuquerque, New Mexico",1976,,Q34804,Albuquerque, New Mexico,,printmaker,printmaker,Karsten Creightney,"['Creightney, Karsten  (1976-, born Albuquerque, New Mexico)']"
"McCoy, Sarah","1976-, born Madison, WI",1976,,Q43788,Madison, WI,,printmaker,printmaker,Sarah McCoy,"['McCoy, Sarah  (1976-, born Madison, WI)']"
Jeremy D. Maynard,"1977-, born Nashville, TN",1977,,Q23197,Nashville, TN,,printmaker,printmaker,Jeremy D. Maynard,"['Jeremy D. Maynard (1977-, born Nashville, TN)']"
"Maynard, Jeremy D.","1977-, born Nashville, TN",1977,,Q23197,Nashville, TN,,printmaker,printmaker,Jeremy D. Maynard,"['Maynard, Jeremy D. (1977-, born Nashville, TN)', 'Maynard, Jeremy D., (1977-, born Nashville, TN)', 'Maynard, Jeremy D., for Hatch Show Print (1977-, born Nashville, TN)']"
"Sherrard, Toby","1977-, born Seattle, WA",1977,,Q5083,Seattle, WA,,printmaker,printmaker,Toby Sherrard,"['Sherrard, Toby (1977-, born Seattle, WA)']"
"Bryant, Edan M.","1978-, born Nashville, TN",1978,,Q23197,Nashville, TN,,printmaker,printmaker,Edan M. Bryant,"['Bryant, Edan M. (1978-, born Nashville, TN)', 'Bryant, Edan M. 1978, born Nashville, TN)', 'Bryant, Edan M., (1978-, born Nashville, TN)', 'Bryant, Edan M., for Hatch Show Print (1978-, born Nashville, TN)']"
"Salter, Erin","1978-, born Nashville, TN",1978,,Q23197,Nashville, TN,,printmaker,printmaker,Erin Salter,"['Salter, Erin (1978-, born Nashville, TN)']"
"Marcus, Caleb Cain","1978-, born U.S.A.",1978,,Q30,U.S.A.,,,photographer,photographer,Caleb Cain Marcus,"['Marcus, Caleb Cain (1978-, born U.S.A.)']"
"McIntyre, Mike","1978-, born St. Louis, MO",1978,,Q38022,St. Louis, MO,,printmaker,printmaker,Mike McIntyre,"['McIntyre, Mike (1978-, born St. Louis, MO)']"
"Gill, Jenny","1979-, born Monterey, CA",1979,,Q487315,Monterey, CA,,printmaker,printmaker,Jenny Gill,"['Gill, Jenny (1979-, born Monterey, CA)', 'Gill, Jenny (1979, born Monterey, CA)']"
"Butcher, Nick","1980-, born Dyersburg, TN",1980,,Q1268670,Dyersburg, TN,,painter,painter,Nick Butcher,"['Butcher, Nick (1980-, born Dyersburg, TN)']"
"O'Connell, Kathleen","1980-, born Plattsburgh, NY",1980,,Q998669,Plattsburgh, NY,,printmaker,printmaker,Kathleen O'Connell,"[""O'Connell, Kathleen (1980-, born Plattsburgh, NY)""]"
"Gill, Casey","1981-, born Monterey, CA",1981,,Q487315,Monterey, CA,,printmaker,printmaker,Casey Gill,"['Gill, Casey (1981-, born Monterey, CA)', 'Gill, Casey (1981, born Monterey, CA)']"
Casey D.Gill,"1981, born Monterey, CA",1981,,Q487315,Monterey, CA,,printmaker,printmaker,Casey D.Gill,"['Casey D.Gill (1981, born Monterey, CA)']"
"Herlocker, Annie","1982-, born Indianapolis, IN",1982,,Q6346,Indianapolis, IN,,printmaker,printmaker,Annie Herlocker,"['Herlocker, Annie  (1982-, born Indianapolis, IN)']"
"Janezic, Alexandra","1988-, born Orange, TX",1988,,Q982388,Orange, TX,,printmaker,printmaker,Alexandra Janezic,"['Janezic, Alexandra and Runkle, Matt (1988-, 1977-, born Orange, TX; Spokane, WA)']"
"Gosnell, Patrick","1989-, born Atlanta, GA",1989,,Q23556,Atlanta, GA,,printmaker,printmaker,Patrick Gosnell,"['Gosnell, Patrick (1989-, born Atlanta, GA)']"
"Sherman, Levi","1990-, born Seattle, WA",1990,,Q5083,Seattle, WA,,printmaker,printmaker,Levi Sherman,"['Sherman, Levi and Gomez, Carly (1990-, born Seattle, WA)']"
"Raffetto, Giuseppe","ca. 1750, born Genoa, Italy",,,Q1449,"Genoa, Italy",,,drawer,drawer,Giuseppe Raffetto,"['Raffetto, Giuseppe (ca. 1750, born Genoa, Italy)', 'Raffetto, Giuseppe']"
"Aramesco, Gigi","born Galatz, Romania",,,Q170996,Galatz,Romania,,painter,painter,Gigi Aramesco,"['Aramesco, Gigi (born Galatz, Romania)']"
"Gibson, Anita",", born Lima, Peru",,,Q211795,Lima,Peru,,printmaker,printmaker,Anita Gibson,"['Gibson, Anita (, born Lima, Peru)', 'Gibson, Anita', 'Gibson, Anita  (born Lima, Peru)']"
"Rogers, Louise De Gignilliet","born Macon, GA",,,Q219656,Macon,GA,,printmaker,printmaker,Louise De Gignilliet Rogers,"['Rogers, Louise De Gignilliet (born Macon, GA)', 'Rogers, Louise De Gignilliet']"
"Hooper, Tim","ca. 1970, born Nashville, TN",,,Q23197,Nashville,TN,,printmaker,printmaker,Tim Hooper,"['Hooper, Tim (ca. 1970, born Nashville, TN)']"
"Fries, Katherine J.",", born Lincoln, NE",,,Q28260,Lincoln,NE,,printmaker,printmaker,Katherine J. Fries,"['Fries, Katherine J. (, born Lincoln, NE)']"
"Hayashi, Genzaburo","born Kyoto, Japan",,,Q34600,Kyoto,Japan,,painter,painter,Genzaburo Hayashi,"['Hayashi, Genzaburo (born Kyoto, Japan)']"
"Hulsey, Sarah",", born Oklahoma City, OK",,,Q34863,Oklahoma City,OK,,printmaker,printmaker,Sarah Hulsey,"['Hulsey, Sarah (, born Oklahoma City, OK)']"
"Russell, Scott","born Bloomington, IN",,,Q490385,Bloomington,IN,,printmaker,"printmaker, for Hatch Show Print",Scott Russell,"['Russell, Scott, for Hatch Show Print (born Bloomington, IN)']"
"Wakeland, Ray","-1964, born Monteagle, TN",,1964,Q646230,Monteagle, TN,,ceramic artist,ceramic artist,Ray Wakeland,"['Wakeland, Ray (-1964, born Monteagle, TN)']"
"Zivkovic, Zdenka",born Czechoslovakia,1921,2011,Q33946,,Czechoslovakia,,painter,painter,Zdenka Zivkovic,"['Zivkovic, Zdenka (born Czechoslovakia)', 'Zivkovic, Zdenka (, born Czechoslovakia)']"
"Penland, Jean Wall",American painter and etcher,1938,2019,,,,,painter,American painter and etcher,Jean Wall Penland,"['Penland, Jean Wall (American painter and etcher)']"
"Soreff, Helen","American painter, 20th century",1926,1998,Q60,,,Q60,printmaker,"American painter, 20th century",Helen Soreff,"['Soreff, Helen (American painter, 20th century)']"
"Westphal, Fred","German artist, active 20th century",,,Q183,,,,printmaker,"German artist, active 20th century",Fred Westphal,"['Westphal, Fred (German artist, active 20th century)', 'Westphal, Fred']"
"Polidori, Gian Carlo","Italian artist, active 19th-20th century",1895,1962,Q38,,,,painter,painter,Gian Carlo Polidori,"['Polidori, Gian Carlo (Italian artist, active 19th-20th century)']"
Ryuho,Rippo,1599,1669,Q17,,,,book artist,book artist,Hinaya Ryuho,"['Ryuho (Rippo), Hinaya (1597-1669)']"
"Kniseley, Judy","-1964, ca.",,,,,,,drawer,drawer,Judy Kniseley,"['Kniseley, Judy (-1964, ca.)']"
"Beeldemaker, Johannes","Dutch painter, born 1630 or 1636, died after 1710",,,,,,,painter,Dutch painter,Johannes Beeldemaker,"['Beeldemaker, Johannes (Dutch painter, born 1630 or 1636, died after 1710)']"
"Bong, Woo",ca. 1948,,,,,,,painter,painter,Woo Bong,"['Bong, Woo (ca. 1948)']"
Haverford Painter,"Greek vase painter, active ca. 375-ca. 350 BCE in Apulia",,,,,,,ceramic artist,Greek vase painter,Haverford Painter,"['Haverford Painter (Greek vase painter, active ca. 375-ca. 350 BCE in Apulia)']"
Zhou Tao,born China,,,Q29520,,China,,painter,painter,Zhou Tao,['Zhou Tao (born China)']
Ch'en Ku,", born P'eng-Ch'eng, China",,,Q57719, P'eng-Ch'eng,China,,painter,painter,Ch'en Ku,"[""Ch'en Ku (, born P'eng-Ch'eng, China)""]"
Ahmad ibn al-Fadil ibn Ahmad al-Sharif al-'Ayyashi,al-Husayni,,,,,,,artist,artist,Ahmad ibn al-Fadil ibn Ahmad al-Sharif al-'Ayyashi,"[""Ahmad ibn al-Fadil ibn Ahmad al-Sharif al-'Ayyashi (al-Husayni)""]"
"MacKenzie, David","British architect, 20th century",,,,,,,printmaker,"British architect, 20th century",David MacKenzie,"['MacKenzie, David (British architect, 20th century)']"
"Rutherford, Eric","British artist, active from 1963",,,,,,,printmaker,"printmaker, active from 1963",Eric Rutherford,"['Rutherford, Eric (British artist, active from 1963)']"
Matthew Oesterreich,designer,,,,,,,printmaker,designer,Matthew Oesterreich,['Matthew Oesterreich (designer) and Lorenzo Zucchi (engraver)']
"Mitsunobu, Hasegawa",Eishun,,,,,,,book artist,book artist,Hasegawa Mitsunobu,"['Mitsunobu, Hasegawa (Eishun) (1790-1848)']"
"Hasegawa, Konobu",fl. late 19th c.,,,,,,,printmaker,printmaker,Konobu Hasegawa,"['Hasegawa, Konobu (fl. late 19th c.)']"
"Larmessin, Nicolas, III","French engraver, ca.1640-1725",,,,,,,printmaker,French engraver,Nicolas Larmessin III,"['Larmessin, Nicolas, III (French engraver, ca.1640-1725)']"
"Handschick, Heinz","German painter, contemporary",,,,,,,printmaker,contemporary German painter,Heinz Handschick,"['Handschick, Heinz (German painter, contemporary)']"
"Chokosai, Eisho","Japanese printmaker, active 1793-1799",,,,,,,printmaker,"Japanese printmaker, active 1793-1799",Eisho Chokosai,"['Chokosai, Eisho (Japanese printmaker, active 1793-1799)']"
Torii Kiyomasu I,"Japanese woodblock print designer, active 1697-1722 (there is another one with different dates!)",,,,,,,printmaker,Japanese woodblock print designer,Torii Kiyomasu I,"['Torii Kiyomasu I (Japanese woodblock print designer, active 1697-1722)']"
Jichosai,Nichosai,,,,,,,book artist,book artist,Jichosai,['Jichosai (Nichosai) (1781-1788)']
"Heras, Arturo",or Heras Sanz,,,,,,,printmaker,printmaker,Arturo Heras,"['Heras, Arturo (or Heras Sanz)  (1945-, born Valencia, Spain)']"
Matsuyama,or Shozan,,,,,,,painter,painter,Matsuyama,['Matsuyama (or Shozan)']
"Smith, Peggy","painter, active 20th century",,,,,,,painter,"painter, active 20th century",Peggy Smith,"['Smith, Peggy (painter, active 20th century)']"
Sepesky,Shephard,,,,,,,printmaker,printmaker,Sepesky,['Sepesky (Shephard)']
"Adam, G.",,,,,,,,printmaker,printmaker,G. Adam,"['Adam, G.']"
Adary,,,,,,,,artist,artist,Adary,['Adary']
"Andrus, F.",,,,,,,,painter,painter,F. Andrus,"['Andrus, F.']"
"Axelrod, H.",,,,,,,,painter,painter,H. Axelrod,"['Axelrod, H.']"
"Bach, R.",,,,,,,,printmaker,printmaker,R. Bach,"['Bach, R.']"
"Barrós, Alfred",,,,,,,,printmaker,printmaker,Alfred Barrós,"['Barrós, Alfred']"
"Bauer, Ann",,,,,,,,printmaker,printmaker,Ann Bauer,"['Bauer, Ann']"
Baviera,,,,,,,,printmaker,printmaker,Baviera,['Baviera ']
"Berger, Emily",,,,,,,,printmaker,printmaker,Emily Berger,"['Berger, Emily']"
"Bernards, B.",,,,,,,,printmaker,printmaker,B. Bernards,"['Bernards, B.']"
"Bill, Virginia F.",,,,,,,,drawer,drawer,Virginia F. Bill,"['Bill, Virginia F.']"
"Birchall, L. M.",,,,,,,,artist,artist,L. M. Birchall,"['Birchall, L. M.']"
"Blakeley, Fannie B.",,,,,,,,printmaker,printmaker,Fannie B. Blakeley,"['Blakeley, Fannie B.']"
"Blocker, Mare",,,,,,,,printmaker,printmaker,Mare Blocker,"['Blocker, Mare']"
"Blum, Dorothea",,,,,,,,painter,painter,Dorothea Blum,"['Blum, Dorothea']"
"Boichard, S.",,,,,,,,printmaker,printmaker,S. Boichard,"['Boichard, S.']"
"Bonfils, Susan",,,,,,,,printmaker,printmaker,Susan Bonfils,"['Bonfils, Susan']"
"Bossi, Benignio",,,,,,,,printmaker,printmaker,Benignio Bossi,"['Bossi, Benignio and Mazzuoli, Francesco']"
Bouslough,,,,,,,,painter,painter,Bouslough,['Bouslough']
"Boyse, William H.",,,,,,,,artist,artist,William H. Boyse,"['Boyse, William H.']"
"Boysen, William H.",,,,,,,,artist,artist,William H. Boysen,"['Boysen, William H.']"
"Branolt, Gernot",,,,,,,,printmaker,printmaker,Gernot Branolt,"['Branolt, Gernot']"
"Brown, Clinton",,,,,,,,printmaker,printmaker,Clinton Brown,"['Brown, Clinton ']"
"Burke, G.",,,,,,,,printmaker,printmaker,G. Burke,"['Burke, G.']"
"Cabanes, Pierre Franz",,,,,,,,drawer,drawer,Pierre Franz Cabanes,"['Cabanes, Pierre Franz']"
"Cantrell, Leon",,,,,,,,photographer,photographer,Leon Cantrell,"['Cantrell, Leon']"
"Carey, Henry",,,,,,,,painter,painter,Henry Carey,"['Carey, Henry']"
Carle,,,,,,,,artist,artist,Carle,['Carle']
"Chamberlain, Mitchell",,,,,,,,printmaker,printmaker,Mitchell Chamberlain,"['Chamberlain, Mitchell']"
Chang Tse-tuan,,,,,,,,painter,painter,Chang Tse-tuan,['Chang Tse-tuan']
Chao Fen,,,,,,,,painter,painter,Chao Fen,['Chao Fen']
Chen Yuzhang,,,,,,,,artist,artist,Chen Yuzhang,['Chen Yuzhang']
"Chwedczuk, M",,,,,,,,printmaker,printmaker,M Chwedczuk,"['Chwedczuk, M']"
"Clairey, Irene",,,,,,,,artist,artist,Irene Clairey,"['Clairey, Irene']"
"Clark, J.",,,,,,,,printmaker,printmaker,J. Clark,"['Clark, J.']"
"Clayton, Charles",,,,,,,,printmaker,printmaker,Charles Clayton,"['Clayton, Charles']"
"Cohen, George Etta Brinkley",,,,,,,,ceramic artist,ceramic artist,George Etta Brinkley Cohen,"['Cohen, George Etta Brinkley']"
"Cohick, Aaron",,,,,,,,printmaker,printmaker,Aaron Cohick,"['Cohick, Aaron']"
"Collado, Lisa",,,,,,,,printmaker,printmaker,Lisa Collado,"['Collado, Lisa']"
"Connor, Colin",,,,,,,,printmaker,printmaker,Colin Connor,"['Connor, Colin']"
"Conse, C.",,,,,,,,printmaker,printmaker,C. Conse,"['Conse, C.']"
"Conti, A.",,,,,,,,painter,painter,A. Conti,"['Conti, A.']"
Cordnin,,,,,,,,printmaker,printmaker,Cordnin,['Cordnin']
"Craig, R.H.",,,,,,,,painter,painter,R.H. Craig,"['Craig, R.H.']"
"Cucaro, Pat",,,,,,,,painter,painter,Pat Cucaro,"['Cucaro, Pat']"
"d'Harcourt, Childe de Rohan",,,,,,,,drawer,drawer,Childe de Rohan d'Harcourt,"[""d'Harcourt, Childe de Rohan""]"
"Dennis, W.",,,,,,,,printmaker,printmaker,W. Dennis,"['Dennis, W.']"
Docenud,,,,,,,,artist,artist,Docenud,['Docenud']
Donovan,,,,,,,,drawer,drawer,Donovan,['Donovan']
"Drosd, F.",,,,,,,,painter,painter,F. Drosd,"['Drosd, F.']"
"Duret, A.",,,,,,,,painter,painter,A. Duret,"['Duret, A.']"
"Ellis, Frank E.",,,,,,,,artist,artist,Frank E. Ellis,"['Ellis, Frank E.']"
Ernst,,,,,,,,printmaker,printmaker,Ernst,['Ernst']
"Estellido, Comp",,,,,,,,printmaker,printmaker,Comp Estellido,"['Estellido, Comp']"
"Fandos, Manuel",,,,,,,,painter,painter,Manuel Fandos,"['Fandos, Manuel']"
"Fatiquant, R.",,,,,,,,painter,painter,R. Fatiquant,"['Fatiquant, R.']"
"Fisher, E.",,,,,,,,painter,painter,E. Fisher,"['Fisher, E.']"
Flasho,,,,,,,,printmaker,printmaker,Flasho,['Flasho']
"Florez, Garzon",,,,,,,,printmaker,printmaker,Garzon Florez,"['Florez, Garzon']"
"Foster, Tom",,,,,,,,painter,painter,Tom Foster,"['Foster, Tom']"
Frankenstein,,,,,,,,painter,painter,Frankenstein,['Frankenstein']
"Freeman, Carol Lawton",,,,,,,,printmaker,printmaker,Carol Lawton Freeman,"['Freeman, Carol Lawton']"
"Garicola, K.",,,,,,,,drawer,drawer,K. Garicola,"['Garicola, K.']"
"Gastlund, Knud",,,,,,,,book artist,book artist,Knud Gastlund,"['Gastlund, Knud & Sert, Jose Luis']"
"Genter, Karen",,,,,,,,book artist,book artist,Karen Genter,"['Genter, Karen']"
Georgii-Hemming,,,,,,,,artist,artist,Georgii-Hemming,['Georgii-Hemming']
Gerasch,,,,,,,,printmaker,printmaker,Gerasch,['Gerasch']
"Gibson, James",,,,,,,,sculptor,sculptor,James Gibson,"['Gibson, James']"
"Gold, Hel",,,,,,,,printmaker,printmaker,Hel Gold,"['Gold, Hel']"
"Goodyear, J.",,,,,,,,printmaker,printmaker,J. Goodyear,"['Goodyear, J.']"
Gremillier,,,,,,,,printmaker,printmaker,Gremillier,['Gremillier']
"Griffith, E.N.",,,,,,,,painter,painter,E.N. Griffith,"['Griffith, E.N.']"
"Gwinn, John",,,,,,,,drawer,drawer,John Gwinn,"['Gwinn, John']"
"Haberman, Gwen",,,,,,,,printmaker,printmaker,Gwen Haberman,"['Haberman, Gwen']"
Haendil,,,,,,,,painter,painter,Haendil,['Haendil']
"Hallmandel, C.",,,,,,,,artist,artist,C. Hallmandel,"['Hallmandel, C.']"
"Hart, W.C.",,,,,,,,printmaker,printmaker,W.C. Hart,"['Hart, W.C. ']"
"Hasegawa, Masanobu",,,,,,,,book artist,book artist,Masanobu Hasegawa,"['Hasegawa, Masanobu']"
"Hashimoto, Goyo",,,,,,,,printmaker,printmaker,Goyo Hashimoto,"['Hashimoto, Goyo & Kaburagi, Kiyokata']"
"Hawkins, Christie",,,,,,,,artist,artist,Christie Hawkins,"['Hawkins, Christie']"
Heidenreich,,,,,,,,printmaker,printmaker,Heidenreich,['Heidenreich']
"Heidenreich, D.",,,,,,,,printmaker,printmaker,D. Heidenreich,"['Heidenreich, D.']"
"Hendee, A.",,,,,,,,printmaker,printmaker,A. Hendee,"['Hendee, A.']"
"Hoffmann, E.P.",,,,,,,,printmaker,printmaker,E.P. Hoffmann,"['Hoffmann, E.P.']"
"Hōko, Ichimosai",,,,,,,,book artist,book artist,Ichimosai Hōko,"['Hōko, Ichimosai', 'Hoko, Ichimosai']"
"Hollingsworth, Bob",,,,,,,,painter,painter,Bob Hollingsworth,"['Hollingsworth, Bob']"
"Hoseki, Sanji",,,,,,,,printmaker,printmaker,Sanji Hoseki,"['Hoseki, Sanji']"
"Hotta, Renzan",,,,,,,,book artist,book artist,Renzan Hotta,"['Hotta, Renzan']"
"Howard, John",,,,,,,,painter,painter,John Howard,"['Howard, John']"
"Hu, Jiang",,,,,,,,painter,painter,Jiang Hu,"['Hu, Jiang']"
"Ichida, Jirobei",,,,,,,,book artist,book artist,Jirobei Ichida,"['Ichida, Jirobei']"
Ikkoku-sai,,,,,,,,artist,artist,Ikkoku-sai,['Ikkoku-sai']
"Inoue, Kenroku Sensei",,,,,,,,book artist,book artist,Kenroku Sensei Inoue,"['Inoue, Kenroku Sensei']"
"Itakura, Shukuei",,,,,,,,book artist,book artist,Shukuei Itakura,"['Itakura, Shukuei']"
"Itiani, A.",,,,,,,,painter,painter,A. Itiani,"['Itiani, A.']"
"Janus, Jan",,,,,,,,artist,artist,Jan Janus,"['Janus, Jan']"
Jiang Hu,,,,,,,,painter,painter,Jiang Hu,['Jiang Hu']
"Jimenez, Luis",,,,,,,,printmaker,printmaker,Luis Jimenez,"['Jimenez, Luis']"
"Josephson, Laura",,,,,,,,photographer,photographer,Laura Josephson,"['Josephson, Laura']"
Kado,,,,,,,,painter,painter,Kado,['Kado']
"Karail, Ilonka",,,,,,,,printmaker,printmaker,Ilonka Karail,"['Karail, Ilonka']"
"Katsugawa, Hirosuke",,,,,,,,book artist,book artist,Hirosuke Katsugawa,"['Katsugawa, Hirosuke and Haruaki Fiji']"
"Katsushika, Isai",,,,,,,,printmaker,printmaker,Isai Katsushika,"['Katsushika, Isai']"
Keisui,,,,,,,,printmaker,printmaker,Keisui,['Keisui ']
Kim Sal Rui,,,,,,,,painter,painter,Kim Sal Rui,['Kim Sal Rui']
"Kings, John",,,,,,,,painter,painter,John Kings,"['Kings, John']"
"Kinsai, Dojin",,,,,,,,book artist,book artist,Dojin Kinsai,"['Kinsai, Dojin']"
Kitabat,,,,,,,,printmaker,printmaker,Kitabat,['Kitabat']
Koshin,,,,,,,,painter,painter,Koshin,['Koshin']
"Krauze, A",,,,,,,,printmaker,printmaker,A Krauze,"['Krauze, A']"
"Kutner, Christophe",,,,,,,,printmaker,printmaker,Christophe Kutner,"['Kutner, Christophe']"
Kwannon,,,,,,,,printmaker,printmaker,Kwannon,['Kwannon']
Kwasniewska,,,,,,,,printmaker,printmaker,Kwasniewska,['Kwasniewska']
"La Rouke, Hector",,,,,,,,painter,painter,Hector La Rouke,"['La Rouke, Hector']"
"Lafitte, Andrew",,,,,,,,printmaker,printmaker,Andrew Lafitte,"['Lafitte, Andrew']"
"Lancaster, Paul",,,,,,,,painter,painter,Paul Lancaster,"['Lancaster, Paul']"
"Landry, G.",,,,,,,,printmaker,printmaker,G. Landry,"['Landry, G.']"
"Langworthy, Sara",,,,,,,,printmaker,printmaker,Sara Langworthy,"['Langworthy, Sara']"
"Leach, John",,,,,,,,ceramic artist,ceramic artist,John Leach,"['Leach, John']"
Lemercier,,,,,,,,printmaker,printmaker,Lemercier,['Lemercier']
Lemoir,,,,,,,,printmaker,printmaker,Lemoir,['Lemoir']
