name,cs_name,cs_alias,wikidata_description,born,cs_born,died,cs_died,birthplace,deathplace,gender,ulan,cs_nationality,artist_type,birth_city,birth_state,description,last_first,creator_string,qc
Eduardo Mira,,,artist,1945,,,,,,,,,artist,,,1945-,"Mira, Eduardo","['Mira, Eduardo (1945-)']",
John P. Stewart,,,printmaker,1945,,,,,,,,,printmaker,,,1945-,"Stewart, John P.","['Stewart, John P. (1945-)']",
Judith Page,Judith Page,,sculptor,1946,,,,Q49241,,f,,American,sculptor,Lexington, KY,"1946-, born Lexington, KY","Page, Judith","['Page, Judith (1946-, born Lexington, KY)']",100 Judith Page /  / Judith Page / - / 1946-
Kathleen Walkup,Kathleen Walkup,,printmaker,1946,,,,Q6106,,f,,American,printmaker,Portland, OR,"1946-, born Portland, OR","Walkup, Kathleen","['Walkup, Kathleen  (1946-, born Portland, OR)']",100 Kathleen Walkup /  / Kathleen Walkup / - / 1946-
Barry Buxkamper,Barry Buxkamper,,painter,1946,,,,,,m,,American,painter,,,1946-,"Buxkamper, Barry","['Buxkamper, Barry (1946-)']",100 Barry Buxkamper /  / Barry Buxkamper / - / 1946-
Alvin Garret,,,printmaker,1946,,,,,,,,,printmaker,,,1946-,"Garret, Alvin","['Garret, Alvin (1946-)']",
Elliot Ross,Elliot Ross,Elliot Ross,book artist,1947,1947,,,Q1297,,m,http://vocab.getty.edu/page/ulan/500129424,American (North American),book artist,Chicago, IL,"1947-, born Chicago, IL","Ross, Elliot","['Ross, Elliot  (1947-, born Chicago, IL)']",100 Elliot Ross / Elliot Ross / Elliot Ross
Dennis Lukas,Dennis Lukas,Dennis Brian Lukaszczyk,painter,1947,1947,,2003,Q133116,,m,,Canadian,painter,Hamilton, Ontario,"1947-, born Hamilton, Ontario","Lukas, Dennis","['Lukas, Dennis (1947-, born Hamilton, Ontario)']",100 Dennis Lukas / Dennis Brian Lukaszczyk / Dennis Lukas
Rosalyn Richards,Rosalyn Richards,,painter,1947,,,,,,f,,,painter,,,1947-,"Richards, Rosalyn","['Richards, Rosalyn (1947-)']",100 Rosalyn Richards /  / Rosalyn Richards / - / 1947-
Okada Teru,,,ceramic artist,1947,,,,,,,,,ceramic artist,,,1947-,"Teru, Okada","['Teru, Okada (1947-)']",
Hernan Zúñiga Albán,,,printmaker,1948,,,,Q210161,,,,,printmaker,Ambato, Ecuador,"1948-, born Ambato, Ecuador","Albán, Hernan Zúñiga","['Albán, Hernan Zúñiga (1948-, born Ambato, Ecuador)']",
Dawson Nesbitt,,,photographer,1948,,,,,,,,,photographer,,,1948-,"Nesbitt, Dawson","['Nesbitt, Dawson (1948-)']",
Paul Eric Berger,Paul Berger,,American photographer and printmaker,1948,,,,,,m,,,photographer,,,"American photographer and printmaker, born 1948","Berger, Paul Eric","['Berger, Paul Eric (American photographer and printmaker, born 1948)']",81 Paul Berger /  / Paul Eric Berger / - / 1948-
Edward Shalala,Edward Shalala,,printmaker,1949,1949,,,Q37320,,m,,American,printmaker,Cleveland, OH,"1949-, born Cleveland, OH","Shalala, Edward","['Shalala, Edward (1949-, born Cleveland, OH)']",100 Edward Shalala /  / Edward Shalala
Jeanne Wilkinson,Jeanne Wilkinson,,printmaker,1949,,,,Q485708,,f,,American,printmaker,Duluth, MN,"1949-, born Duluth, MN","Wilkinson, Jeanne","['Wilkinson, Jeanne (1949-, born Duluth, MN)']",100 Jeanne Wilkinson /  / Jeanne Wilkinson / - / 1949-
Jay Bolotin,Jay Bolotin,,printmaker,1949,1949,,,Q491931,,m,http://vocab.getty.edu/page/ulan/500466991,American (North American),printmaker,Fayette County, KY,"1949-, born Fayette County, KY","Bolotin, Jay","['Bolotin, Jay (1949-, born Fayette County, KY)']",100 Jay Bolotin /  / Jay Bolotin
Creighton Michael,Creighton Michael,,American sculptor,1949,1949,,,,,m,http://vocab.getty.edu/page/ulan/500100489,American (North American),printmaker,,,"American sculptor, born 1949","Michael, Creighton","['Michael, Creighton (American sculptor, born 1949)']",100 Creighton Michael /  / Creighton Michael
Mark Williams,,,printmaker,1950,,,,Q1342,,m,http://vocab.getty.edu/page/ulan/500285848,,printmaker,Pittsburgh, PA,"1950-, born Pittsburgh, PA","Williams, Mark","['Williams, Mark (1950-, born Pittsburgh, PA)']",100 Mark Williams / Mark Williams / Mark Williams / 1850- / 1950-
Ann Kalmbach,,,printmaker,1950,,,,Q49218,,,,,printmaker,Rochester, NY,"1950-, born Rochester, NY","Kalmbach, Ann","['Kalmbach, Ann and Kellner, Tatana (1950-, 1950-, born Rochester, NY; Prague, Czech Republic)']",
Cathie Ruggie-Saunders,Cathie Ruggie-Saunders,,printmaker,1951,1949,,,Q1297,,f,,American,printmaker,Chicago, IL,"1951-, born Chicago, IL","Ruggie-Saunders, Cathie","['Ruggie-Saunders, Cathie (1951-, born Chicago, IL)']",100 Cathie Ruggie-Saunders /  / Cathie Ruggie-Saunders / 1949- / 1951-
Hans Waanders,Hans Waanders,,printmaker,1951,1951,2001,2001,Q33435365,,m,,Dutch,printmaker,Enschede, Netherlands,"1951-2001, born Enschede, Netherlands","Waanders, Hans","['Waanders, Hans (1951-2001, born Enschede, Netherlands)']",100 Hans Waanders /  / Hans Waanders
Michael Peel,Michael Peel,,British painter,1951,1951,,,,,m,http://vocab.getty.edu/page/ulan/500014926,British (modern),printmaker,,,"British painter, born 1951","Peel, Michael","['Peel, Michael (British painter, born 1951)']",100 Michael Peel /  / Michael Peel
John Phillips,John  Phillips,,printmaker,1953,,,,Q1297,,m,,,printmaker,Chicago, IL,"1953-, born Chicago, IL","Phillips, John","['Phillips, John (1953-, born Chicago, IL)']",96 John  Phillips /  / John Phillips / - / 1953-
Julian Jackson,Julian Jackson,,printmaker,1953,,,,Q43421,,m,,American,printmaker,Richmond, VA,"1953-, born Richmond, VA","Jackson, Julian","['Jackson, Julian (1953-, born Richmond, VA)']",100 Julian Jackson /  / Julian Jackson / - / 1953-
Bronlyn Jones,Bronlyn Jones,,drawer,1954,1954,,,Q2099362,,m,,American,drawer,Williamsburg, IA,"1954-, born Williamsburg, IA","Jones, Bronlyn","['Jones, Bronlyn (1954-, born Williamsburg, IA)']",100 Bronlyn Jones /  / Bronlyn Jones
Paul Tosh,Paul Tosh,,printmaker,1954,,,,Q241814,,m,,,printmaker,Kingsport, TN,"1954-, born Kingsport, TN","Tosh, Paul,","['Tosh, Paul, (1954-, born Kingsport, TN)']",100 Paul Tosh /  / Paul Tosh / - / 1954-
Mara Held,,,printmaker,1954,,,,Q60,,,,,printmaker,New York, NY,"1954-, born New York, NY","Held, Mara","['Held, Mara (1954-, born New York, NY)']",
Mark Gibian,,,painter,1954,,,,,,,,,painter,,,1954-,"Gibian, Mark","['Gibian, Mark (1954-)']",
José Luis Raymond,José Luis Raymond,,photographer,1954,,,,,,m,,,photographer,,,1954-,"Raymond, José Luis","['Raymond, José Luis (1954-)']",100 José Luis Raymond /  / José Luis Raymond / - / 1954-
Terri Zupanc,Terri Zupanc,,printmaker,1955,1955,,,Q1537,,f,,,printmaker,Wisconsin,,"1955-, born Wisconsin","Zupanc, Terri","['Zupanc, Terri (1955-, born Wisconsin)']",100 Terri Zupanc /  / Terri Zupanc
Gabriel Warren,Gabriel Warren,,sculptor,1955,,,,Q49145,,m,,,sculptor,New Haven, CT,"1955-, born New Haven, CT","Warren, Gabriel","['Warren, Gabriel (1955-, born New Haven, CT)']",100 Gabriel Warren /  / Gabriel Warren / - / 1955-
Tjue Teeuwen,,,book artist,1955,,,,Q9832,,,,,book artist,Eindhoven,Netherlands,"1955-, 1955-, born Eindhoven, Netherlands","Teeuwen, Tjue","['Teeuwen, Tjue & Peter Foolen (1955-, 1955-, born Eindhoven, Netherlands)']",
Karen Leonard Lyles,Karen Leonard Lyles,,drawer,1955,,,,,,f,,,drawer,,,1955-,"Lyles, Karen Leonard","['Lyles, Karen Leonard (1955-)']",100 Karen Leonard Lyles /  / Karen Leonard Lyles / - / 1955-
Terry Thacker,Terry Thacker,,painter,1955,,,,,,m,,,painter,,,1955-,"Thacker, Terry","['Thacker, Terry (1955-)']",100 Terry Thacker /  / Terry Thacker / - / 1955-
Gilbert Hsiao,,,printmaker,1956,,,,Q1400,,,,,printmaker,Pennsylvania,,"1956-, born Pennsylvania","Hsiao, Gilbert","['Hsiao, Gilbert (1956-, born Pennsylvania)']",
Daniel G. Hill,Daniel G. Hill,,printmaker,1956,1956,,,Q60,,m,,American,printmaker,New York, NY,"1956-, born New York, NY","Hill, Daniel G.","['Hill, Daniel G. (1956-, born New York, NY)']",100 Daniel G. Hill /  / Daniel G. Hill
Paul D'Amato,Paul D'Amato,,American photographer,1956,1956,,,,,m,http://vocab.getty.edu/page/ulan/500463231,American (North American),photographer,,,"American photographer, 1956 CE-","D'Amato, Paul","[""D'Amato, Paul (American photographer, 1956 CE-)""]",100 Paul D'Amato /  / Paul D'Amato
Randall Lavender,Randall Lavender,,ceramic artist,1956,,,,,,m,,American,ceramic artist,,,b. 1956,"Lavender, Randall","['Lavender, Randall (b. 1956)']",100 Randall Lavender /  / Randall Lavender / - / 1956-
Jim Sherraden,Jim Sherraden,,printmaker,1957,,,,Q1650620,,m,,American,printmaker,Salina, KS,"1957-, born Salina, KS","Sherraden, Jim","['Sherraden, Jim (1957-, born Salina, KS)', 'Sherraden, Jim (1957, born Salina, KS)', 'Sherraden, Jim (1956-, born Salina, KS)', 'Sherraden, Jim, (1957-, born Salina, KS)', 'Sherraden, Jim, for Hatch Show Print (1957-, born Salina, KS)']",100 Jim Sherraden /  / Jim Sherraden / - / 1957-
Gloria DeArcangelis,,,drawer,1957,,,,Q1726,,,,,drawer,Munich, Germany,"1957-, born Munich, Germany","DeArcangelis, Gloria","['DeArcangelis, Gloria (1957-, born Munich, Germany)']",
Kit Reuther,Kit Reuther,,painter,1957,1957,,,,,f,,American,painter,,,1957-,"Reuther, Kit","['Reuther, Kit (1957-)']",100 Kit Reuther /  / Kit Reuther
Stephen Maine,Stephen Maine,,printmaker,1958,,,,Q33486,,m,,American,printmaker,Hartford, CT,"1958-, born Hartford, CT","Maine, Stephen","['Maine, Stephen (1958-, born Hartford, CT)']",100 Stephen Maine /  / Stephen Maine / - / 1958-
Vera Vasek,Vera Vasek,,printmaker,1959,,,,Q40435,,f,,American,printmaker,Buffalo, NY,"1959-, born Buffalo, NY","Vasek, Vera","['Vasek, Vera (1959-, born Buffalo, NY)']",100 Vera Vasek /  / Vera Vasek / - / 1959-
Fransje Killaars,Fransje Killaars,,Dutch artist,1959,1959,,,,,m,http://vocab.getty.edu/page/ulan/500348728,Dutch (culture or style),printmaker,,,"Dutch artist, born 1959","Killaars, Fransje","['Killaars, Fransje (Dutch artist, born 1959)']",100 Fransje Killaars /  / Fransje Killaars
Sabine Friesicke,,,painter,1960,,,,Q1055,,,,,painter,Hamburg, Germany,"1960-, born Hamburg, Germany","Friesicke, Sabine","['Friesicke, Sabine (1960-, born Hamburg, Germany)']",
Koo Kyung Sook,Koo Kyung Sook,,photographer,1960,,,,Q1192050,,f,,Korean,photographer,Seoul, Korea,"1960-, born Seoul, Korea","Sook, Koo Kyung","['Sook, Koo Kyung (1960-, born Seoul, Korea)']",100 Koo Kyung Sook /  / Koo Kyung Sook / - / 1960-
Steve Karlik,,,printmaker,1960,,,,Q6106,,,,,printmaker,Portland, OR,"1960-, born Portland, OR","Karlik, Steve","['Karlik, Steve (1960-, born Portland, OR)']",
Kees Verbeek,,,book artist,1961,,,,Q628616,,,,,book artist,Son, Netherlands,"1961-, born Son, Netherlands","Verbeek, Kees","['Verbeek, Kees (1961-, born Son, Netherlands)']",
Guntars Sietens,,,printmaker,1962,,,,Q155281,,,,,printmaker,Kuldiga, Latvia,"1962-, born Kuldiga, Latvia","Sietens, Guntars","['Sietens, Guntars (1962-, born Kuldiga, Latvia)']",
Jeff Matz,Jeffrey Matz,,printmaker,1963,1920,,,Q49233,,m,http://vocab.getty.edu/page/ulan/500072728,American (North American),printmaker,Orlando, FL,"1963-, born Orlando, FL","Matz, Jeff","['Matz, Jeff (1963-, born Orlando, FL)']",86 Jeffrey Matz /  / Jeff Matz / 1920- / 1963-
Teo Gonzáles,Teo González,,drawer,1964,1964,,,Q1752280,,m,http://vocab.getty.edu/page/ulan/500471949,Spanish (culture or style),drawer,Quinto, Spain,"1964-, born Quinto, Spain","Gonzáles, Teo","['Gonzáles, Teo (1964-, born Quinto, Spain)']",92 Teo González /  / Teo Gonzáles
Phurba Namgay,,,painter,1964,,,,Q4511781,,,,,painter,Chendipji," Tongsa, Bhutan","1964-, born Chendipji, Tongsa, Bhutan","Namgay, Phurba","['Namgay, Phurba (1964-, born Chendipji, Tongsa, Bhutan)']",
Martha Chiplis,,,printmaker,1964,,,,Q6346,,,,,printmaker,Indianapolis, IN,"1964-, born Indianapolis, IN","Chiplis, Martha","['Chiplis, Martha (1964-, born Indianapolis, IN)']",
T. Max Hochstetler,T. Max Hochstetler,,painter,1964,1941,,,,,m,,American,painter,,,1964-,"Hochstetler, T. Max","['Hochstetler, T. Max (1964-)', 'Hochstetler, T. Max']",100 T. Max Hochstetler /  / T. Max Hochstetler / 1941- / 1964-
Allison Shotz,Alyson Shotz,Alyson Shotz,American artist,1964,1964,,,,,f,http://vocab.getty.edu/page/ulan/500351075,American (North American),printmaker,,,"American artist, born 1964","Shotz, Allison","['Shotz, Allison (American artist, born 1964)']",88 Alyson Shotz / Alyson Shotz / Allison Shotz
Michael Frederick,,,printmaker,1966,,,,Q2188558,,,,,printmaker,Chabanse, IL,"1966-, born Chabanse, IL","Frederick, Michael","['Frederick, Michael (1966-, born Chabanse, IL)', 'Frederick, Michael, (1966-, born Chabanse, IL)', 'Frederick, Michael, for Hatch Show Print (1966-, born Chabanse, IL)', 'Frederick, Mike']",
Ramon Marcus Kadi,,,printmaker,1967,,,,Q11462,,,,,printmaker,Surabaya, Indonesia,"1967, born Surabaya, Indonesia","Kadi, Ramon Marcus","['Kadi, Ramon Marcus (1967, born Surabaya, Indonesia)']",
Joel Elrod,,,printmaker,1967,,,,Q43199,,,,,printmaker,Omaha, NE,"1967-, born Omaha, NE","Elrod, Joel","['Elrod, Joel (1967-, born Omaha, NE)']",
Tim Dooley,,,printmaker,1967,,,,Q8652,,,,,printmaker,Miami, FL,"1967-, born Miami, FL","Dooley, Tim","['Dooley, Tim and Wilson, Aaron  (1967-, 1972-, born Miami, FL; Xenia, OH)', 'Dooley, Tim and Wilson, Aaron (1967-, 1972-, born Miami, FL; Xenia, OH)']",
Dan Grzeca,Dan Grzeca,,painter,1968,,,,Q1297,,m,,American,painter,Chicago, IL,"1968-, born Chicago, IL","Grzeca, Dan","['Grzeca, Dan (1968-, born Chicago, IL)']",100 Dan Grzeca /  / Dan Grzeca / - / 1968-
J. Suzanne Powney,J. Suzanne Powney,,printmaker,1969,,,,Q490720,,f,,,printmaker,Biloxi, MS,"1969-, born Biloxi, MS","Powney, J. Suzanne","['Powney, J. Suzanne  (1969-, born Biloxi, MS)']",100 J. Suzanne Powney /  / J. Suzanne Powney / - / 1969-
"Samuel L. Dunson, Jr.",,,painter,1970,,,,Q34739,,,,,painter,Dayton, OH,"1970-, born Dayton, OH","Dunson, Samuel L. Jr.","['Dunson, Samuel L. Jr. (1970-, born Dayton, OH)']",
Kerry McAleer-Keeler,Kerry McAleer-Keeler,,printmaker,1971,1971,,,Q18383,,f,http://vocab.getty.edu/page/ulan/500488507,American (North American),printmaker,Providence, RI,"1971-, born Providence, RI","McAleer-Keeler, Kerry","['McAleer-Keeler, Kerry (1971-, born Providence, RI)']",100 Kerry McAleer-Keeler /  / Kerry McAleer-Keeler
Katherine McCanless Ruffin,Katherine McCanless Ruffin,,printmaker,1972,,,,Q79860,,f,,,printmaker,Huntsville, AL,"1972-, born Huntsville, AL","Ruffin, Katherine McCanless","['Ruffin, Katherine McCanless  (1972-, born Huntsville, AL)']",100 Katherine McCanless Ruffin /  / Katherine McCanless Ruffin / - / 1972-
Diana Sudyka,Diana Sudyka,,printmaker,1972,,,,,,f,,American,printmaker,,,1972-,"Sudyka, Diana","['Sudyka, Diana (1972-)']",100 Diana Sudyka /  / Diana Sudyka / - / 1972-
Matt Egan,,,artist,1973,,,,Q52999,,,,,artist,Newmarket, Ontario,"1973-, born Newmarket, Ontario, Canada","Egan, Matt","['Egan, Matt, Muise, Heather (1973-, 1971-, born Newmarket, Ontario, Canada; Windsor, Ontario, Canada)']",
Mat Daly,,,printmaker,1974,,,,,,,,,printmaker,,,1974-,"Daly, Mat","['Daly, Mat (1974-)']",
Dan Jimerfield,Dan Jimerfield,,printmaker,1974,,,,,,m,,,printmaker,Cumberland, MO,"1974-, born Cumberland, MO","Jimerfield, Dan","['Jimerfield, Dan (1974-, born Cumberland, MO)', 'Jimerfield, Dan, for Hatch Show Print (1974-, born Cumberland, MO)']",100 Dan Jimerfield /  / Dan Jimerfield / - / 1974-
Bryce McCloud,Bryce McCloud,,printmaker,1975,,,,Q23197,,m,,"Nashville, TN",printmaker,Nashville, TN,"1975, born Nashville, TN","McCloud, Bryce","[""McCloud, Bryce (1975, born Nashville, TN)"",""McCloud, Bryce (1975-, born Nashville, TN)"",""McCloud, Bryce (Nashville, TN, born 1975-)"",""McCloud, Bryce, (1975-, born Nashville, TN)"",""McCloud, Bryce, for Hatch Show Print (1975-, born Nashville, TN)"",""Bryce McCloud (1975, born Nashville, TN)""]",100 Bryce McCloud /  / Bryce McCloud / - / 1975-
Travis Millard,Travis Millard,,printmaker,1975,,,,Q745120,,m,,,printmaker,St. Joseph, MO,"1975-, born St. Joseph, MO","Millard, Travis","['Millard, Travis (1975-, born St. Joseph, MO)', 'Millard, Travis']",100 Travis Millard /  / Travis Millard / - / 1975-
Joel Shane,,,printmaker,1976,,,,Q2135,,,,,printmaker,Winnipeg, Manitoba,"1976-, born Winnipeg, Manitoba, Canada","Shane, Joel","['Shane, Joel (1976-, born Winnipeg, Manitoba, Canada)']",
Karsten Creightney,,,printmaker,1976,,,,Q34804,,,,,printmaker,Albuquerque, New Mexico,"1976-, born Albuquerque, New Mexico","Creightney, Karsten","['Creightney, Karsten  (1976-, born Albuquerque, New Mexico)']",
Sarah McCoy,Sarah McCoy,,printmaker,1976,,,,Q43788,,f,,American,printmaker,Madison, WI,"1976-, born Madison, WI","McCoy, Sarah","['McCoy, Sarah  (1976-, born Madison, WI)']",100 Sarah McCoy /  / Sarah McCoy / - / 1976-
Jeremy D. Maynard,,,printmaker,1977,,,,Q23197,,,,,printmaker,Nashville, TN,"1977-, born Nashville, TN",Jeremy D. Maynard,"['Jeremy D. Maynard (1977-, born Nashville, TN)']",
Jeremy D. Maynard,,,printmaker,1977,,,,Q23197,,,,,printmaker,Nashville, TN,"1977-, born Nashville, TN","Maynard, Jeremy D.","['Maynard, Jeremy D. (1977-, born Nashville, TN)', 'Maynard, Jeremy D., (1977-, born Nashville, TN)', 'Maynard, Jeremy D., for Hatch Show Print (1977-, born Nashville, TN)']",
Toby Sherrard,,,printmaker,1977,,,,Q5083,,,,,printmaker,Seattle, WA,"1977-, born Seattle, WA","Sherrard, Toby","['Sherrard, Toby (1977-, born Seattle, WA)']",
Edan M. Bryant,Edan M. Bryant,,printmaker,1978,,,,Q23197,,m,,American,printmaker,Nashville, TN,"1978-, born Nashville, TN","Bryant, Edan M.","['Bryant, Edan M. (1978-, born Nashville, TN)', 'Bryant, Edan M. 1978, born Nashville, TN)', 'Bryant, Edan M., (1978-, born Nashville, TN)', 'Bryant, Edan M., for Hatch Show Print (1978-, born Nashville, TN)']",100 Edan M. Bryant /  / Edan M. Bryant / - / 1978-
Erin Salter,,,printmaker,1978,,,,Q23197,,,,,printmaker,Nashville, TN,"1978-, born Nashville, TN","Salter, Erin","['Salter, Erin (1978-, born Nashville, TN)']",
Caleb Cain Marcus,Caleb Cain Marcus,,photographer,1978,1978,,,Q30,,m,,American,photographer,U.S.A.,,"1978-, born U.S.A.","Marcus, Caleb Cain","['Marcus, Caleb Cain (1978-, born U.S.A.)']",100 Caleb Cain Marcus /  / Caleb Cain Marcus
Mike McIntyre,Mike McIntyre,,printmaker,1978,,,,Q38022,,m,,,printmaker,St. Louis, MO,"1978-, born St. Louis, MO","McIntyre, Mike","['McIntyre, Mike (1978-, born St. Louis, MO)']",100 Mike McIntyre /  / Mike McIntyre / - / 1978-
Jenny Gill,Jenny Gill,,printmaker,1979,,,,Q487315,,f,,,printmaker,Monterey, CA,"1979-, born Monterey, CA","Gill, Jenny","['Gill, Jenny (1979-, born Monterey, CA)', 'Gill, Jenny (1979, born Monterey, CA)']",100 Jenny Gill /  / Jenny Gill / - / 1979-
Nick Butcher,Nick Butcher,,painter,1980,,,,Q1268670,,m,,American,painter,Dyersburg, TN,"1980-, born Dyersburg, TN","Butcher, Nick","['Butcher, Nick (1980-, born Dyersburg, TN)']",100 Nick Butcher /  / Nick Butcher / - / 1980-
Kathleen O'Connell,Kathleen O'Connell,,printmaker,1980,,,,Q998669,,f,,American,printmaker,Plattsburgh, NY,"1980-, born Plattsburgh, NY","O'Connell, Kathleen","[""O'Connell, Kathleen (1980-, born Plattsburgh, NY)""]",100 Kathleen O'Connell /  / Kathleen O'Connell / - / 1980-
Casey Gill,,,printmaker,1981,,,,Q487315,,,,,printmaker,Monterey, CA,"1981-, born Monterey, CA","Gill, Casey","['Gill, Casey (1981-, born Monterey, CA)', 'Gill, Casey (1981, born Monterey, CA)']",
Casey D.Gill,,,printmaker,1981,,,,Q487315,,,,,printmaker,Monterey, CA,"1981, born Monterey, CA",Casey D.Gill,"['Casey D.Gill (1981, born Monterey, CA)']",
Annie Herlocker,Annie Herlocker,,printmaker,1982,,,,Q6346,,f,,,printmaker,Indianapolis, IN,"1982-, born Indianapolis, IN","Herlocker, Annie","['Herlocker, Annie  (1982-, born Indianapolis, IN)']",100 Annie Herlocker /  / Annie Herlocker / - / 1982-
Alexandra Janezic,,,printmaker,1988,,,,Q982388,,,,,printmaker,Orange, TX,"1988-, born Orange, TX","Janezic, Alexandra","['Janezic, Alexandra and Runkle, Matt (1988-, 1977-, born Orange, TX; Spokane, WA)']",
Patrick Gosnell,Patrick Gosnell,,printmaker,1989,,,,Q23556,,m,,American,printmaker,Atlanta, GA,"1989-, born Atlanta, GA","Gosnell, Patrick","['Gosnell, Patrick (1989-, born Atlanta, GA)']",100 Patrick Gosnell /  / Patrick Gosnell / - / 1989-
Levi Sherman,,,printmaker,1990,,,,Q5083,,,,,printmaker,Seattle, WA,"1990-, born Seattle, WA","Sherman, Levi","['Sherman, Levi and Gomez, Carly (1990-, born Seattle, WA)']",
Giuseppe Raffetto,,,drawer,,,,,Q1449,,,,,drawer,"Genoa, Italy",,"ca. 1750, born Genoa, Italy","Raffetto, Giuseppe","['Raffetto, Giuseppe (ca. 1750, born Genoa, Italy)', 'Raffetto, Giuseppe']",
Gigi Aramesco,,,painter,,,,,Q170996,,,,,painter,Galatz,Romania,"born Galatz, Romania","Aramesco, Gigi","['Aramesco, Gigi (born Galatz, Romania)']",
Anita Gibson,,,printmaker,,,,,Q211795,,,,,printmaker,Lima,Peru,", born Lima, Peru","Gibson, Anita","['Gibson, Anita (, born Lima, Peru)', 'Gibson, Anita', 'Gibson, Anita  (born Lima, Peru)']",
Louise De Gignilliet Rogers,Louise De Gignilliat Rogers,,printmaker,,,,,Q219656,,f,,American,printmaker,Macon,GA,"born Macon, GA","Rogers, Louise De Gignilliet","['Rogers, Louise De Gignilliet (born Macon, GA)', 'Rogers, Louise De Gignilliet']",96 Louise De Gignilliat Rogers /  / Louise De Gignilliet Rogers
Tim Hooper,Tim Hooper,,printmaker,,,,,Q23197,,m,,,printmaker,Nashville,TN,"ca. 1970, born Nashville, TN","Hooper, Tim","['Hooper, Tim (ca. 1970, born Nashville, TN)']",100 Tim Hooper /  / Tim Hooper
Katherine J. Fries,,,printmaker,,,,,Q28260,,,,,printmaker,Lincoln,NE,", born Lincoln, NE","Fries, Katherine J.","['Fries, Katherine J. (, born Lincoln, NE)']",
Genzaburo Hayashi,,,painter,,,,,Q34600,,,,,painter,Kyoto,Japan,"born Kyoto, Japan","Hayashi, Genzaburo","['Hayashi, Genzaburo (born Kyoto, Japan)']",
Sarah Hulsey,Sarah Hulsey,,printmaker,,,,,Q34863,,f,,American,printmaker,Oklahoma City,OK,", born Oklahoma City, OK","Hulsey, Sarah","['Hulsey, Sarah (, born Oklahoma City, OK)']",100 Sarah Hulsey /  / Sarah Hulsey
Scott Russell,,,"printmaker, for Hatch Show Print",,,,,Q490385,,,,,printmaker,Bloomington,IN,"born Bloomington, IN","Russell, Scott","['Russell, Scott, for Hatch Show Print (born Bloomington, IN)']",
Ray Wakeland,,,ceramic artist,,,1964,,Q646230,,,,,ceramic artist,Monteagle, TN,"-1964, born Monteagle, TN","Wakeland, Ray","['Wakeland, Ray (-1964, born Monteagle, TN)']",
Zdenka Zivkovic,Zdenka Zivkovic,,painter,1921,1921,2011,2011,Q33946,,f,,,painter,,Czechoslovakia,born Czechoslovakia,"Zivkovic, Zdenka","['Zivkovic, Zdenka (born Czechoslovakia)', 'Zivkovic, Zdenka (, born Czechoslovakia)']",100 Zdenka Zivkovic /  / Zdenka Zivkovic
Jean Wall Penland,Jean Penland,,American painter and etcher,1938,1938,2019,2019,,,f,,American,painter,,,American painter and etcher,"Penland, Jean Wall","['Penland, Jean Wall (American painter and etcher)']",83 Jean Penland /  / Jean Wall Penland
Helen Soreff,Helen Soreff,Helen Soreff,"American painter, 20th century",1926,,1998,,Q60,Q60,f,http://vocab.getty.edu/page/ulan/500093844,American (North American),printmaker,,,"American painter, 20th century","Soreff, Helen","['Soreff, Helen (American painter, 20th century)']",100 Helen Soreff / Helen Soreff / Helen Soreff / 1871- / 1926-1998
Fred Westphal,Fred Westphal,Fred Westphal,"German artist, active 20th century",,1871,,,Q183,,m,http://vocab.getty.edu/page/ulan/500082407,"German (culture, style, period)",printmaker,,,"German artist, active 20th century","Westphal, Fred","['Westphal, Fred (German artist, active 20th century)', 'Westphal, Fred']",100 Fred Westphal / Fred Westphal / Fred Westphal / 1871- / -
Gian Carlo Polidori,,,painter,1895,,1962,,Q38,,,,,painter,,,"Italian artist, active 19th-20th century","Polidori, Gian Carlo","['Polidori, Gian Carlo (Italian artist, active 19th-20th century)']",
Hinaya Ryuho,,,book artist,1599,,1669,,Q17,,,,,book artist,,,Rippo,Ryuho,"['Ryuho (Rippo), Hinaya (1597-1669)']",
Judy Kniseley,Judy Kniseley,,drawer,,,,,,,f,,,drawer,,,"-1964, ca.","Kniseley, Judy","['Kniseley, Judy (-1964, ca.)']",100 Judy Kniseley /  / Judy Kniseley
Johannes Beeldemaker,,,Dutch painter,,,,,,,,,,painter,,,"Dutch painter, born 1630 or 1636, died after 1710","Beeldemaker, Johannes","['Beeldemaker, Johannes (Dutch painter, born 1630 or 1636, died after 1710)']",
Woo Bong,,,painter,,,,,,,,,,painter,,,ca. 1948,"Bong, Woo","['Bong, Woo (ca. 1948)']",
Haverford Painter,Peintre d'Haverford,Haverford Painter,Greek vase painter,,,,,,,,http://vocab.getty.edu/page/ulan/500094857,Greek (modern),ceramic artist,,,"Greek vase painter, active ca. 375-ca. 350 BCE in Apulia",Haverford Painter,"['Haverford Painter (Greek vase painter, active ca. 375-ca. 350 BCE in Apulia)']",100 Peintre d'Haverford / Haverford Painter / Haverford Painter
Zhou Tao,,,painter,,,,,Q29520,,,,,painter,,China,born China,Zhou Tao,['Zhou Tao (born China)'],
Ch'en Ku,,,painter,,,,,Q57719,,,,,painter, P'eng-Ch'eng,China,", born P'eng-Ch'eng, China",Ch'en Ku,"[""Ch'en Ku (, born P'eng-Ch'eng, China)""]",
