name,cs_name,alias,cs_alias,wikidata_description,born,born_jstor,cs_born,died,died_jstor,cs_died,birthplace,deathplace,gender,ulan_url,ulan,cs_nationality,artist_type,birth_city,birth_state,description,last_first,creator_string,qc
Rainer Pfnür,Rainer Pfnür,,,German artist,1939,1939,1939,,,,,,m,http://vocab.getty.edu/page/ulan/500104132,500104132,"German (culture, style, period)",printmaker,,,"German artist, born 1939","Pfnür, Rainer","['Pfnür, Rainer (German artist, born 1939)']",100 Rainer Pfnür /  / Rainer Pfnür
Miquel Vilà,Miquel Vilá,,,Spanish printmaker,1940,1940,1940,,,,Q1492,,m,,,Spanish,printmaker,Barcelona, Spain,"1940-, born Barcelona, Spain","Vilà, Miquel","['Vilà, Miquel (1940-, born Barcelona, Spain)']",91 Miquel Vilá /  / Miquel Vilà
Manzano Acisclo,,,,printmaker,1940,1940,,,,,,,,,,,printmaker,,,1940-,"Acisclo, Manzano","['Acisclo, Manzano (1940-)']",
Cis Lenerts,,,,printmaker,1940,1940,,,,,,,,,,,printmaker,,,1940,"Lenerts, Cis","['Lenerts, Cis (1940)']",
Terry Max Hochstetler,T. Max Hochstetler,"[""T. Max Hochstetler"",""Max Hochstetler""]",,American painter,1941,1964,1941,2019,,,Q492478,Q328941,m,,,American,painter,Terre Haute,IN,1964-,"Hochstetler, T. Max","['Hochstetler, T. Max (1964-)', 'Hochstetler, T. Max']",100 T. Max Hochstetler /  / T. Max Hochstetler / 1941- / 1964-
Yukio Katsuda,,,,printmaker,1941,1941,,,,,,,m,,,,printmaker,,,1941-,"Katsuda, Yukio","['Katsuda, Yukio (1941-)']",
Wattana Wattanapun,Wattana Wattanapun,,Watthana Watthanāphan,Thai painter,1941,1941,1941,,,,,,m,http://vocab.getty.edu/page/ulan/500122968,500122968,Thais,painter,,,"Thai painter, born 1941",Wattana Wattanapun,"['Wattana Wattanapun (Thai painter, born 1941)']",100 Wattana Wattanapun / Watthana Watthanāphan / Wattana Wattanapun
Joseph A. Pecsenke,Joseph A. Pecsenke,,,Hungarian American printmaker,1942,1942,1942,1989,1989,1989,,,m,,,Hungarian American,printmaker,,,1942-1989,"Pecsenke, Joseph A.","['Pecsenke, Joseph A. (1942-1989)']",100 Joseph A. Pecsenke /  / Joseph A. Pecsenke
Phillis Ideal,Phillis Ideal,,,American printmaker,1942,1942,,,,,Q33561,,f,,,American,printmaker,Roswell, NM,"1942-, born Roswell, NM","Ideal, Phillis","['Ideal, Phillis (1942-, born Roswell, NM)']",100 Phillis Ideal /  / Phillis Ideal / - / 1942-
Diana R. Hansen,,,,printmaker,1942,1942,,,,,,,f,,,,printmaker,,,1942-,"Hansen, Diana R.","['Hansen, Diana R. (1942-)']",
Manuel Boix Alvarez,Manuel Boix Alvarez,,,Spanish printmaker,1942,1942,1942,,,,,,m,,,Spanish,printmaker,,,1942-,"Alvarez, Manuel Boix","['Alvarez, Manuel Boix (1942-)']",100 Manuel Boix Alvarez /  / Manuel Boix Alvarez
Pere Puiggros,Pere Puiggros,,,Spanish printmaker,1942,1942,1942,,,,,,m,,,Spanish,printmaker,,,1942-,"Puiggros, Pere","['Puiggros, Pere (1942-)']",100 Pere Puiggros /  / Pere Puiggros
Chaim Kanner,Chaim Kanner,,,French photographer,1943,1943,1943,2000,2000,2005,Q33959,,m,,,French,photographer,Nice, France,"1943-2000, born Nice, France","Kanner, Chaim","['Kanner, Chaim (1943-2000, born Nice, France)']",100 Chaim Kanner /  / Chaim Kanner
Lenore Vanderkooi,Lenore Vanderkooi,,,American ceramic artist,1943,1943,1943,,,,Q100,,f,,,American,ceramic artist,Boston, MA,"1943-, born Boston, MA","Vanderkooi, Lenore","['Vanderkooi, Lenore (1943-, born Boston, MA)']",100 Lenore Vanderkooi /  / Lenore Vanderkooi
James Joseph Juszczk,,,,printmaker,1943,1943,,,,,Q1297,,m,,,,printmaker,Chicago, IL,"1943-, born Chicago, IL","Juszczk, James Joseph","['Juszczk, James Joseph (1943-, born Chicago, IL)', 'Juszczyk, James Joseph (American painter, born 1943)']",
Gilbert Herreyns,Gilbert Herreyns,,,Belgian printmaker,1943,1943,1943,,,,Q203312,,m,,,Belgian,printmaker,Uccle, Belgium,"1943-, born Uccle, Belgium","Herreyns, Gilbert","['Herreyns, Gilbert (1943-, born Uccle, Belgium)']",100 Gilbert Herreyns /  / Gilbert Herreyns
David Smyth,David Smyth,,David Smyth,American painter,1943,1943,,,,,,,m,http://vocab.getty.edu/page/ulan/500021111,500021111,American (North American),printmaker,,,"American painter, born 1943","Smyth, David","['Smyth, David (American painter, born 1943)']",91 David Smith / David Smith / David Smyth / 1906-1965 / 1943-
David Shapiro,,,,American painter and printmaker,1943,1943,,,,,,,m,,,,drawer,,,"American painter and printmaker, born 1943","Shapiro, David","['Shapiro, David (American painter and printmaker, born 1943)']",
Daniel Gualdoni,Daniel Gualdoni,,,American printmaker,1943,1943,,,,,,,m,,,American,printmaker,,,1943-,"Gualdoni, Daniel","['Gualdoni, Daniel (1943-)']",100 Daniel Gualdoni /  / Daniel Gualdoni / - / 1943-
Faik Husein,Faik Husein,,,Iraqi American printmaker,1944,1944,1994,2004,2004,1005,Q38811,Q60,m,,,Iraqi American,printmaker,Nasria, Iraq,"1944-2004, born Nasria, Iraq, died New York, NY","Husein, Faik","['Husein, Faik (1944-2004, born Nasria, Iraq, died New York, NY)', 'Husein, Faik']",100 Faik Husein /  / Faik Husein / 1994-1005 / 1944-2004
Lisa Collado,Lisa Collado,,,American printmaker,1944,,1944,,,,,,f,http://vocab.getty.edu/page/ulan/500387117,500387117,American (North American),printmaker,,,,"Collado, Lisa","['Collado, Lisa']",100 Lisa Collado /  / Lisa Collado / 1944- / -
Eduardo Mira,,,,artist,1945,1945,,,,,,,m,,,,artist,,,1945-,"Mira, Eduardo","['Mira, Eduardo (1945-)']",
John P. Stewart,,,,printmaker,1945,1945,,,,,,,m,,,,printmaker,,,1945-,"Stewart, John P.","['Stewart, John P. (1945-)']",
Judith Page,Judith Page,,,American sculptor,1946,1946,,,,,Q49241,,f,,,American,sculptor,Lexington, KY,"1946-, born Lexington, KY","Page, Judith","['Page, Judith (1946-, born Lexington, KY)']",100 Judith Page /  / Judith Page / - / 1946-
Kathleen Walkup,Kathleen Walkup,,,American printmaker,1946,1946,,,,,Q6106,,f,,,American,printmaker,Portland, OR,"1946-, born Portland, OR","Walkup, Kathleen","['Walkup, Kathleen  (1946-, born Portland, OR)']",100 Kathleen Walkup /  / Kathleen Walkup / - / 1946-
Barry Buxkamper,Barry Buxkamper,,,American painter,1946,1946,,,,,,,m,,,American,painter,,,1946-,"Buxkamper, Barry","['Buxkamper, Barry (1946-)']",100 Barry Buxkamper /  / Barry Buxkamper / - / 1946-
Alvin Garret,,,,printmaker,1946,1946,,,,,,,m,,,,printmaker,,,1946-,"Garret, Alvin","['Garret, Alvin (1946-)']",
Dennis Lukas,Dennis Lukas,"[""Dennis Brian Lukaszczyk""]",Dennis Brian Lukaszczyk,Canadian painter,1947,1947,1947,2003,,2003,Q133116,,m,,,Canadian,painter,Hamilton, Ontario,"1947-, born Hamilton, Ontario","Lukas, Dennis","['Lukas, Dennis (1947-, born Hamilton, Ontario)']",100 Dennis Lukas / Dennis Brian Lukaszczyk / Dennis Lukas
Elliot Ross,Elliot Ross,,Elliot Ross,American book artist,1947,1947,1947,,,,Q1297,,m,http://vocab.getty.edu/page/ulan/500129424,500129424,American (North American),book artist,Chicago, IL,"1947-, born Chicago, IL","Ross, Elliot","['Ross, Elliot  (1947-, born Chicago, IL)']",100 Elliot Ross / Elliot Ross / Elliot Ross
Okada Teru,,,,ceramic artist,1947,1947,,,,,,,,,,,ceramic artist,,,1947-,"Teru, Okada","['Teru, Okada (1947-)']",
Rosalyn Richards,Rosalyn Richards,,,painter,1947,1947,,,,,,,f,,,,painter,,,1947-,"Richards, Rosalyn","['Richards, Rosalyn (1947-)']",100 Rosalyn Richards /  / Rosalyn Richards / - / 1947-
Hernan Zúñiga Albán,,,,printmaker,1948,1948,,,,,Q210161,,m,,,,printmaker,Ambato, Ecuador,"1948-, born Ambato, Ecuador","Albán, Hernan Zúñiga","['Albán, Hernan Zúñiga (1948-, born Ambato, Ecuador)']",
Paul Eric Berger,Paul Berger,,,American photographer and printmaker,1948,1948,,,,,,,m,,,,photographer,,,"American photographer and printmaker, born 1948","Berger, Paul Eric","['Berger, Paul Eric (American photographer and printmaker, born 1948)']",81 Paul Berger /  / Paul Eric Berger / - / 1948-
Dawson Nesbitt,,,,photographer,1948,1948,,,,,,,,,,,photographer,,,1948-,"Nesbitt, Dawson","['Nesbitt, Dawson (1948-)']",
Cathie Ruggie-Saunders,Cathie Ruggie-Saunders,,,American printmaker,1949,1951,1949,,,,Q1297,,f,,,American,printmaker,Chicago, IL,"1951-, born Chicago, IL","Ruggie-Saunders, Cathie","['Ruggie-Saunders, Cathie (1951-, born Chicago, IL)']",100 Cathie Ruggie-Saunders /  / Cathie Ruggie-Saunders / 1949- / 1951-
Edward Shalala,Edward Shalala,,,American printmaker,1949,1949,1949,,,,Q37320,,m,,,American,printmaker,Cleveland, OH,"1949-, born Cleveland, OH","Shalala, Edward","['Shalala, Edward (1949-, born Cleveland, OH)']",100 Edward Shalala /  / Edward Shalala
Jeanne Wilkinson,Jeanne Wilkinson,,,American printmaker,1949,1949,,,,,Q485708,,f,,,American,printmaker,Duluth, MN,"1949-, born Duluth, MN","Wilkinson, Jeanne","['Wilkinson, Jeanne (1949-, born Duluth, MN)']",100 Jeanne Wilkinson /  / Jeanne Wilkinson / - / 1949-
Jay Bolotin,Jay Bolotin,,,American printmaker,1949,1949,1949,,,,Q491931,,m,http://vocab.getty.edu/page/ulan/500466991,500466991,American (North American),printmaker,Fayette County, KY,"1949-, born Fayette County, KY","Bolotin, Jay","['Bolotin, Jay (1949-, born Fayette County, KY)']",100 Jay Bolotin /  / Jay Bolotin
Creighton Michael,Creighton Michael,,,American sculptor,1949,1949,1949,,,,,,m,http://vocab.getty.edu/page/ulan/500100489,500100489,American (North American),printmaker,,,"American sculptor, born 1949","Michael, Creighton","['Michael, Creighton (American sculptor, born 1949)']",100 Creighton Michael /  / Creighton Michael
Mark Williams,,,,printmaker,1950,1950,,,,,Q1342,,m,http://vocab.getty.edu/page/ulan/500285848,500285848,,printmaker,Pittsburgh, PA,"1950-, born Pittsburgh, PA","Williams, Mark","['Williams, Mark (1950-, born Pittsburgh, PA)']",100 Mark Williams / Mark Williams / Mark Williams / 1850- / 1950-
Ann Kalmbach,,,,printmaker,1950,1950,,,,,Q49218,,f,,,,printmaker,Rochester, NY,"1950-, born Rochester, NY","Kalmbach, Ann","['Kalmbach, Ann and Kellner, Tatana (1950-, 1950-, born Rochester, NY; Prague, Czech Republic)']",
Hans Waanders,Hans Waanders,,,Dutch printmaker,1951,1951,1951,2001,2001,2001,Q33435365,,m,,,Dutch,printmaker,Enschede, Netherlands,"1951-2001, born Enschede, Netherlands","Waanders, Hans","['Waanders, Hans (1951-2001, born Enschede, Netherlands)']",100 Hans Waanders /  / Hans Waanders
Michael Peel,Michael Peel,,,British painter,1951,1951,1951,,,,,,m,http://vocab.getty.edu/page/ulan/500014926,500014926,British (modern),printmaker,,,"British painter, born 1951","Peel, Michael","['Peel, Michael (British painter, born 1951)']",100 Michael Peel /  / Michael Peel
Dimitrije Popovic,Dimitrije Popovic,,,Montenegrin printmaker,1951,,1951,,,,,,m,,,Montenegrin,printmaker,,Serbia,,"Popovic, Dimitrije","['Popovic, Dimitrije']",100 Dimitrije Popovic /  / Dimitrije Popovic / 1951- / -
John Phillips,John  Phillips,,,printmaker,1953,1953,,,,,Q1297,,m,,,,printmaker,Chicago, IL,"1953-, born Chicago, IL","Phillips, John","['Phillips, John (1953-, born Chicago, IL)']",96 John  Phillips /  / John Phillips / - / 1953-
Julian Jackson,Julian Jackson,,,American printmaker,1953,1953,,,,,Q43421,,m,,,American,printmaker,Richmond, VA,"1953-, born Richmond, VA","Jackson, Julian","['Jackson, Julian (1953-, born Richmond, VA)']",100 Julian Jackson /  / Julian Jackson / - / 1953-
Bronlyn Jones,Bronlyn Jones,,,American drawer,1954,1954,1954,,,,Q2099362,,m,,,American,drawer,Williamsburg, IA,"1954-, born Williamsburg, IA","Jones, Bronlyn","['Jones, Bronlyn (1954-, born Williamsburg, IA)']",100 Bronlyn Jones /  / Bronlyn Jones
Paul Tosh,Paul Tosh,,,printmaker,1954,1954,,,,,Q241814,,m,,,,printmaker,Kingsport, TN,"1954-, born Kingsport, TN","Tosh, Paul,","['Tosh, Paul, (1954-, born Kingsport, TN)']",100 Paul Tosh /  / Paul Tosh / - / 1954-
Mara Held,,,,printmaker,1954,1954,,,,,Q60,,f,,,,printmaker,New York, NY,"1954-, born New York, NY","Held, Mara","['Held, Mara (1954-, born New York, NY)']",
Mark Gibian,,,,painter,1954,1954,,,,,,,m,,,,painter,,,1954-,"Gibian, Mark","['Gibian, Mark (1954-)']",
José Luis Raymond,José Luis Raymond,,,photographer,1954,1954,,,,,,,m,,,,photographer,,,1954-,"Raymond, José Luis","['Raymond, José Luis (1954-)']",100 José Luis Raymond /  / José Luis Raymond / - / 1954-
Terri Zupanc,Terri Zupanc,,,printmaker,1955,1955,1955,,,,Q1537,,f,,,,printmaker,Wisconsin,,"1955-, born Wisconsin","Zupanc, Terri","['Zupanc, Terri (1955-, born Wisconsin)']",100 Terri Zupanc /  / Terri Zupanc
Gabriel Warren,Gabriel Warren,,,sculptor,1955,1955,,,,,Q49145,,m,,,,sculptor,New Haven, CT,"1955-, born New Haven, CT","Warren, Gabriel","['Warren, Gabriel (1955-, born New Haven, CT)']",100 Gabriel Warren /  / Gabriel Warren / - / 1955-
Tjue Teeuwen,,,,book artist,1955,1955,,,,,Q9832,,,,,,book artist,Eindhoven,Netherlands,"1955-, 1955-, born Eindhoven, Netherlands","Teeuwen, Tjue","['Teeuwen, Tjue & Peter Foolen (1955-, 1955-, born Eindhoven, Netherlands)']",
Karen Leonard Lyles,Karen Leonard Lyles,,,drawer,1955,1955,,,,,,,f,,,,drawer,,,1955-,"Lyles, Karen Leonard","['Lyles, Karen Leonard (1955-)']",100 Karen Leonard Lyles /  / Karen Leonard Lyles / - / 1955-
Terry Thacker,Terry Thacker,,,painter,1955,1955,,,,,,,m,,,,painter,,,1955-,"Thacker, Terry","['Thacker, Terry (1955-)']",100 Terry Thacker /  / Terry Thacker / - / 1955-
Gilbert Hsiao,,,,printmaker,1956,1956,,,,,Q1400,,m,,,,printmaker,Pennsylvania,,"1956-, born Pennsylvania","Hsiao, Gilbert","['Hsiao, Gilbert (1956-, born Pennsylvania)']",
Daniel G. Hill,Daniel G. Hill,,,American printmaker,1956,1956,1956,,,,Q60,,m,,,American,printmaker,New York, NY,"1956-, born New York, NY","Hill, Daniel G.","['Hill, Daniel G. (1956-, born New York, NY)']",100 Daniel G. Hill /  / Daniel G. Hill
Randall Lavender,Randall Lavender,,,American ceramic artist,1956,1956,,,,,,,m,,,American,ceramic artist,,,b. 1956,"Lavender, Randall","['Lavender, Randall (b. 1956)']",100 Randall Lavender /  / Randall Lavender / - / 1956-
Paul D'Amato,Paul D'Amato,,,American photographer,1956,1956,1956,,,,,,m,http://vocab.getty.edu/page/ulan/500463231,500463231,American (North American),photographer,,,"American photographer, 1956 CE-","D'Amato, Paul","[""D'Amato, Paul (American photographer, 1956 CE-)""]",100 Paul D'Amato /  / Paul D'Amato
Jim Sherraden,Jim Sherraden,,,American printmaker,1957,1957,,,,,Q1650620,,m,,,American,printmaker,Salina, KS,"1957-, born Salina, KS","Sherraden, Jim","['Sherraden, Jim (1957-, born Salina, KS)', 'Sherraden, Jim (1957, born Salina, KS)', 'Sherraden, Jim (1956-, born Salina, KS)', 'Sherraden, Jim, (1957-, born Salina, KS)', 'Sherraden, Jim, for Hatch Show Print (1957-, born Salina, KS)']",100 Jim Sherraden /  / Jim Sherraden / - / 1957-
Gloria DeArcangelis,,,,drawer,1957,1957,,,,,Q1726,,f,,,,drawer,Munich, Germany,"1957-, born Munich, Germany","DeArcangelis, Gloria","['DeArcangelis, Gloria (1957-, born Munich, Germany)']",
Kit Reuther,Kit Reuther,,,American painter,1957,1957,1957,,,,,,f,,,American,painter,,,1957-,"Reuther, Kit","['Reuther, Kit (1957-)']",100 Kit Reuther /  / Kit Reuther
Stephen Maine,Stephen Maine,,,American printmaker,1958,1958,,,,,Q33486,,m,,,American,printmaker,Hartford, CT,"1958-, born Hartford, CT","Maine, Stephen","['Maine, Stephen (1958-, born Hartford, CT)']",100 Stephen Maine /  / Stephen Maine / - / 1958-
Vera Vasek,Vera Vasek,,,American printmaker,1959,1959,,,,,Q40435,,f,,,American,printmaker,Buffalo, NY,"1959-, born Buffalo, NY","Vasek, Vera","['Vasek, Vera (1959-, born Buffalo, NY)']",100 Vera Vasek /  / Vera Vasek / - / 1959-
Fransje Killaars,Fransje Killaars,,,Dutch artist,1959,1959,1959,,,,,,m,http://vocab.getty.edu/page/ulan/500348728,500348728,Dutch (culture or style),printmaker,,,"Dutch artist, born 1959","Killaars, Fransje","['Killaars, Fransje (Dutch artist, born 1959)']",100 Fransje Killaars /  / Fransje Killaars
Sabine Friesicke,,,,painter,1960,1960,,,,,Q1055,,,,,,painter,Hamburg, Germany,"1960-, born Hamburg, Germany","Friesicke, Sabine","['Friesicke, Sabine (1960-, born Hamburg, Germany)']",
Koo Kyung Sook,Koo Kyung Sook,,,Korean photographer,1960,1960,,,,,Q1192050,,f,,,Korean,photographer,Seoul, Korea,"1960-, born Seoul, Korea","Sook, Koo Kyung","['Sook, Koo Kyung (1960-, born Seoul, Korea)']",100 Koo Kyung Sook /  / Koo Kyung Sook / - / 1960-
Steve Karlik,,,,printmaker,1960,1960,,,,,Q6106,,m,,,,printmaker,Portland, OR,"1960-, born Portland, OR","Karlik, Steve","['Karlik, Steve (1960-, born Portland, OR)']",
Kees Verbeek,,,,book artist,1961,1961,,,,,Q628616,,,,,,book artist,Son, Netherlands,"1961-, born Son, Netherlands","Verbeek, Kees","['Verbeek, Kees (1961-, born Son, Netherlands)']",
Guntars Sietens,,,,printmaker,1962,1962,,,,,Q155281,,m,,,,printmaker,Kuldiga, Latvia,"1962-, born Kuldiga, Latvia","Sietens, Guntars","['Sietens, Guntars (1962-, born Kuldiga, Latvia)']",
Jeff Matz,Jeffrey Matz,,,American printmaker,1963,1963,1920,,,,Q49233,,m,http://vocab.getty.edu/page/ulan/500072728,500072728,American (North American),printmaker,Orlando, FL,"1963-, born Orlando, FL","Matz, Jeff","['Matz, Jeff (1963-, born Orlando, FL)']",86 Jeffrey Matz /  / Jeff Matz / 1920- / 1963-
Teo Gonzáles,Teo González,,,Spanish drawer,1964,1964,1964,,,,Q1752280,,m,http://vocab.getty.edu/page/ulan/500471949,500471949,Spanish (culture or style),drawer,Quinto, Spain,"1964-, born Quinto, Spain","Gonzáles, Teo","['Gonzáles, Teo (1964-, born Quinto, Spain)']",92 Teo González /  / Teo Gonzáles
Phurba Namgay,,,,painter,1964,1964,,,,,Q4511781,,m,,,,painter,Chendipji," Tongsa, Bhutan","1964-, born Chendipji, Tongsa, Bhutan","Namgay, Phurba","['Namgay, Phurba (1964-, born Chendipji, Tongsa, Bhutan)']",
Martha Chiplis,,,,printmaker,1964,1964,,,,,Q6346,,f,,,,printmaker,Indianapolis, IN,"1964-, born Indianapolis, IN","Chiplis, Martha","['Chiplis, Martha (1964-, born Indianapolis, IN)']",
Allison Shotz,Alyson Shotz,,Alyson Shotz,American artist,1964,1964,1964,,,,,,f,http://vocab.getty.edu/page/ulan/500351075,500351075,American (North American),printmaker,,,"American artist, born 1964","Shotz, Allison","['Shotz, Allison (American artist, born 1964)']",88 Alyson Shotz / Alyson Shotz / Allison Shotz
Michael Frederick,,,,printmaker,1966,1966,,,,,Q2188558,,m,,,,printmaker,Chabanse, IL,"1966-, born Chabanse, IL","Frederick, Michael","['Frederick, Michael (1966-, born Chabanse, IL)', 'Frederick, Michael, (1966-, born Chabanse, IL)', 'Frederick, Michael, for Hatch Show Print (1966-, born Chabanse, IL)', 'Frederick, Mike']",
Ramon Marcus Kadi,,,,printmaker,1967,1967,,,,,Q11462,,m,,,,printmaker,Surabaya, Indonesia,"1967, born Surabaya, Indonesia","Kadi, Ramon Marcus","['Kadi, Ramon Marcus (1967, born Surabaya, Indonesia)']",
Joel Elrod,,,,printmaker,1967,1967,,,,,Q43199,,m,,,,printmaker,Omaha, NE,"1967-, born Omaha, NE","Elrod, Joel","['Elrod, Joel (1967-, born Omaha, NE)']",
Tim Dooley,,,,printmaker,1967,1967,,,,,Q8652,,m,,,,printmaker,Miami, FL,"1967-, born Miami, FL","Dooley, Tim","['Dooley, Tim and Wilson, Aaron  (1967-, 1972-, born Miami, FL; Xenia, OH)', 'Dooley, Tim and Wilson, Aaron (1967-, 1972-, born Miami, FL; Xenia, OH)']",
Dan Grzeca,Dan Grzeca,,,American painter,1968,1968,,,,,Q1297,,m,,,American,painter,Chicago, IL,"1968-, born Chicago, IL","Grzeca, Dan","['Grzeca, Dan (1968-, born Chicago, IL)']",100 Dan Grzeca /  / Dan Grzeca / - / 1968-
J. Suzanne Powney,J. Suzanne Powney,,,printmaker,1969,1969,,,,,Q490720,,f,,,,printmaker,Biloxi, MS,"1969-, born Biloxi, MS","Powney, J. Suzanne","['Powney, J. Suzanne  (1969-, born Biloxi, MS)']",100 J. Suzanne Powney /  / J. Suzanne Powney / - / 1969-
"Samuel L. Dunson, Jr.",,,,painter,1970,1970,,,,,Q34739,,m,,,,painter,Dayton, OH,"1970-, born Dayton, OH","Dunson, Samuel L. Jr.","['Dunson, Samuel L. Jr. (1970-, born Dayton, OH)']",
Kerry McAleer-Keeler,Kerry McAleer-Keeler,,,American printmaker,1971,1971,1971,,,,Q18383,,f,http://vocab.getty.edu/page/ulan/500488507,500488507,American (North American),printmaker,Providence, RI,"1971-, born Providence, RI","McAleer-Keeler, Kerry","['McAleer-Keeler, Kerry (1971-, born Providence, RI)']",100 Kerry McAleer-Keeler /  / Kerry McAleer-Keeler
Katherine McCanless Ruffin,Katherine McCanless Ruffin,,,printmaker,1972,1972,,,,,Q79860,,f,,,,printmaker,Huntsville, AL,"1972-, born Huntsville, AL","Ruffin, Katherine McCanless","['Ruffin, Katherine McCanless  (1972-, born Huntsville, AL)']",100 Katherine McCanless Ruffin /  / Katherine McCanless Ruffin / - / 1972-
Diana Sudyka,Diana Sudyka,,,American printmaker,1972,1972,,,,,,,f,,,American,printmaker,,,1972-,"Sudyka, Diana","['Sudyka, Diana (1972-)']",100 Diana Sudyka /  / Diana Sudyka / - / 1972-
Matt Egan,,,,artist,1973,1973,,,,,Q52999,,,,,,artist,Newmarket, Ontario,"1973-, born Newmarket, Ontario, Canada","Egan, Matt","['Egan, Matt, Muise, Heather (1973-, 1971-, born Newmarket, Ontario, Canada; Windsor, Ontario, Canada)']",
Mat Daly,,,,printmaker,1974,1974,,,,,,,m,,,,printmaker,,,1974-,"Daly, Mat","['Daly, Mat (1974-)']",
Dan Jimerfield,Dan Jimerfield,,,printmaker,1974,1974,,,,,,,m,,,,printmaker,Cumberland, MO,"1974-, born Cumberland, MO","Jimerfield, Dan","['Jimerfield, Dan (1974-, born Cumberland, MO)', 'Jimerfield, Dan, for Hatch Show Print (1974-, born Cumberland, MO)']",100 Dan Jimerfield /  / Dan Jimerfield / - / 1974-
Bryce McCloud,Bryce McCloud,,,American printmaker,1975,1975,,,,,Q23197,,m,,,"Nashville, TN",printmaker,Nashville, TN,"1975, born Nashville, TN","McCloud, Bryce","[""McCloud, Bryce (1975, born Nashville, TN)"",""McCloud, Bryce (1975-, born Nashville, TN)"",""McCloud, Bryce (Nashville, TN, born 1975-)"",""McCloud, Bryce, (1975-, born Nashville, TN)"",""McCloud, Bryce, for Hatch Show Print (1975-, born Nashville, TN)"",""Bryce McCloud (1975, born Nashville, TN)""]",100 Bryce McCloud /  / Bryce McCloud / - / 1975-
Travis Millard,Travis Millard,,,printmaker,1975,1975,,,,,Q745120,,m,,,,printmaker,St. Joseph, MO,"1975-, born St. Joseph, MO","Millard, Travis","['Millard, Travis (1975-, born St. Joseph, MO)', 'Millard, Travis']",100 Travis Millard /  / Travis Millard / - / 1975-
Joel Shane,,,,printmaker,1976,1976,,,,,Q2135,,m,,,,printmaker,Winnipeg, Manitoba,"1976-, born Winnipeg, Manitoba, Canada","Shane, Joel","['Shane, Joel (1976-, born Winnipeg, Manitoba, Canada)']",
Karsten Creightney,,,,printmaker,1976,1976,,,,,Q34804,,m,,,,printmaker,Albuquerque, New Mexico,"1976-, born Albuquerque, New Mexico","Creightney, Karsten","['Creightney, Karsten  (1976-, born Albuquerque, New Mexico)']",
Sarah McCoy,Sarah McCoy,,,American printmaker,1976,1976,,,,,Q43788,,f,,,American,printmaker,Madison, WI,"1976-, born Madison, WI","McCoy, Sarah","['McCoy, Sarah  (1976-, born Madison, WI)']",100 Sarah McCoy /  / Sarah McCoy / - / 1976-
Jeremy D. Maynard,,,,printmaker,1977,1977,,,,,Q23197,,m,,,,printmaker,Nashville, TN,"1977-, born Nashville, TN","Maynard, Jeremy D.","['Maynard, Jeremy D. (1977-, born Nashville, TN)', 'Maynard, Jeremy D., (1977-, born Nashville, TN)', 'Maynard, Jeremy D., for Hatch Show Print (1977-, born Nashville, TN)', 'Jeremy D. Maynard (1977-, born Nashville, TN)']",
Toby Sherrard,,,,printmaker,1977,1977,,,,,Q5083,,m,,,,printmaker,Seattle, WA,"1977-, born Seattle, WA","Sherrard, Toby","['Sherrard, Toby (1977-, born Seattle, WA)']",
Edan M. Bryant,Edan M. Bryant,,,American printmaker,1978,1978,,,,,Q23197,,m,,,American,printmaker,Nashville, TN,"1978-, born Nashville, TN","Bryant, Edan M.","['Bryant, Edan M. (1978-, born Nashville, TN)', 'Bryant, Edan M. 1978, born Nashville, TN)', 'Bryant, Edan M., (1978-, born Nashville, TN)', 'Bryant, Edan M., for Hatch Show Print (1978-, born Nashville, TN)']",100 Edan M. Bryant /  / Edan M. Bryant / - / 1978-
Erin Salter,,,,printmaker,1978,1978,,,,,Q23197,,f,,,,printmaker,Nashville, TN,"1978-, born Nashville, TN","Salter, Erin","['Salter, Erin (1978-, born Nashville, TN)']",
Caleb Cain Marcus,Caleb Cain Marcus,,,American photographer,1978,1978,1978,,,,Q30,,m,,,American,photographer,U.S.A.,,"1978-, born U.S.A.","Marcus, Caleb Cain","['Marcus, Caleb Cain (1978-, born U.S.A.)']",100 Caleb Cain Marcus /  / Caleb Cain Marcus
Mike McIntyre,Mike McIntyre,,,printmaker,1978,1978,,,,,Q38022,,m,,,,printmaker,St. Louis, MO,"1978-, born St. Louis, MO","McIntyre, Mike","['McIntyre, Mike (1978-, born St. Louis, MO)']",100 Mike McIntyre /  / Mike McIntyre / - / 1978-
Jenny Gill,Jenny Gill,,,printmaker,1979,1979,,,,,Q487315,,f,,,,printmaker,Monterey, CA,"1979-, born Monterey, CA","Gill, Jenny","['Gill, Jenny (1979-, born Monterey, CA)', 'Gill, Jenny (1979, born Monterey, CA)']",100 Jenny Gill /  / Jenny Gill / - / 1979-
Nick Butcher,Nick Butcher,,,American painter,1980,1980,,,,,Q1268670,,m,,,American,painter,Dyersburg, TN,"1980-, born Dyersburg, TN","Butcher, Nick","['Butcher, Nick (1980-, born Dyersburg, TN)']",100 Nick Butcher /  / Nick Butcher / - / 1980-
Kathleen O'Connell,Kathleen O'Connell,,,American printmaker,1980,1980,,,,,Q998669,,f,,,American,printmaker,Plattsburgh, NY,"1980-, born Plattsburgh, NY","O'Connell, Kathleen","[""O'Connell, Kathleen (1980-, born Plattsburgh, NY)""]",100 Kathleen O'Connell /  / Kathleen O'Connell / - / 1980-
