qid,label_en,description_en,exhibitions,ssid,reference_url
Q103301411,Icon depicting standing priestly figure,sculpture by Artist Unknown,"Byzantium: Art & Ritual (February 11-March 21, 1999)",26755763,https://library.artstor.org/#/asset/26755763
Q103308795,St. George and the Dragon; from a peasant carving workshop,sculpture by Artist Unknown,"Byzantium: Art & Ritual (February 11-March 21, 1999)|
The Allegorical Impulse, (10/17 - 12/5/02)",26755573,https://library.artstor.org/#/asset/26755573
Q94827808,Byzantine coin,Coin by Anonymous,"Byzantium: Art & Ritual (February 11-March 21, 1999)|
Up Close and Personal: Intimate Devotions and Everyday Objects in Late Antiquity (May 7 - September 4, 2015)",26559586,https://library.artstor.org/#/asset/26559586
Q103302083,"Keisai Ukiyo Gafu (The Book of Keisai's Popular Pictures), Volume 1 of 10",artist's book by Ikeda Eisen,"Capital Cultures:  Hogarth’s London to Hiroshige’s Edo (April 11-June 6, 1997)",26754087,https://library.artstor.org/#/asset/26754087
Q102970306,Red Maple Leaves at Kaian-ji Temple (Kaian-ji kōyō),print by Andō Hiroshige,"Capital Cultures:  Hogarth’s London to Hiroshige’s Edo (April 11-June 6, 1997)",26753792,https://library.artstor.org/#/asset/26753792
Q103299531,"Eitai Bridge at Tsukuda Island, from a series entitled One Hundred Views of Famous Places in Edo",print by Andō Hiroshige,"Capital Cultures:  Hogarth’s London to Hiroshige’s Edo (April 11-June 6, 1997)",26756016,https://library.artstor.org/#/asset/26756016
Q102974728,The Revenge of Sumo Wrestlers,artist's book by Artist Unknown,"Capital Cultures:  Hogarth’s London to Hiroshige’s Edo (April 11-June 6, 1997)",26758092,https://library.artstor.org/#/asset/26758092
Q106577365,Kyoga Shu with accordion folding pages,artist's book by Hanabusa Itcho,"Capital Cultures:  Hogarth’s London to Hiroshige’s Edo (April 11-June 6, 1997)",26754195,https://library.artstor.org/#/asset/26754195
Q106577352,Itso Hyakutai (A Hundred Figures in a Single Sweep),artist's book by Watanabe Kazan,"Capital Cultures:  Hogarth’s London to Hiroshige’s Edo (April 11-June 6, 1997)",26754114,https://library.artstor.org/#/asset/26754114
Q103300889,"Hanna no Edo Kabuki Nendaiki (Chronicle of Edo Kabuki), Volumes 1, 2, and 3",artist's book by Artist Unknown,"Capital Cultures:  Hogarth’s London to Hiroshige’s Edo (April 11-June 6, 1997)",26754157,https://library.artstor.org/#/asset/26754157
Q103305849,Night,print by William Hogarth,"Capital Cultures:  Hogarth’s London to Hiroshige’s Edo (April 11-June 6, 1997)",26753584,https://library.artstor.org/#/asset/26753584
Q102963889,Courtesans Walking on a Street in the New Yoshiwara,print by Katsushika Hokusai,"Capital Cultures:  Hogarth’s London to Hiroshige’s Edo (April 11-June 6, 1997)",26754041,https://library.artstor.org/#/asset/26754041
Q103296500,A New Volume of the Golden Jar and the First Plum Blossom,artist's book by Kuniyasu,"Capital Cultures:  Hogarth’s London to Hiroshige’s Edo (April 11-June 6, 1997)",26756289,https://library.artstor.org/#/asset/26756289
Q102963128,Celebrating the Birth of the Buddha in the Inner Palace of Edo Castle (from the series The Inner Palace of Chiyoda Castle),print by Toyohara Chikanobu,"Capital Cultures:  Hogarth’s London to Hiroshige’s Edo (April 11-June 6, 1997)|
Arts of Japan (January 12-February 26, 2012)",26753818,https://library.artstor.org/#/asset/26753818
Q102961327,A Puppet Play in the Inner Palace of Edo Castle (from the series The Inner Palace of Chiyoda Castle),print by Toyohara Chikanobu,"Capital Cultures:  Hogarth’s London to Hiroshige’s Edo (April 11-June 6, 1997)|
Arts of Japan (January 12-February 26, 2012)",26753819,https://library.artstor.org/#/asset/26753819
Q103301929,Kanasugi Bridge and Shibaura (Kanasugibashi Shibaura),print by Andō Hiroshige,"Capital Cultures:  Hogarth’s London to Hiroshige’s Edo (April 11-June 6, 1997)|
The Printed Page: Selections from the Anna C. Hoyt Collection (March 12–May 9, 2009)",26753419,https://library.artstor.org/#/asset/26753419
Q102973835,Takanawa,print by Andō Hiroshige,"Capital Cultures: Hogarth’s London to Hiroshige’s Edo (April 11-June 6, 1997)|
Arts of Japan (January 12-February 26, 2012)",26753793,https://library.artstor.org/#/asset/26753793
Q103304980,Man's Head,sculpture by Artist Unknown,"Centenial Acquisitions (1975)|
Egypt to Expressionism (1976)|
Gods, Saints, and Rulers (April 12-August 15, 1992)|
Face Value: The Portrait and the Formulation of Identity in Art (October 26-December 8, 2000)",26753710,https://library.artstor.org/#/asset/26753710
Q103307811,Saint Sebastian,drawing by Giacomo Cavedone,"Centennial Acquisition (October 1-November, 1975)|
Aspects of Classicism (January-February, 1976)|
Centennial Club (February 1978)|
Gods, Saints, and Rulers (April 12-August 15, 1992)|
Heaven & Earth: The Figure in Religious and Secular Art (3/25-5/12/00)|
Five Centuries of Drawing (June 11-September 23, 2010)",26753937,https://library.artstor.org/#/asset/26753937
Q103300860,Half-Figure Prophet,sculpture by Artist Unknown,"Centennial Acquisitions (1975)|
Egypt to Expressionism (1976)|
Gods, Saints, and Rulers (April 12-August 15, 1992)| 
The Spirit of France: 500 Years of French Art & Culture (September 5-October 10, 1993)|
Face Value: The Portrait and the Formulation of Identity in Art (October 26-December 8, 2000)|
Views from the Collection I (August 17-October 1, 2006)|
Views from the Collection II (Spring 2007)|
Eye & Mind: A Legacy of Art Collecting at Vanderbilt University, (October 1, 2009-May 1, 2010)",26753929,https://library.artstor.org/#/asset/26753929
Q103312469,Woman's Head,sculpture by Artist Unknown,"Centennial Acquisitions (1975)|
Egypt to Expressionism (1976)| 
Gods, Saints, and Rulers (April 12-August 15, 1992)|
Face Value: The Portrait and the Formulation of Identity in Art (October 26-December 8, 2000)",26753711,https://library.artstor.org/#/asset/26753711
Q102961707,Aqua (the second from a suite of four prints entitled les Quatres Eléments (The Four Elements)),print by Stefano Della Bella,"Centennial Acquisitions (October 1-November 12, 1975)",26753838,https://library.artstor.org/#/asset/26753838
Q102973957,Tempest (the sixth from a suite of seven prints entitled Divers Embarquements (Various Embarkations)),print by Stefano Della Bella,"Centennial Acquisitions (October 1-November 12, 1975)",26753837,https://library.artstor.org/#/asset/26753837
Q102963306,Christ Preaching,drawing by Giovanni Guerra,"Centennial Acquisitions (October 1-November 12, 1975)|
Fall 1980|
October 1984|
Views from the Collection II (Spring 2007)|
Five Centuries of Drawing (June 11-September 23, 2010)",26753877,https://library.artstor.org/#/asset/26753877
Q102974819,"The third from a suite of six prints entitled ""Animali"" (""Animals"")",print by Stefano Della Bella,"Centennial Acquisitions (October 1-November 12, 1975)|
Spring 1984",26753839,https://library.artstor.org/#/asset/26753839
Q103310763,Two Saints Adoring Madonna,drawing by Artist Unknown,"Centennial Acquisitions (October 1-November 12, 1975)|
exhibited again in January 1983",26753935,https://library.artstor.org/#/asset/26753935
Q105096016,Death of the Virgin,print by C. Conse,"Centennial Acquisitions (October 1-November 12, 1975)|
exhibited again in January 1983",26753833,https://library.artstor.org/#/asset/26753833
Q103305654,"Napoleon Bonaparte, After Appiani",print by Francesco Bartolozzi,"Centennial Acquisitions (October-November 1975)|
Aspects of Classicism (January-February 1976)|
Fall 1982|
Gods, Saints, and Rulers (April 12-August 15, 1992)",26753954,https://library.artstor.org/#/asset/26753954
Q103296674,"Albertus, Last Duke of Brabant",drawing by Artist Unknown,"Centennial Acquisitions (October-November 1975)|
Five Centuries of Drawing (June 11-September 23, 2010)",26753936,https://library.artstor.org/#/asset/26753936
Q103312005,"Veda Vyasa Ji, an ancient sage, telling a story",print by Artist Unknown,"Centennial Acquisitions (October-November 1975)|
Gods, Saints, and Rulers ( April 12-August 15, 1992)",26753944,https://library.artstor.org/#/asset/26753944
Q103307121,Portrait of Queen Ludovica Maria Gonzaga,print by Claude Mellan,"Centennial Club (1978)|
Gods, Saints, and Rulers (April 12-August 15, 1992)",26753647,https://library.artstor.org/#/asset/26753647
Q103308843,St. Martin and the Beggar,print by Hans Baldung,"Centennial Club (February 1978)|
Gods, Saints, and Rulers (April 12-August 15, 1992)|
Heaven & Earth: The Figure in Religious and Secular Art (3/25-5/12/00)|
Views from the Collection I (August 17-October 1, 2006)|
The Printed Page: Selections from the Anna C. Hoyt Collection (March 12–May 9, 2009)|
History's Shadow: German Art and the Formulation of Identity, (March 13 - June 5, 2014)|
Then & Now: Five Centuries of Woodcuts, (1/10-3/1/2019)",26753390,https://library.artstor.org/#/asset/26753390
Q104032066,From: Summer Suite,print by Conrad Marca-Relli 1981.016,"Close Readings: American Abstract Art from the Vanderbilt University Fine Arts Gallery (March 17 - May 26, 2016)",26755590,https://library.artstor.org/#/asset/26755590
Q106568713,"The Other Side/El Otro Lado (Regionalism, Nationalism, Imperialism)",embroidery by Sam Durant,"Close Readings: American Abstract Art from the Vanderbilt University Fine Arts Gallery (March 17 - May 26, 2016)",26759948,https://library.artstor.org/#/asset/26759948
Q106577496,"Untitled, from Ten Variations",print by William Tucker 1981.024e,"Close Readings: American Abstract Art from the Vanderbilt University Fine Arts Gallery, (March 17 - May 26, 2016)",26755602,https://library.artstor.org/#/asset/26755602
Q106577497,"Untitled, from Ten Variations",print by William Tucker 1981.024g,"Close Readings: American Abstract Art from the Vanderbilt University Fine Arts Gallery, (March 17 - May 26, 2016)",26755604,https://library.artstor.org/#/asset/26755604
Q106577498,"Untitled, from Ten Variations",print by William Tucker 1981.024i,"Close Readings: American Abstract Art from the Vanderbilt University Fine Arts Gallery, (March 17 - May 26, 2016)",26755606,https://library.artstor.org/#/asset/26755606
Q103298090,Cardinal Point,drawing by Cheryl Goldsleger,"Close Readings: American Abstract Art from the Vanderbilt University Fine Arts Gallery, (March 17 - May 26, 2016)",26759952,https://library.artstor.org/#/asset/26759952
Q104033108,"Untitled, from Ten Variations",print by William Tucker 1981.024h,"Close Readings: American Abstract Art from the Vanderbilt University Fine Arts Gallery, (March 17 - May 26, 2016)",26755605,https://library.artstor.org/#/asset/26755605
Q104033107,"Untitled, from Ten Variations",print by William Tucker 1981.024f,"Close Readings: American Abstract Art from the Vanderbilt University Fine Arts Gallery, (March 17 - May 26, 2016)",26755603,https://library.artstor.org/#/asset/26755603
Q104033105,"Untitled, from Ten Variations",print by William Tucker 1981.024b,"Close Readings: American Abstract Art from the Vanderbilt University Fine Arts Gallery, (March 17 - May 26, 2016)",26755599,https://library.artstor.org/#/asset/26755599
Q103308353,Shimmering Column,sculpture by Jon Kuhn,"Close Readings: American Abstract Art from the Vanderbilt University Fine Arts Gallery, (March 17 - May 26, 2016)",26756274,https://library.artstor.org/#/asset/26756274
Q104033104,"Untitled, from Ten Variations",print by William Tucker 1981.024a,"Close Readings: American Abstract Art from the Vanderbilt University Fine Arts Gallery, (March 17 - May 26, 2016)",26755598,https://library.artstor.org/#/asset/26755598
Q102977165,Without Title (Subway Drawing),drawing by William Anastasi,"Close Readings: American Abstract Art from the Vanderbilt University Fine Arts Gallery, (March 17 - May 26, 2016)",26759945,https://library.artstor.org/#/asset/26759945
Q106577495,"Untitled, from Ten Variations",print by William Tucker 1981.024d,"Close Readings: American Abstract Art from the Vanderbilt University Fine Arts Gallery, (March 17 - May 26, 2016)",26755601,https://library.artstor.org/#/asset/26755601
Q104033110,"Untitled, from Ten Variations",print by William Tucker 1981.024j,"Close Readings: American Abstract Art from the Vanderbilt University Fine Arts Gallery, (March 17 - May 26, 2016)",26755607,https://library.artstor.org/#/asset/26755607
Q105092122,SQUIGGLElinear,print by Creighton Michael,"Close Readings: American Abstract Art from the Vanderbilt University Fine Arts Gallery, (March 17 - May 26, 2016)",26759706,https://library.artstor.org/#/asset/26759706
Q102970790,"Sans, from American Abstract Artists 60th Anniversary Print Portfolio",print by Peter Stroud,"Close Readings: American Abstract Art from the Vanderbilt University Fine Arts Gallery, (March 17 - May 26, 2016)",26759801,https://library.artstor.org/#/asset/26759801
Q102966539,Ivy League,print by Stuart Davis,"Close Readings: American Abstract Art from the Vanderbilt University Fine Arts Gallery, (March 17 - May 26, 2016)",26758100,https://library.artstor.org/#/asset/26758100
Q103297948,"Burle Marx, Rio de Janeiro, Brazil",photograph by Kristin Capp,"Close Readings: American Abstract Art from the Vanderbilt University Fine Arts Gallery, (March 17 - May 26, 2016)",26759921,https://library.artstor.org/#/asset/26759921
Q106577297,"Block 02-71, Carrara, Italy",photograph by William Wylie,"Close Readings: American Abstract Art from the Vanderbilt University Fine Arts Gallery, (March 17 - May 26, 2016)",26759858,https://library.artstor.org/#/asset/26759858
Q106577296,"Block 01-81, Carrara, Italy",photograph by William Wylie,"Close Readings: American Abstract Art from the Vanderbilt University Fine Arts Gallery, (March 17 - May 26, 2016)",26759857,https://library.artstor.org/#/asset/26759857
Q106577295,"Block 00-49, Carrara, Italy",photograph by William Wylie,"Close Readings: American Abstract Art from the Vanderbilt University Fine Arts Gallery, (March 17 - May 26, 2016)",26759859,https://library.artstor.org/#/asset/26759859
Q102964880,Fading Light II,drawing by John Fraser,"Close Readings: American Abstract Art from the Vanderbilt University Fine Arts Gallery, (March 17 - May 26, 2016)",26759950,https://library.artstor.org/#/asset/26759950
Q102975609,"Two Identical Units Joined Eight Ways, from American Abstract Artists 60th Anniversary Print Portfolio",print by Clement Meadmore,"Close Readings: American Abstract Art from the Vanderbilt University Fine Arts Gallery, (March 17 - May 26, 2016)",26759815,https://library.artstor.org/#/asset/26759815
Q104032064,From: Summer Suite,print by Conrad Marca-Relli 1981.015,"Close Readings: American Abstract Art from the Vanderbilt University Fine Arts Gallery, (March 17 - May 26, 2016)",26755589,https://library.artstor.org/#/asset/26755589
Q105092355,WHITE SCRIBBLE,print by Creighton Michael,"Close Readings: American Abstract Art from the Vanderbilt University Fine Arts Gallery, (March 17 - May 26, 2016)",26759704,https://library.artstor.org/#/asset/26759704
Q106577494,"Untitled, from Ten Variations",print by William Tucker 1981.024c,"Close Readings: American Abstract Art from the Vanderbilt University Fine Arts Gallery, (March 17 - May 26, 2016)",26755600,https://library.artstor.org/#/asset/26755600
Q103309184,"Study for ""Empty Room""",drawing by Seymour Lipton,"Close Readings: American Abstract Art from the Vanderbilt University Fine Arts Gallery, (March 17 - May 26, 2016)",26759978,https://library.artstor.org/#/asset/26759978
Q102966241,Ibiza,print by Conrad Marca-Relli,"Close Readings: American Abstract Art from the Vanderbilt University Fine Arts Gallery, (March 17 - May 26, 2016)",26755591,https://library.artstor.org/#/asset/26755591
Q104033084,"Untitled, from a suite of five works entitled London Series I",print by Robert Motherwell 1980.045,"Close Readings: American Abstract Art from the Vanderbilt University Fine Arts Gallery, (March 17 - May 26, 2016)",26755472,https://library.artstor.org/#/asset/26755472
Q103311436,"Untitled (from the ""Early Spring in February 2005"" suite, 2 of 3)",print by James Lavadour,"Close Readings: American Abstract Art from the Vanderbilt University Fine Arts Gallery, (March 17 - May 26, 2016)",26759116,https://library.artstor.org/#/asset/26759116
Q103311431,"Untitled (from the ""Early Spring in February 2005"" suite, 1 of 3)",print by James Lavadour,"Close Readings: American Abstract Art from the Vanderbilt University Fine Arts Gallery, (March 17 - May 26, 2016)",26759115,https://library.artstor.org/#/asset/26759115
Q104033082,"Untitled, from a suite of five works entitled London Series I",print by Robert Motherwell 1980.044,"Close Readings: American Abstract Art from the Vanderbilt University Fine Arts Gallery, (March 17 - May 26, 2016)",26755471,https://library.artstor.org/#/asset/26755471
Q103311583,"Untitled, from ""America: Now + Here"" a portfolio",photograph by Ross Bleckner,"Close Readings: American Abstract Art from the Vanderbilt University Fine Arts Gallery, (March 17 - May 26, 2016)",26759870,https://library.artstor.org/#/asset/26759870
Q103311378,Untitled (#1056),drawing by Lynne Woods Turner,"Close Readings: American Abstract Art from the Vanderbilt University Fine Arts Gallery, (March 17 - May 26, 2016)",26759958,https://library.artstor.org/#/asset/26759958
Q104032977,Untitled,print by Joe Downing 1992.340,"Close Readings: American Abstract Art from the Vanderbilt University Fine Arts Gallery, (March 17 - May 26, 2016)",26756657,https://library.artstor.org/#/asset/26756657
Q104032906,Untitled,print by Dorothea Tanning 1979.0064,"Close Readings: American Abstract Art from the Vanderbilt University Fine Arts Gallery, (March 17 - May 26, 2016)",26754275,https://library.artstor.org/#/asset/26754275
Q103311448,"Untitled (from the ""Early Spring in February 2005"" suite, 3 of 3)",print by James Lavadour,"Close Readings: American Abstract Art from the Vanderbilt University Fine Arts Gallery, (March 17 - May 26, 2016)",26759117,https://library.artstor.org/#/asset/26759117
Q103311414,Untitled (for Ed Green),drawing by Harvey Quaytman,"Close Readings: American Abstract Art from the Vanderbilt University Fine Arts Gallery, (March 17 - May 26, 2016)",26759957,https://library.artstor.org/#/asset/26759957
Q102964875,Fading Light I,drawing by John Fraser,"Close Readings: American Abstract Art from the Vanderbilt University Fine Arts Gallery,(March 17 - May 26, 2016)",26759949,https://library.artstor.org/#/asset/26759949
Q105096050,Untitled,photograph by Laura Josephson,"Contemporary West Coast Photographers, (February 6-March 4, 1983)",26755732,https://library.artstor.org/#/asset/26755732
Q105096052,Sepulveda Dam #7,photograph by Sheryl Robison,"Contemporary West Coast Photographers, (February 6-March 4, 1983)",26755733,https://library.artstor.org/#/asset/26755733
Q105096048,"Tijuana, Baja California, Mexico",photograph by Deborah Richardson,"Contemporary West Coast Photographers, (February 6-March 4, 1983)",26755729,https://library.artstor.org/#/asset/26755729
Q103311150,Untitled,photograph by Carrie Mae Weems,"Contemporary West Coast Photographers, (February 6-March 4, 1983)|
Wide Angle: Photography and its Influence on Contemporary Art - A Selection from the Vanderbilt University Fine Arts Gallery Collection, (January 13-February 27, 2011)",26755730,https://library.artstor.org/#/asset/26755730
Q102963875,"Counseling, Denver, Colorado",photograph by Donna Ferrato,"Counseling programs for abusive men like this one Bill attended, teach men to take responsibility for their behavior and to change it. (Denver, Colo 1988 Donna Ferrato)",26759887,https://library.artstor.org/#/asset/26759887
Q106577442,Teahouse (part 4),drawing by Creighton Michael,"Creighton Michael: Marks & Metaphor Drawings 1990-1995 at Sarratt Gallery, Vanderbilt University (April 21-May 17, 1996)| 
Summer shall come, and with her all delights: Looking at Nature and the Landscape in Art (June 18-August 22, 1998)|
Five Centuries of Drawing, (June 11-September 23, 2010)",26757856,https://library.artstor.org/#/asset/26757856
Q103307793,S'nieg,print by Artist Unknown,"Curiouser and Curiouser: Avant-Garde Polish Theatre Posters from the 1970s (June 19 - August 28, 2014)",26759830,https://library.artstor.org/#/asset/26759830
Q102966086,"Henryk Tomaszewski, Wroctawski Teatr Pantomimy, ""Spor""",print by Henryk Tomaszewski and Joseph Wright,"Curiouser and Curiouser: Avant-Garde Polish Theatre Posters from the 1970s (June 19 - August 28, 2014)",26759827,https://library.artstor.org/#/asset/26759827
Q103307834,Samuel Beckett,print by Roman Cieslewicz,"Curiouser and Curiouser: Avant-Garde Polish Theatre Posters from the 1970s (June 19 - August 28, 2014)",26759835,https://library.artstor.org/#/asset/26759835
Q103307840,Samuel Beckett Radosne Dni,print by Artist Unknown,"Curiouser and Curiouser: Avant-Garde Polish Theatre Posters from the 1970s (June 19 - August 28, 2014)",26759832,https://library.artstor.org/#/asset/26759832
Q104032105,Jezioro Bodenskie,print by Andrzej Klimowski 2013.017,"Curiouser and Curiouser: Avant-Garde Polish Theatre Posters from the 1970s (June 19 - August 28, 2014)",26759842,https://library.artstor.org/#/asset/26759842
Q105095812,Miesiac na wsi (Month in the Country),print by Danka Lustyk,"Curiouser and Curiouser: Avant-Garde Polish Theatre Posters from the 1970s (June 19 - August 28, 2014)",26759839,https://library.artstor.org/#/asset/26759839
Q105092354,White Marriage (Biale malzenstwo),print by Franciszek Starowieysky,"Curiouser and Curiouser: Avant-Garde Polish Theatre Posters from the 1970s (June 19 - August 28, 2014)",26759834,https://library.artstor.org/#/asset/26759834
Q103312525,Współczesna tkanina Wegierska,print by Artist Unknown,"Curiouser and Curiouser: Avant-Garde Polish Theatre Posters from the 1970s (June 19 - August 28, 2014)",26759836,https://library.artstor.org/#/asset/26759836
Q102965082,First international meetings of the theater and open art,print by Artist Unknown,"Curiouser and Curiouser: Avant-Garde Polish Theatre Posters from the 1970s (June 19 - August 28, 2014)",26759829,https://library.artstor.org/#/asset/26759829
Q103309016,Stara Kobieta Wysiaduje,print by Edward Dwurnik,"Curiouser and Curiouser: Avant-Garde Polish Theatre Posters from the 1970s (June 19 - August 28, 2014)",26759833,https://library.artstor.org/#/asset/26759833
Q102962889,"Burza (The Tempest), William Shakespeare",print by Jan Sawka,"Curiouser and Curiouser: Avant-Garde Polish Theatre Posters from the 1970s (June 19 - August 28, 2014)",26759837,https://library.artstor.org/#/asset/26759837
Q105095808,Zapowiedz Ciszy,print by M. Slowicki,"Curiouser and Curiouser: Avant-Garde Polish Theatre Posters from the 1970s (June 19 - August 28, 2014)",26759838,https://library.artstor.org/#/asset/26759838
Q102973951,Teatr Wspolczesny,print by Andrzej Klimowski,"Curiouser and Curiouser: Avant-Garde Polish Theatre Posters from the 1970s (June 19 - August 28, 2014)",26759841,https://library.artstor.org/#/asset/26759841
Q103312531,WT Majokowski Pluskwa,print by Jerzy Czerniawski,"Curiouser and Curiouser: Avant-Garde Polish Theatre Posters from the 1970s (June 19 - August 28, 2014)",26759828,https://library.artstor.org/#/asset/26759828
Q103297242,Batatajikin I Spotika,print by Eugeniusz Get-Stankiewicz,"Curiouser and Curiouser: Avant-Garde Polish Theatre Posters from the 1970s (June 19 - August 28, 2014)",26759847,https://library.artstor.org/#/asset/26759847
Q103301706,IV Opolskie konfrontacje teatralne,print by Eugeniusz Get-Stankiewicz,"Curiouser and Curiouser: Avant-Garde Polish Theatre Posters from the 1970s (June 19 - August 28, 2014)",26759844,https://library.artstor.org/#/asset/26759844
Q103309419,Teatr Im. Jana Kochanowskiego w Opolu,print by Jan Sawka,"Curiouser and Curiouser: Avant-Garde Polish Theatre Posters from the 1970s (June 19 - August 28, 2014)",26759826,https://library.artstor.org/#/asset/26759826
Q102964298,Diane Hawkins and Her Daughter,photograph by Donna Ferrato,"Diane Hawkings and her 13 year old daughter were brutally killed by Diane's ex boyfriend, Norman Harrell. One year later, Harrell was found guilty of murder on all counts. (Washington DC 1993 Donna Ferrato)",26759888,https://library.artstor.org/#/asset/26759888
Q103307819,Salome receiving the head of John the Baptist (after Peter Paul Rubens),print by Schelte Bolswert,"Difficult Art and the Liberal Arts Imagination (September 27 - December 5, 2013)",26753671,https://library.artstor.org/#/asset/26753671
Q105091889,Kitchen Interior,painting by Alfred J. Pounders,"Difficult Art and the Liberal Arts Imagination (September 27 - December 5, 2013)",26754466,https://library.artstor.org/#/asset/26754466
Q103296548,A Scene from Homer's Odyssey,print by Émile Bernard,"Difficult Art and the Liberal Arts Imagination (September 27 - December 5, 2013)|
Then & Now: Five Centuries of Woodcuts (1/10-3/1/2019)",26753845,https://library.artstor.org/#/asset/26753845
Q103305232,"Méphistophélès dans les airs (Mephistopheles in the Air), from Faust, Tragédie de M. de Goethe, tr. en français par M. Albert Stapfer",print by Eugène Delacroix,"Difficult Art and the Liberal Arts Imagination, (September 27 - December 5, 2013)",26755728,https://library.artstor.org/#/asset/26755728
Q106577462,"Tribeca's Heroes, from the series Tribeca, 10013",photograph by Donna Ferrato,"Difficult Art and the Liberal Arts Imagination, (September 27 - December 5, 2013)",26759822,https://library.artstor.org/#/asset/26759822
Q102963899,"Cover for magazine of the Miami Herald, Dec. 30, 1979",print by Robert Rauschenberg,"Difficult Art and the Liberal Arts Imagination, (September 27 - December 5, 2013)",26755430,https://library.artstor.org/#/asset/26755430
Q102966149,Hommage à J.S. Bach (Homage to J.S. Bach),print by Georges Braque,"Difficult Art and the Liberal Arts Imagination, (September 27 - December 5, 2013)",26754902,https://library.artstor.org/#/asset/26754902
Q103311640,"Untitled, from a portfolio of work by 18 artists titled Ediciones Polígrafa, S.A. 15 Years of Graphic Work",print by Joan Ponç,"Difficult Art and the Liberal Arts Imagination, (September 27 - December 5, 2013)",26559583,https://library.artstor.org/#/asset/26559583
Q102962390,Boston Harbor,print by Larry Rivers,"Difficult Art and the Liberal Arts Imagination, (September 27 - December 5, 2013)",26755608,https://library.artstor.org/#/asset/26755608
Q105092213,"The Scholar, von Franz van Mieris",print by Franz Hansftangl,"Difficult Art and the Liberal Arts Imagination, (September 27 - December 5, 2013)",26759174,https://library.artstor.org/#/asset/26759174
Q104032021,"From the portfolio, Les Essencies de la Terra (Essence of the Land) with poetry by Juan Perucho",artist's book by Joán Miró 2003.004b,"Difficult Art and the Liberal Arts Imagination, September 27 - December 5, 2013",26758885,https://library.artstor.org/#/asset/26758885
Q104032027,"From the portfolio, Les Essencies de la Terra (Essence of the Land) with poetry by Juan Perucho",artist's book by Joán Miró 2003.004f,"Difficult Art and the Liberal Arts Imagination, September 27 - December 5, 2013",26758889,https://library.artstor.org/#/asset/26758889
Q102969594,"Park Provenzano, from the series ""Tribeca, 10013""",photograph by Donna Ferrato,"Difficult Art and the Liberal Arts Imagination, September 27 - December 5, 2013",26759818,https://library.artstor.org/#/asset/26759818
Q104031029,Christ from a Crucifix,sculpture by Artist Unknown 1976.009,"Egypt to Expressionism (October 18-Nov. 5, 1976)|
Gods, Saints, and Rulers (April 12-August 15, 1992)|
Views from the Collection II (Spring 2007)|
Eye & Mind: A Legacy of Art Collecting at Vanderbilt University, (October 1, 2009-May 1, 2010)|
History's Shadow: German Art and the Formulation of Identity, (March 13 - June 5, 2014)",26754000,https://library.artstor.org/#/asset/26754000
Q94553168,Bishop or Saint,Sculpture by Anonymous,"Egypt to Expressionism (October 8-November 5, 1976)|
Gods, Saints, and Rulers (April 12-August 15, 1992)| 
The Spirit of France: 500 Years of French Art & Culture (September 5-October 10, 1993)|
Heaven & Earth: The Figure in Religious and Secular Art, (3/25-5/12/00)|
Views From The Collection II (April 3-August 15, 2008)|
Eye & Mind: A Legacy of Art Collecting at Vanderbilt University, (October 1, 2009-May 1, 2010)",26753769,https://library.artstor.org/#/asset/26753769
Q105096006,Bolognese Virgin,sculpture attributed to Giuseppe Maria Mazza,"Egypt to Expressionism (October-November 1976)|
Gods, Saints, and Rulers (April 12-August 15, 1992)",26753861,https://library.artstor.org/#/asset/26753861
Q103308072,Seated Hunchback,sculpture by Artist Unknown,"Egypt to Expressionism (October-November 1976)|
Gods, Saints, and Rulers (April 12-August 15, 1992)",26753589,https://library.artstor.org/#/asset/26753589
Q94701366,Seated Warrior,Anonymous painted clay sculpture,"Egypt to Expressionism (October-November 1976)|
Sculpture show (Fall 1980; Summer 1982)|
Gods, Saints, and Rulers (April 12-August 15, 1992)|
Reflections of War: Selections from the Vanderbilt University Fine Arts Gallery Collection (March 14-May 13, 2011)",26753609,https://library.artstor.org/#/asset/26753609
Q106567649,The Enlightened Savage (can titles: Artist's Brains with Rice; Art Historian Alphabet and more),print by Enrique Chagoya,"Enrique Chagoya: The Enlightened Savage. New Paintings, Drawings, Prints, and Canned Food, George Adams Gallery, New York, (2001)|
More Than One (Fall 2007)|
Reading Pictures: Text and Image in Contemporary Art (8/25-9/30/11)",26758823,https://library.artstor.org/#/asset/26758823
Q102967862,"Landscape, Purple Sky",painting by Arnold Blanch,Exhibited 1963-64 in a major show,26754405,https://library.artstor.org/#/asset/26754405
Q103296598,A Turkish Cafe,painting by Francis Davis Millet,"Exhibited Centennial Club, Nashville, (February 1978)|
Looking East: Orientalist Art in Nashville Collections, at Cheekwood (May 13-Dec. 31, 2006)|
Napoleon and Egyptomania in Tennessee, at the Frank H. McClung Museum at the University of Tennessee, Knoxville, (September 6, 2008-January 18, 2009)",26754042,https://library.artstor.org/#/asset/26754042
Q102976935,Waterpot in form of a fruiting peach branch,ceramics by Artist Unknown,"Exhibited at the Museum of Far Eastern Antiquities; Stockholm, Sweden.  
Looking East: Highlights of the Vanderbilt University Fine Arts Gallery's Collection of Asian Art (February 21-March 28, 1997)",26755819,https://library.artstor.org/#/asset/26755819
