Key,reason,Item Type,ISBN,ISSN (P),ISSN (O),Publication Title,Publication Year,Author,Title,note,OCLC,,https://researchguides.library.vanderbilt.edu/az.php?a=u&p=1
SVEI4556,Article or chapter without published_in.,journalArticle,,0300-4236,,Evangelische Kommentare,1999,"Rieger, Jeorg",Im Banne der Macht: Wie theologische AutoritÃ¤t neue Legitimation gewinnt,,,,
65HERHWL,Article or chapter without published_in.,journalArticle,,2296-1852,,Unterwegs,2001,"Rieger, Jeorg",Was tut Jesus heute?,,,,
S5N825U5,Article or chapter without published_in.,journalArticle,,,,Council for World Mission,2019,"Rieger, Joerg","Empire, Deep Solidarity, and the Future of Resistance",,,,
2JD3MGCP,Article or chapter without published_in.,journalArticle,,,,Contemporary Marxian Philosophy Studies,2016,"Rieger, Jeorg",From Mechanic to Organic Thinking and Beyond,,,,
XDU7VRW9,Article or chapter without published_in.,journalArticle,,2375-6330,2375-5814,The Asbury Journal,2006,"Rieger, Jeorg","Resistance and Theological Ethics by Ronald H. Stone and Robert L. Stivers, eds",,,,
SD3CR5IC,Article or chapter without published_in.,journalArticle,,,,"Sightings, The University of Chicago Divinity School",2014,"Rieger, Jeorg","Religion, Class, and Denominationalism in the US",,,,
3TL7LQ3F,Article or chapter without published_in.,journalArticle,,0730-2142,,Perkins Perspective,1997,"Rieger, Jeorg",Meeting God in West Dallas,,,,
PEIV9LH6,Article or chapter without published_in.,journalArticle,,0270-9287,,"General Board of Higher Education and Ministry of the United Methodist Church, Occasional Papers",2008,"Rieger, Joerg","Globalization, Empire, and Beyond: The Pitfalls and Promises of a Global Church",,,,
VXC49SB5,Article or chapter without published_in.,journalArticle,,,,Syndicate,2014,"Rieger, Jeorg",A Response to Reviews of Occupy Religion,,,,
MLHXHAIE,Article or chapter without published_in.,journalArticle,,0277-1071,,Reading Religion: A Publication of the American Academy of Religion,2018,"Rieger, Jeorg","Book Review of A Palestinian Theology of Liberation: The Bible, Justice, and the Palestine-Israel Conflict",,,,
TEZ8T596,Article or chapter without published_in.,journalArticle,,2628-6092,,Neue Wege,2018,"Rieger, Joerg",Kein Imperium ist EndgÃ¼ltig,,,,
VEPTEHVV,Article or chapter without published_in.,journalArticle,,,,United Methodist Insight,2021,"Rieger, Joerg",The Ill-Fated Impasse of United Methodist Theology,,,,
9MRQDV3G,Article or chapter without published_in.,journalArticle,,0453-7440,,"Kerala, India",2020,"Rieger, Joerg",National Capitalism and Religion in the United States: Challenges and Opportunities.â€,,,,
WBDA3G54,Article or chapter without published_in.,journalArticle,,,,"Sacred Spaces, eJournal of the American Association of Pastoral Counseling",2013,"Rogers-Vaughn, Bruce","Pastoral Counseling in the Neoliberal Age: Hello Best Practices, Goodbye  Theology",,1031218367,,
S3UW42CI,Article or chapter without published_in.,journalArticle,,0006-0895,2325-534X,The Biblical Archaeologist,1993,"Sasson, Jack M.",Albright as an Orientalist,,,,
IB7BUMAT,Article or chapter without published_in.,journalArticle,,0989-5671,,NABU: Nouvelles assyriologiques BrÃ¨ves et Utilitaires,1992,"Sasson, Jack M.",Marriage entre grandes familles,,,,
CI7CSG37,Article or chapter without published_in.,journalArticle,,2156-4329,,The Spire,2001,"Sasson, Jack M.",The Road to Vanderbilt,,,,
BJ9PUDEX,Article or chapter without published_in.,journalArticle,,8755-6316,,Bible Review,2005,"Sasson, Jack M.",Of Time & Immortality: How Genesis Created Them,,,,
Q9HIJFKI,Article or chapter without published_in.,journalArticle,,0989-5671,,NABU: Nouvelles assyriologiques BrÃ¨ves et Utilitaires,1989,"Sasson, Jack M.",Zimri-Limâ€™s Letter to Tish-ulme,,,,
TBGG6N2P,Article or chapter without published_in.,journalArticle,,0989-5672,,NABU: Nouvelles assyriologiques BrÃ¨ves et Utilitaires,1987,"Sasson, Jack M.",Yasmakh-Adduâ€™s letter to God (ARM I:3),,,,
7KI9ZJ5G,Article or chapter without published_in.,journalArticle,,0989-5673,,NABU: Nouvelles assyriologiques BrÃ¨ves et Utilitaires,1987,"Sasson, Jack M.",ARM X 97,,,,
3K5EUSTE,Article or chapter without published_in.,journalArticle,,0989-5674,,NABU: Nouvelles assyriologiques BrÃ¨ves et Utilitaires,1987,"Sasson, Jack M.","ARM IV, 20",,,,
QAKIIKSU,Article or chapter without published_in.,journalArticle,,0989-5675,,NABU: Nouvelles assyriologiques BrÃ¨ves et Utilitaires,1987,"Sasson, Jack M.",A Satisfying Oath,,,,
QX9F6Q2M,Article or chapter without published_in.,journalArticle,,0757-228X,,Mari: Annales de Recherches Interdisciplinaires,1987,"Sasson, Jack M.",`Year: Zimri-Lim Dedicated his Statue to the God Addu of Halabâ€™: Locating a Year in the Reign of Zimri-Lim,,,,
E7KWQNVM,Article or chapter without published_in.,journalArticle,,0757-228X,,Mari: Annales de Recherches Interdisciplinaires,1985,"Sasson, Jack M.",`Year: Zimri-Lim Offered a Throne to Shamash of Mahanumâ€™; An Overview of One year at Mari. Part I: The Presence of the King,,,,
E7KWQNVM,Article or chapter without published_in.,journalArticle,,0757-228X,,Mari: Annales de Recherches Interdisciplinaires,1985,"Sasson, Jack M.",`Year: Zimri-Lim Offered a Throne to Shamash of Mahanumâ€™; An Overview of One year at Mari. Part I: The Presence of the King,,,,
ACAZ46MC,Article or chapter without published_in.,journalArticle,,0393-6805,,Henoch,1984,"Sasson, Jack M.",On the Jonahâ€™s Two Missions,,,,
WBZQXINU,Article or chapter without published_in.,journalArticle,,0003-0279,2169-2289,Journal of the American Oriental Society,1983,"Sasson, Jack M.",Musical Settings for Cuneiform Literature: A Discography,,,,
P97U7NJ7,Article or chapter without published_in.,journalArticle,,0757-228X,,Mari: Annales de Recherches Interdisciplinaires,1982,"Sasson, Jack M.",An Apocalyptic vision from Mari? Speculations on ARM X:9,,,,
973E3TKI,Article or chapter without published_in.,journalArticle,,0020-9643,2159-340X,Interpretation,1976,"Sasson, Jack M.",Divine Providence or Human Plan?,,,,
KQ2UGTZ4,Article or chapter without published_in.,journalArticle,,0042-4935,1568-5330,Vetus Testamentum,1976,"Sasson, Jack M.",Isaiah Lxvi 3-4a,,,,
4JWV3KDQ,Article or chapter without published_in.,journalArticle,,0342-2356,,Ugarit-Forschungen,1974,"Sasson, Jack M.",Hurrians and Hurrian Personal Names in the Mari Texts,,,,
4GXSANTG,Article or chapter without published_in.,journalArticle,,0018-2753,,History Today,1968,"Sasson, Jack M.",An Early King of Assyria: Shamsi-Adad,,,,
QRBVG2XE,Article or chapter without published_in.,journalArticle,,0254-1807,,"Scriptura: International Journal of Bible, Religion and Theology in Southern Africa 3 [Festschrift Yehoshua Gitay]",2004,"Sasson, Jack M.",Doeg's Job,,,,
B8XRQRE5,Article or chapter without published_in.,journalArticle,,0003-0279,2169-2289,Journal of the American Oriental Society,1966,"Sasson, Jack M.",Canaanite Maritime Involvement in the Second Millennium B. C.,,,,
CBFNAJDC,Article or chapter without published_in.,journalArticle,,,,AÅ¡Å¡ur,1979,"Sasson, Jack M.",Hurrian Personal Names in the Rimaá¸¥ Archives,"book chapter, to be deleted",,,
47U34WV2,Article or chapter without published_in.,journalArticle,,0989-5675,,NABU: Nouvelles assyriologiques BrÃ¨ves et Utilitaires,1989,"Sasson, Jack M.",Zimri-Lim's Letter to Tish-ulme,,,,
UF7UK9R6,Article or chapter without published_in.,journalArticle,,0989-5676,,NABU: Nouvelles assyriologiques BrÃ¨ves et Utilitaires,1992,"Sasson, Jack M.",Time is Pressing,,,,
MNHAWSM3,Article or chapter without published_in.,journalArticle,,0373-6032,2104-3817,Revue d'assyriologie et d'archÃ©ologie orientale,1998,"Sasson, Jack M.",About Mari and the Bible,,,,
M5QVXRM3,Article or chapter without published_in.,journalArticle,,0044-2526,1613-0103,Learn more Zeitschrift fuer die Alttestamentliche Wissenschaft,1973,"Sasson, Jack M.",A Further Cuneiform Parallel to the Song of Songs,,,,
DCMMJGVW,Article or chapter without published_in.,journalArticle,,0006-2014,2589-0468,Biblische Zeitschrift,1972,"Sasson, Jack M.","Numbers 5 and the â€˜Waters of Judgment""",,,,
