Abstract Note,Access Date,Application Number,Archive,Archive Location,Artwork Size,Assignee,Attorney Agent,Author,Automatic Tags,Book Author,Call Number,Cast Member,Code,Code Number,Commenter,Committee,Composer,Conference Name,Contributor,Cosponsor,Counsel,Country,Court,DOI,Date,Date Added,Date Modified,Divinity Faculty,Edition,Editor,Extra,File Attachments,Filing Date,Guest,History,ISBN,ISSN,Interviewer,Issue,Issuing Authority,Journal Abbreviation,Language,Legal Status,Legislative Body,Library Catalog,Link Attachments,Manual Tags,Medium,Meeting Name,Notes,Num Pages,Number,Number Of Volumes,Pages,Place,Priority Numbers,Producer,Programming Language,Publication Year,Publisher,Recipient,References,Reporter,Reviewed Author,Rights,Running Time,Scale,Scriptwriter,Section,Series,Series Editor,Series Number,Series Text,Series Title,Session,Short Title,System,Translator,Type,Url,Version,Volume,Words By,qid,Key,Item Type,Title,Publication Title
,11/15/22 17:42,,,,,,,"Reside, Graham",,,,,,,,,,,,,,,,,2010-10,11/15/22 17:42,11/15/22 17:42,"Reside, Graham",,,"Place: New Haven, Conn",C:\Users\xus12\Zotero\storage\668XLXHU\Reside - 2010 - Atheist delusions the Christian revolution and it.pdf,,,,,0020-9643,,4,,,,,,EBSCOhost,,,,,,,,,430,,,,,2010,,,,,,,,,,,,,,,,,Atheist delusions,,,,http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0001818374&site=ehost-live&scope=site,,64,,Q109417576,IBRUVM5C,journalArticle,Atheist delusions: the Christian revolution and its fashionable enemies,Interpretation
,4/30/14 15:32,,,,,,,"Meeks, M Douglas","Peer reviewed; Debtor and creditor; Ethics, Christian--History; Interest and usury",,,,,,,,,,,,,,,10.1177/002096431106500204,4/1/11,4/30/14 15:32,7/27/21 18:50,"Meeks, M. Douglas",,,,C:\Users\xus12\Zotero\storage\MB3IJMFM\Meeks - 2011 - The peril of usury in the Christian tradition.pdf,,,,,0020-9643,,2,,Interpretation,,,,EBSCOhost,,,,,,,,,128-140,,,,,2011,,,,,,,,,,,,,,,,,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001835650&site=ehost-live,,65,,Q109417578,V3FD9C6N,journalArticle,The peril of usury in the Christian tradition,Interpretation
"The texts in the Hebrew Bible dealing with old age and the elderly should be understood in light of multiple contexts-the socioeconomic settings of real life in ancient Israel; the material indications that life expectancy must have hovered around age 40, which was probably considered elderly and suffering the ailments of old age; and the literature from surrounding cultures that depicts the afflictions of old age. [PUBLICATION ABSTRACT]",5/16/14 18:43,,,,,,,"Knight, Douglas A.",Religions And Theology; Hebrew Bible; Books; Population; Age; Community; Modems; Older people,,,,,,,,,,,,,,,10.1177/0020964313518179,2014-04,5/16/14 18:43,7/8/21 19:23,"Knight, Douglas A.",,,,C:\Users\xus12\Zotero\storage\GGTFHPFT\Knight - 2014 - Perspectives on Aging and the Elderly in the Hebre.pdf; C:\Users\xus12\Zotero\storage\9MBKPBK8\5.html,,,,,209643,,2,,Interpretation,English,,,ProQuest,,,,,,,,,136-49,,,,,2014,,,,,,Copyright Sage Publications Ltd. Apr 2014,,,,,,,,,,,,,,,http://search.proquest.com/docview/1511966191/4B088B526287454APQ/5?accountid=14816,,68,,Q109417582,AF2IQBZI,journalArticle,Perspectives on Aging and the Elderly in the Hebrew Bible,Interpretation
,11/3/16 19:32,,,,,,,"Levine, Amy-Jill",Peer reviewed; Jesus Christ; Jews in the New Testament; Bible. Luke-Acts -- Theology; Christianity and Judaism -- 0030-600; Judaism -- Christian interpretations,,,,,,,,,,,,,,,10.1177/0020964314540107,2014-10,11/3/16 19:32,11/3/16 19:32,"Levine, Amy-Jill",,,,C:\Users\xus12\Zotero\storage\FW9VWRR4\Levine - 2014 - Luke and the Jewish religion.pdf,,,,,0020-9643,,4,,Interpretation,,,,EBSCOhost,,,,,,,,,389-402,,,,,2014,,,,,,,,,,,,,,,,,,,,,http://proxy.library.vanderbilt.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLAn3824036&site=ehost-live,,68,,Q109417585,PTSDACNC,journalArticle,Luke and the Jewish religion,Interpretation
"The so-called “Suffering Servant” of Isaiah 52:15–53:12 takes on new meaning in each of his settings, from the exilic or early post-exilic community of Deutero-Isaiah, to the repurposing of this figure by the author of Daniel, mid-second century BCE during the persecutions of Jews by Antiochus IV Epiphanes, through the numerous New Testament citations of and allusions to Jesus as fulfilling Isaiah’s predictions concerning this servant, and on to several post-biblical Jewish understandings of this enigmatic figure. In showing how and why the servant receives such numerous readings, we demonstrate both how readers across the centuries and within different traditions understand Isaiah through their own circumstances, and why Jews and Christians should respect each other’s readings rather than attempt to “prove” the truth of one tradition on the basis of a specific understanding of prophecy.",4/18/20 0:38,,,,,,,"Brettler, Marc; Levine, Amy-Jill",,,,,,,,,,,,,,,,10.1177/0020964318820594,4/1/19,6/11/20 18:53,6/11/20 18:53,"Levine, Amy-Jill",,,Publisher: SAGE Publications Ltd,,,,,,0020-9643,,2,,Interpretation,en,,,SAGE Journals,,,,,,,,,158-173,,,,,2019,,,,,,,,,,,,,,,,,Isaiah’s Suffering Servant,,,,https://doi.org/10.1177/0020964318820594,,73,,Q109417589,9Q7YE99Q,journalArticle,Isaiah’s Suffering Servant: Before and After Christianity,Interpretation
,4/30/14 17:35,,,,,,,"Meeks, M Douglas",Peer reviewed,,,,,,,,,,,,,,,10.1177/002096437603000227,4/1/76,4/30/14 17:35,7/27/21 18:24,"Meeks, M. Douglas",,,,"C:\Users\xus12\Zotero\storage\K9AMVR6G\Meeks - 1976 - God, Marx and the future dialogue with Roger Gara.pdf",,,,,0020-9643,,2,,Interpretation,,,,EBSCOhost,,,,,,,,,218-219,,,,,1976,,,,,,,,,,,,,,,,,"God, Marx and the future",,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000460991&site=ehost-live,,30,,Q109417591,DDWJEMRT,journalArticle,"God, Marx and the future: dialogue with Roger Garaudy",Interpretation
,4/30/14 17:33,,,,,,,"Meeks, M Douglas",Peer reviewed,,,,,,,,,,,,,,,10.1177/002096437903300309,7/1/79,4/30/14 17:33,7/27/21 18:40,"Meeks, M. Douglas",,,,C:\Users\xus12\Zotero\storage\P6X3C2XN\Meeks - 1979 - The Church in the Power of the Spirit A Contribut.pdf,,,,,0020-9643,,3,,Interpretation,,,,EBSCOhost,,,,,,,,,301-304,,,,,1979,,,,,,,,,,,,,,,,,The Church in the Power of the Spirit,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000475339&site=ehost-live,,33,,Q109417594,WPRENGTJ,journalArticle,The Church in the Power of the Spirit: A Contribution to Messianic Ecclesiology,Interpretation
,5/21/14 18:42,,,,,,,"Segovia, Fernando F.",Peer reviewed; Reader-response criticism,,,,,,,,,,,,,,,10.1177/002096439504900405,10/1/95,5/21/14 18:42,8/25/21 16:27,"Segovia, Fernando F.",,,,C:\Users\xus12\Zotero\storage\9V62SQZ5\Segovia - 1995 - The Significance of Social Location in Reading Joh.pdf,,,,,0020-9643,,4,,Interpretation,,,,EBSCOhost,,,,,,,,,370-378,,,,,1995,,,,,,,,,,,,,,,,,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000908017&site=ehost-live,,49,,Q109417598,SRSMSTR6,journalArticle,The Significance of Social Location in Reading John's Story,Interpretation
,6/21/18 18:05,,,,,,,"Levine, Amy-Jill",,,,,,,,,,,,,,,,10.1177/0021140016648628b,8/1/16,6/21/18 18:05,6/21/18 18:05,"Levine, Amy-Jill",,,,,,,,,0021-1400,,3,,Irish Theological Quarterly,en,,,SAGE Journals,,,,,,,,,310-312,,,,,2016,,,,,,,,,,,,,,,,,Reconceiving Infertility,,,,https://doi.org/10.1177/0021140016648628b,,81,,Q109417602,HDHAKQF2,journalArticle,"Reconceiving Infertility: Biblical Perspectives on Procreation and Childlessness                                                    ,                                                             Reconceiving Infertility: Biblical Perspectives on Procreation and Childlessness",Irish Theological Quarterly
"This article explores the making of Black women's radical subjectivity in Black women's writings. Black women's radical subjectivity shatters the boundaries of geopolitical spaces traditionally defined through citizenship while creating alternative social imaginaries that represent a space where home and belongingness may be attained and self-determination realized. It is from the examination of Black women's textualities that one can detect an upheaval of nation-state racial formations that subverts the policing power of the state to force and essentialize racial identities. In this article, the authors trace the process of subverting forced identities, violent acts, and the narrativity of race. The authors analyze the lives, the movements, and the actions of the Black female protagonists from three geopolitical contexts as portrayed in the following novels: African American author Alice Walker's ""The Color Purple,"" Caribbean author Michelle Cliff's ""No Telephone to Heaven,"" and South African author Lauretta Ngcobo's ""And They Didn't Die"".",5/13/14 19:46,,,,,,,"Floyd-Thomas, Stacey M.; Gillman, Laura",,,,,,,,,,,,,,,,10.1177/002193470203200503,5/1/02,5/13/14 19:46,6/30/21 15:50,"Floyd-Thomas, Stacey",,,,"C:\Users\xus12\Zotero\storage\UV2PJAIS\Floyd-Thomas and Gillman - 2002 - Subverting Forced Identities, Violent Acts, and th.pdf",,,,,,,5,,Journal of Black Studies,,,,JSTOR,,,,,,,,,528-556,,,,,2002,,,,,,"Copyright © 2002 Sage Publications, Inc.",,,,,,,,,,,"Subverting Forced Identities, Violent Acts, and the Narrativity of Race",,,,http://www.jstor.org/stable/3180951,,32,,Q109417604,IXP8E27U,journalArticle,"Subverting Forced Identities, Violent Acts, and the Narrativity of Race: A Diasporic Analysis of Black Women's Radical Subjectivity in Three Novel Acts",Journal of Black Studies
,9/8/20 20:00,,,,,,,"Morrill, Bruce T","Theology, Catholic; Body, Human --   Religious aspects --   Christianity; Catholic Church    -- Liturgy; Dead --   Religious aspects --   Christianity; Funeral rites and ceremonies, Christian; Resurrection",,,,,,,,,,,,,,,10.1177/003932070903900107,2009,9/8/20 20:00,8/4/21 18:30,"Morrill, Bruce T.",,,,C:\Users\xus12\Zotero\storage\ZMYKUJGD\Morrill - 2009 - The significance of body and resurrection in the R.pdf; C:\Users\xus12\Zotero\storage\RUDKDSWT\journal203548.html,,,,,0039-3207,,1,,Studia liturgica,,,,EBSCOhost,,,,,,,,,99-121,,,,,2009,,,,,,,,,,,,,,,,,,,,,http://proxy.library.vanderbilt.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0001754947&site=ehost-live&scope=site,,39,,Q109417608,3FXU6GV6,journalArticle,The significance of body and resurrection in the Roman Catholic order of Christian funerals,Studia liturgica
,,,,,,,,"Morrill, Bruce T.",,,,,,,,,,,,,,,,10.1177/003932071104100104,2011,7/23/14 14:45,8/4/21 17:47,"Morrill, Bruce T.",,,,,,,,,,,1,,,,,,,,,,,,,,,31-46,,,,,2011,,,,,,,,,,,,,,,,,,,,,,,41,,Q109417611,3283P3GI,journalArticle,Holy Communion as a Public Act: Ethics and Liturgical Participation,Studia Liturgica
,,,,,,,,"Morrill, Bruce T.; Bordeyne, Phillippe",,,,,,,,,,,,,,,,10.1177/0039320712042001-209,2012,7/23/14 14:37,8/4/21 17:32,"Morrill, Bruce T.",,,,,,,,,,,,,,,,,,,,,,,,,,154-175,,,,,2012,,,,,,,,,,,,,,,,,,,,,,,42,,Q109417615,AGETJXUK,journalArticle,Baptism and Identity Formation: Convergences in Ritual and Ethical Perspectives,42
"The exercise of memory, both within and in relation to the performance of sacramental rites, comprises a number of related phenomena rich in theological and anthropological complexity. Due to their symbolic and ritual natures, memory and liturgy each evade abstract, generalizing theories while nonetheless inviting historical, social-scientific, and theological analyses useful to pastoral ministry. Given the importance yet complexity of the role of memory in liturgy, the author proposes a typological approach, essaying a number of models of liturgical memory according to some dozen categories, while noting that the mystical and political dimensions of these overlap and mutually impact each other in the practices of actual assemblies.",8/4/21 20:33,,,,,,,"Morrill, Bruce T.",Bible; affectivity; Anamnesis; church; liturgy; memory; ritual; time; tradition; typology,,,,,,,,,,,,,,,10.1177/0039320719884125,3/1/20,8/4/21 20:33,8/4/21 20:33,"Morrill, Bruce T.",,,Publisher: SAGE Publications Ltd,C:\Users\xus12\Zotero\storage\H96WEN7X\Morrill - 2020 - Models of Liturgical Memory Mystical-Political Di.pdf,,,,,0039-3207,,1,,Studia Liturgica,en,,,SAGE Journals,,,,,,,,,40-54,,,,,2020,,,,,,,,,,,,,,,,,Models of Liturgical Memory,,,,https://doi.org/10.1177/0039320719884125,,50,,Q109417618,7EKPIFMQ,journalArticle,"Models of Liturgical Memory: Mystical-Political Dimensions, Mythic-Historic Tensions",Studia Liturgica
,7/30/14 18:21,,,,,,,"Morrill, Bruce T.",Peer reviewed,,,,,,,,,,,,,,,10.1177/004056390006100128,3/1/00,7/30/14 18:21,8/4/21 18:41,"Morrill, Bruce T.",,,,,,,,,0040-5639,,1,,Theological Studies,,,,EBSCOhost,,Book review,,,,,,,179-181,,,,,2000,,,,,,,,,,,,,,,,,An ethics of remembering,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000366423&site=ehost-live,,61,,Q109417620,IJNM22PA,journalArticle,"An ethics of remembering: history, heterology, and the nameless others",Theological Studies
"Reviews the book 'Justification: The Heart of the Christian Faith,' by Eberhard J ü ngel, translated by Jeffrey F. Cayzer.",10/12/16 14:03,,,,,,,"DeHart, Paul","Nonfiction; Christianity; JUNGEL, Eberhard, 1934-; JUSTIFICATION (Book)",,,,,,,,,,,,,,,10.1177/004056390206300323,2002-09,10/12/16 14:03,6/23/21 19:21,"DeHart, Paul J.",,,,C:\Users\xus12\Zotero\storage\3GHZGSU9\DeHart - 2002 - JUSTIFICATION (Book).pdf,,,,,405639,,3,,Theological Studies,,,,EBSCOhost,,Book review,,,,,,,625,,,,,2002,,,,,,,,,,,,,,,,,,,,,http://proxy.library.vanderbilt.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=rlh&AN=7186212&site=ehost-live,,63,,Q109417623,U9XJ5385,journalArticle,"Review of Eberhard Jüngel, Justification: The Heart of the Christian Faith",Theological Studies
,9/3/20 19:13,,,,,,,"Morrill, Bruce T",,,,,,,,,,,,,,,,10.1177/004056390506600423,2005-12,9/3/20 19:13,8/4/21 18:42,"Morrill, Bruce T.",,,Place: Oxford,C:\Users\xus12\Zotero\storage\YIBG9WY7\Morrill - 2005 - Power and the spirit of God toward an experience-.pdf,,,,,0040-5639,,4,,Theological Studies,,,,EBSCOhost,,Book review,,,,,,,909-910,,,,,2005,,,,,,,,,,,,,,,,,Power and the spirit of God,,,,https://journals.sagepub.com/doi/10.1177/004056390506600423,,66,,Q109417627,QTXPCJ48,journalArticle,Book Review: Power and the Spirit of God: Toward an Experience-Based Pneumatology,Theological Studies
,7/11/18 20:12,,,,,,,"Morrill, Bruce T",Peer reviewed,,,,,,,,,,,,,,,10.1177/004056391307400335,2013-09,7/11/18 20:12,8/4/21 19:11,"Morrill, Bruce T.",,,,C:\Users\xus12\Zotero\storage\3AUI5GLI\Morrill - 2013 - The Eucharistic liturgies their evolution and int.pdf,,,,,0040-5639,,3,,Theological Studies,,,,EBSCOhost,,,,,,,,,758-760,,,,,2013,,,,,,,,,,,,,,,,,The Eucharistic liturgies,,,,http://proxy.library.vanderbilt.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001968926&site=ehost-live&scope=site,,74,,Q109417630,F8XUSATA,journalArticle,Book Review: The Eucharistic Liturgies: Their Evolution and Interpretation,Theological Studies
,,,,,,,,"Morrill, Bruce T",Peer reviewed,,,,,,,,,,,,,,,10.1177/0040563914529909m,2014-06,7/11/18 20:08,8/4/21 18:57,"Morrill, Bruce T.",,,,,,,,,0040-5639,,2,,Theological Studies,,,,EBSCOhost,http://proxy.library.vanderbilt.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=reh&AN=ATLA0001999814&site=ehost-live&scope=site&scope=cite,,,,,,,,430-431,,,,,2014,,,,,,,,,,,,,,,,,A priestly people,,,,,,75,,Q109417636,92NL4DFX,journalArticle,Book Review: A priestly people: baptismal priesthood and priestly ministry,Theological Studies
,9/8/20 19:18,,,,,,,"Morrill, Bruce T","Conversion; Penance; Hellwig, Monika,   , 1929-2005; John Paul,   II, Saint, Pope        , 1920-2005; Pastoral theology --   Catholic Church; Reconciliation (Theology); Sacraments --   History of doctrines",,,,,,,,,,,,,,,10.1177/0040563914538728,2014-09,9/8/20 19:18,9/8/20 19:18,"Morrill, Bruce T.",,,,,,,,,0040-5639,,3,,Theological Studies,,,,EBSCOhost,,,,,,,,,585-612,,,,,2014,,,,,,,,,,,,,,,,,Sign of Reconciliation and Conversion?,,,,http://proxy.library.vanderbilt.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLAiBCB150930000011&site=ehost-live&scope=site,,75,,Q109417639,3QVNIETM,journalArticle,"Sign of Reconciliation and Conversion?: Differing Views of Power— Ecclesial, Sacramental, Anthropological—among Hierarchy and Laity",Theological Studies
,7/11/18 20:04,,,,,,,"Morrill, Bruce T",Peer reviewed,,,,,,,,,,,,,,,10.1177/0040563915593487q,2015-09,7/11/18 20:04,8/4/21 19:05,"Morrill, Bruce T.",,,,C:\Users\xus12\Zotero\storage\QEMAXK8W\Morrill - 2015 - Hope in action subversive eschatology in the theo.pdf,,,,,0040-5639,,3,,Theological Studies,,,,EBSCOhost,,,,,,,,,646-647,,,,,2015,,,,,,,,,,,,,,,,,Hope in action,,,,http://proxy.library.vanderbilt.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLAiBCA160506001414&site=ehost-live&scope=site,,76,,Q109417641,5U8ACSBN,journalArticle,Book Review: Hope in Action: Subversive Eschatology in the Theology of Edward Schillebeeckx and Johann Baptist Metz. By Steven M. Rodenborn,Theological Studies
,7/11/18 20:03,,,,,,,"Morrill, Bruce T",Peer reviewed,,,,,,,,,,,,,,,10.1177/0040563916635112r,2016-06,7/11/18 20:03,8/4/21 18:59,"Morrill, Bruce T.",,,,"C:\Users\xus12\Zotero\storage\QXCFUEPW\Morrill - 2016 - Feet rooted, hearts radiant, minds raised living .pdf",,,,,0040-5639,,2,,Theological Studies,,,,EBSCOhost,,,,,,,,,545-546,,,,,2016,,,,,,,,,,,,,,,,,"Feet rooted, hearts radiant, minds raised",,,,http://proxy.library.vanderbilt.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLAiBCB160822003326&site=ehost-live&scope=site,,77,,Q109417642,BXKX2ZPE,journalArticle,"Book Review: Feet rooted, hearts radiant, minds raised: living sacraments in India",Theological Studies
,,,,,,,,"DeHart, Paul J","Peer reviewed; Thomas, Aquinas, Saint, 1225?-1274; Kierkegaard, Søren, 1813-1855; Idea (Philosophy); Eckhart, Meister, 1260?-1327; Frank, Manfred; God (Philosophy); Platonism; Self (Philosophy)",,,,,,,,,,,,,,,10.1177/0040563917698558,2017,2/13/18 18:41,2/13/18 18:41,"DeHart, Paul J.",,,,,,,,,0040-5639,,2,,Theological Studies,,,,EBSCOhost,http://proxy.library.vanderbilt.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLAiGEV170717000923&site=ehost-live&scope=site&scope=cite,,,,,,,,412-434,,,,,2017,,,,,,,,,,,,,,,,,The Creature Makes Itself,,,,,,78,,Q109417643,EBPSN9Z4,journalArticle,"The Creature Makes Itself: Aquinas, the De-idealization of the Eternal Ideas, and the Fate of the Individual",Theological Studies
,,,,,,,,"Morrill, Bruce T",Peer reviewed,,,,,,,,,,,,,,,10.1177/0040563917719018t,2017,7/11/18 20:00,8/4/21 19:02,"Morrill, Bruce T.",,,,,,,,,0040-5639,,3,,Theological Studies,,,,EBSCOhost,http://proxy.library.vanderbilt.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLAiC9Y170925002335&site=ehost-live&scope=site&scope=cite,,,,,,,,786-787,,,,,2017,,,,,,,,,,,,,,,,,From passion to paschal mystery,,,,,,78,,Q109417644,TNDWW8KB,journalArticle,Book Review: From passion to paschal mystery: a recent magisterial development concerning the Christological foundation of the sacraments,Theological Studies
,,,,,,,,"Levine, Amy-Jill",,,,,,,,,,,,,,,,10.1177/0040563918819916b,2019,6/11/20 18:53,6/11/20 18:53,"Levine, Amy-Jill",,,"Place: London, England Publisher: SAGE Publications",,,,,,0040-5639,,1,,,eng,,,catalog.library.vanderbilt.edu,,Book Review,,,,,,,218–219,,,,,2019,,,,,,,,,,,,,,,,,Book Review,,,,,,80,,Q109417645,XN3QWFR7,journalArticle,Stories with Intent,Theological Studies
,5/13/20 16:11,,,,,,,"Morrill, Bruce T",,,,,,,,,,,,,,,,10.1177/0040563918819918c,2019-03,6/11/20 18:58,8/4/21 19:18,"Morrill, Bruce T.",,,Place: New York,C:\Users\xus12\Zotero\storage\8KXMNLAL\Morrill - 2019 - The Oxford Handbook of Sacramental Theology.pdf,,,,,0040-5639,,1,,Theological Studies,,,,EBSCOhost,,,,,,,,,241-241,,,,,2019,,,,,,,,,,,,,,,,,,,,,http://proxy.library.vanderbilt.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLAiGW7190318000330&site=ehost-live&scope=site,,80,,Q109417646,MBR7NJRR,journalArticle,Book Review: The Oxford Handbook of Sacramental Theology By Hans Boersma and Matthew Levering (eds.),Theological Studies
,6/25/14 19:28,,,,,,,"DeHart, Paul","Peer reviewed; Jüngel, Eberhard; Theology--Definition; Theology--Germany",,,,,,,,,,,,,,,10.1177/004056399605700103,3/1/96,6/25/14 19:28,6/23/21 18:51,"DeHart, Paul J.",,,,,,,,,0040-5639,,1,,Theological Studies,,,,EBSCOhost,,,,,,,,,46-64,,,,,1996,,,,,,,,,,,,,,,,,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001011613&site=ehost-live,,57,,Q109417647,TF55HA5F,journalArticle,Eberhard Jüngel on the Structure of Theology,Theological Studies
,4/30/14 15:54,,,,,,,"Meeks, M Douglas",Peer reviewed,,,,,,,,,,,,,,,10.1177/004057360305900419,1/1/03,4/30/14 15:54,7/27/21 18:49,"Meeks, M. Douglas",,,,C:\Users\xus12\Zotero\storage\79V5SSXP\Meeks - 2003 - The market economy and Christian ethics.pdf,,,,,0040-5736,,4,,Theology Today,,,,EBSCOhost,,,,,,,,,642-644,,,,,2003,,,,,,,,,,,,,,,,,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001439749&site=ehost-live,,59,,Q109417648,HE7Z8BCF,journalArticle,The market economy and Christian ethics,Theology Today
,5/9/14 15:41,,,,,,,"McClure, John S.",Peer reviewed,,,,,,,,,,,,,,,10.1177/004057360906500417,1/1/09,5/9/14 15:41,7/27/21 17:38,"McClure, John S.",,,,C:\Users\xus12\Zotero\storage\BD74X35J\McClure - 2009 - Cross talk preaching redemption here and now.pdf,,,,,0040-5736,,4,,Theology Today,,,,EBSCOhost,,Book reviews,,,,,,,522-522,,,,,2009,,,,,,,,,,,,,,,,,Cross talk,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001699960&site=ehost-live,,65,,Q109417650,ZTRVJFUA,journalArticle,Cross talk: preaching redemption here and now,Theology Today
,10/21/14 17:42,,,,,,,"Seow, C. L. (Choon Leong)","Peer reviewed; Theophanies in the Bible; Wisdom--Biblical teaching; Bible. Job --Criticism, Literary; Bible. Job 3-37; Bible. Job --Theology; Bible. Old Testament --Canaanite influence; El (Semitic deity); Elihu (Biblical character); God--Biblical teaching; God--Righteousness; Job (Biblical character); Mediation--Religious aspects; Revelation--Biblical teaching; Righteousness--Biblical teaching; Suffering--Biblical teaching",,,,,,,,,,,,,,,10.1177/0040573611416537,2011-10,10/21/14 17:42,8/30/21 20:09,"Seow, C.L.",,,,,,,,,0040-5736,,3,,,,,,EBSCOhost,,,,,,,,,253-271,,,,,2011,,,,,,,,,,,,,,,,,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001932555&site=ehost-live,,68,,Q109417651,JVXDI6NF,journalArticle,Elihu's revelation,Theology Today
SAGE Publications,10/11/16 18:08,,,,,,,"Hamman, Jaco J.",,,,,,,,,,,,,,,,10.1177/0040573613496021,10/1/13,10/11/16 18:08,10/11/16 18:08,"Hamman, Jaco",,,,C:\Users\xus12\Zotero\storage\9GEM3FPI\Hamman - 2013 - The Church and the Crisis of Community A Practica.pdf; C:\Users\xus12\Zotero\storage\Q32ZKRCJ\351.full.html,,,,,"0040-5736, 2044-2556",,3,,Theology Today,en,,,ttj.sagepub.com,,,,,,,,,351-352,,,,,2013,,,,,,,,,,,,,,,,,The Church and the Crisis of Community,,,,http://ttj.sagepub.com/content/70/3/351,,70,,Q109417652,247B32K9,journalArticle,The Church and the Crisis of Community: A Practical Theology of Small-Group Ministry by Theresa F. Latini,Theology Today
,4/30/14 16:07,,,,,,,"Meeks, M Douglas",Peer reviewed,,,,,,,,,,,,,,,10.1177/004057368904500422,1/1/89,4/30/14 16:07,7/27/21 18:44,"Meeks, M. Douglas",,,,C:\Users\xus12\Zotero\storage\DHPGKZJK\Meeks - 1989 - The Creative Suffering of God.pdf,,,,,0040-5736,,4,,Theology Today,,,,EBSCOhost,,,,,,,,,488-490,,,,,1989,,,,,,,,,,,,,,,,,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000580403&site=ehost-live,,45,,Q109417653,UZB6TKGH,journalArticle,The Creative Suffering of God,Theology Today
,5/21/14 19:00,,,,,,,"Segovia, Fernando F.",Peer reviewed,,,,,,,,,,,,,,,10.1177/004057369405100323,10/1/94,5/21/14 19:00,8/25/21 19:05,"Segovia, Fernando F.",,,,C:\Users\xus12\Zotero\storage\UFXU9XF6\Segovia - 1994 - The amnesty of grace justification by faith from .pdf,,,,,0040-5736,,3,,Theology Today,,,,EBSCOhost,,Book reviews,,,,,,,462-462,,,,,1994,,,,,,,,,,,,,,,,,The amnesty of grace,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000286234&site=ehost-live,,51,,Q109417654,5BRC5TKP,journalArticle,The amnesty of grace: justification by faith from a Latin American perspective,Theology Today
,5/21/14 18:43,,,,,,,"Segovia, Fernando F.",,,,,,,,,,,,,,,,10.1177/004057369505200216,7/1/95,5/21/14 18:43,8/25/21 18:38,"Segovia, Fernando F.",,,,C:\Users\xus12\Zotero\storage\H7R8K3R4\Segovia - 1995 - Jesus in the Power of the Spirit.pdf,,,,,0040-5736,,2,,Theology Today,,,,EBSCOhost,,Book reviews,,,,,,,286-288,,,,,1995,,,,,,,,,,,,,,,,,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000302957&site=ehost-live,,52,,Q109417655,XURBQUI9,journalArticle,Jesus in the Power of the Spirit,Theology Today
,7/3/14 18:23,,,,,,,"Hudnut-Beumler, James David",Peer reviewed,,,,,,,,,,,,,,,10.1177/004057369805500121,4/1/98,7/3/14 18:23,7/8/21 18:09,"Hudnut-Beumler, Jim",,,,C:\Users\xus12\Zotero\storage\XJHFVGPE\Hudnut-Beumler - 1998 - Behind the stained glass windows money dynamics i.pdf,,,,,0040-5736,,1,,Theology Today,,,,EBSCOhost,,Book review; review article,,,,,,,117-118,,,,,1998,,,,,,,,,,,,,,,,,Behind the stained glass windows,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001254065&site=ehost-live,,55,,Q109417657,K4J3Q9UN,journalArticle,Review of Behind the stained glass windows: money dynamics in the church,Theology Today
