author,journal_article,journal_title,volume,issue,pages,publication_year ,doi
,"Review of Let Justice Roll Down: The Old Testament, Ethics, and Christian Life",Interpretation,48,1,74-77,1994,10.1177/002096430004800107
,Theology when everything is out of control,Interpretation,55,3,237-249,2001,10.1177/002096430005500302
B. Miller-McLemore,Family: a Christian social perspective,Interpretation,56,1,118,2002,10.1177/002096430005600138
Jaco J. Hamman,"Review of : Lament: Reclaiming Practices in Pulpit, Pew, and Public Square.",Interpretation,60,3,360-360,2006,10.1177/002096430606000339
B. Miller-McLemore,Taught by God: teaching and spiritual formation,Interpretation,61,3,350,2007,10.1177/002096430706100334
,Book Review: Transforming Spirituality: Integrating Theology and Psychology,Interpretation,62,1,94-96,2008,10.1177/002096430806200113
,Global neighbors: Christian faith and moral obligation in today's economy,Interpretation,64,2,214-215,2010,10.1177/002096431006400233
,"Review of  Andreas Schuele, ed, Who is Jesus Christ for us today?: Pathways to contemporary Christology",Interpretation,64,3,320-321,2010,10.1177/002096431006400323
,Book Review: Atheist delusions: the Christian revolution and its fashionable enemies,Interpretation,64,4,430,2010,10.1177/002096431006400419
,The peril of usury in the Christian tradition,Interpretation,65,2,128-140,2011,10.1177/002096431106500204
,Perspectives on Aging and the Elderly in the Hebrew Bible,Interpretation,68,2,136-149,2014,10.1177/0020964313518179
,Luke and the Jewish religion,Interpretation,68,4,389-402,2014,10.1177/0020964314540107
,Solidarity ethics: transformation in a globalized world (book review),Interpretation,71,2,242,2017,10.1177/0020964316688058
,Isaiah’s Suffering Servant: Before and After Christianity,Interpretation,73,2,158-173,2019,10.1177/0020964318820594
,"God, Marx and the future: dialogue with Roger Garaudy",Interpretation,30,2,218-219,1976,10.1177/002096437603000227
,The Church in the Power of the Spirit: A Contribution to Messianic Ecclesiology,Interpretation,33,3,301-304,1979,10.1177/002096437903300309
,The Significance of Social Location in Reading John's Story,Interpretation,49,4,,1995,10.1177/002096439504900405
B. Miller-McLemore,Religious imagination and the body: a feminist analysis,Interpretation,50,2,214,1996,10.1177/002096439605000227
, Reconceiving Infertility: Biblical Perspectives on Procreation and Childlessness,Irish Theological Quarterly,81,3,310-312,2016,10.1177/0021140016648628b
"Stacy M. Floyd-Thomas, Laura Gillman","Subverting Forced Identities, Violent Acts, and the Narrativity of Race: A Diasporic Analysis of Black Women's Radical Subjectivity in Three Novel Acts",Journal of Black Studies,32,5,528-556,2002,10.1177/002193470203200503
,Assessing Spiritual Needs: A Guide for Caregivers; Spiritual Assessment in Pastoral Care: A Guide to Selected Resources,The Journal of Pastroal Care,48,4,415-416,1994,10.1177/002234099404800416
B. Miller-McLemore,Will the Real Pro-Family Contestant Please Stand Up?  Another Look at Families and Pastoral Care,Journal of Pastoral Care,49,1,61-72,1995,10.1177/002234099504900108
," ""To all the Gentiles"": a Jewish perspective on the Great Commission",Review & Expositor,103,1,139-158,2006,10.1177/003463730610300109
,The significance of body and resurrection in the Roman Catholic order of Christian funerals,Studia Liturgica,39,1,99-121,2009,10.1177/003932070903900107
,Holy Communion as a Public Act: Ethics and Liturgical Participation,Studia Liturgica,41,1,31-46,2011,10.1177/003932071104100104
Bruce T. Morrill,Baptism and Identity Formation: Convergences in Ritual and Ethical Perspectives,Studia Liturgica,42,,154-175,2012,10.1177/0039320712042001-209
,"Models of Liturgical Memory: Mystical-Political Dimensions, Mythic-Historic Tensions",Studia Liturgica,50,1,40-54,2020,10.1177/0039320719884125
,"An ethics of remembering: history, heterology, and the nameless others",Theological Studies,61,1,179-181,2000,10.1177/004056390006100128
,"Review of Eberhard Jüngel, Justification: The Heart of the Christian Faith",Theological Studies,63,3,625,2002,10.1177/004056390206300323
,Book Review: Power and the Spirit of God: Toward an Experience-Based Pneumatology,Theological Studies,66,4,909-910,2005,10.1177/004056390506600423
,Book Review: The Eucharistic Liturgies: Their Evolution and Interpretation,Theological Studies,74,3,758-760,2013,10.1177/004056391307400335
,The Baptism of Early Virginia: How Christianity Created Race,Theological Studies,75,1,176-177,2014,10.1177/0040563913519056
,Book Review: A priestly people: baptismal priesthood and priestly ministry,Theological Studies,75,2,430-431,2014,10.1177/0040563914529909m
,"Sign of Reconciliation and Conversion?: Differing Views of Power— Ecclesial, Sacramental, Anthropological—among Hierarchy and Laity",Theological Studies,75,3,585-612,2014,10.1177/0040563914538728
,Book Review: Hope in Action: Subversive Eschatology in the Theology of Edward Schillebeeckx and Johann Baptist Metz. By Steven M. Rodenborn,Theological Studies,76,3,646-647,2015,10.1177/0040563915593487q
,"Book Review: Feet rooted, hearts radiant, minds raised: living sacraments in India",Theological Studies,77,2,545-546,2016,10.1177/0040563916635112r
,"The Creature Makes Itself: Aquinas, the De-idealization of the Eternal Ideas, and the Fate of the Individual",Theological Studies,78,2,412-434,2017,10.1177/0040563917698558
,Book Review: From passion to paschal mystery: a recent magisterial development concerning the Christological foundation of the sacraments,Theological Studies,78,3,786-787,2017,10.1177/0040563917719018t
,Stories with Intent,Theological Studies,80,1,218-219,2019,10.1177/0040563918819916b
,Book Review: The Oxford Handbook of Sacramental Theology By Hans Boersma and Matthew Levering (eds.),Theological Studies,80,1,241-241,2019,10.1177/0040563918819918c
,Quaestio Disputata: Divine Virtues and Divine Ideas of Virtues,Theological Studies,81,2,467-477,2020,10.1177/0040563920934196
Paul DeHart,Eberhard Jüngel on the Structure of Theology,Theological Studies,57,1,46-64,1996,10.1177/004056399605700103
,The market economy and Christian ethics,Theology Today,59,4,642-644,2005,10.1177/004057360305900419
,Cross talk: preaching redemption here and now,Theology Today,65,4,522,2009,10.1177/004057360906500417
B. Miller-McLemore,Theology and families,Theology Today,65,4,525,2009,10.1177/004057360906500418
,Elihu's revelation,Theology Today,68,3,353-271,2011,10.1177/0040573611416537
,The Church and the Crisis of Community: A Practical Theology of Small-Group Ministry by Theresa F. Latini,Pastoral Psychology,70,3,351-352,2013,10.1177/0040573613496021
,Sinai and Zion: An Entry into the Jewish Bible,Theology Today,43,1,149,1986,10.1177/004057368604300137
B. Miller-McLemore,The sting of death,Theology Today,45,4,415-426,1989,10.1177/004057368904500404
,The Creative Suffering of God,Theology Today,45,4,488-490,1989,10.1177/004057368904500422
,The amnesty of grace: justification by faith from a Latin American perspective,Theology Today,51,3,462,1994,10.1177/004057369405100323
,Jesus in the Power of the Spirit,Theology Today,52,2,286-288,1995,10.1177/004057369505200216
,Review of Grant Us Courage: Travels Along the Mainline of American Protestantism,Theology Today,54,1,142,1997,10.1177/004057369705400129
B. Miller-McLemore,Eros for the other: retaining truth in a pluralistic world,Theology Today,54,3,406,1997,10.1177/004057369705400314
,Review of Behind the stained glass windows: money dynamics in the church,Theology Today,55,1,117-118,1998,10.1177/004057369805500121
,Notes Toward Refining the Postcolonial Optic,Journal for the Study of the New Testament,,75,,1999,10.1177/0142064X0002207507
,"Roland Murphy, The Pontifical Biblical Commission, Jews, and the Bible",Biblical Theology Bulletin,33,3,104-113,2003,10.1177/014610790303300304
Sandra L. Baners,Exiles in a Foreign Land A Comparative Analysis of the Historical Role of Religion for African Americans and Irish Immigrants,Humanity & Society,39,3,294-320,2014,10.1177/0160597614560567
,Poetic closure in Job: the first cycle,Journal for the Study of the Old Testament,34,4,433-446,2010,10.1177/0309089210372912
,Ruth III: a Response,Journal for the Study of the Old Testament,3,5,,1978,10.1177/030908927800300505
,The issue of ge'ullāh in Ruth,Journal for the Study of the Old Testament,,5,,1978,10.1177/030908927800300506
,On choosing models for recreating Israelite pre-monarchic history,Journal for the Study of the Old Testament,21,,,1981,10.1177/030908928100602101
,Panel reponse to Marcella Althaus-Reid's Indecent theology,Feminist Theology,11,2,167-173,2003,10.1177/096673500301100206
,Mujerista theology: biblical interpretation and political theology,Feminist Theology,20,1,,2011,10.1177/0966735011411802
Sandra L. Baners,"Book Review: Black Citymakers: How the Philadelphia Negro Changed Urban America, edited by Marcus Anthony Hunter",Urban Affairs Review,50,4,590-592,2014,10.1177/1078087413515174
B. Miller-McLemore,Revisiting the living human web: theological education and the role of clinical pastoral education,Journal of Pastoral Care & Counseling,62,1-2,3-18,2008,10.1177/154230500806200102
,The  Cultivation  of Technological  Intelligence,Journal of Pastoral Care & Counseling,74,1,70-72,2020,10.1177/1542305020905541
Sandra L. Baners,Is Motherhood Important? Imprisoned Women’s Maternal Experiences Before and During Confinement and Their Postrelease Expectations,Feminist Criminology,9,1,3-22,2014,10.1177/1557085113504450
Jay Geller,"Gifting the other, or why are nineteenth-century German bourgeois men acting like Trobriand Islanders?",Critical Research on Religion,1,3,293-307,2013,10.1177/2050303213506474
"Jay Geller, Sarah Imhoff, Shana Sippy, Annalise E. Glauz-Todrank, Jonathan Boyarin",Jewish identification and critical theory: The political significance of conceptual categories,Critical Research on Religion,2,2,165-194,2014,10.1177/2050303214535009
,Powers and Principalities: Initial Reflections Toward a Post-Capitalist Pastoral Theology,Journal of Pastoral Theology,25,2,71-92,2015,10.1179/1064986715Z.00000000010
Juan Floyd-Thomas,Between Jim Crow and the Swastika: African American Religio-Cultural Interpretations of the Holocaust,Black Theology,12,1,4-18,2014,10.1179/1476994813Z.00000000016
"Joretta L. Marshall, Edward P. Wimberly, Bonnie J. Miller-McLemore",Guess who's coming to the classroom ? Postmodernity and doctoral programs in religion and personality,Journal of Pastoral Theology,10,,47-63,2000,10.1179/jpt.2000.10.1.005
,Recovering grief in the age of grief recovery,Journal of Pastoral Theology,13,1,36-45,2003,10.1179/jpt.2003.13.1.005
,Reclaiming caritas in a hyper-masculine world: a response to Dr. Rivera-Pagán's Doing pastoral theology in a post-colonial context: some observations from the Caribbean,Journal of Pastoral Theology,17,2,29-36,2007,10.1179/jpt.2007.17.2.003
B. Miller-McLemore,Cognitive neuroscience and the question of theological method,Journal of Pastoral Theology,20,2,64-92,2010,10.1179/jpt.2010.20.2.004
B. Miller-McLemore,Words made flesh: writings in pastoral and practical theology,Journal of Pastoral Theology,20,2,195-199,2010,10.1179/jpt.2010.20.2.008
Bruce Roger-Vaughn,Best practices in pastoral counseling: is theology necessary?,Journal of Pastoral Theology,23,1,,2013,10.1179/jpt.2013.23.1.002
Jay Geller,Hegel's self-conscious woman,Modern Language Quarterly,53,2,173-199,1992,10.1215/00267929-53-2-173
Jay Geller,Judenzopf/Chinesenzopf: Of Jews and Queues,Positions ,2,3,500-537,1994,10.1215/10679847-2-3-500
,"Not Solely Sola Scriptura, or, a Rejoinder to Brad S. Gregory's The Unintended Reformation",Journal of Medieval and Early Modern Studies,46,3,555-582,2016,10.1215/10829636-3644038
"Stacy M. Floyd-Thomas, Laura Gillman",Con un pie a cada lado/With a Foot in Each Place: Mestizaje as Transnational Feminisms in Ana Castillo's So Far from God,"Meridians: feminism, race, transnationalism",2,1,158-175,2001,10.1215/15366936-2.1.158
Sandra L. Baners,An Intra-Ethnic Analysis of Social Affiliations Among Latinos in the United States,Journal of Poverty,11,1,107-134,2007,10.1300/J134v11n01_05
John S. McClure,From the Co-Editors' Keyboards,Journal of Religion & Abuse,4,1,1-7,2002,10.1300/J154v04n01_01
Jay Geller,"""Of snips... and puppy dog tails"": Freud's sublimation of 'Judentum'",American Imago,66,2,169-184,2009,10.1353/aim.0.0049
Jay Geller,Preface,American Imago,59,3,249-252,2002,10.1353/aim.2002.0016
Jay Geller,The Wilkomirski Case: Fragments or Figments?,American Imago,59,3,343-365,2002,10.1353/aim.2002.0017
Jay Geller,Book Review of Committed to Memory by Oren Baruch Stier,Biography,27,3,654-657,2004,10.1353/bio.2004.0064
Jay Geller,Space and Spatiality in Modern German-Jewish History eds. by Simone Lässig and Miriam Rürup (review) - ProQuest,German Studies Review,41,3,454-456,2018,10.1353/gsr.2018.0117
,The Bible and the politics of exegesis : essays in honor of Norman K Gottwald on his sixty-fifth birthday,Hebrew Studies,35,,163-166,1994,10.1353/hbr.1994.0015
Choon-Leong Seow,A cumulative index to the grammar and syntax of biblical Hebrew (Review),Hebrew Studies,40,,265-266,1999,10.1353/hbr.1999.0007
,An Exquisitely Poetic Introduction to the Psalter,Journal of Biblical Literature,132,2,,2013,10.1353/jbl.2013.0032
,Criticism in Critical Times: Reflections on Vision and Task,Journal of Biblical Literature,134,1,,2015,10.1353/jbl.2015.0002
Jay Geller,Spinoza's Election of the Jews: The Problem of Jewish Persistence,Jewish Social Studies,12,1,39-63,2005,10.1353/jss.2006.0004
Jay Geller,The Discipline of Philosophy and the Invention of Modern Jewish Thought by Willi Goetschel (review),Philosophy east and west,65,3,976-978,2015,10.1353/pew.2015.0077
Stacey M. Floyd-Thomas,Got Ethics?: Envisioning and Evaluating the Future of Our Guild and Discipline,Journal of the Society of Christian Ethics,36,2,195-203,2016,10.1353/sce.2016.0038
,"
Remembering the Poor: Interfaith Collaboration, Neoliberalism, and an Anti-Imperial Gospel",Journal of the Society of Christian Ethics,37,1,,2017,10.1353/sce.2017.0005
,"The Place of Christ in Liturgical Prayer: Christology, Trinity, and Liturgical Theology. (Review)",Spiritus: A Journal of Christian Spirituality,8,2,241-244,2008,10.1353/scs.0.0030
,Jewish Women in Greco-Roman Palestine (Book Review),Shofar: An Interdisciplinary Journal of Jewish Studies,18,2,155,2000,10.1353/sho.2000.0145
Jay Geller,The First Modern Jew: Spinoza and the History of an Image by Daniel B. Schwartz (review),Shofar: An Interdisciplinary Journal of Jewish Studies,32,1,137-139,2013,10.1353/sho.2013.0121
,Gott und die Ökonomie des Heiligen Geistes,Evangelische Theologie,40,1,40-58,1980,10.14315/evth-1980-0105
,Theologie predigen,Praktische Theologie,41,2,122-133,2014,10.14315/prth-2006-0209
,Pursuing the Intrinsic Relationship between Liturgy and Ethics: Practical-Theological Promise in Poverty of Spirit,AUC THEOLOGICA,10,1,77-98,2020,10.14712/23363398.2020.45
B. Miller-McLemore,Five misunderstandings about practical theology,International Journal of Practical Theology,16,1,5-26,2012,10.1515/ijpt-2012-0002
,Toward greater understanding of practical theology,International Journal of Practical Theology,16,1,104-123,2012,10.1515/ijpt-2012-0009
B. Miller-McLemore,Feminist studies in psychology: an overview,International Journal of Practical Theology,4,1,107-131,2000,10.1515/ijpt.2000.4.1.107
B. Miller-McLemore,"The ""clerical paradigm"": a fallacy of misplaced concreteness?",International Journal of Practical Theology,11,1,19-38,2007,10.1515/IJPT.2007.3
Turpin et al,Teaching Practical Theology: Introducing Six Perspectives,International Journal of Practical Theology,12,1,35-87,2008,10.1515/IJPT.2008.4
,Ter mundus accipit infinitum: The Dogmatic Coordinates of Schleiermacher's Trinitarian Treatise,Neue Zeitschrift für Systematische Theologie und Religionsphilosophie,52,1,17-39,2010,10.1515/nzst.2010.003
,John 13:1-20 : the footwashing in the Johannine tradition,Zeitschrift Für Die Neutestamentliche Wissenschaft Und Die Kunde Der älteren Kirche,71,3,,1982,10.1515/zntw.1982.73.1-2.31
Jay Geller,The psychopathology of everyday Vienna: Psychoanalysis and Freud's familiars,The International Journal of Psychoanalysis,85,5,1209-1223,2004,10.1516/QDNQ-D1F4-99CE-JUEF
,“A Relatively New Discovery in the Modern West”: #BlackLivesMatter and the Evolution of Black Humanism,Kalfou,4,1,30-39,2017,10.15367/kf.v4i1.140
"Stacy M. Floyd-Thomas, Laura Gillman","""The whole story is what I'm after"": womanist revolutions and liberation feminist revelations through biomythography and emancipatory historiography",Black Theology,3,2,176-199,2005,10.1558/blth.3.2.176.65728
,"Review of Hamid Reza Kusha, Islam in American Prisons: Black Muslims' Challenge to American Penology",Black Theology,10,2,216-218,2012,10.1558/blth.v10i2.216
,"Shirley Elizabeth Thompson, Exiles at Home: The Struggle to Become American in Creole New Orleans",Black Theology,8,1,118-119,2010,10.1558/blth.v8i1.118
,More than conquerors: just war theory and the need for a Black Christian antiwar movement,Black Theology,9,2,136-160,2011,10.1558/blth.v9i2.136 
,"""Oh Mary, Don't You Weep"": Progressive Religion in the Living Wage Movement",Political Theology,8,3,269-279,2007,10.1558/poth.v8i3.269
Phillis I. Sheppard,Mourning the loss of cultural selfobjects: black embodiment and religious experience after trauma,Practical Theology,1,2,233-257,2008,10.1558/prth.v1i2.233
B. Miller-McLemore,Practising what we preach: the case of women in ministry,Practical Theology,2,1,45-26,2009,10.1558/prth.v2i1.45
Paul C. H. Lim,Hypothetical Universalism and Real Calvinism in Seventeenth Century England,Reformation,13,1,194-204,2008,10.1558/refm.v13.194
,"[Introduction to the Society of Biblical Literature presidential address, N 23 2013]",Journal of Biblical Literature,133,1,,2014,10.15699/jbibllite.133.1.3
,History of Consequences: The case of Gregory's Moralia in Iob,Hebrew Bible and Ancient Israel,1,3,368-387,2012,10.1628/219222712804556644
,"The Eclipse of the Divine Mind: Aquinas, Creation, and Eternal Ideas as Anti-Platonic Epistemology",Ephemerides theologicae Lovanienses,93,1,1-27,2017,10.2143/ETL.93.1.3203589
,"Review of Luke, Judaism and the scholars: critical approaches to Luke-Acts",Jewish Quarterly Review,91,1-2,228-231,2000,10.2307/1454799
,Review of The mystery of Romans: the Jewish context of Paul's letter,Jewish Quarterly Review,89,1-2,222-224,1998,10.2307/1455307
,W. E. B. Du Bois: American Prophet. By Edward J. Blum. ,Journal of American History,95,1,235-236,2008,10.2307/25095546
,Review of Episcopalians and race: Civil War to civil rights.,American Historical Review,106,3,1006-1007,2001,10.2307/2692423
,"Review of A Kingdom on Earth: Anglo-American Social Christianity, 1880-1940. by Paul T. Phillips",Journal of American History,83,4,1433-1434,1997,10.2307/2952989
,Thoughts of Zimri-Lim,The Biblical Archaeologist,47,2,,1984,10.2307/3209891
,The theology and provenance of John 15:1-17,Journal of Biblical Literature,101,1,,1982,10.2307/3260444
,"The structure, Tendenz, and Sitz im leben of John 13:31-14:31",Journal of Biblical Literature,104,3,,1985,10.2307/3260925
,Johannine Polemic: The Role of Tradition and Theology,Journal of Biblical Literature,104,2,344-346,1985,10.2307/3260996
,Secret system: a study in the chronology of the Old Testament,Journal of Biblical Literature,95,2,300-301,1976,10.2307/3265253
,"Short note on a ""mayor"" subject",Journal of Biblical Literature,97,1,,1978,10.2307/3265838
,Linguistic Evidence and the Dating of Qoheleth,Journal of Biblical Literature,115,4,643-666,1996,10.2307/3266347
,The Word in the World: The Cosmological Tale in the Fourth Gospel,Journal of Biblical Literature,114,1,158-160,1995,10.2307/3266615
,Divine War in the Old Testament and in the Ancient Near East (Review),Journal of Biblical Literature,1101,1,131-132,1991,10.2307/3267157
,The Humanity of Jesus in the Fourth Gospel,Journal of Biblical Literature,108,4,734-735,1989,10.2307/3267212
,Review of Linguistic Evidence for the Northern Origin of Selected Psalms,Journal of Biblical Literature,112,2,334-337,1993,10.2307/3267241
,The People Called: The Growth of Community in the Bible,Journal of Biblical Literature,107,3,503-506,1988,10.2307/3267584
,Review of The Understanding Scribe: Matthew and the Apocalyptic Ideal,Journal of Biblical Literature,110,3,527-529,1991,10.2307/3267802
,Understanding the Fourth Gospel,Journal of Biblical Literature,112,1,154-156,1993,10.2307/3267888
,Qohelet's Eschatological Poem,Journal of Biblical Literature,118,2,,1999,10.2307/3268004
,Reading the Bible in the global village: Helsinki,Journal of Biblical Literature,121,3,533,2002,10.2307/3268160
,Social-science commentary on the Gospel of John,Journal of Biblical Literature,119,2,368-379,2000,10.2307/3268506
,Treatment of Criminals at Mari: A Survey,Journal of the Economic and Social History of the Orient,20,1,,1977,10.2307/3632052
,"Islam in Black America: Identity, Liberation, and Difference in African-American Islamic Thought. By Edward E. Curtis IV.",Journal of American History,90,2,726-727,2002,10.2307/3659576
,"Orthography, textual criticism, and the poetry of Job",Journal of Biblical Literature,130,1,63-85,2011,10.2307/41304188
,Some Comments on Archive Keeping at Mari,Iraq,34,1,,1972,10.2307/4199931
,Mari dreams,Journal of the American Oriental Society,103,1,,1983,10.2307/601885
,Review: The Old Babylonian Tablets from Al-Rimah,Journal of the American Oriental Society,100,4,,1980,10.2307/602090
,The King and I: a Mari King in Changing Perceptions,Journal of the American Oriental Society,118,4,,1998,10.2307/604782
,Women's Working Poverty: Feminist and Religious Alliances in the Living Wage Movement,Journal of Feminist Studies in Religion,27,1,75-93,2011,10.2979/jfemistudreli.27.1.75
Ellen T. Armour,Transing the Study of Religion: A (Christian) Theological Response,Journal of Feminist Studies in Religion,34,1,58-63,2018,10.2979/jfemistudreli.34.1.07
Stacey M. Floyd-Thomas,"Katie’s Canon: Enfleshing Womanism, Mentoring, and the Soul of the Black Community",Journal of Feminist Studies in Religion,35,1,101-104,2019,10.2979/jfemistudreli.35.1.12
,"The Sword of Judith: Judith Studies across the Disciplines ed. by Kevin R. Brine, Elena Ciletti and Henrike Lähnemann (review)",Nashim: A Journal of Jewish Women's Studies & Gender Issues,24,1,146-148,2013,10.2979/nashim.24.146
Jay Geller,"""A Horse is a Horse, Of Course, Of Course,"" or Some Nagging Suspicions about Some Jewish Writers",Prooftexts,37,2,215-242,2019,10.2979/prooftexts.37.2.02
Stacey M. Floyd-Thomas,"Teaching the Canon and Cannon Formation as Incarnation and Conjure: Dr. Katie Geneva Cannon as Womanist
Mentor and Muse",The Wabash Center Journal on Teaching,1,1,87-91,2020,10.31046/wabashcenter.v1i1.1585
,A Double Issue on Philoxenos of Mabbug,Hugoye: Journal of Syriac Studies,13,1,3-8,2010,10.31826/hug-2011-130103
David A. Michelson,A Bibliographic Clavis to the Works of Philoxenos of Mabbug,Hugoye: Journal of Syriac Studies,13,2,273-338,2011,10.31826/hug-2011-130116
Jay Geller,"Not a Geist of a chance: laying to rest an ""unlaid ghost""?",The Germanic Review,83,1,42-55,2008,10.3200/GERR.83.1.42-55
Jay Geller,"Some More Additional ‘Day Residues': The First Review of Studien Uber Hysterie, Ilona Weiss and the Dream of Irma's Injection",Psychoanalysis and History,2,1,61-75,2000,10.3366/pah.2000.2.1.61
,"Postcolonial and Diasporic Criticism in Biblical Studies : Focus, Parameters, Relevance",Studies in World Christianity,5,2,,1999,10.3366/swc.1999.5.2.177
Jack Sasson,"""It is for this reason that i have not come down to my lord ...” visit obligations and vassal pretexts in the Mari archives",Revue d'assyriologie et d'archéologie orientale,107,1,,2013,10.3917/assy.107.0119
,La théologie des sacrements comme théologie fondamentale,Transversalités: Revue de l’Institut Catholique de Paris,111,3,159-162,2009,10.3917/trans.111.0159
," Robert Strivens, Philip Doddridge and the Shaping of Evangelical Dissent.",XVII-XVIII. Revue de la Société d’études anglo-américaines des XVIIe et XVIIIe siècles,,73,302-305,2016,10.4000/1718.779
Jay Geller,Le péché contre le sang : la syphilis et la construction de l’identité juive,Revue germanique internationale,,5,141-164,1996,10.4000/rgi.562
,The theory-practice distinction and the complexity of practical knowledge,Hervormde teologiese studies,72,4,1-8,2016,10.4102/hts.v72i4.3381
,Gaining One's Definition: The (De)Christianization of Malcolm X's Life and Legacy,Journal of Africana Religions,3,1,44-61,2015,10.5325/jafrireli.3.1.0044
"Mia Smith Bynum, Sandra L. Barners",An Examination of the Sexual Behavior of Middle-Class African American Female College Freshmen,"Black Women, Gender & Families",4,2,1-30,2010,10.5406/blacwomegendfami.4.2.0001
,Review of American Prophecy: Race and Redemption in American Political Culture. Shulman George University of Minnesota Press Minneapolis,Journal of American Ethnic History,32,1,133-135,2012,10.5406/jamerethnhist.32.1.0133
Sandra L. Baners,Black Megachurches and Gender Inclusivity,"Women, Gender, and Families of Color",3,2,115-143,2015,10.5406/womgenfamcol.3.2.0115
Jay Geller,The Conventional Lies and Paradoxes of Jewish Assimilation: Max Nordau's Pre-Zionist Answer to the Jewish Question,Jewish Social Studies,1,3,129-160,1995,10.5422/fordham/9780823233618.001.0001
Emilie M. Townes,Appropriation and Reciprocity in the Doing of Feminist and Womanist Ethics,The Annual of the Society of Christian Ethics,13,,187-203,1993,10.5840/asce19931310
,To be called beloved : womanist ontology in postmodern refraction,The Annual of the Society of Christian Ethics,13,,,1993,10.5840/asce1993136
,"Response to ""Social science, Christian ethics and democratic politics: issues of poverty and welfare"" by Mary Jo Bane",The Annual of the Society of Christian Ethics,21,,39-43,2001,10.5840/asce2001214
Melissa Snar,"A new discipline? Beverly Harrison and ""malestream"" Christian ethics",Journal of the Society of Christian Ethics,25,2,79-94,2005,10.5840/jsce20052526
,Waging religious ethics: living wages and framing public religious ethics,Journal of the Society of Christian Ethics,29,1,69-86,2009,10.5840/jsce200929130
Stacey M. Floyd-Thomas,"Oh Say Can You See? ’: Womanist Ethics, Sub-rosa Morality, and the Normative Gaze in a Trumped Era",Journal of the Society of Christian Ethics,39,1,3-20,2019,10.5840/jsce201942210
,Gateway to the heavenly city: crusader Jerusalem and the Catholic West (1099-1187),Choice Reviews,43,2,43-1127,2005,10.5860/CHOICE.43-1127
,The sepulchre of Christ and the medieval West: from the beginning to 1600,Choice Reviews,43,8,43-4616,2006,10.5860/CHOICE.43-4611
Sandra L. Baners,An Ever Present Help: Black Megachurch Cultural Responses to Conflict,International Journal of Applied Sociology,4,1,10-22,2014,10.5923/j.ijas.20140401.02
,The Portrayals of the Pharisees in the Gospels and Acts,Studies in Christian-Jewish Relations,11,1,,2006,10.6017/scjr.v11i1.9330
,"Telling ""Short Stories by Jesus"" – With Gratitude for the On-going Conversation",Studies in Christian-Jewish Relations,12,1,,2017,10.6017/scjr.v12i1.9971
,"Reflections on Reflections: Jesus, Judaism, and Jewish-Christian Relations",Studies in Christian-Jewish Relations,8,1,,2013,10.6017/scjr.v8i1.5179
,Review of Between Athens and Berlin: The Theological Education Debate; By David H. Kelsey,Theology Today,51,1,182-183,1994,doi:10.1177/004057369405100126
