FACULTY,title,doi,BOOK TITLE,YEAR,PUBLISHER,,
Paul Lim,Reformed Theology in North America,10.1093/oxfordhb/9780198723912.013.10,The Oxford Handbook of Reformed Theology,2018,oxford University Press,,
Paul Lim,The Platonic Captivity of Primitive Christianity and the Enlightening of Augustine,10.1093/acprof:oso/9780190267070.003.0006,God in the Enlightenment,2016,oxford University Press,,
Herbert Marbury,,10.18574/nyu/9781479835966.001.0001,Pillars of Cloud and Fire: The Politics of Exodus in the African American Quest for Freedom,2015,New York University Press,,
Herbert Marbury,Introduction,10.18574/nyu/9781479835966.003.0001,Pillars of Cloud and Fire: The Politics of Exodus in the African American Quest for Freedom,2015,New York University Press,,
Herbert Marbury,1 Exodus,10.18574/nyu/9781479835966.003.0002,Pillars of Cloud and Fire: The Politics of Exodus in the African American Quest for Freedom,2015,New York University Press,,
Herbert Marbury,2 Exodus in the Wilderness,10.18574/nyu/9781479835966.003.0003,Pillars of Cloud and Fire: The Politics of Exodus in the African American Quest for Freedom,2015,New York University Press,,
Herbert Marbury,3 Exodus and Hurston,10.18574/nyu/9781479835966.003.0004,Pillars of Cloud and Fire: The Politics of Exodus in the African American Quest for Freedom,2015,New York University Press,,
Herbert Marbury,4 Exodus in the Civil Rights Era,10.18574/nyu/9781479835966.003.0005,Pillars of Cloud and Fire: The Politics of Exodus in the African American Quest for Freedom,2015,New York University Press,,
Herbert Marbury,5 Exodus at the Intersection of the Black Power Movement and the Black Church,10.18574/nyu/9781479835966.003.0006,Pillars of Cloud and Fire: The Politics of Exodus in the African American Quest for Freedom,2015,New York University Press,,
Herbert Marbury,Conclusion,10.18574/nyu/9781479835966.003.0007,Pillars of Cloud and Fire: The Politics of Exodus in the African American Quest for Freedom,2015,New York University Press,,
Herbert Marbury,Exogamy and Divorce in Ezra and Nehemiah,10.1093/oxfordhb/9780190261160.013.38,The Oxford Handbook of the Historical Books of the Hebrew Bible,2020,Oxford University Press,,
David Michelson,,10.1093/acprof:oso/9780198722960.001.0001,The Practical Christology of Philoxenos of Mabbug,2014,oxford University Press,,
David Michelson,1 Introduction,10.1093/acprof:oso/9780198722960.003.0001,The Practical Christology of Philoxenos of Mabbug,2014,oxford University Press,,
David Michelson,2 Ordaining Satan,10.1093/acprof:oso/9780198722960.003.0002,The Practical Christology of Philoxenos of Mabbug,2014,oxford University Press,,
David Michelson,3 In Pursuit of Divine Knowledge,10.1093/acprof:oso/9780198722960.003.0003,The Practical Christology of Philoxenos of Mabbug,2014,oxford University Press,,
David Michelson,4 Proof Texts for the Ineffable,10.1093/acprof:oso/9780198722960.003.0004,The Practical Christology of Philoxenos of Mabbug,2014,oxford University Press,,
David Michelson,"5 “Though He cannot be eaten, we consume Him”",10.1093/acprof:oso/9780198722960.003.0005,The Practical Christology of Philoxenos of Mabbug,2014,oxford University Press,,
David Michelson,6 Beginning the Discipleship of Christ,10.1093/acprof:oso/9780198722960.003.0006,The Practical Christology of Philoxenos of Mabbug,2014,oxford University Press,,
David Michelson,7 Conclusion,10.1093/acprof:oso/9780198722960.003.0007,The Practical Christology of Philoxenos of Mabbug,2014,oxford University Press,,
David Michelson,"Syriaca.org as a Test Case for Digitally Re-Sorting the Ancient World,",10.1163/9789004325234_005,Ancient Worlds in Digital Culture,2016,Brill,,
David Michelson,It is not the custom of our Syriac language…’: Reconsidering the Role of Translation in the Polemics of Philoxenos of Mabbug,10.4324/9781315243191-8,Shifting Cultural Frontiers in Late Antiquity,2012,Ashgate Press,,
David Michelson,Philoxenos of Mabbug: A Cappadocian Theologian on the Banks of the Euphrates?,10.1484/m.celama-eb.5.108243,"Motions of Late Antiquity: Religion, Politics, and Society from Constantine to Charlemagne,",2016,Brepols,,
David Michelson,“Philoxenos of Mabbug and the Simplicity of Evagrian Gnosis: Competing Uses of Evagrius in Early Sixth-Century Polemical Theology,10.2307/j.ctvpj7dsk.12,Evagrius and His Legacy,2016,University of Notre Dame Press,,
David Michelson,"Though He cannot be eaten, we consume Him’: Appeals to Liturgical Practice in the Christological Polemic of Philoxenos of Mabbug",10.31826/9781463214814-022,Malphono w-Rabo dMalphone: Studies in Honor of Sebastian P. Brock,2008,Gorgias Press,,
Graham Reside,The State of Mainline Protestantism Today,10.7312/hudn18360-003,the future of Mainline Protestantism,2015,new York University Press,,
Joerg Rieger,,10.1007/978-1-137-56844-1,Religious Experience and New Materialism,2016,Palgrave Macmillan,,
Joerg Rieger,Rethinking the New Materialism for Religion and Theology,10.1007/978-1-137-56844-1_6,Religious Experience and New Materialism,2016,Palgrave Macmillan,,
Joerg Rieger,,10.1093/019516119X.001.0001,Opting for the Margins: Postmodernity and Liberation in Christian Theology,2003,Oxford University Press,,
Joerg Rieger,Introduction,10.1093/019516119X.003.0001,Opting for the Margins: Postmodernity and Liberation in Christian Theology,2003,Oxford University Press,,
Joerg Rieger,Theology and the Power of the Margins in a Postmodern World,10.1093/019516119X.003.0010,Opting for the Margins: Postmodernity and Liberation in Christian Theology,2003,Oxford University Press,,
Joerg Rieger,,10.2307/j.ctv1hqdj3m.3,Empire and the Christian Tradition: New Readings of Classical Theologians,2007,fortress Press,,
Joerg Rieger,Christian Theology and Empires,10.2307/j.ctv1hqdj3m.6,Empire and the Christian Tradition: New Readings of Classical Theologians,2007,fortress Press,,
Joerg Rieger,Friedrich Schleiermacher,10.2307/j.ctv1hqdj3m.24,Empire and the Christian Tradition: New Readings of Classical Theologians,2007,fortress Press,,
Joerg Rieger,,10.1057/9781137339249,"Religion, Theology, and Class: Fresh Engagements after Long Silence",2013,palgrave Macmillan,,
Joerg Rieger,Introduction,10.1057/9781137339249_1,"Religion, Theology, and Class: Fresh Engagements after Long Silence",2013,palgrave Macmillan,,
Joerg Rieger,"Instigating Class Struggle? The Study of Class in Religion and Theology and Some Implications for Gender, Race, and Ethnicity",10.1057/9781137339249_11,"Religion, Theology, and Class: Fresh Engagements after Long Silence",2013,palgrave Macmillan,,
Joerg Rieger,Deep Solidarity: Dealing with Oppression and Exploitation Beyond Charity and Advocacy,10.5325/j.ctv14gp64t.12,Ecological Solidarities: Mobilizing Faith and Justice for an Entangled World,2019,Penn State University Press,,
Joerg Rieger,The Bible in the German Empire,10.1093/oxfordhb/9780190888459.013.27,Oxford handbook of Postcolonial Biblical Criticism,2019,Oxford University Press,,
Joerg Rieger,Working with Environmental Economists,10.5040/9780567675187.0013,T&T Clark Handbook of Christian Theology and Climate Change,2020,T&T Clark,,
Joerg Rieger,Grassroots Social Movements and Political Theology,10.1002/9781119133759.ch40,The Wiley Blackwell Companion to Political Theology,2018,Wiley,,
Joerg Rieger,Theology and Exclusion: From Charity to Advocacy to Deep Solidarity,10.4324/9781315209456-7,Theology and Civil Society,2018,Routledge,,
Joerg Rieger,Welcome to the Great American Middle Class: From the American Dream to Deep Solidarity,10.1057/9781137372215_7,"Theological Perspectives for Life, Liberty, and the Pursuit of Happiness",2013,Palgrave Macmillan,,
Joerg Rieger,Losing Confidence in Free-Market Economics and Free-Market Religion: Recovering True Hope.,10.5040/9781472594662.ch-014,"Loss and Hope: Global, Interreligious and Interdisciplinary Perspectives",2014,Bloomsbury,,
Joerg Rieger,"Responses to Miles, Perdue, West, and Boer.",10.2307/j.ctt1b7x69m.15,Postcolonialism and the Hebrew Bible: The Next Step,2013,SBL Press,,
Joerg Rieger,“Reconfiguring the Common Good and Religion in the Context of Capitalism: Abrahamic Alternatives,10.2307/j.ctt17t74qs.10,"Common Goods: Economy, Ecology, and Political Theology.",2015,Fordham University Press,,
Joerg Rieger,Religious Activism,10.4135/9781412956215.n732,Encyclopedia of Activism and Social Justice,2007,Sage,,
Joerg Rieger,Option for the poor,10.4135/9781412956215.n636,Encyclopedia of Activism and Social Justice,2007,Sage,,
Joerg Rieger,Jesus Christ,10.2307/j.ctv1hqdhmw.9,Constructive Theology: A Contemporary Approach to Classical Themes,2005,Fortress Press,,
Fernando Segovia,,10.2307/j.ctt9qh241,"Latino/a Biblical Hermeneutics: Problematics, Objectives, Strategies",2014,sbl Press,,
Fernando Segovia,Introduction: Approaching Latino/a Biblical Criticism: A Trajectory of Visions and Missions,10.2307/j.ctt9qh241.5,"Latino/a Biblical Hermeneutics: Problematics, Objectives, Strategies",2014,sbl Press,,
Fernando Segovia,Advancing Latino/a Biblical Criticism: Visions and Missions for the Future,10.2307/j.ctt9qh241.21,"Latino/a Biblical Hermeneutics: Problematics, Objectives, Strategies",2014,sbl Press,,
Fernando Segovia,,10.2307/j.ctt32c046,The Future of the Biblical Past,2012,SBL Press,,
Fernando Segovia,Introduction: The Futures of Biblical Pasts,10.2307/j.ctt32c046.4,The Future of the Biblical Past,2012,SBL Press,,
Fernando Segovia,Cultural Criticism: Expanding the Scope of Biblical Criticism,10.2307/j.ctt32c046.24,The Future of the Biblical Past,2012,SBL Press,,
Fernando Segovia,,10.2307/j.ctv1fx4hdx,They Were All Together in One Place? Toward Minority Biblical Criticism,2009,SBL Press,,
Fernando Segovia,Preface,10.2307/j.ctv1fx4hdx.3,They Were All Together in One Place? Toward Minority Biblical Criticism,2009,SBL Press,,
Fernando Segovia,"Toward Minority Biblical Criticism: Framework, Contours, Dynamics",10.2307/j.ctv1fx4hdx.6,They Were All Together in One Place? Toward Minority Biblical Criticism,2009,SBL Press,,
Fernando Segovia,Toward Latino/a American Biblical Criticism: Latin(o/a)ness as Problematic,10.2307/j.ctv1fx4hdx.14,They Were All Together in One Place? Toward Minority Biblical Criticism,2009,SBL Press,,
Fernando Segovia,Toward Minority Biblical Criticism: A Reflection on Achievements and Lacunae ,10.2307/j.ctv1fx4hdx.21,They Were All Together in One Place? Toward Minority Biblical Criticism,2009,SBL Press,,
Fernando Segovia,"Foreword A Call to Personal, Transformative, Autobiographical Criticism: Reflections on the Work of Ingrid Rosa Kitzberger",10.2307/j.ctvrs8z3v.5,Interfigural Readings of the Gospel of John,2019,SBL Press,,
Fernando Segovia,Intercultural Bible Reading as Transformation for Liberation: Intercultural Hermeneutics and Biblical Studies,10.2307/j.ctt18z4h3g.4,Bible and Transformation: The Promise of Intercultural Bible Reading,2015,SBL Press,,
Fernando Segovia,Postcolonial Criticism and the Gospel of Matthew,10.1017/cbo9780511627118.009,Methods for Matthew,2009,Cambridge University press,,
C.L. Seow,Divine Justice in the Book of Job,10.1017/9781108562072.022,The Cambridge Companion to the Hebrew Bible and Ethics,2020,Cambridge University press,,
C.L. Seow,Perspectives on a Pluriform Classic,10.5040/9780567687357.0014,Other Peoples’ Texts: Social Identity and the Reception of Authoritative Traditions.,2020,Bloomsbury,,
C.L. Seow,Hope in Two Keys: Musical Impact and the Poetics of Job 14,10.1163/ej.9789004179776.i-640.112,"Congress Volume, Lubljana 2007",2010,Brill,,
C.L. Seow,"Job’s Gōʾēl, Again",10.1515/9783110910001.689,Gott und Mensch im Dialog: Festschrift für Otto Kaiser zum 80,2004,De Gruyter,,
C.L. Seow,West Semitic Sources,10.2307/j.ctvkwnng3.16,Prophets and Prophecy in the Ancient Near East,2003,Scholars Press,,
C.L. Seow,The Social World of Ecclesiastes,10.1017/cbo9781107337695.010,"Money as God? The Monetization of the Market and its Impact on Religion, Politics, Law, and Ethics",2014,Cambridge University press,,
C.L. Seow,,10.5040/9780300261295,Ecclesiastes: A New Translation with Introduction and Commentary.,1997,Yale University Press,,
C.L. Seow,Introduction,10.5040/9780300261295.0007,Ecclesiastes: A New Translation with Introduction and Commentary.,1997,Yale University Press,,
C.L. Seow,A Select Bibliography,10.5040/9780300261295.0008,Ecclesiastes: A New Translation with Introduction and Commentary.,1997,Yale University Press,,
C.L. Seow,Superscription,10.5040/9780300261295.0009.CH001,Ecclesiastes: A New Translation with Introduction and Commentary.,1997,Yale University Press,,
C.L. Seow,Reflection: Everything is Ephemeral and Unreliable,10.5040/9780300261295.0009.CH002,Ecclesiastes: A New Translation with Introduction and Commentary.,1997,Yale University Press,,
C.L. Seow,Ethics: Coping with Uncertainty,10.5040/9780300261295.0009.CH003,Ecclesiastes: A New Translation with Introduction and Commentary.,1997,Yale University Press,,
C.L. Seow,Reflection: Everything is Elusive,10.5040/9780300261295.0009.CH004,Ecclesiastes: A New Translation with Introduction and Commentary.,1997,Yale University Press,,
C.L. Seow,Ethics: Coping with Risks and Death,10.5040/9780300261295.0009.CH005,Ecclesiastes: A New Translation with Introduction and Commentary.,1997,Yale University Press,,
C.L. Seow,From Mountain to Mountain: The Reign of God in Daniel 2,10.1515/9781575065366-026,A God So Near: Essays in Honor of Patrick D. Miller,2002,Eisenbrauns,,
Phillis Sheppard,,10.1057/9780230118027,"Self, Culture and Others in Womanist Practical Theology",2011,Palgrave Macmillan,,
Phillis Sheppard,Black As You See Me,10.1057/9780230118027_1,"Self, Culture and Others in Womanist Practical Theology",2011,Palgrave Macmillan,,
Phillis Sheppard,"Black Women’s Experience of Religion, Race, and Gender",10.1057/9780230118027_2,"Self, Culture and Others in Womanist Practical Theology",2011,Palgrave Macmillan,,
Phillis Sheppard,The Current Shape of Womanist Practical Theology,10.1057/9780230118027_3,"Self, Culture and Others in Womanist Practical Theology",2011,Palgrave Macmillan,,
Phillis Sheppard,"Suffering and Pain, Longing and Love: The Embedded Psychology in Womanist Perspectives",10.1057/9780230118027_4,"Self, Culture and Others in Womanist Practical Theology",2011,Palgrave Macmillan,,
Phillis Sheppard,Black Psychoanalysis and Black Feminist Psychoanalytic Literary Criticism: Resources toward a Critical Appropriation of Psychoanalysis,10.1057/9780230118027_5,"Self, Culture and Others in Womanist Practical Theology",2011,Palgrave Macmillan,,
Phillis Sheppard,Black Women and Self Psychology: Toward a Usable Dialogue,10.1057/9780230118027_6,"Self, Culture and Others in Womanist Practical Theology",2011,Palgrave Macmillan,,
Phillis Sheppard,Black Embodiment and Religious Experience after Trauma: A Womanist Self Psychological Perspective on Mourning the Loss of Cultural Selfobjects,10.1057/9780230118027_7,"Self, Culture and Others in Womanist Practical Theology",2011,Palgrave Macmillan,,
Phillis Sheppard,"A Dark Body of Goodness Created in the Image of God: Navigating Sexuality, Race, and Gender, Alone and Together",10.1057/9780230118027_8,"Self, Culture and Others in Womanist Practical Theology",2011,Palgrave Macmillan,,
Phillis Sheppard,Black and Beautiful: Reading the “Song of Songs”,10.1057/9780230118027_9,"Self, Culture and Others in Womanist Practical Theology",2011,Palgrave Macmillan,,
Phillis Sheppard,Final Thoughts,10.1057/9780230118027_10,"Self, Culture and Others in Womanist Practical Theology",2011,Palgrave Macmillan,,
Phillis Sheppard,"Raced Bodies: Portraying Bodies, Reifying Racism",10.1163/9789004324244_011,Conundrums in Practical Theology,2016,Brill,,
Phillis Sheppard,Womanist Pastoral Theology and Black Women’s Experience of Religion & Sexuality,10.1002/9781119292586.ch6,Pastoral theology and Care: Critical Trajectories in Theory and Practice,2018,John Wiley Press,,
Lisa Thompson,,10.2307/j.ctvp7d5c9,Preaching the Headlines,2021,fortress Press,,
Lisa Thompson,Introduction: We’ve Found Ourselves,10.2307/j.ctvp7d5c9.4,Preaching the Headlines,2021,fortress Press,,
Lisa Thompson,"1 Straight, No Chasers: Guiding Assumptions",10.2307/j.ctvp7d5c9.5,Preaching the Headlines,2021,fortress Press,,
Lisa Thompson,"2 Fleshy Parts: Race, Gender, Sex, Abilities, and Other Bodily Matters",10.2307/j.ctvp7d5c9.6,Preaching the Headlines,2021,fortress Press,,
Lisa Thompson,"3 Taboo Conversations: Religion, Money, and Politics",10.2307/j.ctvp7d5c9.7,Preaching the Headlines,2021,fortress Press,,
Lisa Thompson,"4 Struggles for Belonging: Environment, Land, and Borders",10.2307/j.ctvp7d5c9.8,Preaching the Headlines,2021,fortress Press,,
Lisa Thompson,5 More Than Headlines: Preaching in Practice,10.2307/j.ctvp7d5c9.9,Preaching the Headlines,2021,fortress Press,,
Lisa Thompson,Conclusion: What Matters Most,10.2307/j.ctvp7d5c9.10,Preaching the Headlines,2021,fortress Press,,
Emilie Townes,,10.1057/9780230601628,Womanist Ethics and the Cultural Production of Evil,2006,Palgrave Macmillan,,
Emilie Townes,The Womanist Dancing Mind: Cavorting with Culture and Evil,10.1057/9780230601628_1,Womanist Ethics and the Cultural Production of Evil,2006,Palgrave Macmillan,,
Emilie Townes,Sites of Memory: Proceedings too Terrible to Relate,10.1057/9780230601628_2,Womanist Ethics and the Cultural Production of Evil,2006,Palgrave Macmillan,,
Emilie Townes,Vanishing into Limbo: The Moral Dilemma of Identity as Property and Commodity,10.1057/9780230601628_3,Womanist Ethics and the Cultural Production of Evil,2006,Palgrave Macmillan,,
Emilie Townes,Invisible Things Spoken: Uninterrogated Coloredness,10.1057/9780230601628_4,Womanist Ethics and the Cultural Production of Evil,2006,Palgrave Macmillan,,
Emilie Townes,Legends Are Memories Greater than Memories: Black Reparations in the United States as Subtext to Christian Triumphalism and Empire,10.1057/9780230601628_5,Womanist Ethics and the Cultural Production of Evil,2006,Palgrave Macmillan,,
Emilie Townes,"To Pick One’s Own Cotton: Religious Values, Public Policy, and Women’s Moral Autonomy",10.1057/9780230601628_6,Womanist Ethics and the Cultural Production of Evil,2006,Palgrave Macmillan,,
Emilie Townes,Growing like Topsy: Solidarity in the Work of Dismantling Evil,10.1057/9780230601628_7,Womanist Ethics and the Cultural Production of Evil,2006,Palgrave Macmillan,,
Emilie Townes,Everydayness: Beginning Notes on Dismantling the Cultural Production of Evil,10.1057/9780230601628_8,Womanist Ethics and the Cultural Production of Evil,2006,Palgrave Macmillan,,
Emilie Townes,Uninterrogated Coloredness and Its Kin,10.1057/9781137311825.0013,The Reemergence of Liberation Theologies: Models for the Twenty-First Century,2013,Palgrave Macmillan,,
Emilie Townes,Walking on the Rimbones of Nothingness: Embodied Scholarship for Those of Way Down Under the Sun,10.2307/j.ctt22nm96r.21,"Ethics That Matters: African, Caribbean, and African American Sources",2012,fortress Press,,
Emilie Townes,African American Churches and Reproductive Health Rights,10.2307/j.ctv125jg5x.10,The Long March Ahead: African American Churches and Public Policy in Post-Civil Rights,2005,Duke University Press,,
Victor Anderson,Revives My Soul Again: The Spirituality of Martin Luther King Jr,10.2307/j.ctv513ds2,,Fortress Press,2018,,
Victor Anderson,Beyond Ontological Blackness: An Essay on African American Religious and Cultural Crticism,10.5040/9781474287678,,Bloomsbury,2016,,
Ellen Armour,Signs and Wonders: Religion After Modernity.,10.7312/armo17248,,Columbia University Press,2016,,
Annalisa Azzoni,The Private Life of Women in Persian Egypt,10.1515/9781575068589,,Eisenbrauns,2013,,
James P. Byrd,"Sacred Scripture, Sacred War: The Bible and the American Revolution",10.1093/acprof:oso/9780199843497.001.0001,,Oxford University Press,2013,,
Paul DeHart,Creation and Transcendence: Theological Essays on the Divine Sublime,10.5040/9780567698728,,Bloomsbury,2021,,
Juan Floyd-Thomas,The Origins of Black Humanism in America: Reverend Ethelred Brown and the Unitarian Church,10.1057/9780230615823,,Palgrave Macmillan,2008,,
Jaco J. Hamman,"Just Traveling: God, Leaving Home, and a Spirituality for the Road",10.2307/j.ctv1khdp3t,,Fortress Press,2021,,
James Hudnut-Beumler,Strangers and Friends at the Welcome Table: Contemporary Christianities in the American South,10.5149/northcarolina/9781469640372.001.0001,,University of North Carolina Press,2018,,
James Hudnut-Beumler,The Future of Mainline Protestantism,10.7312/hudn18360,,Columbia University Press,2018,,
Paul Lim,Mystery Unveiled: The Crisis of the Trinity in Early Modern England.,10.1093/acprof:oso/9780195339468.001.0001,,Oxford University Press,2012,,
Paul Lim,"In Pursuit of Purity, Unity, and Liberty",10.1163/9789047405214,,Brill,2004,,
Paul Lim,The Cambridge Companion to Puritanism,10.1017/ccol9780521860888,,Cambridge,2008,,
Herbert Marbury,Pillars of Cloud and Fire: The Politics of Exodus in the African American Quest for Freedom,10.18574/nyu/9781479835966.001.0001,,New York University Press,2015,,
David Michelson,The Practical Christology of Philoxenos of Mabbug,10.1093/acprof:oso/9780198722960.001.0001,,Oxford University Press,2014,,
Joerg Rieger,Religious Experience and New Materialism,10.1007/978-1-137-56844-1,,Palgrave Macmillan,2016,,
Joerg Rieger,Opting for the Margins: Postmodernity and Liberation in Christian Theology,10.1093/019516119X.001.0001,,oxford University Press,2003,,
Joerg Rieger,Empire and the Christian Tradition: New Readings of Classical Theologians,10.2307/j.ctv1hqdj3m.3,,fortress Press,2007,,
Joerg Rieger,"Religion, Theology, and Class: Fresh Engagements after Long Silence",10.1057/9781137339249,,palgrave Macmillan,2013,,
Fernando Segovia,"Latino/a Biblical Hermeneutics: Problematics, Objectives, Strategies",10.2307/j.ctt9qh241,,SBL Press,2014,,
Fernando Segovia,The Future of the Biblical Past,10.2307/j.ctt32c046,,SBL Press,2012,,
Fernando Segovia,They Were All Together in One Place? Toward Minority Biblical Criticism,10.2307/j.ctv1fx4hdx.6,,SBL Press,2009,,
Phillis Sheppard,"Self, Culture and Others in Womanist Practical Theology",10.1057/9780230118027,,Palgrave Macmillan,2011,,
C.L. Seow,Ecclesiastes: A New Translation with Introduction and Commentary.,10.5040/9780300261295,,Yale University Press,1997,,
Lisa Thompson,Preaching the Headlines,10.2307/j.ctvp7d5c9,,Fortress Press,2021,,
Emilie Townes,Womanist Ethics and the Cultural Production of Evil,10.1057/9780230601628,,Palgrave Macmillan,2006,,
Juan Floyd-Thomas,Religion in the Age of Obama,10.5040/9781350041073,,Bloomsbury,2018,,
