qid,label_en,language_of_work_uuid,language_of_work,language_of_work_ref1_hash,language_of_work_ref1_statedIn,language_of_work_ref1_referenceUrl,language_of_work_ref1_retrieved_nodeId,language_of_work_ref1_retrieved_val,language_of_work_ref1_retrieved_prec
Q18215981,Sage Open,,,,,,,,
Q1825683,The Christian Century,606ABEFE-D2DE-43EB-8BBD-2C8815FBC725,Q1860,,,,,,
Q18350356,Humanity & Society,DA4D3CDD-0435-4EA9-9B0A-B2AB0902EF24,Q1860,,,,,,
Q18392457,Spring,7070EB87-A2D5-420C-A6DE-7C5D64A05675,Q1860,,,,,,
Q186695,Zeitschrift fuer Kirchengeschichte,B22398FD-6A65-4FB0-BD20-F3C92A56460C,Q188,,,,,,
Q186695,Zeitschrift fuer Kirchengeschichte,FF70A9FC-6225-4777-A3BA-06EF757839A5,Q1860,,,,,,
Q186800,Zeitschrift fuer die Alttestamentliche Wissenschaft,A96ECC30-6F89-4F7C-B782-51442E60E1CC,Q188,,,,,,
Q186800,Zeitschrift fuer die Alttestamentliche Wissenschaft,D98BEA93-2E81-469E-AE3F-C1F2F03A2551,Q1860,,,,,,
Q19392473,Tidsskrift for teologi og kirke,359bb10c-4f80-5928-496a-7c3b5f614f50,Q9043,,,,,,
Q1941982,Modern Austrian Literature,32a70d20-4113-d122-26cf-1e8ad55e46fc,Q1860,,,,,,
Q1941982,Modern Austrian Literature,cac56068-41ef-6399-1183-1ba2dd51cd9d,Q188,,,,,,
Q1952131,The International Journal of Psychoanalysis,223BA0B3-7C70-429A-A0BE-A7CA07210D5F,Q1860,,,,,,
Q1953273,Nova Religio,A4B971F6-2612-42BE-A163-1883792465D6,Q1860,,,,,,
Q20081140,Church History : Studies in Christianity and Culture,DE8FB64A-7C93-4164-86DA-6B92C96EEB11,Q1860,5684f0c6e66933dafb26b3f932ab13cbeae7bccf,Q1201886,http://mjl.clarivate.com/publist_ah.pdf,,,
Q20925657,The American Historian,,,,,,,,
Q2285224,Signs,2E27FC87-AA44-497E-81E7-423B4C17B430,Q1860,,,,,,
Q22907599,Currents in Theology and Mission,42F03D04-CD6A-4387-9F61-238AA0899B4B,Q1860,1ae5bbacec9719dbc99424f89df18e06f4490ec7,,,0a8f688406e3fc53d0119eafcd2c0396,2019-09-08T00:00:00Z,11
Q22908629,Semeia,bcdfed5f-4370-880a-4ea8-e536f2beb2cc,Q1860,,,,,,
Q22908629,Semeia,57ac6348-4f9a-c81a-8383-5643f0a65d51,Q9288,,,,,,
Q22908629,Semeia,7505955c-4ae5-6890-2f0c-19b6516e0bba,Q9129,,,,,,
Q24037678,H-Net Reviews,3d9e3a1f-49b0-81e3-3303-2f17993f0138,Q188,,,,,,
Q24037678,H-Net Reviews,b59c1aca-42e0-bcac-c4a0-8aa66fc33cd3,Q1860,,,,,,
Q2412214,The Jewish Quarterly Review,5F86828B-37B1-4808-B0E2-DD0086D3CACC,Q1860,,,,,,
Q27711434,Health progress,DA974393-C3FA-4A53-8C66-244E2F59017D,Q1860,,,,,,
Q27713170,"Second opinion (Park Ridge, Ill.)",343d7c77-4d4d-151e-2258-6ee861446e8f,Q1860,,,,,,
Q27715539,Baptist history and heritage,893ab0c4-4a8a-f178-8f2e-f348232acc1d,Q1860,,,,,,
Q27715702,The Centennial review,ae294d7c-4da7-bda2-71a0-3546edb5760e,Q1860,,,,,,
Q27715950,Koinonia,50e87a4a-4634-c1ee-7894-8c4ccf4725f6,Q1860,,,,,,
Q27716433,Soviet studies,df27d884-411b-8e0b-161b-2fb4cc14dfdb,Q1860,,,,,,
Q27716914,Sh'ma : a journal of Jewish responsibility,A4C604EF-C252-4017-9DF0-9DEDDD609AB0,Q1860,,,,,,
Q27716917,Christianity and crisis,784ef140-420d-6f5e-658a-f9e9889fbe2f,Q1860,,,,,,
Q27716963,U.S. Catholic,b6a1c704-45f1-a5a7-0423-856fd070330d,Q1860,,,,,,
Q27717019,Church and society,55065c29-4e83-9e77-8b34-6a3171a657cb,Q1860,,,,,,
Q27717126,Wesleyan theological journal,60679362-4f2b-097d-22bb-5c5a9059cbfa,Q1860,,,,,,
Q27717156,Criterion,bff8c6ed-4834-1120-7bb8-fc24da761196,Q1860,,,,,,
Q27717207,Encounter,257e822f-4220-8fa6-a2ab-cbf1943397d2,Q1860,,,,,,
Q27717700,Research in the sociology of health care,,,,,,,,
Q27718682,The Western journal of black studies,29EF726F-62C5-4447-BCD7-650EF50EC84E,Q1860,,,,,,
Q27719187,Bulletin of the Park Ridge Center,d993eefc-42c1-e338-4a6e-eb81d2d90156,Q1860,,,,,,
Q27719353,Conscience,113F960E-2684-4FBD-8AAC-7E494640771F,Q1860,,,,,,
Q27722157,Simulation in healthcare,81DA3CFD-A0A6-4ED1-9325-601286C5E110,Q1860,,,,,,
Q27723089,American Baptist quarterly,ccbd3adf-46f3-c1f8-38a2-4897297894c6,Q1860,,,,,,
Q27724813,Journal for social action in counseling and psychology,b902186e-4a2f-4214-b2ce-31e4fdc7e907,Q1860,,,,,,
Q27724813,Journal for social action in counseling and psychology,a7d69f35-4ade-6111-55de-3ada777f910a,Q1321,,,,,,
Q27724937,The journal of the Interdenominational Theological Center,A3B66BAA-8892-44AD-9FC7-71E8BB08E27F,Q1860,,,,,,
Q27725823,International journal of social science studies,F80F8A25-3558-442D-8C9B-90A3A484DC47,Q1860,,,,,,
Q28152794,The Biblical Archaeologist,078ba79a-41c2-d275-f61b-595b26a0e527,Q1860,,,,,,
Q2842807,America,D401E9E4-1C4E-4472-941E-69F2B3099F00,Q1860,,,,,,
Q28872485,Revue germanique internationale,1fb1bdb6-46a9-69f7-81fa-d72ce11076cb,Q150,,,,,,
Q28872485,Revue germanique internationale,68a040eb-48b3-ea7f-1785-e68195e12f24,Q188,,,,,,
Q303410,Concilium,8DB6130B-07CF-458C-8394-2F1A68249BCE,Q20923490,8b47403953995466a76fe5a927fc9984a66d15ef,,,0a8f688406e3fc53d0119eafcd2c0396,2019-09-08T00:00:00Z,11
Q3074754,Focus,c75228ce-4533-a039-ffc9-cb8a426deb95,Q1860,,,,,,
Q3138561,History Today,E1C4FF20-02E8-4A2C-91BE-72F56F0D3D1D,Q1860,,,,,,
Q3521429,The Jerusalem Report,6830C0EE-8F77-44F4-AF19-DEC5300F2036,Q1860,,,,,,
Q3523724,Theological Studies,7D087217-526A-4A54-B637-6E4077DAB196,Q1860,,,,,,
Q3656266,American Imago,2125389D-42C4-4EEE-AEFD-0047FE2BEBD9,Q1860,,,,,,
Q3669366,Perspectives in Biology and Medicine,42A61DDE-BA8A-4857-BE6A-1D6D01104475,Q1860,,,,,,
Q38312865,New Directions for Philanthropic Fundraising,5273652e-42dc-9fc2-8e49-3c744daa6846,Q1860,,,,,,
Q389936,The American Historical Review,34633BF0-3DED-422E-B7CC-015FAC2CCF4A,Q1860,,,,,,
Q4041879,Journal of Biblical Literature,0D3D36DA-1762-48C1-8A12-815ABE753E4A,Q1860,,,,,,
Q4041903,The Journal of Theological Studies,64913AF7-607D-44CD-864D-578D4FCF6339,Q1860,,,,,,
Q4051385,HTS Theological Studies/Teologiese Studies,785b929b-43e1-9710-cf0a-21cfca04af77,Q14196,,,,,,
Q4051385,HTS Theological Studies/Teologiese Studies,B9221C44-540B-4735-8AEA-BD5B5EF19F7D,Q1860,,,,,,
Q4051386,Theology Today,B094877F-2E5D-433C-AB0E-2320FC935D7B,Q1860,,,,,,
Q4903105,Bible Review,898eacce-4a6e-0c71-9144-f502fbe3e25b,Q1860,,,,,,
Q4903257,Biblica,CA85AC79-80AA-4DD1-B55A-5987802A8E16,Q20923490,8b47403953995466a76fe5a927fc9984a66d15ef,,,0a8f688406e3fc53d0119eafcd2c0396,2019-09-08T00:00:00Z,11
Q4903261,Biblical Archaeology Review,447CCDAA-609A-473F-91D1-936280C1EDFF,Q1860,,,,,,
Q4903264,Biblical Interpretation,7D6FD462-9D74-4B23-BAE6-109739E7E393,Q1860,,,,,,
Q4903269,Biblical Theology Bulletin,D769D115-34B3-4FF3-9AD7-93942BAB0C4D,Q1860,,,,,,
Q4914884,Biography,B2C245E1-D2C7-4118-BF6E-4F8E7D196494,Q1860,,,,,,
Q4984286,Buddhist-Christian Studies,3AD6A47B-EDFA-4B43-AEC7-46D387BCB75D,Q1860,,,,,,
Q5024509,Calvin Theological Journal,94D1E6BB-13B6-4019-A4D7-10E05AB2F200,Q1860,,,,,,
Q50426286,Estudos Teológicos,4dc15168-4537-ee3a-b690-5df46ee19de4,Q1321,,,,,,
Q50426286,Estudos Teológicos,a9762d45-4f3f-04e9-8f16-02e493bb28ed,Q5146,,,,,,
Q50426286,Estudos Teológicos,e8b6e933-40cf-4ecd-0041-539e5f3fbbe1,Q1860,,,,,,
Q50426426,Estudos de Religião,07d81ca0-4ed9-af8a-f1ce-f0064fac91c4,Q5146,,,,,,
Q50432461,Nederduitse Gereformeerde Teologiese Tydskrif,6b1bc1fe-4401-31ce-32c1-f57ab8f51ae2,Q7411,,,,,,
Q50432461,Nederduitse Gereformeerde Teologiese Tydskrif,62d41c8e-4beb-873a-aee9-441a2679c508,Q1860,,,,,,
Q50434867,XVII-XVIII,679fbadb-4a53-7bcc-aabb-c6027c0c90e6,Q150,,,,,,
Q50478535,The Covenant Quarterly,e9d90614-43d3-b858-f305-2c43be2c5501,Q1860,,,,,,
Q5053078,Catholic Biblical Quarterly,88D0DA60-0006-4DF6-ACFE-0824FE085A5F,Q1860,,,,,,
Q5061045,Central European History,2F3D8AE2-D414-4C94-83D0-14D443C09E56,Q1860,,,,,,
Q50814896,Studies in Christian-Jewish Relations,8785be2a-4e33-1d83-f803-22e48edc3641,Q1860,,,,,,
Q50815593,Journal of French and Francophone Philosophy,dc85125d-40bd-1cd7-15b7-913ba7ca8ca8,Q1860,,,,,,
Q50816836,Podium,,,,,,,,
Q5123518,City and Community,240EC22A-4BF3-4DB8-9FCE-3870E3F1D161,Q1860,,,,,,
Q5146365,College English,B94CB98B-6206-4353-8876-04D76C3B5566,Q1860,5684f0c6e66933dafb26b3f932ab13cbeae7bccf,Q1201886,http://mjl.clarivate.com/publist_ah.pdf,,,
Q5158991,Concordia Theological Quarterly,2FE5B4BB-C25B-4B0E-BC42-3DBB4B02804C,Q1860,,,,,,
Q5165005,Contemporary Sociology,104235BE-230C-4084-8875-C6BEAEF82505,Q1860,,,,,,
Q5188217,CrossCurrents,8AC8C2E8-475D-43F1-9B80-645B649C06DA,Q1860,,,,,,
Q5281463,DisciplesWorld,14baeaaa-44fa-8a0d-1e99-08450caaf161,Q1860,,,,,,
Q5382167,Ephemerides Theologicae Lovanienses,1743F56E-1A2B-4D21-8A01-61BF7CAB0B2D,Q188,,,,,,
Q5382167,Ephemerides Theologicae Lovanienses,9C1D09D6-BB0D-488E-BA67-CB77D6C2A48C,Q1860,5684f0c6e66933dafb26b3f932ab13cbeae7bccf,Q1201886,http://mjl.clarivate.com/publist_ah.pdf,,,
Q5382167,Ephemerides Theologicae Lovanienses,FDA8D5AE-0E22-45EF-9DD9-24A862949E5D,Q150,,,,,,
Q5419149,Ex Auditu,882D1F31-3865-424C-B060-7369C4A8888A,Q1860,,,,,,
Q5421618,Expository Times,6E6D0951-A0E7-435C-A493-AFD432F0CDE7,Q1860,,,,,,
Q5433232,Family Relations,EB421056-E026-4F80-B655-AE4CB504F604,Q1860,,,,,,
Q5442855,Feminist Criminology,F16E7A98-59DC-4F02-94FF-6CC752229FF4,Q1860,,,,,,
Q5442869,Feminist Theology,09BF52D2-B153-445E-9F6C-7A3449D0B9CC,Q1860,,,,,,
Q5448899,Film & History,F4D74271-ED58-4B3F-AE5C-EEF726297AD3,Q1860,,,,,,
Q5551256,German Studies Review,693C0729-C970-4D3D-A13B-C017C9839414,Q1860,,,,,,
Q5551256,German Studies Review,bc2495fc-4cc5-264a-5ad1-e34335b226b6,Q188,,,,,,
Q5618698,Holocaust and Genocide Studies,5517A04F-A6DC-4710-93B1-C0EEE4A0098E,Q1860,,,,,,
Q5676604,Harvard Theological Review,6C533179-E7D1-4803-A743-958FDA5EE848,Q1860,,,,,,
Q57070350,,,,,,,,,
Q5715171,Henoch,1734AC09-D197-43F9-94E4-E1935862F334,Q1321,,,,,,
Q5715171,Henoch,2FBC5830-9C2D-402E-B6C8-FF80BCF68704,Q1860,,,,,,
Q5715171,Henoch,4078F61E-49FF-4D33-A01A-28A459F3BFCF,Q150,,,,,,
Q5715171,Henoch,897C5D39-6DCF-481B-A9FA-35CBE61CA02F,Q188,,,,,,
Q57615071,Critical Research on Religion,ff3b1da5-4133-a7e9-d8ff-159a020e2cb7,Q1860,,,,,,
Q589209,Bulletin of the American Schools of Oriental Research,5C4EE117-0103-48B2-86F0-9E4F5A9B62B9,Q1860,3d4c2d0401b1f1a7077ca569164c970f8b3d2419,Q186844,,a7668887939b2b330fa0c60fe1f247f4,2019-12-18T00:00:00Z,11
Q5957267,Hypatia (journal),AF86AF92-ECFF-4BC2-A7A3-FEFDDEA5BD39,Q1860,,,,,,
Q6005495,The Historian,14F76781-7834-4A0D-BA68-B4FDCEB158F0,Q1860,,,,,,
Q6071283,Irish Theological Quarterly,99BF7280-7C40-4519-B63C-C2CB6EBAFBA1,Q1860,,,,,,
Q6087079,Proceedings of the American Philosophical Society,8EBE06DA-DA6E-4E76-B92B-700A69BFF627,Q1860,,,,,,
Q62259203,Journal of Africana Religions,dd3ced66-4eb5-e20f-b1dd-3210cff53246,Q1860,,,,,,
Q6294702,Journal for the Scientific Study of Religion,E19BD72A-3B72-4DB7-8C6D-E56C11FFA2D9,Q1860,,,,,,
Q6294705,Journal for the Study of the Historical Jesus,ba1ead41-4eca-9ad0-d05b-d1c8cb6c292f,Q1860,,,,,,
Q6294706,Journal for the Study of the New Testament,719ED642-5A3E-4CB0-AE32-FAF2AC683B16,Q1860,,,,,,
Q6294708,Journal for the Study of the Old Testament,2F9E09AE-961B-4E27-AA5F-D99A6E795C71,Q1860,,,,,,
Q6294865,Journal of Black Studies,2F1CDBD8-2CE0-44BD-AFA8-D2CF05C45DFC,Q1860,,,,,,
Q6294876,Journal of British Studies,05AE260A-51DA-48F4-A628-6F239C3E84C6,Q1860,,,,,,
Q6294950,Journal of Church and State,1301DB77-8090-4A5B-8C96-584EB24467F6,Q1860,,,,,,
Q6295462,Journal of Lutheran Ethics,FF210B49-EF66-4E46-B2E3-A00AFD9865A2,Q1860,,,,,,
Q6295487,Journal of Marriage and Family,346C7BBC-525A-4FC4-9F52-B89CD8093F2A,Q1860,,,,,,
Q6295630,Journal of Near Eastern Studies,2A58CB0B-3922-45DF-B647-6F51996C0419,Q1860,,,,,,
Q6295844,Journal of Religion & Health,6F2A2D49-F7AD-4AA8-95F7-B377C4900B4C,Q1860,,,,,,
Q6295853,Journal of Religious History,0DD312F7-E982-4DEA-ACF3-FBBC451C1C60,Q1860,,,,,,
Q6296105,Journal of the American Oriental Society,39A6FCC3-1B42-4F9B-9490-67308EDB68DF,Q1860,,,,,,
Q635631,Archiv für Orientforschung,d4100e07-471d-f6d4-27c6-6439e64fcd33,Q188,,,,,,
Q63871713,Journal of Pastoral Theology,21c0a9f0-4579-4d7f-cd2b-02f1319eb33d,Q1860,,,,,,
Q63871731,Liturgy,254169ba-4a88-d8b7-f4d3-737e0536ba45,Q1860,,,,,,
Q63871802,The Review of Faith & International Affairs,c3c35b40-4d50-663d-9820-99b3d2759819,Q1860,,,,,,
Q64596209,,,,,,,,,
Q68836075,Social Problems,,,,,,,,
Q6888731,Modern Language Quarterly,66361E25-2201-4E43-8670-6DDAAFCBD8A6,Q1860,5684f0c6e66933dafb26b3f932ab13cbeae7bccf,Q1201886,http://mjl.clarivate.com/publist_ah.pdf,,,
Q6888892,Modern Theology,404447DE-2B40-4BDC-B1CA-8FCED4AC0DE3,Q1860,,,,,,
Q7186211,Philosophy East and West,62AF6981-FEFD-49DD-B019-8240DC993DBE,Q1860,,,,,,
Q7256326,Psychoanalysis and History,218FEA95-6F1D-44E3-8626-61728E003BB7,Q1860,,,,,,
Q7307444,Reformation,D3DA4F18-366E-45C7-BB46-6D2CA673A607,Q1860,,,,,,
Q7311115,Religion,81CEC328-C044-458C-A590-A5126AF41F84,Q1860,5684f0c6e66933dafb26b3f932ab13cbeae7bccf,Q1201886,http://mjl.clarivate.com/publist_ah.pdf,,,
Q7311312,Religious Studies Review,4A3BEC7D-16EF-495E-B2D7-8E8133F41835,Q1860,5684f0c6e66933dafb26b3f932ab13cbeae7bccf,Q1201886,http://mjl.clarivate.com/publist_ah.pdf,,,
Q7437800,Scottish Journal of Theology,C4B58D71-BF0E-46FD-A149-F0D13FA43C52,Q1860,,,,,,
Q7500070,Shofar,C77F7AF8-9DA5-4034-B2FC-89465E6DE0BD,Q1860,,,,,,
Q7550658,Social Forces,F72A8FCA-2932-4290-A78D-D4109710ADEB,Q1860,,,,,,
Q7552806,Sociological Inquiry,82B6A16B-7FC0-47E8-AE95-E3AA6492D21E,Q1860,,,,,,
Q7578151,Spiritus,30613DA8-9A69-4C8E-B0B1-8AD926CF4544,Q1860,,,,,,
Q7628032,Studia Patristica,E5B18C56-5F6B-4461-83C8-BBF3CCB4B8C0,Q1860,,,,,,
Q7628082,Studies in World Christianity,15280351-D591-4A26-847B-4A32CBAE1F7F,Q1860,,,,,,
Q7718432,The Black Scholar,32F0584C-6DFC-48A6-B816-843EA3AC025C,Q1860,,,,,,
Q7743575,The Journal of Ecclesiastical History,E5AC4B90-451B-4ED0-B8CA-A414E16D8FCC,Q1860,,,,,,
Q7743622,The Journal of Religion,C4C08040-CB05-4A14-976B-A9C56B0B2A72,Q1860,5684f0c6e66933dafb26b3f932ab13cbeae7bccf,Q1201886,http://mjl.clarivate.com/publist_ah.pdf,,,
Q7758505,The Progressive Christian,c0b11c0b-4528-dc5e-c5b5-c60685999e7d,Q1860,,,,,,
Q7782238,Theology Digest,ff0b3435-422e-7a2f-2a3a-4e0d91721f53,Q1860,,,,,,
Q7899842,Urban Affairs Review,B50ECDEB-9394-45C2-AB14-4EF3053E7D0E,Q1860,,,,,,
Q7923855,Vetus Testamentum,6DD155D8-986B-4FFE-8DFA-6108DC4D56FE,Q1860,,,,,,
Q7923855,Vetus Testamentum,71A6A6FF-9E13-4390-A7B8-86B948EE068C,Q150,,,,,,
Q7923855,Vetus Testamentum,B0BC5C45-CD82-4969-BF8C-1F1093FA0126,Q188,,,,,,
Q7989227,Westminster Theological Journal,39E278F0-009E-411A-AE88-6CF9C7126E30,Q1860,,,,,,
Q8034888,WorkingUSA,D07CDC3B-A904-45EE-8121-C2EDCDF0C308,Q1860,,,,,,
Q8075881,Zygon,6E83D635-D27B-4CC1-A077-DB9C7F71F971,Q1860,,,,,,
Q88977207,"Women, Gender, and Families of Color",3fcb1c0e-401b-72e3-ac89-f515240519cc,Q1860,,,,,,
Q91678397,Journal of theology,1f7545df-4246-11b4-b799-a82546b87414,Q1860,,,,,,
Q93433869,Reflective Practice: Formation and Supervision in Ministry,2b33c026-4368-597a-3f77-b71db81c6f28,Q1860,,,,,,
Q96320826,Hugoye : journal of Syriac studies,fb6e5674-49b9-eec4-371b-d0fe807b023c,Q1860,,,,,,
Q96320924,"Race, Gender & Class: an interdisciplinary journal",4aa19cd1-4c69-2ad9-7244-47bbc4cb6e15,Q1860,,,,,,
Q96329202,Journal of Religion and Abuse,909ac475-4ddb-89b2-f940-54e9b671c4dc,Q1860,,,,,,
Q96658010,Reformed Worship,,,,,,,,
Q96699253,Caminhando,55cf812d-4172-ed37-5a2b-91341c73e1c0,Q5146,,,,,,
Q96701134,Class Race Corporate Power,1A4F74C2-174D-4E96-8072-1398591FBCD9,Q1860,,,,,,
Q96703173,Conversations in Religion and Theology,9850d467-4cff-6560-d4fc-2853d938a5b9,Q1860,,,,,,
Q96710822,International Journal of Applied Sociology,a8cfe3e0-4e93-40ac-5da2-08a82389b6ce,Q1860,,,,,,
Q96720788,Kalfou,7aac3ad2-47db-eb86-4bd5-9f569e5c44e9,Q1860,,,,,,
Q96721542,Kirche und Israel,68f28ee4-4c69-843c-5d16-09c9389f8371,Q188,,,,,,
Q96722512,Korean Journal of Christian Counseling,86bb9718-4bc1-a83a-b279-7f742b4753fa,Q9176,,,,,,
Q96722512,Korean Journal of Christian Counseling,33b19dde-44e9-1b03-11cf-cada90765c26,Q1860,,,,,,
Q96727151,Mandrágora,a302a586-4144-4514-bee4-9413809becb0,Q5146,,,,,,
Q96729370,Melilah Manchester Journal of Jewish Studies (1759-1953),836efc89-4773-e8fc-fdb0-59c46ec95ee3,Q1860,,,,,,
Q96747411,Faith and Freedom,4606a21d-45ac-f83a-281e-98c3dc33aa45,Q1860,,,,,,
Q96747975,Evangelical Missions Quarterly,183df9a3-48d1-5b04-5e20-2be39fb65d1f,Q1860,,,,,,
Q96748292,Word & Witness,,,,,,,,
Q96748674,Family and Community Ministries: Empowering through Faith,,,,,,,,
Q96748958,Insights,7b07a37b-45bc-15d3-a898-45768e7e6e7f,Q1860,,,,,,
Q96757401,Journal of Family Ministry,4b74bef4-444b-6d18-f4e6-d197f369c3e5,Q1860,,,,,,
Q96758104,The African American Pulpit,,,,,,,,
Q96758245,Biblical Preaching Journal,,,,,,,,
Q96758266,Consensus: a Canadian Lutheran journal of theology,,,,,,,,
Q96758670,philoSOPHIA,8a1878c4-43fc-fe2b-8a01-22ec4ec850b8,Q1860,,,,,,
Q96775368,The North Star,,,,,,,,
Q96912729,Hebrew annual review: a journal of studies of Hebrew language and literature,52756f22-46d3-449e-adfa-7f9a308d62b0,Q1860,,,,,,
Q96913548,The Asbury Journal,048d8347-4e5d-1f91-8d9d-ca60237e1a82,Q1860,,,,,,
Q96915055,Society of Biblical Literature Seminar Papers,f12aaff4-470b-3fbb-221f-965fe549193b,Q1860,,,,,,
Q96915452,International journal of frontier missiology,46a7f76d-46e4-ae87-3876-84f8da7a6865,Q1860,,,,,,
Q97013797,Kentucky Journal of Anthropology and Sociology,a32d02d0-4f11-bd8a-2510-0ae0e4d49ca1,Q1860,,,,,,
Q97038484,Cityscape: A Journal of Policy Development and Research,75d23373-447d-425f-af10-2a4dae0968f1,Q1860,,,,,,
Q97069556,Journal of Interreligious Studies,7769ec90-47ee-8c8c-2665-cb9acf742a81,Q1860,,,,,,
Q97102835,The Hymn: a journal of congregational song,6fec9cef-4be6-dc90-5fcb-252a54e37a2f,Q1860,,,,,,
Q97320699,Contemporary Journal of Anthropology and Sociology,9fea061c-4a77-943c-9567-3ec1497d1a38,Q1860,,,,,,
Q97321411,Doxology: A Journal of Worship,de62cb0d-4cef-40a9-e38e-c3cbddf063e1,Q1860,,,,,,
Q97323392,Gathering Magazine,,,,,,,,
Q97323978,The Council of Societies for the Study of Religion Bulletin,f3f3c093-42ed-67eb-7b9c-cb3c27bdfb77,Q1860,,,,,,
Q97326077,Theological Educator,d7f827dc-4b68-1e31-9f3e-59827e9792f5,Q1860,,,,,,
Q97361256,Bulletin of the Institute for Reformed Theology,983e9d6a-4d39-46b2-f3df-0e6199e323c4,Q1860,,,,,,
Q97362481,The Spire,2187fc3a-4107-d935-e6d8-dd0d434db783,Q1860,,,,,,
Q97388791,Lutheran Women Today,9e0ae027-4085-dde4-9555-d93ce1e7ce15,Q1860,,,,,,
Q97389745,Making Christ Known,9f4aa85d-4b10-c6ef-82b6-ad8651951d39,Q1860,,,,,,
Q97393882,Sightings,b5088611-4250-1936-abcb-b261213ed512,Q1860,,,,,,
Q97395520,"Journal of Race, Ethnicity, and Religion",2126b5b8-4fe3-3e53-c6d3-f6374ae0a3e5,Q1860,,,,,,
Q97397804,Journal of Unitarian Universalist History,2225f01d-4abf-e8b5-c74e-b7956738507f,Q1860,,,,,,
Q97446840,Acme: annali della Facolta di Lettere e Filosofia dell'Universita degli Studi di Milano,55562799-4148-5822-b862-a8c4485d9db7,Q652,,,,,,
Q97450170,Lectionary Homiletics,88ec97ab-4c8d-675e-77db-2d4155f4e592,Q1860,,,,,,
Q97579679,Black Renaissance,0d09f3b5-4717-03fe-a149-95be925738ed,Q1860,,,,,,
Q97580025,Religious Studies News,8f22034a-454e-3143-a1db-137ac08f61fd,Q1860,,,,,,
Q97581053,The African American Lectionary,d71f48b7-4b50-180c-ff88-7807040926b7,Q1860,,,,,,
Q97581124,Spotlight on Teaching,08cb3762-4a44-f8b5-a2e7-fa45ee36faa6,Q1860,,,,,,
Q97584442,Clio's Psyche,6f6dac9c-4ed1-252a-e71b-36ef15073cff,Q1860,,,,,,
Q97584635,Faultline,,,,,,,,
Q97600243,Papers of the Nineteenth Century Theology Group : AAR 1986 annual meeting,,,,,,,,
Q97622700,Critical Review of Books in Religion,34a10b06-4673-d805-f448-527cea3fda29,Q1860,,,,,,
Q97725240,Annals of Scholarship,96b21b10-40f1-e412-06fa-e21eba3ef31a,Q1860,,,,,,
Q97725638,Religion and Culture Web Forum,64c2dd40-4bb8-449a-cf5e-141ea682de54,Q1860,,,,,,
Q97726143,Allgemeine Juedische Wochenzeitung,7255e2b8-466c-cab8-2020-9c37b6d5a8bc,Q188,,,,,,
Q97729090,Reformed Review,9518bf9a-4a7e-3ec0-095a-6b86c0b6bb3c,Q1860,,,,,,
Q97729464,Sacred Spaces,50a1c473-4a6e-31a3-48d8-25b66400caab,Q1860,,,,,,
Q97772375,National Baptist Union-Review,2f690e8e-4bbc-fc35-9021-555cf66331b7,Q1860,,,,,,
Q97773782,Journal of Intergroup Relations,037656fa-4e7e-fbe8-c315-62b4c65ca320,Q1860,,,,,,
Q97784372,national Baptist Voice,1a4ff415-4d46-19fb-9465-3952de005e60,Q1860,,,,,,
Q97790964,The Gospel and Our Culture Network,c75274fc-4f07-9965-ae07-b227ed8d181a,Q1860,,,,,,
Q97843689,Journal for Preachers,8eb5f598-4d55-4770-aa23-d3f131240beb,Q1860,,,,,,
Q98073452,Biblical Review,f2b9f0a6-41de-06b6-e884-87065d1a3a46,Q1860,,,,,,
Q98074103,Trinity Seminary Review,2b935eb5-4590-8e1c-b75f-0004102ee1ce,Q1860,,,,,,
Q98074203,Gesher,d288d1dd-43d9-ffa0-80bb-f6b481c2e93c,Q1860,,,,,,
Q98074203,Gesher,1e7f8eea-42ab-919c-c197-0d94b8a3652f,Q9288,,,,,,
Q98075361,Biblical Recorder,b762c61c-4866-1e5a-cfaa-4d3448cf1582,Q1860,,,,,,
Q98094387,Religion in the News,c7ffc71b-4b8c-a866-326e-0dbec56776f8,Q1860,,,,,,
Q98097528,Quarterly Review: a scholarly journal for reflection on ministry,bed553bf-4d1f-4bf8-a2c5-9a1a5ad3f35b,Q1860,,,,,,
Q98109467,Echoing the Word,2cdaef62-4b07-1ed8-f94b-9dcf0327d7b9,Q1860,,,,,,
Q98221934,Christian Feminism Today,bb3fa963-435b-6452-649f-67754c7fbd20,Q1860,,,,,,
Q98222919,Dialogue Australasia,d89faef2-4231-6898-3b7e-39a2a7517458,Q1860,,,,,,
Q98226287,National Havurah Committee,,,,,,,,
Q98227015,IOUDAIOS Review,6d89005b-4fdb-1a13-5493-e0a17a58dda7,Q1860,,,,,,
Q98232287,Student Organization of Yeshiva,,,,,,,,
Q98311737,Circuit Rider,11ce0970-4840-446b-ac68-edd8b6a159f7,Q1860,,,,,,
Q98313448,"Colloquium, Music, Worship, Arts",4350192c-48f9-2f2b-93ab-78df090f2802,Q1860,,,,,,
Q98380090,Presbyterians Today,f8125bc4-42a3-863d-b447-b6ce53357323,Q1860,,,,,,
Q98380242,Congregations,62b47e70-48c7-5d5e-b71a-0c1f5267e279,Q1860,,,,,,
Q98380311,Reformed Liturgy & Music,856917f2-42cc-4a86-ef86-7b9f8dc7fcd1,Q1860,,,,,,
Q98461378,Consider This…A Newsletter for Pastors,d6da8c26-43c7-ffeb-ce94-ffed53e57244,Q1860,,,,,,
