inventory_number,label,title
#2009.006n,"At Cathy's Grave, from Wuthering Heights, Chapter 29 by Emily Brontë .","At Cathy's Grave, from Wuthering Heights, Chapter 29 by Emily Brontë . From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.006o,"Ghosts on the Moors, from Wuthering Heights, Chapter 34 by Emily Brontë .","Ghosts on the Moors, from Wuthering Heights, Chapter 34 by Emily Brontë . From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.007a,"(Vignette and Chapterhead), from Jane Eyre, Title Page by Charlotte Brontë .","(Vignette and Chapterhead), from Jane Eyre, Title Page by Charlotte Brontë . From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.007b,"Jane locked up, from Jane Eyre, Chapter 2 by Charlotte Brontë .","Jane locked up, from Jane Eyre, Chapter 2 by Charlotte Brontë . From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.007c,"Jane and Mr. Brocklehurst, from Jane Eyre, Chapter 6 by Charlotte Brontë .","Jane and Mr. Brocklehurst, from Jane Eyre, Chapter 6 by Charlotte Brontë . From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.007d,"Mrs. Fairfax, from Jane Eyre, Chapter 11 by Charlotte Brontë .","Mrs. Fairfax, from Jane Eyre, Chapter 11 by Charlotte Brontë . From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.007e,"Meeting Mr. Rochester, from Jane Eyre, Chapter 12 by Charlotte Brontë .","Meeting Mr. Rochester, from Jane Eyre, Chapter 12 by Charlotte Brontë . From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.007f,"Adele Presented to the Ladies, from Jane Eyre, Chapter 17 by Charlotte Brontë .","Adele Presented to the Ladies, from Jane Eyre, Chapter 17 by Charlotte Brontë . From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.007g,"The Fortuneteller, from Jane Eyre, Chapter 19 by Charlotte Brontë .","The Fortuneteller, from Jane Eyre, Chapter 19 by Charlotte Brontë . From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.007h,"Georgiana and Eliza, from Jane Eyre, Chapter 21 by Charlotte Brontë .","Georgiana and Eliza, from Jane Eyre, Chapter 21 by Charlotte Brontë . From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.007i,"Proposal Under the Trees, from Jane Eyre, Chapter 23 by Charlotte Brontë.","Proposal Under the Trees, from Jane Eyre, Chapter 23 by Charlotte Brontë. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.007j,"The Mad Woman, from Jane Eyre, Chapter 25 by Charlotte Brontë .","The Mad Woman, from Jane Eyre, Chapter 25 by Charlotte Brontë . From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.007k,"Rochester's Love Affairs, from Jane Eyre, Chapter 27 by Charlotte Brontë .","Rochester's Love Affairs, from Jane Eyre, Chapter 27 by Charlotte Brontë . From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.007l,"Jane Collapses, from Jane Eyre, Chapter 28 by Charlotte Brontë .","Jane Collapses, from Jane Eyre, Chapter 28 by Charlotte Brontë . From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.007m,"The Village School, from Jane Eyre, Chapter 31 by Charlotte Brontë .","The Village School, from Jane Eyre, Chapter 31 by Charlotte Brontë . From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.007n,"St. John, Missionary, from Jane Eyre, Chapter 34 by Charlotte Brontë.","St. John, Missionary, from Jane Eyre, Chapter 34 by Charlotte Brontë. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.007o,"The Burnt Mansion, from Jane Eyre, Chapter 36 by Charlotte Brontë.","The Burnt Mansion, from Jane Eyre, Chapter 36 by Charlotte Brontë. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.007p,"The Blind Master, from Jane Eyre, Chapter 37 by Charlotte Brontë.","The Blind Master, from Jane Eyre, Chapter 37 by Charlotte Brontë. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.008a,"(Vignette with Ape, from Tales of Edgar Allan Poe, Part 1 by Edgar Allan Poe.","(Vignette with Ape, from Tales of Edgar Allan Poe, Part 1 by Edgar Allan Poe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.008aa,"The Tell-Tale Heart, from Tales of Edgar Allan Poe, by Edgar Allan Poe.","The Tell-Tale Heart, from Tales of Edgar Allan Poe, by Edgar Allan Poe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.008b,"The Goldbug, from Tales of Edgar Allan Poe, by Edgar Allan Poe.","The Goldbug, from Tales of Edgar Allan Poe, by Edgar Allan Poe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.008bb,"The Cask of Amontillado, from Tales of Edgar Allan Poe, by Edgar Allan Poe.","The Cask of Amontillado, from Tales of Edgar Allan Poe, by Edgar Allan Poe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.008c,"The Murders in Rue Morgue, from Tales of Edgar Allan Poe, by Edgar Allan Poe.","The Murders in Rue Morgue, from Tales of Edgar Allan Poe, by Edgar Allan Poe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.008cc,"Hopfrog, from Tales of Edgar Allan Poe, by Edgar Allan Poe.","Hopfrog, from Tales of Edgar Allan Poe, by Edgar Allan Poe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.008d,"The Mystery of Marie Roget, from Tales of Edgar Allan Poe, by Edgar Allan Poe.","The Mystery of Marie Roget, from Tales of Edgar Allan Poe, by Edgar Allan Poe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.008dd,"The Pit and the Pendulum, from Tales of Edgar Allan Poe, by Edgar Allan Poe.","The Pit and the Pendulum, from Tales of Edgar Allan Poe, by Edgar Allan Poe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.008e,"The Purloined Letter, from Tales of Edgar Allan Poe, by Edgar Allan Poe.","The Purloined Letter, from Tales of Edgar Allan Poe, by Edgar Allan Poe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.008ee,"The Black Cat, from Tales of Edgar Allan Poe, by Edgar Allan Poe.","The Black Cat, from Tales of Edgar Allan Poe, by Edgar Allan Poe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.008f,"The Adventure of Hans Pfaal, from Tales of Edgar Allan Poe, by Edgar Allan Poe.","The Adventure of Hans Pfaal, from Tales of Edgar Allan Poe, by Edgar Allan Poe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.008g,"Ms. Found in a Bottle, from Tales of Edgar Allan Poe, by Edgar Allan Poe.","Ms. Found in a Bottle, from Tales of Edgar Allan Poe, by Edgar Allan Poe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.008h,"A Descent into the Maelstrom, from Tales of Edgar Allan Poe, by Edgar Allan Poe.","A Descent into the Maelstrom, from Tales of Edgar Allan Poe, by Edgar Allan Poe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.008i,"Scheherazade, from Tales of Edgar Allan Poe, by Edgar Allan Poe.","Scheherazade, from Tales of Edgar Allan Poe, by Edgar Allan Poe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.008j,"Mellonta Tauta, from Tales of Edgar Allan Poe, by Edgar Allan Poe.","Mellonta Tauta, from Tales of Edgar Allan Poe, by Edgar Allan Poe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.008k,"(Vignette with Medallion), from Tales of Edgar Allan Poe, Part 3 by Edgar Allan Poe.","(Vignette with Medallion), from Tales of Edgar Allan Poe, Part 3 by Edgar Allan Poe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.008l,"The Assignation, from Tales of Edgar Allan Poe, by Edgar Allan Poe.","The Assignation, from Tales of Edgar Allan Poe, by Edgar Allan Poe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.008m,"Ligeia, from Tales of Edgar Allan Poe, by Edgar Allan Poe.","Ligeia, from Tales of Edgar Allan Poe, by Edgar Allan Poe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.008n,"The Fall of the House of Usher, from Tales of Edgar Allan Poe, by Edgar Allan Poe.","The Fall of the House of Usher, from Tales of Edgar Allan Poe, by Edgar Allan Poe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.008o,"The Masque of the Red Death, from Tales of Edgar Allan Poe, by Edgar Allan Poe.","The Masque of the Red Death, from Tales of Edgar Allan Poe, by Edgar Allan Poe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.008p,"The System of Doctor Tarr and Professor Fether, from Tales of Edgar Allan Poe, by Edgar Allan Poe.","The System of Doctor Tarr and Professor Fether, from Tales of Edgar Allan Poe, by Edgar Allan Poe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.008q,"(Vignette with Devil), from Tales of Edgar Allan Poe, Part 4 by Edgar Allan Poe.","(Vignette with Devil), from Tales of Edgar Allan Poe, Part 4 by Edgar Allan Poe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.008r,"X-ing a Paragrab, from Tales of Edgar Allan Poe, by Edgar Allan Poe.","X-ing a Paragrab, from Tales of Edgar Allan Poe, by Edgar Allan Poe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.008s,"The Sphinx, from Tales of Edgar Allan Poe, by Edgar Allan Poe.","The Sphinx, from Tales of Edgar Allan Poe, by Edgar Allan Poe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.008t,"The Imp of the Perverse, from Tales of Edgar Allan Poe, by Edgar Allan Poe.","The Imp of the Perverse, from Tales of Edgar Allan Poe, by Edgar Allan Poe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.008u,"(Vignette with Tombstone), from Tales of Edgar Allan Poe, Part 5 by Edgar Allan Poe.","(Vignette with Tombstone), from Tales of Edgar Allan Poe, Part 5 by Edgar Allan Poe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.008v,"William Wilson, from Tales of Edgar Allan Poe, by Edgar Allan Poe.","William Wilson, from Tales of Edgar Allan Poe, by Edgar Allan Poe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.008w,"The Facts in the Case of M. Valdemar, from Tales of Edgar Allan Poe, by Edgar Allan Poe.","The Facts in the Case of M. Valdemar, from Tales of Edgar Allan Poe, by Edgar Allan Poe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.008x,"The Man of the Crowd, from Tales of Edgar Allan Poe, by Edgar Allan Poe.","The Man of the Crowd, from Tales of Edgar Allan Poe, by Edgar Allan Poe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.008y,"Berenice, from Tales of Edgar Allan Poe, by Edgar Allan Poe.","Berenice, from Tales of Edgar Allan Poe, by Edgar Allan Poe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.008z,"(Vignette with Dwarf), from Tales of Edgar Allan Poe, Part 6 by Edgar Allan Poe.","(Vignette with Dwarf), from Tales of Edgar Allan Poe, Part 6 by Edgar Allan Poe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.009a,"Wild Horses (Vignette), from Shakespeare's Seven Tragedies, Macbeth, by William Shakespeare.","Wild Horses (Vignette), from Shakespeare's Seven Tragedies, Macbeth, by William Shakespeare. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.009b,"The Witches, from Shakespeare's Seven Tragedies, Macbeth, Act I Scene 1 by William Shakespeare.","The Witches, from Shakespeare's Seven Tragedies, Macbeth, Act I Scene 1 by William Shakespeare. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.009c,"The Murderers, from Shakespeare's Seven Tragedies, Macbeth, Act III Scene 1 by William Shakespeare.","The Murderers, from Shakespeare's Seven Tragedies, Macbeth, Act III Scene 1 by William Shakespeare. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.009d,"""Out, Damned Spot"", from Shakespeare's Seven Tragedies, Macbeth, Act V Scene 1 by William Shakespeare.","""Out, Damned Spot"", from Shakespeare's Seven Tragedies, Macbeth, Act V Scene 1 by William Shakespeare. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.009e,"Fallen Standard (Vignette), from Shakespeare's Seven Tragedies, Julius Caesar, by William Shakespeare.","Fallen Standard (Vignette), from Shakespeare's Seven Tragedies, Julius Caesar, by William Shakespeare. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.009f,"The Ides of March, from Shakespeare's Seven Tragedies, Julius Caesar, Act I Scene 2 by William Shakespeare.","The Ides of March, from Shakespeare's Seven Tragedies, Julius Caesar, Act I Scene 2 by William Shakespeare. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.009g,"Death of Brutus, from Shakespeare's Seven Tragedies, Julius Caesar, Act V Scene 4 by William Shakespeare.","Death of Brutus, from Shakespeare's Seven Tragedies, Julius Caesar, Act V Scene 4 by William Shakespeare. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.009h,"Egyptian Bas-Relief (Vignette), from Shakespeare's Seven Tragedies, Antony and Cleopatra, by William Shakespeare.","Egyptian Bas-Relief (Vignette), from Shakespeare's Seven Tragedies, Antony and Cleopatra, by William Shakespeare. From: Fritz Eichenberg, artist of the book : 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.009i,"Antony leaves Cleopatra, from Shakespeare's Seven Tragedies, Antony and Cleopatra, Act I Scene 3 by William Shakespeare.","Antony leaves Cleopatra, from Shakespeare's Seven Tragedies, Antony and Cleopatra, Act I Scene 3 by William Shakespeare. From: Fritz Eichenberg, artist of the book : 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.009j,"Cleopatra's Death, from Shakespeare's Seven Tragedies, Antony and Cleopatra, Act V Scene 2 by William Shakespeare.","Cleopatra's Death, from Shakespeare's Seven Tragedies, Antony and Cleopatra, Act V Scene 2 by William Shakespeare. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.009k,"Duelers (Vignette), from Shakespeare's Seven Tragedies, Romeo and Juliet, by William Shakespeare.","Duelers (Vignette), from Shakespeare's Seven Tragedies, Romeo and Juliet, by William Shakespeare. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.009l,"First Meeting of Lovers, from Shakespeare's Seven Tragedies, Romeo and Juliet, Act I Scene 5 by William Shakespeare.","First Meeting of Lovers, from Shakespeare's Seven Tragedies, Romeo and Juliet, Act I Scene 5 by William Shakespeare. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.009m,"Juliet on her Knees, from Shakespeare's Seven Tragedies, Romeo and Juliet, Act III Scene 5 by William Shakespeare.","Juliet on her Knees, from Shakespeare's Seven Tragedies, Romeo and Juliet, Act III Scene 5 by William Shakespeare. From: Fritz Eichenberg, artist of the book : 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.009n,"Romeo at Tomb, from Shakespeare's Seven Tragedies, Romeo and Juliet, Act V Scene 3 by William Shakespeare.","Romeo at Tomb, from Shakespeare's Seven Tragedies, Romeo and Juliet, Act V Scene 3 by William Shakespeare. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.009o,"Chessboard (Vignette), from Shakespeare's Seven Tragedies, Hamlet, by William Shakespeare.","Chessboard (Vignette), from Shakespeare's Seven Tragedies, Hamlet, by William Shakespeare. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.009p,"The Ghost, from Shakespeare's Seven Tragedies, Hamlet, Act I Scene 5 by William Shakespeare.","The Ghost, from Shakespeare's Seven Tragedies, Hamlet, Act I Scene 5 by William Shakespeare. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.009q,"Hamlet and His Mother, from Shakespeare's Seven Tragedies, Hamlet, Act III Scene 4 by William Shakespeare.","Hamlet and His Mother, from Shakespeare's Seven Tragedies, Hamlet, Act III Scene 4 by William Shakespeare. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.009r,"""Alas, Poor Yorick-"", from Shakespeare's Seven Tragedies, Hamlet, Act V Scene 1 by William Shakespeare.","""Alas, Poor Yorick-"", from Shakespeare's Seven Tragedies, Hamlet, Act V Scene 1 by William Shakespeare. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.009s,"Cornered Stag (Vignette), from Shakespeare's Seven Tragedies, Othello, by William Shakespeare.","Cornered Stag (Vignette), from Shakespeare's Seven Tragedies, Othello, by William Shakespeare. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.009t,"The Lovers and the Duke, from Shakespeare's Seven Tragedies, Othello, Act I Scene 3 by William Shakespeare.","The Lovers and the Duke, from Shakespeare's Seven Tragedies, Othello, Act I Scene 3 by William Shakespeare. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.009u,"Othello and Iago, from Shakespeare's Seven Tragedies, Othello, Act III Scene 3 by William Shakespeare.","Othello and Iago, from Shakespeare's Seven Tragedies, Othello, Act III Scene 3 by William Shakespeare. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.009v,"The Sleeping Desdemona, from Shakespeare's Seven Tragedies, Othello, Act V Scene 2 by William Shakespeare.","The Sleeping Desdemona, from Shakespeare's Seven Tragedies, Othello, Act V Scene 2 by William Shakespeare. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.009w,"Two Knights in Combat (Vignette), from Shakespeare's Seven Tragedies, King Lear, by William Shakespeare.","Two Knights in Combat (Vignette), from Shakespeare's Seven Tragedies, King Lear, by William Shakespeare. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.009x,"Cordelia Condemned, from Shakespeare's Seven Tragedies, King Lear, Act I Scene 1 by William Shakespeare.","Cordelia Condemned, from Shakespeare's Seven Tragedies, King Lear, Act I Scene 1 by William Shakespeare. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.009z,"The Dead Cordelia, from Shakespeare's Seven Tragedies, King Lear, Act V Scene 3 by William Shakespeare.","The Dead Cordelia, from Shakespeare's Seven Tragedies, King Lear, Act V Scene 3 by William Shakespeare. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.010a,"(Vignette with Ship), from Short Stories of Wilkie Collins, by Wilkie Collins.","(Vignette with Ship), from Short Stories of Wilkie Collins, by Wilkie Collins. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.010b,"A Terribly Strange Bed (The Gamblers), from Short Stories of Wilkie Collins, by Wilkie Collins.","A Terribly Strange Bed (The Gamblers), from Short Stories of Wilkie Collins, by Wilkie Collins. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.010c,"The Cauldron of Oil (The Confessional), from Short Stories of Wilkie Collins, by Wilkie Collins.","The Cauldron of Oil (The Confessional), from Short Stories of Wilkie Collins, by Wilkie Collins. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.010d,"The Cauldron of Oil (The Boiling Oil and the Priest), from Short Stories of Wilkie Collins, by Wilkie Collins.","The Cauldron of Oil (The Boiling Oil and the Priest), from Short Stories of Wilkie Collins, by Wilkie Collins. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.010e,"The Fatal Cradle (Weighing the Babies), from Short Stories of Wilkie Collins, by Wilkie Collins.","The Fatal Cradle (Weighing the Babies), from Short Stories of Wilkie Collins, by Wilkie Collins. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.010f,"Mr. Captain and the Nymph, from Short Stories of Wilkie Collins, by Wilkie Collins.","Mr. Captain and the Nymph, from Short Stories of Wilkie Collins, by Wilkie Collins. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.010h,"About the Author and the Book (Vignette, Artist at Work), from Short Stories of Wilkie Collins, by Wilkie Collins.","About the Author and the Book (Vignette, Artist at Work), from Short Stories of Wilkie Collins, by Wilkie Collins. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.011a,"Decorative Oval, from Reynard the Fox, Title Page by J.W. von Goethe.","Decorative Oval, from Reynard the Fox, Title Page by J.W. von Goethe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.011b,"The Accusation (King and Queen), from Reynard the Fox, Chapter 1 by J.W. von Goethe.","The Accusation (King and Queen), from Reynard the Fox, Chapter 1 by J.W. von Goethe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.011c,"The First Summons (The Greedy Bear), from Reynard the Fox, Chapter 2 by J.W. von Goethe.","The First Summons (The Greedy Bear), from Reynard the Fox, Chapter 2 by J.W. von Goethe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.011d,"The Summons Delivered, from Reynard the Fox, Chapter 3 by J.W. von Goethe.","The Summons Delivered, from Reynard the Fox, Chapter 3 by J.W. von Goethe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.011e,"The Trial (The Poor Victims), from Reynard the Fox, Chapter 4 by J.W. von Goethe.","The Trial (The Poor Victims), from Reynard the Fox, Chapter 4 by J.W. von Goethe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.011f,"To The Gallows, from Reynard the Fox, Chapter 4 by J.W. von Goethe.","To The Gallows, from Reynard the Fox, Chapter 4 by J.W. von Goethe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.011g,"The Pardon (Reynard on the Ladder), from Reynard the Fox, Chapter 5 by J.W. von Goethe.","The Pardon (Reynard on the Ladder), from Reynard the Fox, Chapter 5 by J.W. von Goethe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.011h,"Tale of the Treasure, from Reynard the Fox, Chapter 5 by J.W. von Goethe.","Tale of the Treasure, from Reynard the Fox, Chapter 5 by J.W. von Goethe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
