accession_number,qid,label_en,description_en,creator,instance_of,inception_val,inception_earliest_date_val,inception_latest_date_val,height_val,width_val,thickness_val,diameter_val,style_period,rights,media_url,status
2009.016,Q102965342,"Freedom Lights on Greenwich Street, from the series ""Tribeca, 10013""",photograph by Donna Ferrato,Q11821277,Q125191,2006-01-01T00:00:00Z,,,17.5,26.25,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759693/representation-view,assessed to in copyright
2009.015,Q102976971,"West Broadway Liquor Store Bar, from the series ""Tribeca, 10013""",photograph by Donna Ferrato,Q11821277,Q125191,2006-01-01T00:00:00Z,,,17.625,26.25,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759692/representation-view,assessed to in copyright
2013.035l,Q102974593,"The Music of Regret (Meryl Act 2 Rain), from ""America: Now + Here"" a portfolio",photograph by Laurie Simmons,Q3219659,Q125191,2006-01-01T00:00:00Z,,,8.5,11.5,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759871/representation-view,assessed to in copyright
2016.011.19,Q102961293,A Mexican woman stands next to the Mexican/US border,photograph by Peter Turnley,Q7177423,Q125191,2006-01-01T00:00:00Z,,,20,24,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760241/representation-view,assessed to in copyright
2013.035j,Q102970296,"Red Dune, from ""America: Now + Here"" a portfolio",photograph by April Gornik,Q4782029,Q125191,2007-01-01T00:00:00Z,,,15.25,22,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759869/representation-view,assessed to in copyright
2013.035e,Q103306073,"Ocean Without a Shore, from ""America: Now + Here"" a portfolio",photograph by Bill Viola,Q437616,Q125191,2007-01-01T00:00:00Z,,,24,20,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759864/representation-view,assessed to in copyright
2012.010,Q102968542,"Mickey Rourke, from the series Tribeca, 10013",photograph by Donna Ferrato,Q11821277,Q125191,2007-01-01T00:00:00Z,,,21,26,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759819/representation-view,assessed to in copyright
2009.019,Q103304914,"Man and Woman on Thomas Street, from the series ""Tribeca, 10013""",photograph by Donna Ferrato,Q11821277,Q125191,2007-01-01T00:00:00Z,,,26,17.5,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759696/representation-view,assessed to in copyright
2015.038ee,Q102976364,"Untitled, from American Abstract Artists 75th Anniversary Print Portfolio",print by Manfred Mohr,Q872832,Q11060274,2007-01-01T00:00:00Z,2002-01-01T00:00:00Z,2012-01-01T00:00:00Z,9.75,12.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760032/representation-view,assessed to in copyright
2013.023,Q102976056,"Untitled (from 16 ""Magma drawings"")",drawing by Mark Di Suvero,Q567421,Q93184,2008-01-01T00:00:00Z,,,22.5,30.25,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759848/representation-view,assessed to in copyright
2012.012,Q102962287,"Blowup Doll Jay St, from the series Tribeca, 10013",photograph by Donna Ferrato,Q11821277,Q125191,2008-01-01T00:00:00Z,,,17.75,26,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759821/representation-view,assessed to in copyright
2012.011,Q102969035,"Nobu Girl, from the series Tribeca, 10013",photograph by Donna Ferrato,Q11821277,Q125191,2008-01-01T00:00:00Z,,,17.25,26,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759820/representation-view,assessed to in copyright
2012.015,Q103304559,"Lela Rose's Fundraiser, from the series Tribeca, 10013",photograph by Donna Ferrato,Q11821277,Q125191,2008-01-01T00:00:00Z,,,26,19.5,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759824/representation-view,assessed to in copyright
2009.018,Q103309051,"Steam on Church Street, from the series ""Tribeca, 10013""",photograph by Donna Ferrato,Q11821277,Q125191,2008-01-01T00:00:00Z,,,26,17.25,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759695/representation-view,assessed to in copyright
2012.013,Q106577462,"Tribeca's Heroes, from the series Tribeca, 10013",photograph by Donna Ferrato,Q11821277,Q125191,2008-01-01T00:00:00Z,,,15.75,20,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759822/representation-view,assessed to in copyright
2018.003,Q102975002,This Morning,photograph by Kelli Connell,Q6385757,Q125191,2008-01-01T00:00:00Z,,,30,40,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760409/representation-view,assessed to in copyright
2015.013,Q105091768,Erasure List,drawing by Bronlyn Jones,Q105090475,Q93184,2009-01-01T00:00:00Z,,,7.75,6,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759955/representation-view,assessed to in copyright
2013.035c,Q103296669,"Al Gore, from ""America: Now + Here"" a portfolio",photograph by Chuck Close,Q453883,Q125191,2009-01-01T00:00:00Z,,,18.75,16,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759862/representation-view,assessed to in copyright
2012.009,Q102969594,"Park Provenzano, from the series ""Tribeca, 10013""",photograph by Donna Ferrato,Q11821277,Q125191,2009-01-01T00:00:00Z,,,17.25,26,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759818/representation-view,assessed to in copyright
2012.016,Q103297887,"Bubble Lounge, from the series Tribeca, 10013",photograph by Donna Ferrato,Q11821277,Q125191,2009-01-01T00:00:00Z,,,26,17.5,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759825/representation-view,assessed to in copyright
2012.014,Q106577313,"Cobblestonded, Leonard Street, from the series Tribeca, 10013",photograph by Donna Ferrato,Q11821277,Q125191,2009-01-01T00:00:00Z,,,15.75,20,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759823/representation-view,assessed to in copyright
2013.035b,Q102961601,"American Gothic, from ""America: Now + Here"" a portfolio",photograph by Ralph Gibson,Q1233831,Q125191,2009-01-01T00:00:00Z,,,10.5,21,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759861/representation-view,assessed to in copyright
2013.035k,Q103311583,"Untitled, from ""America: Now + Here"" a portfolio",photograph by Ross Bleckner,Q1711445,Q125191,2009-01-01T00:00:00Z,,,24,20,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759870/representation-view,assessed to in copyright
2013.035d,Q102976289,"Untitled, from ""America: Now + Here"" a portfolio",photograph by Sally Mann,Q256434,Q125191,2009-01-01T00:00:00Z,,,19.5,23.5,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759863/representation-view,assessed to in copyright
2013.035a,Q102961594,"American Flag, from ""America: Now + Here"" a portfolio",photograph by Vik Muniz,Q1288454,Q125191,2009-01-01T00:00:00Z,,,12.25,21,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759860/representation-view,assessed to in copyright
2013.034,Q106577295,"Block 00-49, Carrara, Italy",photograph by William Wylie,Q92800130,Q125191,2009-01-01T00:00:00Z,,,41.75,43.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759859/representation-view,assessed to in copyright
2013.032,Q106577296,"Block 01-81, Carrara, Italy",photograph by William Wylie,Q92800130,Q125191,2009-01-01T00:00:00Z,,,41.75,43.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759857/representation-view,assessed to in copyright
2013.033,Q106577297,"Block 02-71, Carrara, Italy",photograph by William Wylie,Q92800130,Q125191,2009-01-01T00:00:00Z,,,41.75,43.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759858/representation-view,assessed to in copyright
2015.038p,Q105091741,"Disco 3000, from American Abstract Artists 75th Anniversary Print Portfolio",print by Gilbert Hsiao,Q105090504,Q11060274,2010-01-01T00:00:00Z,,,12.75,9.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760053/representation-view,assessed to in copyright
2016.005.19,Q105091843,"Hand Made & Bound Nashville (Big Minds. Small Presses)-Watkins College of Art, Design, and Film",print by Annie Herlocker,Q105090649,Q11060274,2011-01-01T00:00:00Z,,,20,11,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760205/representation-view,assessed to in copyright
2015.038cc,Q102964827,"Every Night, from American Abstract Artists 75th Anniversary Print Portfolio",print by Nancy Manter,Q63037456,Q11060274,2011-01-01T00:00:00Z,,,9.75,12.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760028/representation-view,assessed to in copyright
2015.012,Q105091751,Drawing 309,drawing by Teo Gonzáles,Q105090552,Q93184,2012-01-01T00:00:00Z,,,12,24,,,Abstract (fine arts style),IN COPYRIGHT,https://forum.jstor.org/assets/26759954/representation-view,assessed to in copyright
2015.038a,Q102961996,"Beaded Circle, from American Abstract Artists 75th Anniversary Print Portfolio",print by Alice Adams,Q75641239,Q11060274,2012-01-01T00:00:00Z,,,9.75,12.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760023/representation-view,assessed to in copyright
2015.038jj,Q102962703,"Boxed Lightning, from American Abstract Artists 75th Anniversary Print Portfolio",print by Ce Roser,Q16091614,Q11060274,2012-01-01T00:00:00Z,,,9.75,12.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760042/representation-view,assessed to in copyright
2015.038t,Q103311753,"Untitled, from American Abstract Artists 75th Anniversary Print Portfolio",print by Cecily Kahn,Q16106681,Q11060274,2012-01-01T00:00:00Z,,,12.75,9.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760061/representation-view,assessed to in copyright
2015.038oo,Q105092323,"Untitled, from American Abstract Artists 75th Anniversary Print Portfolio",print by Clover Vail,Q105090326,Q11060274,2012-01-01T00:00:00Z,,,12.75,9.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760052/representation-view,assessed to in copyright
2012.004a,Q105092144,"Tapestry 3410, from Tapestry Suite",print by Creighton Michael,Q105090451,Q11060274,2012-01-01T00:00:00Z,,,18,18,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759768/representation-view,assessed to in copyright
2012.004b,Q105092145,"Tapestry 3510, from Tapestry Suite",print by Creighton Michael,Q105090451,Q11060274,2012-01-01T00:00:00Z,,,18,18,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759769/representation-view,assessed to in copyright
2015.038dd,Q105092146,"Tapestry 3610, from American Abstract Artists 75th Anniversary Print Portfolio",print by Creighton Michael,Q105090451,Q11060274,2012-01-01T00:00:00Z,,,9.75,12.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760030/representation-view,assessed to in copyright
2012.004c,Q105092147,"Tapestry 3610, from Tapestry Suite",print by Creighton Michael,Q105090451,Q11060274,2012-01-01T00:00:00Z,,,18,18,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759770/representation-view,assessed to in copyright
2012.004d,Q105092148,"Tapestry 3810, from Tapestry Suite",print by Creighton Michael,Q105090451,Q11060274,2012-01-01T00:00:00Z,,,18,18,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759771/representation-view,assessed to in copyright
2012.004e,Q105092149,"Tapestry 4710, from Tapestry Suite",print by Creighton Michael,Q105090451,Q11060274,2012-01-01T00:00:00Z,,,18,18,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759772/representation-view,assessed to in copyright
2012.004f,Q105092150,"Tapestry 4810, from Tapestry Suite",print by Creighton Michael,Q105090451,Q11060274,2012-01-01T00:00:00Z,,,18,18,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759773/representation-view,assessed to in copyright
2012.004g,Q105092151,"Tapestry 5810, from Tapestry Suite",print by Creighton Michael,Q105090451,Q11060274,2012-01-01T00:00:00Z,,,18,18,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759774/representation-view,assessed to in copyright
2015.038o,Q105092324,"Untitled, from American Abstract Artists 75th Anniversary Print Portfolio",print by Daniel G. Hill,Q105090507,Q11060274,2012-01-01T00:00:00Z,,,12.75,9.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760051/representation-view,assessed to in copyright
2015.038z,Q106577493,"Untitled, from American Abstract Artists 75th Anniversary Print Portfolio",print by David MacKenzie,,Q11060274,2012-01-01T00:00:00Z,,,9.75,12.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760070/representation-view,assessed to in copyright
2015.038kk,Q102970183,"Quanta, from American Abstract Artists 75th Anniversary Print Portfolio",print by David Row,Q43136021,Q11060274,2012-01-01T00:00:00Z,,,9.75,12.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760044/representation-view,assessed to in copyright
2015.038qq,Q104017121,"Over Under, from American Abstract Artists 75th Anniversary Print Portfolio",print by Don Voisine,Q5293660,Q11060274,2012-01-01T00:00:00Z,,,9.75,12.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760056/representation-view,assessed to in copyright
2015.038ll,Q105092325,"Untitled, from American Abstract Artists 75th Anniversary Print Portfolio",print by Edward Shalala,Q105090442,Q11060274,2012-01-01T00:00:00Z,,,9.75,12.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760046/representation-view,assessed to in copyright
2015.038c,Q105095822,"Untitled, from American Abstract Artists 75th Anniversary Print Portfolio",print by Emily Berger,,Q11060274,2012-01-01T00:00:00Z,,,12.75,9.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760027/representation-view,assessed to in copyright
2015.038i,Q103311758,"Untitled, from American Abstract Artists 75th Anniversary Print Portfolio",print by Gabriele Evertz,Q23310132,Q11060274,2012-01-01T00:00:00Z,,,12.75,9.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760039/representation-view,assessed to in copyright
2015.038k,Q102964182,"Delicious, from American Abstract Artists 75th Anniversary Print Portfolio",print by Gail Gregg,Q5517088,Q11060274,2012-01-01T00:00:00Z,,,9.75,12.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760043/representation-view,assessed to in copyright
2015.038f,Q102968159,"Limitless, from American Abstract Artists 75th Anniversary Print Portfolio",print by Henry Brown,Q56280260,Q11060274,2012-01-01T00:00:00Z,,,9.75,12.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760033/representation-view,assessed to in copyright
2015.038ff,Q102970315,"Red Sankaku, from American Abstract Artists 75th Anniversary Print Portfolio",print by Hiroshi Murata,Q77324910,Q11060274,2012-01-01T00:00:00Z,,,9.75,12.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760034/representation-view,assessed to in copyright
2015.038w,Q103308313,"Settings for 3 Seas, from American Abstract Artists 75th Anniversary Print Portfolio",print by Irene Lawrence,Q93232541,Q11060274,2012-01-01T00:00:00Z,,,12.75,9.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760067/representation-view,assessed to in copyright
2015.038l,Q104013523,"Chapel, from American Abstract Artists 75th Anniversary Print Portfolio",print by James Gross,Q85895802,Q11060274,2012-01-01T00:00:00Z,,,12.75,9.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760045/representation-view,assessed to in copyright
2015.038s,Q105091853,"Heaven's Veil, from American Abstract Artists 75th Anniversary Print Portfolio",print by James Joseph Juszczk,Q105090376,Q11060274,2012-01-01T00:00:00Z,,,9.75,12.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760059/representation-view,assessed to in copyright
2015.038h,Q102976358,"Untitled, from American Abstract Artists 75th Anniversary Print Portfolio",print by James O. Clark,Q94533007,Q11060274,2012-01-01T00:00:00Z,,,9.75,12.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760037/representation-view,assessed to in copyright
2015.038x,Q103299751,"Famine-Korean Candle-Hebrew, from American Abstract Artists 75th Anniversary Print Portfolio",print by Jane Marie Logemann,Q29047374,Q11060274,2012-01-01T00:00:00Z,,,12.75,9.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760068/representation-view,assessed to in copyright
2015.038ss,Q105091595,"An Ab 2-Composite, from American Abstract Artists 75th Anniversary Print Portfolio",print by Jeanne Wilkinson,Q105090445,Q11060274,2012-01-01T00:00:00Z,,,9.75,12.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760060/representation-view,assessed to in copyright
2015.038j,Q102961486,"Abstract-Impressionism - After Seurat, from American Abstract Artists 75th Anniversary Print Portfolio",print by John L. Goodyear,Q75571020,Q11060274,2012-01-01T00:00:00Z,,,9.75,12.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760041/representation-view,assessed to in copyright
2015.038gg,Q105091880,"Jill, from American Abstract Artists 75th Anniversary Print Portfolio",print by John Phillips,Q105090467,Q11060274,2012-01-01T00:00:00Z,,,9.75,12.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760036/representation-view,assessed to in copyright
2015.038r,Q105091616,"April Study 7, from American Abstract Artists 75th Anniversary Print Portfolio",print by Julian Jackson,Q105090471,Q11060274,2012-01-01T00:00:00Z,,,12.75,9.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760057/representation-view,assessed to in copyright
2015.038bb,Q103311763,"Untitled, from American Abstract Artists 75th Anniversary Print Portfolio",print by Katinka Mann,Q63037298,Q11060274,2012-01-01T00:00:00Z,,,12.75,9.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760026/representation-view,assessed to in copyright
2015.038g,Q102964706,"EDC:AAA, from American Abstract Artists 75th Anniversary Print Portfolio",print by Kenneth Wayne Bushnell,Q6390816,Q11060274,2012-01-01T00:00:00Z,,,9.75,12.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760035/representation-view,assessed to in copyright
2015.038ii,Q102977157,"Wire: Stainless Steel, Copper, from American Abstract Artists 75th Anniversary Print Portfolio",print by Leo Rabkin,Q28784581,Q11060274,2012-01-01T00:00:00Z,,,9.75,12.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760040/representation-view,assessed to in copyright
2015.038hh,Q103309305,"Summer Noon, from American Abstract Artists 75th Anniversary Print Portfolio",print by Lucio Pozzi,Q6697422,Q11060274,2012-01-01T00:00:00Z,,,12.75,9.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760038/representation-view,assessed to in copyright
2015.038m,Q103300674,"Golondrinas, from American Abstract Artists 75th Anniversary Print Portfolio",print by Lynne Harlow,Q23418770,Q11060274,2012-01-01T00:00:00Z,,,12.75,9.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760047/representation-view,assessed to in copyright
2015.038n,Q105091658,"Bize II, from American Abstract Artists 75th Anniversary Print Portfolio",print by Mara Held,Q105090481,Q11060274,2012-01-01T00:00:00Z,,,9.75,12.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760049/representation-view,assessed to in copyright
2015.038tt,Q105092326,"Untitled, from American Abstract Artists 75th Anniversary Print Portfolio",print by Mark Williams,Q105090454,Q11060274,2012-01-01T00:00:00Z,,,12.75,9.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760062/representation-view,assessed to in copyright
2015.038v,Q103304712,"Lou! Lou!, from American Abstract Artists 75th Anniversary Print Portfolio",print by Marthe Keller,Q20679938,Q11060274,2012-01-01T00:00:00Z,,,12.75,9.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760065/representation-view,assessed to in copyright
2013.036,Q103307304,Ready or Not,print by Michael Kempson,Q98615164,Q11060274,2012-01-01T00:00:00Z,,,33,19.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759873/representation-view,assessed to in copyright
2015.038vv,Q105092327,"Untitled, from American Abstract Artists 75th Anniversary Print Portfolio",print by Nola Zirin,Q105090196,Q11060274,2012-01-01T00:00:00Z,,,12.75,9.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760066/representation-view,assessed to in copyright
2015.038q,Q105092096,"Shadow Works #1, from American Abstract Artists 75th Anniversary Print Portfolio",print by Phillis Ideal,Q105090357,Q11060274,2012-01-01T00:00:00Z,,,12.75,9.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760055/representation-view,assessed to in copyright
2015.038e,Q102976374,"Untitled, from American Abstract Artists 75th Anniversary Print Portfolio",print by Power Robert Boothe,Q44433952,Q11060274,2012-01-01T00:00:00Z,,,9.75,12.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760031/representation-view,assessed to in copyright
2015.038mm,Q103311774,"Untitled, from American Abstract Artists 75th Anniversary Print Portfolio",print by Robert Storr,Q20815857,Q11060274,2012-01-01T00:00:00Z,,,12.75,9.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760048/representation-view,assessed to in copyright
2015.038nn,Q103311781,"Untitled, from American Abstract Artists 75th Anniversary Print Portfolio",print by Robert Swain,Q21995288,Q11060274,2012-01-01T00:00:00Z,,,12.75,9.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760050/representation-view,assessed to in copyright
2015.038b,Q103301696,"It's all about Color II, from American Abstract Artists 75th Anniversary Print Portfolio",print by Siri Berg,Q59546235,Q11060274,2012-01-01T00:00:00Z,,,12.75,9.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760025/representation-view,assessed to in copyright
2015.038aa,Q105092328,"Untitled, from American Abstract Artists 75th Anniversary Print Portfolio",print by Stephen Maine,Q105090527,Q11060274,2012-01-01T00:00:00Z,,,9.75,12.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760024/representation-view,assessed to in copyright
2015.038rr,Q102970607,"Rose Mirror, from American Abstract Artists 75th Anniversary Print Portfolio",print by Stephen Westfall,Q7610832,Q11060274,2012-01-01T00:00:00Z,,,9.75,12.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760058/representation-view,assessed to in copyright
2015.038u,Q105091799,"Flyer, from American Abstract Artists 75th Anniversary Print Portfolio",print by Steve Karlik,Q105090541,Q11060274,2012-01-01T00:00:00Z,,,9.75,12.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760063/representation-view,assessed to in copyright
2015.038d,Q105095824,"Untitled, from American Abstract Artists 75th Anniversary Print Portfolio",print by Susan Bonfils,,Q11060274,2012-01-01T00:00:00Z,,,12.75,9.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760029/representation-view,assessed to in copyright
2015.038uu,Q103311791,"Untitled, from American Abstract Artists 75th Anniversary Print Portfolio",print by Thornton Willis,Q7796569,Q11060274,2012-01-01T00:00:00Z,,,12.75,9.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760064/representation-view,assessed to in copyright
2015.038pp,Q105091875,"January 10, 2012, from American Abstract Artists 75th Anniversary Print Portfolio",print by Vera Vasek,Q105090530,Q11060274,2012-01-01T00:00:00Z,,,12.75,9.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760054/representation-view,assessed to in copyright
2015.038y,Q103311800,"Untitled, from American Abstract Artists 75th Anniversary Print Portfolio",print by Vincent Longo,Q55219270,Q11060274,2012-01-01T00:00:00Z,,,12.75,9.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760069/representation-view,assessed to in copyright
2015.016,Q103311378,Untitled (#1056),drawing by Lynne Woods Turner,Q16731731,Q93184,2013-01-01T00:00:00Z,,,8.25,6.25,,,Abstract,IN COPYRIGHT,https://forum.jstor.org/assets/26759958/representation-view,assessed to in copyright
2015.014,Q103310336,Three Alphabets,drawing by Gloria Ortiz-Hernández,Q77348303,Q93184,2013-01-01T00:00:00Z,,,18.75,14,,,Abstract (fine arts style),IN COPYRIGHT,https://forum.jstor.org/assets/26759956/representation-view,assessed to in copyright
2016.001.1,Q103307938,Sayed from Our House is On Fire,photograph by Shirin Neshat,Q262413,Q125191,2013-01-01T00:00:00Z,,,26,17.5,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760159/representation-view,assessed to in copyright
2016.005.11,Q105092292,Untitled,print by Kathleen Walkup,Q105090413,Q11060274,2013-01-01T00:00:00Z,,,12,17.75,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760197/representation-view,assessed to in copyright
2016.005.07,Q105092139,Summer and Letterpress!,print by Martha Chiplis,Q105090559,Q11060274,2013-01-01T00:00:00Z,,,11.75,13.875,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26760193/representation-view,assessed to in copyright
2015.029,Q102964749,"Emma & her Mama on the back porch, from the series, I Am Unbeatable",photograph by Donna Ferrato,Q11821277,Q125191,2014-01-01T00:00:00Z,,,10.5,16.25,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759971/representation-view,assessed to in copyright
2015.021,Q102966599,"James and Taylor, from the series, I Am Unbeatable",photograph by Donna Ferrato,Q11821277,Q125191,2014-01-01T00:00:00Z,,,13.25,20,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759963/representation-view,assessed to in copyright
2015.027,Q102970796,"Sarah after Court Hearing, from the series, I Am Unbeatable",photograph by Donna Ferrato,Q11821277,Q125191,2014-01-01T00:00:00Z,,,13.25,20,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759969/representation-view,assessed to in copyright
2015.026,Q102970805,"Sarah and a member of B.A.C.A. discussing a strategy to protect the boys, from the series, I Am Unbeatable",photograph by Donna Ferrato,Q11821277,Q125191,2014-01-01T00:00:00Z,,,13.25,20,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759968/representation-view,assessed to in copyright
2015.022,Q102970819,"Sarah and Her Mother, from the series, I Am Unbeatable",photograph by Donna Ferrato,Q11821277,Q125191,2014-01-01T00:00:00Z,,,13.25,20,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759964/representation-view,assessed to in copyright
2015.024,Q102970839,"Sarah, James and Taylor, from the series, I Am Unbeatable",photograph by Donna Ferrato,Q11821277,Q125191,2014-01-01T00:00:00Z,,,13.25,20,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759966/representation-view,assessed to in copyright
2015.025,Q102973853,"Target Practice with a Pellet Gun, from the series, I Am Unbeatable",photograph by Donna Ferrato,Q11821277,Q125191,2014-01-01T00:00:00Z,,,13.25,20,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759967/representation-view,assessed to in copyright
2015.028,Q102973860,"Taylor and Emma, from the series, I Am Unbeatable",photograph by Donna Ferrato,Q11821277,Q125191,2014-01-01T00:00:00Z,,,10.5,16.25,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759970/representation-view,assessed to in copyright
2015.020,Q102975291,"Tommy, James and Taylor, from the series, I Am Unbeatable",photograph by Donna Ferrato,Q11821277,Q125191,2014-01-01T00:00:00Z,,,10.5,16.25,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759962/representation-view,assessed to in copyright
2015.018,Q106577459,"Tommy and James, from the series, I Am Unbeatable",photograph by Donna Ferrato,Q11821277,Q125191,2014-01-01T00:00:00Z,,,6.25,10.5,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759960/representation-view,assessed to in copyright
2015.017,Q104032294,"Sarah and Tommy, from the series, I Am Unbeatable",photograph by Donna Ferrato 2015.017,Q11821277,Q125191,2014-01-01T00:00:00Z,,,10.5,16.25,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759959/representation-view,assessed to in copyright
2015.019,Q104032295,"Sarah and Tommy, from the series, I Am Unbeatable",photograph by Donna Ferrato 2015.019,Q11821277,Q125191,2014-01-01T00:00:00Z,,,10.5,16.25,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759961/representation-view,assessed to in copyright
2015.023,Q104032677,"Tommy and Sarah, from the series, I Am Unbeatable",photograph by Donna Ferrato 2015.023,Q11821277,Q125191,2014-01-01T00:00:00Z,,,13.25,20,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759965/representation-view,assessed to in copyright
2015.030,Q104031955,"Emma, from the series, I Am Unbeatable",photograph by Donna Ferrato 2015.030,Q11821277,Q125191,2014-01-01T00:00:00Z,,,10.5,16.25,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759972/representation-view,assessed to in copyright
