orcid,givenNames,familyName,startDate,endDate,department,organization
0000-0003-3085-822X,Jennifer,Vega,2018-08-01,,,Vanderbilt University
0000-0001-9239-6660,Ana Christina,da Silva Iddings,2016-01-08,,Teaching and Learning,Vanderbilt University
0000-0003-1270-6927,Dylan,Domel-White,2020-08-16,,Mathematics,Vanderbilt University
0000-0001-6240-5722,Jenn,Richler,2010-05,2016-09,,Vanderbilt University
0000-0003-3026-9775,Raul,Wirz Gonzalez,2013-11-01,,Mechanical Engineering,Vanderbilt University
0000-0001-6597-981X,Alexander,Feoktistov,2007-06-01,2009-06-01,Cell & Developmental Biology,Vanderbilt University
0000-0001-9100-8144,Caroline,Wiser,,,Biochemistry,Vanderbilt University
0000-0002-4679-4614,Jamie,Stern,2018-04-04,,CDB,Vanderbilt University
0000-0002-1422-2814,Gordon,Stein,2018-08-15,,EE/CS,Vanderbilt University
0000-0002-7050-7128,Robert,Sivley,2013-08-15,,Biomedical Informatics,Vanderbilt University
0000-0002-8373-4573,Gregory,Howard,2016-09,,Cell and Developmental Biology,Vanderbilt University
0000-0003-0270-7731,Patrick,Nsengiyumva,2015-01-01,2017-07-31,Electrical Engineering and Computer Engineering,"PhD Research Assistant, Vanderbilt University"
0000-0003-1042-5531,Jessica,Clarke,2018-07-01,,Law School,Vanderbilt University
0000-0003-0263-1319,Samuel,Thompson,2019-08,,Chemical and Biomolecular Engineering,Vanderbilt University
0000-0002-8878-4350,Verra,Ngwa,2016-08-15,,Cancer Biology Graduate Program,Vanderbilt University
0000-0001-5380-2427,Sarah,Lotspeich,2016-08-10,,Biostatistics,Vanderbilt University
0000-0001-5024-9777,William,Mitchell,1966-07-01,,"Pathology, Microbiology &* Immunology",Vanderbilt University
0000-0001-5766-069X,Venkataraman,Amarnath,,,Clinical Pharmacology,Vanderbilt University
0000-0002-1805-2955,Zhaohua,Ding,2002-07-01,,Vanderbilt University Institute of Imaging Science,Vanderbilt University
0000-0002-0530-8878,David,Florian,2017-06,,Biomedical Engineering,Vanderbilt University
0000-0001-9406-685X,Ann,Kaiser,1984-09-01,,Special Education and Psychology,Vanderbilt University
0000-0003-0792-8867,Sharon,Davis,2013-08-01,,Department of Biomedical Informatics,Vanderbilt University School of Medicine
0000-0002-7979-8881,Maria,Duggan,2014,,Medicine,Vanderbilt University School of Medicine
0000-0002-7934-7773,Zhenkai,Zhang,2016,2019,EECS,Vanderbilt University
0000-0002-7934-7773,Zhenkai,Zhang,2010,2015,EECS,Vanderbilt University
0000-0003-1423-5241,Julia,Velkovska,2012,,Physics and Astronomy,Vanderbilt University
0000-0002-5228-1217,Eric,Hall,2019-12-02,,Skills & Simulation Lab,Vanderbilt University
0000-0002-2944-0072,Jason,Bonacum,2014-08,,Physics,Vanderbilt University
0000-0003-2245-4399,Neelima,Wagley,2019-08-15,,Psychology and Human Development,Vanderbilt University
0000-0001-9849-0551,Kevin,Leander,1999-08-20,,Teaching and Learning,Vanderbilt University
0000-0001-7174-3707,Aaron,Stevens,2015-05-10,,Physics and Astronomy,Vanderbilt University
0000-0002-2248-104X,Terry,Lybrand,2000-08-01,2019-12-31,Chemistry,Vanderbilt University
0000-0001-8831-4247,Kilian,HETT,2019-02-01,,,Vanderbilt University
0000-0001-9176-7845,John,Brehm,2017-01-08,,Physics and Astronomy,Vanderbilt University
0000-0002-1787-1799,Jonathan,Attalla,2017-06-01,,,Vanderbilt University School of Medicine
0000-0001-9459-218X,Jasmine,Shu,2014-06-02,,Biomedical Engineering,Vanderbilt University
0000-0002-5709-7259,Tim,Moore,2012-01,2017-12,Chemical and Biomolecular Engineering,Vanderbilt University
0000-0002-5709-7259,Tim,Moore,2011-08,2012-05,Chemical and Biomolecular Engineering,Vanderbilt University
0000-0002-3700-3024,George,Ding,2004-09-18,,Radiation Oncology,Vanderbilt University School of Medicine
0000-0001-7388-399X,Erin,Bratu,2020-05,,Electrical Engineering,Vanderbilt University
0000-0001-7388-399X,Erin,Bratu,2019-08,2020-05,Electrical Engineering,Vanderbilt University
0000-0003-3791-7392,Kaitlyn,Ledwitch,2017-08-20,,Center for Structural Biology,Vanderbilt University
0000-0003-4762-4550,Pedro,Rodriguez,2019-09-09,,Data Science Institute,Vanderbilt University
0000-0002-7273-5626,Lauren,Samuels,2019-01-01,,Biostatistics,Vanderbilt University School of Medicine
0000-0002-6154-2765,Zhiliang,Pan,2018-08-15,,Mechanical Engineering,Vanderbilt University
0000-0003-1230-5672,Karen,Hande,2013-08,,DNP,Vanderbilt University School of Nursing
0000-0002-8531-7247,Alexander,Hawkins,2016-08-15,,Colon & Rectal Surgery,Vanderbilt University School of Medicine
0000-0003-1067-479X,Lauren,Drake,2020-07-07,,Biomedical Engineering,Vanderbilt University
0000-0001-5163-0668,Xuan,Zhang,2019-09-30,,Chemistry,Vanderbilt University
0000-0002-8419-963X,Christine,Whitmore,2014-10-01,,Department of Health Policy,Vanderbilt University School of Medicine
0000-0003-4023-3610,Catherine,Pashley,2004-04,2006-03,Biological Sciences,Vanderbilt University
0000-0002-5909-0181,Graham,Throckmorton,2017-09,,Biomedical Engineering,Vanderbilt University
0000-0003-2700-977X,Munir,Kutlu,2017-12-01,,Pharmacology,Vanderbilt University School of Medicine
0000-0002-7535-1230,David,Cole,1991,,Psychology and Human Developmetn,Vanderbilt University
0000-0002-3300-9250,Athena,Lemon,2020-03,,,Vanderbilt University
0000-0002-0542-4545,Sameer,Nikhar,2018-09-01,,"Department of Biochemistry, School of Medicine",Vanderbilt University
0000-0001-8607-5756,Rahul,Bhattacharjee,2018-11-01,,Cell and Developmental Biology,Vanderbilt University
0000-0003-3426-3266,Boden,Vanderloop,2020-07-01,,Interdisciplinary Graduate Program,Vanderbilt University
0000-0002-7026-7099,David,Schwartz,2002,,gastroenterology,Vanderbilt University
0000-0002-0798-7210,Isaac,West,,,Communication Studies,Vanderbilt University
0000-0003-2781-3207,Kevin,Collins,2018-05-29,2019-08-15,Physics & Astronomy,Vanderbilt University
0000-0002-0560-4589,Autumn,Kujawa,,,Psychology and Human Development,Vanderbilt University
0000-0001-6832-1044,Kimberly,Schauder,2011-08-15,2013-06-12,Psychiatry,Vanderbilt University
0000-0002-4977-0458,Carwil,Bjork-James,2013-07-01,,Anthropology,Vanderbilt University
0000-0002-3286-2102,Amy,Cooter,,,Sociology,Vanderbilt University
0000-0002-3449-7778,Marcelo,Disconzi,2014-08-31,,Mathematics,Vanderbilt University
0000-0002-3449-7778,Marcelo,Disconzi,2012-08-31,2014-05-31,Mathematics,Vanderbilt University
0000-0002-4510-6234,Tung,Phan,2016-02-01,2017-01-27,Civil and Environmental Engineering,Vanderbilt University
0000-0002-2935-0042,Joseph,Lambert,2013-08,,Special Education,Vanderbilt University
0000-0002-5313-0664,Emily,Tanner-Smith,2009-05,2017-08-15,Human and Organizational Development,Vanderbilt University
0000-0001-9724-237X,Barbara,Stengel,2010-07-01,,Department of Teaching and Learning,Vanderbilt University
0000-0002-3988-8356,Yanbing,Wang,,,,Vanderbilt University
0000-0002-9535-3866,Kirill,Zhirkov,2020-09,,Political Science,Vanderbilt University
0000-0002-2803-4654,Laura,Carpenter,2002-08-01,,Sociology,Vanderbilt University
0000-0001-7491-8672,Vito,Quaranta,2003-04-05,,Biochemistry,Vanderbilt University School of Medicine
0000-0002-6620-4976,Louise,Lantier,,,Molecular Physiology and Biophysics,Vanderbilt University
0000-0001-5437-5287,heidi,hamm,2000-09,,Pharmacology,Vanderbilt University
0000-0002-3129-5468,Reece,Knippel,2014-08-15,2020-01-31,"Pathology, Microbiology and Immunology",Vanderbilt University
0000-0002-9101-2108,William,Bernet,2012,,Psychiatry,Vanderbilt University
0000-0001-8621-6942,Dominique,Behague,2012-07-01,,Medicine Health and Society,Vanderbilt University
0000-0002-2530-2094,Janey,Camp,2016-07,,Civil and Environmental Engineering,Vanderbilt University
0000-0002-2530-2094,Janey,Camp,2011-07,2016-07,Civil and Environmental Engineering,Vanderbilt University
0000-0002-6549-094X,Julia,Phillippi,,,,Vanderbilt University School of Nursing
0000-0002-1678-209X,Zixiu,Xiang,,,VCNDD,Vanderbilt University School of Medicine
0000-0002-3455-1594,Nicole,Joseph,2016-07-01,,Teaching and Learning,Vanderbilt University
0000-0001-8503-002X,Timothy,Cover,1990,,"Department of Medicine; Department of Pathology, Microbiology and Immunology",Vanderbilt University School of Medicine
0000-0003-2099-5247,Lynn,Fuchs,,,Special Education,Vanderbilt University
0000-0003-3735-4649,Holly,Algood,2011-04-01,,"Medicine, Infectious Disease",Vanderbilt University
0000-0003-4473-6901,Fan,Cao,,,Biochemistry,Vanderbilt University
0000-0002-1814-2002,Andreas,Berlind,2007-09-01,,Physics and Astronomy,Vanderbilt University
0000-0003-3890-151X,Ginger,Milne,2012-11,,Medicine and Pharmacology,Vanderbilt University
0000-0003-3890-151X,Ginger,Milne,2005-11,2012-11,Medicine and Pharmacology,Vanderbilt University
0000-0003-3890-151X,Ginger,Milne,2002-11,2005-11,Medicine and Pharmacology,Vanderbilt University
0000-0001-6653-9365,Justin,Critchlow,2017-05-14,,Biological Sciences,Vanderbilt University
0000-0003-4282-5222,frederick,haselton,1989-07-01,,Biomedical Engineering,Vanderbilt University
0000-0002-4100-3473,Jae-Kwang,Hwang,1996-03-25,2014-12-31,Physics and Astronomy,Vanderbilt University
0000-0003-0062-6858,Marisa,Lytle,2017-09-01,2020-08-14,Psychology and Human Development,Vanderbilt University
0000-0002-5717-4218,Talat,Ikizler,,,Medicine,Vanderbilt University School of Medicine
0000-0001-8106-1216,Joy,Cogan,2003-07,,Pediatrics,Vanderbilt University School of Medicine
0000-0001-5005-3862,steven,hollon,1985-09-01,,Psychology,Vanderbilt University
0000-0003-0697-7595,Austin,Hardcastle,2020-01-01,2020-06-30,Chemistry,Vanderbilt University
0000-0003-0697-7595,Austin,Hardcastle,2015-05-30,2018-05-01,Biomedical Engineering,Vanderbilt University
0000-0002-7479-438X,Kyle,Broach,2011-01,2012-05,Office of Housing and Residential Education,Vanderbilt University
0000-0003-4970-4757,Julie,Hamm,2015-05,,VPEC,Vanderbilt University Medical Center
0000-0002-3007-9181,Jay R.,Groves,1984-06-01,2013-08-11,Physical Medicine and Rehabilitation ,Vanderbilt University Medical Center
0000-0002-7280-3887,David,Shisler,2012,2015,Internal Medicine,Vanderbilt University Medical Center
0000-0003-0134-2865,Gabrielle,Davis,2019-12,2020-05,Office of Health Equity,Vanderbilt University
0000-0003-4464-023X,Jacob,Brady,2013-05,2014-08,Trauma and Surgical Critical Care,Vanderbilt University Medical Center
0000-0002-8399-5036,Michael L.,Risner,2018-08-01,,Vanderbilt Eye Institute,Vanderbilt University Medical Center
0000-0002-8399-5036,Michael L.,Risner,2017-07-01,2018-08-01,Ophthalmology and Visual Sciences,Vanderbilt University Medical Center
0000-0002-8399-5036,Michael L.,Risner,2015-08-01,2017-07-01,Dept of Ophthalmology and Visual Sciences,Vanderbilt University Medical Center
0000-0003-4680-9553,Caroline,Roe,2016-03,,Cell and Developmental Biology,Vanderbilt University
0000-0003-4680-9553,Caroline,Roe,2012-06,2013-03,Cancer Biology,Vanderbilt University
0000-0002-0803-768X,Emily,Kimball,2019-09-30,,Otolaryngology,Vanderbilt University Medical Center
0000-0002-3476-5437,Steven,Brunwasser,2019-07-01,,Medicine,Vanderbilt University Medical Center
0000-0002-3476-5437,Steven,Brunwasser,2018-07-01,2019-06-15,Medicine,Vanderbilt University Medical Center
0000-0002-3476-5437,Steven,Brunwasser,2015-07-01,2018-06-01,Medicine,Vanderbilt University Medical Center
0000-0003-0670-6648,Patrick,Gentry,2008-06,2010-05,Pharmacology,Vanderbilt University Medical Center
0000-0003-0670-6648,Patrick,Gentry,2007-02,2008-05,Pharmacology,Vanderbilt University Medical Center
0000-0002-9492-2641,Brett,Myers,2013-07-01,2019-07-19,"Voice Center, Otolaryngology",Vanderbilt University Medical Center
0000-0001-7550-0147,Jordan,Bley,2019-08,,Orthopaedics,Vanderbilt University Medical Center
0000-0003-1681-3818,John,Martin,2011-08,2017-02,Biomedical Engineering,Vanderbilt University
0000-0003-1097-9171,Kathleen ,Mittendorf,2015-11-02,2017-03-11,Vanderbilt-Ingram Cancer Center,Vanderbilt University Medical Center
0000-0002-1158-8976,Danyvid,Olivares-Villagomez,2017,,"Pathology, Microbiology and Immunology",Vanderbilt University Medical Center
0000-0002-3504-6776,Kimberly,Lomis,2002,,Medical Education and Administration,Vanderbilt University School of Medicine
0000-0001-6824-7155,M. Benjamin,Shoemaker,2015-07-01,,Medicine/Cardiology,Vanderbilt University Medical Center
0000-0002-0749-2357,Jeremy,Goettel,2017-09-01,,Medicine,Vanderbilt University Medical Center
0000-0001-8613-0823,Kyle,Gavulic,2020-06-22,,Department of Health Policy,Vanderbilt University Medical Center
0000-0001-8613-0823,Kyle,Gavulic,2019-08-26,2020-05-01,"Center for Medicine, Health, and Society",Vanderbilt University
0000-0001-8613-0823,Kyle,Gavulic,2017-01-09,2018-04-20,,Vanderbilt University Medical Center
0000-0002-6861-2041,Stephen,Strickland,2008-07-01,,"Medicine, Division of Hematology / Oncology",Vanderbilt University Medical Center
0000-0003-3142-5186,Kendra,Oliver,2019-04-01,,Pharmacology ,Vanderbilt University
0000-0003-3142-5186,Kendra,Oliver,2018-04-01,2019-04-01,Pharmacology ,Vanderbilt University
0000-0003-3142-5186,Kendra,Oliver,2016-08,2018-04,Nephrology and Hypertension ,Vanderbilt University Medical Center
0000-0002-4679-4665,Kristy,Kummerow Broman,2010-07-01,,General Surgery,Vanderbilt University Medical Center
0000-0002-0149-5661,Chenjie,Zeng,2018-02-01,,Medicine,Vanderbilt University Medical Center
0000-0002-7157-5683,E. Danielle,Dean,2019,,Dept of Medicine and Dept of Molecular Physiology and Biophysics,Vanderbilt University Medical Center
0000-0002-7157-5683,E. Danielle,Dean,2018,2019,Department of Medicine,Vanderbilt University Medical Center
0000-0002-7157-5683,E. Danielle,Dean,2017,2018,"Diabetes, Endocrinology, and Metabolism",Vanderbilt University Medical Center
0000-0001-8841-0191,Aparna,Singh,2017-06-12,,Biomedical Engineering,Vanderbilt University
0000-0003-4687-7193,Ye,Han,2018-01-01,,Neurology,Vanderbilt University Medical Center
0000-0003-4203-4703,lloyd,King,1977-07-01,,Dermatology,Vanderbilt University
0000-0002-5096-7901,Carla,Beals,2011-10,,Library,Vanderbilt University
0000-0002-1566-7479,Michaela,Mattes,2007-08-01,2013-06-30,Political Science,Vanderbilt University
0000-0002-0169-9867,David,Ernst,1992-08-01,,Physics and Astronomy,Vanderbilt University
0000-0002-8177-9444,Bohyeong,Kim,,,Communication Studies,Vanderbilt University
0000-0002-7981-8037,Alexis,Wells Oghoghomeh,2015-07,,Religious Studies/History,Vanderbilt University
0000-0001-5606-6998,David,Furbish,2003,,Earth and Environmental Sciences,Vanderbilt University
0000-0001-8394-7969,Mia,Wells,2011-06-06,,School of Nursing,Vanderbilt University
0000-0002-2567-4891,Joseph,schneider,2013-02,,Research Informatics Core,Vanderbilt University Medical Center
0000-0002-4016-6166,dingding,shen,2012-08,,The Graduate Program of Neuroscience,Vanderbilt University
0000-0002-4824-6064,Caitlin J. ,Risener,2017-04-04,2018-07-20,Molecular Physiology and Biophysics,Vanderbilt University
0000-0002-9970-5566,William,Boeglin,1988-02-29,,Pharmacology,Vanderbilt University
0000-0001-7926-089X,Aaron,Wexler,2018,,"Pathology, Microbiology and Immunology",Vanderbilt University Medical Center
0000-0002-0345-1080,James,O'Neill,1995-02-01,,"Surgery, Pediatric Surgery",Vanderbilt University Medical Center
0000-0002-5587-3277,Stacey,Johnson,2015-06-15,,"Center for Teaching, Dept of Spanish & Portuguese",Vanderbilt University
0000-0002-9683-2973,Hyo,Park,2010-07-11,2011-07-11,Medical Center,Vanderbilt University
0000-0002-6964-6286,Karina,Kanjaria,,,,Vanderbilt University
0000-0002-1498-2469,Latha,Raju,2006-02-13,,Vantage,Vanderbilt University Medical Center
0000-0002-8401-3233,Jason,Lerner,2016-08-19,,Chemical and Physical Biology,Vanderbilt University
0000-0002-4975-7923,Andrea,Bachus Bronaugh,2009-10,,Center for Health Services Research,Vanderbilt University Medical Center
0000-0001-6225-5752,Olive,Njuma,2016-08-15,,Biochemistry,Vanderbilt University Medical Center
0000-0002-1450-8046,Malin,Andersson,2004-01-01,2007-06-01,Analytical Chemistry,Vanderbilt University
0000-0001-9311-7061,John,Walsh,2002-11-01,,Radiation Oncology,Vanderbilt University Medical Center
0000-0001-8866-2786,Kelly,Goldsmith,2017-08-01,,Marketing,Vanderbilt University
0000-0003-2187-2775,BAHAR,KEÇELİ KAYSILI,2017-02-06,,Hearing and Speech Sciences,Vanderbilt University Medical Center
0000-0002-9322-0314,Garrett,Somers,2016-08-01,,Physics and Astronomy,Vanderbilt University
0000-0003-1006-3868,Halina,Krzyzanowska,2012-07-01,,Physics and Astronomy,Vanderbilt University
0000-0003-1169-0353,Brian,Beach,2019-08-10,,Economics,Vanderbilt University
0000-0003-2580-8703,Kenneth,Galloway,1996-08-01,,Electrical and Computer Engineering,Vanderbilt University
0000-0001-8916-6127,fernanda Monteiro,Eliott,2016-06-15,,Department of Electrical Engineering and Computer Science,Vanderbilt University
0000-0001-9148-2778,Jay,Patel,2017-07-01,,Cardiovascular Medicine,Vanderbilt University Medical Center
0000-0002-0616-5936,Bobby,Bodenheimer,2000-09-01,,Electrical Engineering and Computer Science,Vanderbilt University
0000-0001-6360-626X,Kathryn,Anderson,1980-08,,Economics,Vanderbilt University
0000-0002-8151-8711,Shelly,Lorey,2003-01-02,,Cell & Developmental Biology,Vanderbilt University
0000-0002-0163-4772,Alaina,Willet,2017-08-01,,cell and developmental biology,Vanderbilt University
0000-0001-8928-7762,John,Brannon,2016-01-04,,"Pathology, Microbiology, and Immunology",Vanderbilt University Medical Center
0000-0003-3958-451X,Emelyne,Bingham,1986-08-01,,Music Theory,Vanderbilt University
0000-0002-1384-3555,Gabriella,Papa,2020-09-01,,Center for Knowledge management,Vanderbilt University Medical Center
0000-0001-7632-9126,Nicole,Moehring,2018,,,Vanderbilt University
0000-0001-9315-0830,Nancy,Cox,2015-01-01,,Medicine,Vanderbilt University Medical Center
0000-0002-2987-6191,Shannon,Leahy,2018-08,,Biological Sciences,Vanderbilt University
0000-0001-8884-6913,Taylor,McNeill,2019,,Teaching & Learning,Vanderbilt University
0000-0001-9835-3434,Charles,Perry,2018-07-16,,Vanderbilt Center for Neuroscience Drug Discovery,Vanderbilt University
0000-0003-3207-3717,Kelly,Haws,2013-06-15,,Owen Graduate School of Management,Vanderbilt University
0000-0003-4318-6119,Todd,Edwards,2010,,Medicine,Vanderbilt University
0000-0002-3541-9173,Stacy,Klein-Gardner,2019-04,,Biomedical Engineering,Vanderbilt University
0000-0002-0056-3052,Sen,Yang,2018-08,,School of Engineering,Vanderbilt University
0000-0003-2188-6376,KayLee,Steiner,2020-08,,,Vanderbilt University 
0000-0002-2096-8065,Yuankai,Huo,2020-01-01,,Electrical Engineering and Computer Science,Vanderbilt University
0000-0002-2096-8065,Yuankai,Huo,2018-05-01,2019-04-30,EECS,Vanderbilt University
0000-0002-2096-8065,Yuankai,Huo,2014-08-25,2018-05-11,Electrical Engineering and Computer Science,Vanderbilt University
0000-0002-2171-100X,Bharat,Bhuva,1987-08-01,,Department of EECS,Vanderbilt University
0000-0001-8160-3804,Marilyn,Steinbach,2019-06-03,,Neurology Department,Vanderbilt University Medical Center
0000-0001-9718-0244,Hannah,Regan,2017-08,,Sociology,Vanderbilt University
0000-0002-8179-8151,Kathleen,Moyer,2016-08,2019-12,Interdisciplinary Materials Science,Vanderbilt University
0000-0002-1124-5156,Samuel,Fullerton,2020-01-05,,History,Vanderbilt University
0000-0002-2164-5698,Nina,Bozhanova,2016-11-18,,Chemistry,Vanderbilt University
0000-0002-7338-037X,Alexandr,Kazda,2013-08,2015-08,Department of Mathematics,Vanderbilt University
0000-0002-9321-212X,James,Hayes,2018-08-14,,Cell and Developmental Biology,Vanderbilt University
0000-0002-6612-3201,Jared,Nordman,2015-08,,Biological Sciences,Vanderbilt University
0000-0001-8737-0773,Neil,Zheng,2019-06-17,,Biomedical Informatics,Vanderbilt University Medical Center
0000-0002-3861-9859,Meridith,Blevins,2009-07,,Biostatistics,Vanderbilt University
0000-0002-1504-8563,Christopher,Nash,2016-08,,Mechanical Engineering,Vanderbilt University
0000-0002-8088-7398,Amy,Martinez,,,Office of Research,Vanderbilt University Medical Center
0000-0001-5057-2523,Danielle,Buchanan,,,Neurology,Vanderbilt University Medical Center
0000-0002-5182-3870,Tae Kon,Kim,2019-07-01,,Hematology/Oncology,Vanderbilt University Medical Center
0000-0001-9477-2949,Hans,Aerni,2002-07-17,2005-05-07,Biochemistry,Vanderbilt University
0000-0002-2051-9833,Hector,Myers,2013-08-01,,"Medicine, Health & Society & Psychology",Vanderbilt University
0000-0002-5313-8164,Dan,Zhou,,,,Vanderbilt University Medical Center
0000-0001-9545-1864,Noam,Lupu,2016,,,Vanderbilt University
0000-0003-0009-1144,Loretta,Byrne,2003-04-14,,Institute for Clinical and Translational Research,Vanderbilt University Medical Center
0000-0002-9557-1425,Todd,Giorgio,1987-01-01,,Biomedical Engineering,Vanderbilt University
0000-0002-1616-3774,Naira,Baregamian,2014-08,,"Department of Surgery, Division of Surgical Oncology & Endocrine Surgery",Vanderbilt University Medical Center
0000-0001-8676-2425,Bing,Zhang,2006-06-01,2016-07-31,,Vanderbilt University
0000-0002-2852-5365,Justin,Theiss,2013-07-15,2016-06-30,Psychiatric Neuroimaging Program,Vanderbilt University
0000-0002-5114-1757,Francois,Bordeleau,2017-01-03,2018-07-13,Biomedical Engineering,Vanderbilt University
0000-0001-8571-8238,Amanda,Carrico,2012,2013,Vanderbilt Institute for Energy and Environment (VIEE),Vanderbilt University
0000-0001-8571-8238,Amanda,Carrico,2009,2012,Vanderbilt Institute for Energy and Environment (VIEE),Vanderbilt University
0000-0002-4772-1388,James,Morgan,2020-09-01,,Physical Medicine and Rehabilitation,Vanderbilt University Medical Center
0000-0001-5668-9925,Brittany,Leigh,2017-09-12,,Biological Sciences,Vanderbilt University
0000-0002-3974-2613,Christopher,Haycook,2016,,Biomedical Engineering,Vanderbilt University
0000-0001-5377-5991,prasanna,dadi,2016-01-02,,MPB,Vanderbilt University
0000-0003-2663-2738,Velma ,Murry,2008-08-01,,Human Development and Organizational Development,Vanderbilt University
0000-0002-8553-9392,Bingyuan,Yang,2018-10-29,,Molecular Physiology and Biophysics,Vanderbilt University
0000-0001-8353-2675,Joanne,Merriam,2009,,Otolaryngology,Vanderbilt University Medical Center
0000-0002-3437-1331,Frank,Tong,,,Psychology,Vanderbilt University
0000-0001-9725-9438,Yasunori,Toda,2013-06,2015-03,Chemistry,Vanderbilt University
0000-0001-9591-6940,Sun,Peck,2019-09-01,,Medicine,Vanderbilt University Medical Center
0000-0001-8465-130X,Yike,Li,,,Otolaryngology,Vanderbilt University Medical Center
0000-0003-4531-0910,Yi,Ren,2016-12-01,,Department of Biochemistry,Vanderbilt University
0000-0001-9625-3595,Amy,Needham,2009-01-01,,Psychology & Human Development,Vanderbilt University
0000-0002-0832-7070,Changho,Han,,,Warren Center for Neuroscience Drug Discovery,Vanderbilt University
0000-0001-9574-3832,William,Doyle,2019-09-01,,Leadership Policy and Organizations,Vanderbilt University
0000-0001-9574-3832,William,Doyle,2011-04-26,2019-08-31,"Leadership, Policy and Organizations",Vanderbilt University
0000-0001-9574-3832,William,Doyle,2004-09-01,2011-04-25,"Leadership, Policy and Organizations",Vanderbilt University
0000-0003-1358-8563,Emily,Hudson,2019-01-01,,,Vanderbilt University
0000-0002-4721-7376,Pierre,Pouget,2007,2008,Psychology,Vanderbilt University
0000-0002-4721-7376,Pierre,Pouget,2004,2007,Psychology,Vanderbilt University
0000-0002-7343-0939,Gabriel,Torres Colón,2019-08-16,,Anthropology,Vanderbilt University
0000-0002-4847-0031,Andrea,Cuentas-Condori,,,Cell & Developmental Biologyq,Vanderbilt University
0000-0003-0849-6058,Rogers,Hall,2002-08-15,2017,Teaching and Learning,Vanderbilt University
0000-0002-2903-0604,Swati,Balakrishnan,2018-05-01,,Biochemistry/ Center for Structural Biology,Vanderbilt University
0000-0002-0773-941X,Gabriela,Gonzalez-Vasquez,2019,2020,,Vanderbilt University
0000-0002-9200-1881,Joel,McNeil,2014-06-01,,Pulmonary,Vanderbilt University Medical Center
0000-0002-3997-6217,CINQUE,SOTO,2015-09-09,,Pediatrics and Infectious Diseases,Vanderbilt University Medical Center
0000-0001-8031-7777,Lam,Pham,2015-08-01,2020-05-01,"Leadership, Policy, and Organizations",Vanderbilt University
0000-0002-3833-2137,Karen,Gregory,2009-08-10,2013-07-15,Vanderbilt Center for Neuroscience Drug Discovery,Vanderbilt University
0000-0002-3140-1953,Adam,Miranda,2018-08-14,,,Vanderbilt University Medical Center
0000-0002-2476-4078,Christopher,Aiken,2016-03-01,,"Pathology, Microbiology and Immunology",Vanderbilt University Medical Center
0000-0002-2476-4078,Christopher,Aiken,2011-07-01,2016-02-29,"Pathology, Microbiology and Immunology",Vanderbilt University School of Medicine
0000-0002-2476-4078,Christopher,Aiken,2005-09-01,2011-06-30,Microbiology and Immunology,Vanderbilt University Medical Center
0000-0002-2476-4078,Christopher,Aiken,2001-09-13,2005-08-31,Microbiology and Immunology,Vanderbilt University Medical Center
0000-0002-2476-4078,Christopher,Aiken,1995-11-01,2001-09-12,Microbiology and Immunology,Vanderbilt University Medical Center
0000-0003-1009-9545,William,Potter,2019-08,2020-07,Center for Digital Humanities,Vanderbilt University
0000-0001-9289-5558,Jason,Cook,,,Cardiovascular Disease,Vanderbilt University Medical Center
0000-0002-5048-9540,WILLIAM ,STEAD,2016-05-01,,,Vanderbilt University Medical Center
0000-0002-5048-9540,WILLIAM ,STEAD,1991-07-01,,Biomedical Informatics & Mediine,Vanderbilt University
0000-0001-6046-6003,Aron,Parekh,2014,,Otolaryngology,Vanderbilt University Medical Center
0000-0001-6046-6003,Aron,Parekh,2010,2014,Otolaryngology,Vanderbilt University Medical Center
0000-0001-7450-0620,Brian,Evans,2019-07-01,,Biomedical Engineering,Vanderbilt University
0000-0001-7450-0620,Brian,Evans,2017-06-01,2019-02-18,Biomedical Engineering,Vanderbilt University
0000-0001-7450-0620,Brian,Evans,2016-10-01,2017-06-30,Vascular Surgery,Vanderbilt University Medical Center
0000-0003-2745-104X,Elad,Binshtein,2019-08,,Vanderbilt Vaccine Center (VVC),Vanderbilt University Medical Center
0000-0003-2745-104X,Elad,Binshtein,2016-08,2019-08,Center for Structure Biology (CSB),Vanderbilt University
0000-0001-9953-1212,Lynn ,Walker,1985,,Pediatrics,Vanderbilt University School of Medicine
0000-0003-2664-3541,Melissa,Fischer,2015-08-01,,Internal Medicine,Vanderbilt University School of Medicine
0000-0001-5670-7388,Tracy,Shields,2007-09,2014-05,Eskind Biomedical Library / Knowledge Management,Vanderbilt University Medical Center
0000-0003-2348-635X,James Brian,Robertson,2009-05,2011-07,Biological Sciences,Vanderbilt University
0000-0003-2348-635X,James Brian,Robertson,1999-07,2005-07,Cell and Developmental Biology,Vanderbilt University Medical Center
0000-0003-1139-0780,Mingfeng,Bai,2017-03-01,,,Vanderbilt University Medical Center
0000-0002-8383-6174,Amanda,Stone,2018-09,,Anesthesiology,Vanderbilt University Medical Center
0000-0002-0049-1079,James,Crowe,2004,,"Pediatrics, Pathology, Microbiology Immunology",Vanderbilt University School of Medicine
0000-0002-0049-1079,James,Crowe,1996-11-01,,Vaccine Center,Vanderbilt University Medical Center
0000-0001-9517-2849,Diana,Carver,2017-09,,Radiology and Radiological Sciences,Vanderbilt University Medical Center
0000-0001-9517-2849,Diana,Carver,2011-08,2015-06,Radiology and Radiological Sciences,Vanderbilt University
