orcid,altName
0000-0001-6413-0427,Brendan J. M. Weaver
0000-0003-4100-0413,Ryan Michael Cassidy
0000-0002-6458-1719,Joe
0000-0002-4434-9146,Noura S. Dosoky
0000-0002-8910-8098,Chris Bennett
0000-0003-0429-9313,Michael Zachary Darnell
0000-0003-0429-9313,Michael Z. Darnell
0000-0003-0429-9313,M.Z. Darnell
0000-0001-8822-0005,Jillian M. Lucanie
0000-0003-1038-3386,J. W. Guite
0000-0003-1220-2788,Shoba Reddy-Holdcraft
0000-0002-3926-9483,Galen Andrew Collins
0000-0002-3926-9483,Galen Collins
0000-0002-1811-7368,Drew Shirley
0000-0002-3200-4693,Paul L. Fletcher
0000-0002-3200-4693,"Paul L. Fletcher, Jr."
0000-0002-3200-4693,P.L. Fletcher
0000-0003-0057-7048,Austin
0000-0001-9646-2223,MJ
0000-0003-1789-9588,QJ Zhou
0000-0001-7596-8372,"Jill Bellovary, Jill Meyer, Jillian Meyer"
0000-0002-4150-9570,A.J. Robison
0000-0002-1579-7820,Emma Guiberson
0000-0003-0539-630X,zietzm
0000-0002-0253-8643,Courtney Greider
0000-0001-6030-2041,Goksel Niyazi Demirer
0000-0002-9183-9957,Mukhtar Ahmed
0000-0001-8958-7909,Laura Beth Carpin
0000-0002-6349-1076,Jeremy VanderWeele
0000-0003-3193-5362,Andrea Page
0000-0003-1442-9310,Leah A. Peña Teeters
0000-0003-3640-6275,"Bhat AA, Ajaz A. Bhat"
0000-0002-2526-3857,"Williams, A. M."
0000-0002-2526-3857,"Williams, AM"
0000-0001-5274-7665,Asad Ali
0000-0002-5527-2703,Miaojun Han
0000-0002-4666-8503,Stephen S. Humble
0000-0001-7351-3569,Kari A. Johnson
0000-0001-7351-3569,Kari Myers
0000-0001-7351-3569,Kari A. Myers
0000-0003-1428-1133,Shannon Anjelica Allport
0000-0002-5041-8670,"S. G. Corder, S. N. Gilbert, S. N. G. Corder"
0000-0003-1264-6039,Arturo Maldonado Nicho
0000-0002-9295-2978,"JACHMD, Jill Christensen-Hutton, MD"
0000-0001-6368-2684,Alex Yoon
0000-0003-1492-5074,Alex
0000-0003-3693-4617,James Daniero
0000-0002-9362-7528,Jennifer L. Morrell
0000-0002-0509-3520,James Byrd
0000-0002-0509-3520,Brian Byrd
0000-0002-0509-3520,James Brian Byrd
0000-0002-0026-2030,Katy Thakkar
0000-0002-9956-8354,Mahesh B. Chandrasekharan
0000-0002-0684-5210,BC White
0000-0002-0684-5210,White BC
0000-0001-5998-2705,Armie Harper
0000-0002-5860-5219,Dr. Alaa metwally
0000-0001-7065-3056,Elizabeth Jaeckle
0000-0003-4661-0368,Mark Alexandrow
0000-0001-7670-1178,"Choudhury M. H., Moinul H. Choudhury, M. H. Choudhury"
0000-0001-9844-2437,Gary E. Hollibaugh
0000-0003-0820-8298,Chris Lord
0000-0003-0394-4771,Lou Hart
0000-0003-0394-4771,Louis Hart
0000-0002-4310-5713,Natasha Kassim
0000-0003-0913-8578,"Lee, Junho H"
0000-0002-8382-574X,Mary Kristina Henzel
0000-0002-8382-574X,Kristi Henzel
0000-0001-7620-1130,Ansley Grimes
0000-0001-7620-1130,Ansley Grimes Stanfill
0000-0001-7620-1130,Ansley G Stanfill
0000-0001-6659-3441,J Greg Terry
0000-0003-1441-1727,Jelena S Bezbradica
0000-0003-1441-1727,Jelena Bezbradica Mirkovic
0000-0001-5868-9603,류일우
0000-0002-8277-651X,Katrina Gwinn-Hardy
0000-0002-8277-651X,Katrina Hardy
0000-0001-5861-5428,Elizabeth Cottrill Weiss
0000-0002-3191-3908,Rick
0000-0002-5665-4121,Steve
0000-0002-3494-7505,Halit Aktürk
0000-0002-6008-2031,Ashley Kennedy
0000-0002-0318-6512,Jesús M. Ortiz Picón
0000-0002-2632-8368,Dorinda Carter; Dorinda Andrews
0000-0002-4022-7176,Oliver John Shaw
0000-0002-4022-7176,Oliver J. Shaw
0000-0003-0131-8961,"PB Manis, Manis PB, Manis P"
0000-0003-2954-512X,Bill Gabella
0000-0003-0676-272X,Steven L Roberds
0000-0003-0676-272X,S Roberds
0000-0003-2791-0648,C. T. Kelley
0000-0002-6292-6963,"Ericsson, PG; Gonzalez-Ericsson, PI"
0000-0003-2534-5390,boomer trujillo
0000-0002-1663-6754,Marcelo Menna Barreto Schwarcke
0000-0001-6295-8458,Katy
0000-0002-9409-1366,Singh AP
0000-0002-3533-8293,Wendy Peia Oakes
0000-0003-0930-3828,Sheryl Frierson
0000-0003-0930-3828,Sheryl Rimrodt
0000-0001-9504-4679,Muktar Hassan Aliyu
0000-0003-1945-5622,James D. Wilkinson
0000-0002-1418-0618,"John O. Milewski, FAWS"
0000-0001-7894-806X,Tim Cain
0000-0003-3602-2335,Rosemary Hunter Aaron
0000-0002-7812-9627,Adrienne N Bruce
0000-0001-5578-1033,Charles R. Evans
0000-0001-5578-1033,Charles Ross Evans
0000-0002-4270-6314,Susan Bane Hastie
0000-0002-4270-6314,Susan Bane Tuttle
0000-0001-6313-1233,Gracie Kelly
0000-0001-7138-8581,Zheng Wang
0000-0001-7138-8581,Z Wang
0000-0001-7138-8581,Wang Z
0000-0001-5264-0964,Christina M. Payne
0000-0001-5264-0964,Christina M. Smith
0000-0002-1569-037X,Corrin Graham
0000-0002-1569-037X,Corrin Gillis
0000-0001-5506-2768,Lueder A. Kahrs
0000-0001-5506-2768,Lüder A. Kahrs
0000-0001-8643-5096,Serkin Park
0000-0002-5981-0900,Donna J. Lubbers
0000-0002-5450-4998,"Harzman, A"
0000-0003-0020-4866,Jashim Uddin
0000-0003-0147-7778,A. Lagrange
0000-0002-7060-4008,"Erlinger, Allison M"
0000-0002-7060-4008,"Erlinger, A"
0000-0001-5307-2559,Muhammad A Rauf
0000-0001-9846-8223,Valeria Estrada
0000-0003-1192-0390,Juliet Taylor Rumble; JT Rumble; J Rumble
0000-0002-9766-1424,Muhammad H. Hayat
0000-0002-8166-142X,Robert Lee-Young
0000-0002-2626-1132,Chris
0000-0002-1863-9887,B W Lindgren
0000-0003-0527-3684,"Wayne Everett Childers, Jr."
0000-0003-0527-3684,"Wayne E. Childers, Jr."
0000-0003-0527-3684,"Wayne Childers, Jr."
0000-0003-0527-3684,Wayne E. Childers
0000-0003-0527-3684,Wayne Everett Childers
0000-0002-7779-1280,Michael Addison Pate
0000-0002-0141-7583,David Chang
0000-0002-0141-7583,C.W. David Chang
0000-0002-0141-7583,Chia-Wai David Chang
0000-0002-0141-7583,CW David Chang
0000-0002-0141-7583,C David Chang
0000-0002-0141-7583,C Chang
0000-0002-0141-7583,CW Chang
0000-0002-0141-7583,CWD Chang
0000-0003-2882-942X,Taib Iskandar M
0000-0002-5298-801X,Aubie K Shaw
0000-0001-5240-2587,Na Qin
0000-0003-2179-7031,Fang Lin
0000-0002-0110-2135,Luis E. Diaz Gimenez
0000-0002-0110-2135,Luis E. Diaz G.
0000-0002-0110-2135,Luis E. Gimenez
0000-0002-7969-0643,William J Focht
0000-0002-1096-1935,Sibel Uludag
0000-0002-5125-3724,Q. Wang
0000-0001-8495-0836,Beth Prusaczyk
0000-0002-3791-9606, Vera M Todd
0000-0002-3791-9606,Vera Mayhew Todd
0000-0002-3791-9606, Vera Mayhew
0000-0002-6169-5825,Jason Burke
0000-0003-0121-3959,Frank Fan
0000-0003-2018-2668,Justin St. P. Walsh
0000-0001-8691-8856,Tony Planchart
0000-0002-9039-4933,Jiaxi Xu
0000-0002-5011-1951,Angela Zhang
0000-0001-9645-4522,Bob Fraser
0000-0001-9645-4522,M Fraser
0000-0001-9645-4522,Mervyn Fraser
0000-0001-9645-4522,Mervyn R. Fraser
0000-0001-9645-4522,Robert Fraser
0000-0001-9645-4522,M Robert Fraser
0000-0001-7603-8548,Dr. Duane M. Lee
0000-0001-7603-8548,"Duane M. Lee, Ph.D."
0000-0001-7603-8548,Duane Lee
0000-0003-4593-5742,Daniel Adam Long
0000-0002-0708-1507,René A. Hernández C.
0000-0002-1648-0868,Francisco J. Civantos
0000-0003-3357-7183,Jacqueline Munch
0000-0003-3570-4705,A. Meulenberg
0000-0002-2633-8734,Adrian Lim
0000-0002-5521-0254,Karolj Mirnic
0000-0003-4234-009X,Supriyo
0000-0001-7297-9359,Lucy McGowan
0000-0002-4952-226X,Emily Dikis
0000-0001-7538-086X,A. Bertrand Brill
0000-0002-1075-467X,Raquel Mejias
0000-0002-4888-4875,Richard S Conley
0000-0002-4888-4875,R. Scott Conley
0000-0002-4888-4875,R.S. Conley
0000-0001-6155-7978,Jorge Reis Almeida
0000-0003-3982-9951,"Michelle M Coleman, Michelle Phelps"
0000-0003-4448-9525,"Sooeun Chang, S. E. Chang"
0000-0003-1674-9844,Stacey C. Chapman
0000-0001-9158-3915,Dr. Desireé Clement
0000-0001-9158-3915,Desiree Clement
0000-0001-9158-3915,"Clement, DM"
0000-0001-9158-3915,"Clement, D.M."
0000-0001-9158-3915,"Clement, D."
0000-0001-9158-3915, Desireé Mullis Clement
0000-0001-9158-3915, Desireé M. Clement
0000-0001-9158-3915,"Mullis Clement, D."
0000-0002-1410-6231,Catherine M. Hammack-Aviran
0000-0002-5006-4972,Elena Deanda
0000-0002-9350-9230,Xiongfei Pan
0000-0002-9492-1059,Bishawjit
0000-0002-2220-5774,PM Vasallo
0000-0003-4265-059X,Avantika Saraf
0000-0002-8699-3247,Marguerite Orsi-Canter
0000-0002-8699-3247,Marguerite Orsi
0000-0001-8564-7695,Vicky Ngo
0000-0001-9763-3899,Suhas Vasaikar
0000-0001-7131-3088,CB Walters
0000-0002-9916-6523,Jonathan William Scott
0000-0002-9916-6523,Jonathan Scott
0000-0002-9916-6523,John W Scott
0000-0002-9916-6523,John Scott
0000-0002-9916-6523,Jonathan W. Scott
0000-0002-5111-6367,J.A. Trubiano
0000-0002-5111-6367,J. Trubiano
0000-0002-5083-3030,J.C. Wells
0000-0002-5083-3030,Jack C. Wells
0000-0002-5083-3030,Jack Wells
0000-0002-5083-3030,Jack Carter Wells
0000-0002-0901-7584,Amanda G Dean
0000-0002-4855-514X,Eleanor Pitt
0000-0002-3095-5903,Rachel E. Brown
0000-0001-8965-1077,Xiaoyong Zhang
0000-0003-1030-9514,Christy Ryan
0000-0001-7821-7646,Ana Carolina Franciosi Lucchetti
0000-0002-6838-5387,Edward G.A. Iglesia
0000-0002-6664-025X,Chris Luthers
0000-0002-3991-0357,CDR V. Andrea Parodi
0000-0002-3991-0357,"LCDR V. Andrea Parodi, NC. USN"
0000-0002-3991-0357,"CDR V. Andrea Parodi, NC, USN"
0000-0002-3991-0357,V. Andrea Parodi
0000-0002-3991-0357,Vivienne Andrea Parodi
0000-0002-3991-0357,Vivienne Parodi
0000-0002-3991-0357,"V. Andrea Parodi, CDR, NC, USN"
0000-0003-2961-6637,"Laura Lock Sorabella, MD"
0000-0003-4140-9446,Walden RR
0000-0003-4140-9446,Rachel R Walden
0000-0003-1117-9619,X.-F. Li
0000-0001-6989-3095,Victor J. Krebs
0000-0001-6989-3095,V. Krebs
0000-0001-6989-3095,V.J. Krebs
0000-0002-7876-6255,"Azure Walton, Azure Walton Wilson, Azure C. Wilson, Azure Celeste Wilson"
0000-0003-0137-8200,Tsuyoshi Miyagawa
0000-0002-5148-3255,Saeed M. Alhassan
0000-0001-9500-5231,Laura Jarnagin and Laura Jarnagin Pang  
0000-0001-7490-1352,Sudheer Kumar Pabbisetty
0000-0002-9195-2239,Joël Jovanovic
0000-0002-5146-5823,Emily A Fisher
0000-0002-5146-5823,Emily A Hennessy
0000-0002-5146-5823,Emily Fisher
0000-0001-7741-0321,Luis Goncalves
0000-0001-8150-2763,Angie McGowan
0000-0002-8640-932X,Colette Hunt
0000-0002-5519-3183,Law PK
0000-0003-2949-5759,Lisa J Schlueter
0000-0003-2949-5759,Lisa S. McFadyen-Ketchum
0000-0003-2949-5759,Lisa Schlueter McFadyen-Ketchum
0000-0002-0189-5892,Zhongliu-Liu Wu
0000-0002-0189-5892,Zhongliu Wu
0000-0002-5633-0960,白丹
0000-0003-0702-2192,"Byron A. C. O. Knowles, MD, PhD"
0000-0001-5611-7732,Igor A. Feoktistov
0000-0001-5611-7732,Igor Feokistov
0000-0002-3859-4110,Ashley A Jagar
0000-0002-3464-6569,"Frank J. Raucci, Jr"
0000-0001-9837-5828,Florence Faucher-King
0000-0003-2143-3932,Katie Hay
0000-0003-3130-3023,Nicki
0000-0002-7644-9803,"Giuse, NB"
0000-0002-7644-9803,"Giuse, Nunzia Bettinsoli"
0000-0002-7644-9803,"Giuse Bettinsoli, Nunzia"
0000-0002-7644-9803,"Giuse, N.B."
0000-0002-7644-9803,"Guise, NB"
0000-0002-5418-4613,Bethanie Hull
0000-0002-5872-3602,Freeman Wagad Chabala
0000-0001-5957-8657,"Leite, Lindberg"
0000-0003-3447-0003,Jacobus J. Hamman
0000-0002-6101-0443,Scott Corlew
0000-0002-0947-2624,"Robert T. Means, Jr,"
0000-0002-6153-1994,Erin J McArdle
0000-0002-2538-8107,Mike
0000-0003-1195-7214,Leonid Raskin
0000-0002-6949-8965,E. Lynch
0000-0001-7627-8330,Melissa V. Turman
0000-0001-9715-1734,Ciria C Hernandez
0000-0001-7361-5653,Abou Simon.
0000-0001-5545-6871,John T. Bates
0000-0002-5895-7927,Rachael E. Whitley
0000-0002-5376-929X,LACHO
0000-0003-4807-7819,Ali Carroll
0000-0003-4807-7819,"Rittenberg, Alison"
0000-0003-4807-7819,"Rittenberg, Alison M"
0000-0003-4807-7819,"Carroll, Alison R"
0000-0003-4807-7819,"Carroll, AR"
0000-0002-8333-5142,Kyle D Hope
0000-0002-8333-5142,Kyle David Hope
0000-0002-9816-338X,Tina C. Uselton
0000-0002-9816-338X,T. B. Carter
0000-0002-9816-338X,Tina Carter
0000-0002-9816-338X,Tina U. Trail
0000-0002-1851-3408,梁晓云
0000-0001-8061-0287,D.J.
0000-0002-9225-4838,Bradley Wright
0000-0001-5829-0504,Jessica Solomon
0000-0001-5829-0504,Jessica E. Solomon
0000-0002-9076-2433,Ben Lee
0000-0002-1629-7086,Mike Vandenbergh
0000-0002-7085-0479,Carlos Vigil-Gonzales 
0000-0002-3503-971X,Drew Catt
0000-0003-4204-8734,Eric Gamazon
0000-0003-1721-4868,Pawel J. Matusz / Paul Matusz
0000-0002-9271-7070,ELIAS G. KARROUM
0000-0002-9271-7070,ELIAS GEORGES KARROUM
0000-0002-9271-7070,ELIAS G KARROUM
0000-0001-9732-1924,Борис Злобенко
0000-0002-2047-6204,John G. Benitez
0000-0002-2047-6204,jg benitez
0000-0002-2047-6204,jbenitez
0000-0002-2047-6204,"Benitez, JG"
0000-0002-2047-6204,"Benitez, J"
0000-0002-9518-8952,Mustafa Ünal
0000-0003-2200-745X,Chris
0000-0003-2416-9591,David Fu
0000-0002-1614-9390,"Aida Jimenez, Aida L. Jimenez,  Aida Jimenez-Torres, Aida L. Jimenez-Torres"
0000-0002-1595-2173,A Guijarro
0000-0002-1595-2173,Ana Guijarro
0000-0002-1595-2173,AI Guijarro
0000-0002-1595-2173,Gujarro-Anton A
0000-0001-9520-0571,Dr. Arvind Mathur
