qid,artistLabel,birthdate,deathdate,sexgender,ulan,birthplace,birthLabel,citizenship,citizenLabel,count,added
Q16866524,Charles Keene,,,male,,,,Q30,United States of America,2,False
Q737635,Childe Hassam,1859-10-17,1935-08-27,male,500018088,Q1024037,Dorchester,Q30,United States of America,2,False
Q2495654,Chris Drury,1948-01-01,,male,500128680,Q35381,Colombo,,,2,False
Q1082620,Christiane Baumgartner,1967-01-01,,female,500386167,Q2079,Leipzig,Q183,Germany,2,False
Q1274026,Claude Mellan,1598-05-23,1688-03-09,male,500026391,Q28520,Abbeville,Q142,France,2,False
Q8353580,Daniel Argimon i Granell,1929-06-20,1996-11-23,male,500036437,Q1492,Barcelona,Q29,Spain,2,False
Q23038869,Debbie Ann Thomas,,,female,,,,,,2,False
Q61719403,Debora Dancy,1949-01-01,,female,500488753,Q79973,Bessemer,,,2,False
Q105090465,Dimitrije Popovic,1951-01-01,,male,,,,Q403,Serbia,2,True
Q234324,Dorothea Tanning,1910-08-25,2012-01-31,female,500000210,Q782574,Galesburg,Q30,United States of America,2,False
Q64547233,Edward Steichen,,,,,,,,,2,False
Q20750459,Emil Ganso,1895-04-14,1941-04-18,male,500017088,Q7072,Halberstadt,Q30,United States of America,2,False
Q664257,Emilio Vedova,1919-08-09,2006-10-25,male,500016293,Q641,Venice,Q172579,Kingdom of Italy,2,False
Q1343964,Enrique Chagoya,1953-01-01,,male,500299814,Q1489,Mexico City,Q96,Mexico,2,False
Q105090283,Eric Rutherford,1933-01-01,,male,500003217,,,Q145,United Kingdom,2,True
Q5398958,Esphyr Slobodkina,1908-09-22,2002-07-21,female,500070371,Q906,Chelyabinsk,Q159,Russia,2,False
Q11697288,Eugeniusz Get-Stankiewicz,1942-05-14,2011-04-10,male,500467965,Q722836,Ashmyany,Q36,Poland,2,False
Q714341,Eugène Isabey,1803-07-22,1886-04-25,male,500007382,Q90,Paris,Q142,France,2,False
Q105090393,Faik Husein,1944-01-01,2004-01-01,male,,Q38811,Nasiriya,Q30,United States of America,2,True
Q5440979,Federico Castellón,1914-09-14,1971-07-29,male,500009576,Q1444015,Alhabia,Q30,United States of America,2,False
Q157183,Fernand Léger,1881-02-04,1955-08-17,male,500027374,Q207622,Argentan,Q142,France,2,False
Q17516050,Francisco de Goya,,,,,,,,,2,False
Q5488644,Frank Newbould,1887-09-24,1951-01-01,male,500159282,Q22905,Bradford,Q145,United Kingdom,2,False
Q3511507,Frans Wildenhain,1905-06-05,1980-01-25,male,500059428,Q2079,Leipzig,Q183,Germany,2,False
Q104300537,Fransje Killaars,1959-01-01,,male,500348728,,,Q29999,Kingdom of the Netherlands,2,False
Q105090079,Fred Westphal,1871-01-01,,male,500082407,Q183,Germany,Q183,Germany,2,True
Q160252,"Frederic Leighton, 1st Baron Leighton",1830-12-03,1896-01-25,male,500030022,Q743521,Scarborough,Q174193,United Kingdom of Great Britain and Ireland,2,False
Q633574,Félix Bracquemond,1833-05-22,1914-10-27,male,500023048,Q90,Paris,Q142,France,2,False
Q23310132,Gabriele Evertz,1945-01-01,,female,500333803,Q64,Berlin,Q30,United States of America,2,False
Q698624,Georg Pencz,1500-01-01,1550-10-11,male,500006353,Q2090,Nuremberg,Q183,Germany,2,False
Q105090067,George Etta Brinkley Cohen,1854-01-01,1930-01-01,female,,Q23197,Nashville,Q30,United States of America,2,True
Q153793,Georges Braque,1882-05-13,1963-08-31,male,500025200,Q181946,Argenteuil,Q142,France,2,False
Q5552550,Gerrit Beneker,1882-01-26,1934-10-23,male,500027967,,,Q30,United States of America,2,False
Q105090111,Gian Carlo Polidori,1895-11-25,1962-04-16,male,500180479,Q2759,Urbino,Q38,Italy,2,True
Q105090668,Giuseppe Raffetto,,,male,,Q1449,Genoa,Q38,Italy,2,True
Q20199349,"Grien, Hans Baldung",,,,,,,,,2,False
Q67390260,H. Takahashi,,,,,,,,,2,False
Q5662727,Harold Weston,1894-02-14,1972-04-10,male,500006170,,,Q30,United States of America,2,False
Q46481608,Hedwig Friedländer Edle von Malheim,1863-02-13,1945-12-09,female,500093630,Q1741,Vienna,Q533534,Cisleithania,2,False
Q94668625,Helen Gilbert,,,female,,,,,,2,False
Q2748223,Henri Goetz,1909-09-29,1989-08-12,male,500010355,Q60,New York City,Q142,France,2,False
Q5719056,Henry C. Pearson,1914-10-08,2006-12-03,male,500074491,Q2048581,Kinston,Q30,United States of America,2,False
Q27595506,Henry Patrick Raleigh,1880-01-01,1945-06-08,male,500044639,Q6106,Portland,Q30,United States of America,2,False
Q18508293,Henry Pyall,1795-01-01,1833-01-01,male,500015642,,,Q174193,United Kingdom of Great Britain and Ireland,2,False
Q1471865,Ibram Lassaw,1913-05-04,2003-12-30,male,500001384,Q87,Alexandria,Q79,Egypt,2,False
Q11376888,Imao Keinen,1845-09-13,1924-01-01,male,,Q34600,Kyoto,,,2,False
Q3950852,Irving Ramsey Wiles,1861-04-08,1948-07-29,male,500030155,Q2495519,Utica,Q30,United States of America,2,False
Q55709573,Isabelle Rousseau,,,female,,,,,,2,False
Q6096157,Ivan Dmitri,1900-02-03,1968-01-01,male,500124253,,,Q30,United States of America,2,False
Q17343011,Jacob de Gheyn III,1596-01-01,1641-06-04,male,500023332,Q9920,Haarlem,Q55,Netherlands,2,False
Q3158256,Jacques Bernard,1658-09-01,1718-04-27,male,,,,Q142,France,2,False
Q766867,Jacques-Philippe Caresme,1734-02-25,1796-03-01,male,500115928,Q90,Paris,Q142,France,2,False
Q48804653,James H. Price,1943-01-01,,male,,,,,,2,False
Q203643,James McNeill Whistler,1834-07-11,1904-07-17,male,500012432,Q49162,Lowell,Q145,United Kingdom,2,False
Q6142912,James Seawright,1936-01-01,,male,500106325,,,Q30,United States of America,2,False
Q981631,Jan Both,1618-01-01,1652-08-09,male,500032845,Q803,Utrecht,Q55,Netherlands,2,False
Q6149861,Jan Sawka,1946-12-10,2012-08-09,male,500056281,Q103892,Zabrze,Q36,Poland,2,False
Q105090234,Jean Cohen,1927-01-01,2013-01-01,female,,Q18419,Brooklyn,Q30,United States of America,2,True
Q170076,Jean Dubuffet,1901-07-31,1985-05-12,male,500019113,Q42810,Le Havre,Q142,France,2,False
Q575664,Jean Morin,1590-01-01,1650-06-06,male,500012334,Q90,Paris,Q142,France,2,False
Q95226775,Johann Hertel,,1588-12-13,male,,Q14859,Ansbach,,,2,False
Q6231284,John Edward Costigan,1888-02-29,1972-01-01,male,500025727,Q18383,Providence,Q30,United States of America,2,False
Q100816989,John Jackson,,,male,,,,,,2,False
Q3290532,John Steuart Curry,1897-11-14,1946-08-29,male,500115503,Q4889632,Dunavant,Q30,United States of America,2,False
Q358061,Josep Guinovart,1927-03-20,2007-12-12,male,500089251,Q1492,Barcelona,Q29,Spain,2,False
Q23892587,Joseph Fiore,1925-01-01,2008-09-18,male,,,,Q30,United States of America,2,False
Q105090244,Joseph Schwarz,1929-01-01,,male,500087117,,,Q30,United States of America,2,True
Q105090488,José Luis Raymond,1954-01-01,,male,,,,,,2,True
Q105090409,Judith Page,1946-01-01,,female,,Q49241,Lexington,Q30,United States of America,2,True
Q50321227,Julius Wasserstein,1924-01-01,1985-01-01,male,500045321,Q18383,Providence,Q30,United States of America,2,False
Q11514864,Kanenari Akatsuki,1793-01-01,1861-01-29,male,,,,Q205662,Tokugawa Shogunate,2,False
Q6390816,Kenneth Wayne Bushnell,1933-01-01,2020-10-04,male,500059939,,,Q30,United States of America,2,False
Q447300,Kiki Smith,1954-01-18,,female,500115982,Q2090,Nuremberg,Q30,United States of America,2,False
Q947896,Kikukawa Eizan,1787-01-01,1867-01-01,male,500121367,,,Q17,Japan,2,False
Q97607711,Kyle E. Walker,,,male,,,,,,2,False
Q47512777,Le Corbusier,,,,,,,,,2,False
Q18023286,Les Levine,1935-10-06,,male,500110692,Q1761,Dublin,Q30,United States of America,2,False
Q295593,Lionel Barrymore,1878-04-28,1954-11-15,male,,Q1345,Philadelphia,Q30,United States of America,2,False
Q2073966,Louis Raemaekers,1869-04-06,1956-07-26,male,500110122,Q9783,Roermond,Q29999,Kingdom of the Netherlands,2,False
Q16019224,Louis Silverstein,1919-10-10,2011-12-01,male,,Q18419,Brooklyn,Q30,United States of America,2,False
Q105090679,Louise De Gignilliet Rogers,,,female,,Q219656,Macon,Q30,United States of America,2,True
Q105090220,Louise LeQuire,1924-01-01,2006-01-01,female,,Q23197,Nashville,Q30,United States of America,2,True
Q7531,Louise Nevelson,1899-09-23,1988-04-17,female,500001621,Q1899,Kyiv,Q34266,Russian Empire,2,False
Q22958009,Lucile Patterson Marsh,1890-01-01,1978-01-01,female,,Q213325,Rapid City,,,2,False
Q16197627,Ludolph Büsinck,1599-01-01,1669-01-15,male,500022384,Q165380,Hann. Münden,Q183,Germany,2,False
Q3271802,Léopold Flameng,1831-11-22,1911-09-04,male,500015671,Q239,City of Brussels,Q31,Belgium,2,False
Q65953414,Mac Wells,1925-01-01,,male,,,,Q30,United States of America,2,False
Q105090363,Manuel Boix Alvarez,1942-01-01,,male,,,,Q29,Spain,2,True
Q724401,Mark Kostabi,1960-11-27,,male,500031393,Q65,Los Angeles,Q30,United States of America,2,False
Q56480543,Markus Ackermann,1977-01-01,,male,,,,,,2,False
Q6776001,Martin Lewis,1881-06-14,1962-02-22,male,500028815,Q260317,Castlemaine,Q408,Australia,2,False
Q173223,Mary Cassatt,1844-05-22,1926-06-14,female,500012368,Q1752800,Allegheny,Q30,United States of America,2,False
Q22002909,Mary Obering,1937-01-01,,female,500330468,Q80517,Shreveport,Q30,United States of America,2,False
Q105090256,Matthew Carone,1930-01-01,,male,,Q1408,New Jersey,Q30,United States of America,2,True
Q104439468,Maxime Darnaud,1931-02-23,2015-01-01,male,,Q456,Lyon,Q142,France,2,False
Q2059329,Maxime Lalanne,1827-11-27,1886-07-29,male,500022662,Q1479,Bordeaux,Q142,France,2,False
Q63037456,Nancy Manter,1951-01-01,,female,,,,Q30,United States of America,2,False
Q62958479,Naomi Boretz,1935-01-01,,female,,,,Q30,United States of America,2,False
Q19629062,Nicolas de Launay,1739-09-20,1792-03-02,male,500024572,Q90,Paris,Q70972,Kingdom of France,2,False
Q3109429,Nishikawa Sukenobu,1671-01-01,1751-01-01,male,500118860,Q34600,Kyoto,Q17,Japan,2,False
Q11541091,Nobukazu Yōsai,1872-01-01,1944-01-01,male,500336558,,,Q17,Japan,2,False
Q555200,Oswaldo Guayacolin,1919-07-06,1999-03-10,male,500037784,Q2900,Quito,Q739,Colombia,2,False
Q79461952,Paul Heald,,,male,,,,Q30,United States of America,2,False
Q99604489,Peter Stroud,,,male,,,,,,2,False
Q1379395,Philip Galle,1537-01-01,1612-03-12,male,500016136,Q9920,Haarlem,Q622783,Spanish Netherlands,2,False
Q1970087,Philip James de Loutherbourg,1740-10-31,1812-03-11,male,500019411,Q6602,Strasbourg,Q174193,United Kingdom of Great Britain and Ireland,2,False
Q105090150,Phillipe Sanh,1908-01-01,,,,Q43467,Indochina,,,2,True
Q322341,Pierre-Jean Mariette,1694-05-07,1774-09-11,male,500013510,Q90,Paris,Q142,France,2,False
Q724760,Pieter de Jode I,1570-01-01,1634-08-09,male,500015194,Q12892,Antwerp,Q6581823,Southern Netherlands,2,False
Q44433952,Power Boothe,1945-03-12,,male,500062805,,,Q30,United States of America,2,False
Q55946479,Rafael Amengual,1938-01-01,,male,,,,,,2,False
Q153320,Rai San'yo,1780-01-21,1832-01-01,male,500324574,,,Q17,Japan,2,False
Q654902,Raoul Ubac,1910-08-31,1985-03-24,male,500023591,Q159838,Malmedy,Q142,France,2,False
Q63090034,Raquel Rabinovich,1929-01-01,,female,,,,Q414,Argentina,2,False
Q5598,Rembrandt,1606-07-15,1669-10-04,male,500011051,Q33456378,Leiden,Q170072,Dutch Republic,2,False
Q558505,Richard Anuszkiewicz,1930-05-23,2020-05-19,male,500025580,Q234061,Erie,Q30,United States of America,2,False
Q19654778,Richard Samuel Chattock,1825-08-23,1906-01-30,male,,,,Q145,United Kingdom,2,False
Q312786,Robert Mapplethorpe,1946-11-04,1989-03-18,male,500090430,Q991627,Floral Park,Q30,United States of America,2,False
Q164358,Robert Rauschenberg,1925-10-22,2008-05-12,male,500002941,Q45400,Port Arthur,Q183,Germany,2,False
Q114405,Rockwell Kent,1882-06-21,1971-03-13,male,500006820,Q1020341,Tarrytown,Q30,United States of America,2,False
Q105090132,Rolf Key-Oberg,1900-01-01,1959-01-01,male,,,,Q30,United States of America,2,True
Q278068,Romeyn de Hooghe,1645-09-10,1708-06-10,male,500015656,Q727,Amsterdam,Q170072,Dutch Republic,2,False
Q11946185,Romà Vallès,1923-01-01,2015-06-15,male,500056913,Q1492,Barcelona,Q29,Spain,2,False
Q100742953,Ron Adams,,,male,,,,,,2,False
Q21454750,Ronald King,1932-01-01,,male,500118053,,,Q145,United Kingdom,2,False
Q105090430,Rosalyn Richards,1947-01-01,,female,,,,,,2,True
Q690790,Rufino Tamayo,1899-08-26,1991-06-24,male,500024331,Q739,Colombia,Q96,Mexico,2,False
Q77325168,Ruth Eckstein,1916-01-01,2011-01-01,female,,,,Q30,United States of America,2,False
Q384860,Serge Poliakoff,1900-01-08,1969-10-12,male,500180478,Q649,Moscow,Q34266,Russian Empire,2,False
Q1251247,Shikō Munakata,1903-09-05,1975-01-01,male,500105681,Q146790,Aomori,Q17,Japan,2,False
Q262413,Shirin Neshat,1957-03-26,,female,500114658,Q181578,Qazvin,Q794,Iran,2,False
Q3482366,Shiro Kasamatsu,1898-01-11,1991-06-14,male,500332085,Q7473516,Tokyo,Q17,Japan,2,False
Q16007123,Sidney H. Riesenberg,1885-12-12,1971-01-01,male,500068101,Q1297,Chicago,Q30,United States of America,2,False
Q61911552,Stephen Tourlentes,1959-01-01,,male,,,,,,2,False
Q7610832,Stephen Westfall,1953-01-01,,male,500085864,Q331380,Schenectady,Q30,United States of America,2,False
Q94404007,Sterling Boyd Strauser,1907-01-01,1995-01-01,male,500055773,,,,,2,False
Q7615294,Steven Spurrier,1878-07-13,1961-03-11,male,500003252,Q84,London,Q145,United Kingdom,2,False
Q143595,Stradanus,1523-01-01,1605-11-03,male,500011304,Q12994,Bruges,Q6581823,Southern Netherlands,2,False
Q11599029,Takehara Shunchōsai,t2222611369,1801-01-14,male,,,,Q17,Japan,2,False
Q105090552,Teo Gonzáles,1964-01-01,,male,500471949,Q1752280,Quinto,Q29,Spain,2,True
Q2405602,Terry Haass,1923-11-17,2016-03-01,female,500031546,Q278877,Český Těšín,Q213,Czech Republic,2,False
Q105090342,Terry Max Hochstetler,1941-01-01,2019-01-01,male,,Q492478,Terre Haute,Q30,United States of America,2,True
Q100960618,Terry Winters,,,male,,,,,,2,False
Q28048030,Thomas Cheesman,,,,,,,,,2,False
Q52155555,Thomas G. Moses,1856-01-01,1934-01-01,male,500336336,,,Q30,United States of America,2,False
Q18508689,Thomas Sutherland,1785-01-01,1838-01-01,male,500032953,,,Q174193,United Kingdom of Great Britain and Ireland,2,False
Q105090572,Tim Dooley,1967-01-01,,male,,Q8652,Miami,Q30,United States of America,2,True
Q7807116,Timothy Cole,1852-04-16,1931-05-17,male,500022162,Q84,London,Q30,United States of America,2,False
Q7827716,Toshiko Takaezu,1922-06-17,2011-03-09,female,500126272,Q2356964,Pepeekeo,Q30,United States of America,2,False
Q105090605,Travis Millard,1975-01-01,,male,,Q745120,St. Joseph,Q30,United States of America,2,True
Q3541630,Tsuchiya Kōitsu,1870-09-23,1949-11-13,male,,Q3034530,Sunpu Domain,Q17,Japan,2,False
Q15992554,Vittorio Grassi,1878-04-17,1958-08-22,male,500155207,Q220,Rome,Q172579,Kingdom of Italy,2,False
Q22086935,Ward Jackson,1928-01-01,2004-02-03,male,500381390,,,Q30,United States of America,2,False
Q448555,Wenceslaus Hollar,1607-07-13,1677-03-25,male,500028368,Q1085,Prague,,,2,False
Q18811399,William Gibbs Rogers,1792-01-01,1875-01-01,male,500281874,,,Q174193,United Kingdom of Great Britain and Ireland,2,False
Q1616131,William Home Lizars,1788-05-04,1859-03-30,male,500030357,Q23436,Edinburgh,Q161885,Great Britain,2,False
Q18508744,William Unger,1837-09-11,1932-03-05,male,500047449,Q1715,Hanover,Q183,Germany,2,False
Q8021437,Willie Cole,1955-01-01,,male,500334448,Q25395,Newark,Q30,United States of America,2,False
Q8056314,Yoshitoshi Mori,1898-10-31,1992-05-29,male,500322857,Q1490,Tokyo,Q17,Japan,2,False
Q105090345,Yukio Katsuda,1941-01-01,,male,,,,,,2,True
Q220545,Zoran Mušič,1909-02-12,2005-04-25,male,500000140,Q2355438,Bukovica,Q172579,Kingdom of Italy,2,False
Q264193,Émile Bernard,1868-04-28,1941-04-16,male,500012925,Q648,Lille,Q142,France,2,False
Q18670007,Aberdeen painter,,,t900834599,500011950,,,Q844930,Classical Athens,1,False
Q76335886,Abraham Bloemaert,,,,,,,,,1,False
Q56617289,Abraham Le Blond,1819-02-11,1894-01-01,male,500063026,Q1787230,Wymondham,Q174193,United Kingdom of Great Britain and Ireland,1,False
Q345569,Ad Reinhardt,1913-12-24,1967-08-30,male,500013982,Q40435,Buffalo,Q30,United States of America,1,False
Q20973068,Adolphe Paul Émile Balfourier,1816-08-11,1876-07-22,male,500183562,Q316891,Montmorency,Q142,France,1,False
Q365874,Adolphe Willette,1857-07-30,1926-02-04,male,500015711,Q47135,Châlons-en-Champagne,Q142,France,1,False
Q948338,Adrien Étienne Gaudez,1845-02-09,1902-01-23,male,500061178,Q456,Lyon,Q142,France,1,False
Q316269,Agostino Carracci,1557-08-26,1602-02-23,male,500115349,Q1891,Bologna,Q170174,Papal States,1,False
Q2827531,Ahmed Cherkaoui,1934-10-02,1967-08-17,male,500057033,Q895029,Boujad,Q1028,Morocco,1,False
Q17130120,Akira Kurosaki,1937-01-10,2019-05-14,male,500093690,Q74881,Dalian,Q17,Japan,1,False
Q43264278,Albany E. Howarth,1872-01-01,1936-01-01,male,500002605,,,,,1,False
Q34670,Albert Camus,1913-11-07,1960-01-04,male,,Q1924629,Dréan,Q142,France,1,False
Q556534,Albert Herter,1871-03-02,1950-02-15,male,500024105,Q60,New York City,Q30,United States of America,1,False
Q65565560,Albrecht Altdorfer,,,,,,,,,1,False
Q56025387,Alcide-Joseph Lorentz,1813-02-25,1889-07-10,male,500022471,Q90,Paris,Q142,France,1,False
Q61963892,Alejandra Garrido,,,female,,,,Q414,Argentina,1,False
Q21542105,Alessandro Turchi,1969-01-01,,male,,,,Q38,Italy,1,False
Q96788382,Aleta Cornelius,,,,,,,,,1,False
Q21682728,Alex Redein,1912-01-01,1990-01-01,male,500054166,Q49174,Bridgeport,Q30,United States of America,1,False
Q157578,Alexander Archipenko,1887-05-30,1964-02-24,male,500022523,Q1899,Kyiv,Q34266,Russian Empire,1,False
Q151580,Alexander Calder,1898-07-22,1976-11-11,male,500007824,Q1186496,Lawnton,Q30,United States of America,1,False
Q372225,Alexander Melamid,1945-07-14,,male,500120585,Q649,Moscow,Q159,Russia,1,False
Q105090652,Alexandra Janezic,1988-01-01,,male,,Q982388,Orange,Q30,United States of America,1,True
Q4721520,Alexis Rockman,1962-01-01,,male,500056823,Q60,New York City,Q30,United States of America,1,False
Q105090274,Alfonso Gomez Bonifacio,1933-01-01,2011-01-01,male,,,,,,1,True
Q105090271,Alfred J. Pounders,1931-01-01,,male,,,,Q30,United States of America,1,True
Q3611295,Alfred L. Copley,1910-06-06,1992-01-28,male,500019879,Q1731,Dresden,Q30,United States of America,1,False
Q664268,Alfred Manessier,1911-12-05,1993-08-01,male,500010362,Q758937,Saint-Ouen,Q142,France,1,False
Q105090096,Alfred Orr,1886-01-01,,male,,,,Q30,United States of America,1,True
Q460186,Alice Neel,1900-01-28,1984-10-13,female,500022216,Q5566378,Gladwyne,Q30,United States of America,1,False
Q4738749,Alyson Shotz,1964-01-01,,female,,,,Q30,United States of America,1,False
Q16165783,America Sanchez,1939-05-29,,male,500391861,Q1486,Buenos Aires,Q414,Argentina,1,False
Q470846,Amico Aspertini,1475-01-01,1552-01-01,male,500022951,Q1891,Bologna,Q64576860,Lordship of Bologna,1,False
Q105090135,Amos Seweil,1901-01-01,1983-01-01,male,,Q586762,Westport,Q30,United States of America,1,True
Q65524523,Anders Zorn,,,,,,,,,1,False
Q105090025,Andrea Andriani,1584-01-01,1610-01-01,,,,,,,1,True
Q390098,Andrea di Bartolo,1360-01-01,1428-01-01,male,500024770,Q2751,Siena,,,1,False
Q503335,Andres Serrano,1950-08-15,,male,500059149,Q60,New York City,Q30,United States of America,1,False
Q97608201,Andrew Karoly,1895-01-01,,male,,,,,,1,False
Q18069312,Andrew Picken,1815-01-01,1845-01-01,male,500021753,,,Q174193,United Kingdom of Great Britain and Ireland,1,False
Q516950,André Beaudin,1895-02-03,1979-06-06,male,500024624,Q1165781,Mennecy,Q142,France,1,False
Q156272,André Derain,1880-06-10,1954-09-10,male,500004535,Q240752,Chatou,Q142,France,1,False
Q321657,André Lanskoy,1902-04-13,1976-08-24,male,500030813,Q649,Moscow,Q159,Russia,1,False
Q123098,Angelica Kauffmann,1741-10-30,1807-11-03,female,500115055,Q69007,Chur,Q672685,Three Leagues,1,False
Q105086214,Angélique Tilliard,1743-01-01,1782-01-01,female,,,,,,1,False
Q4765608,Anita Parkhurst Willcox,1892-01-01,1984-01-01,female,,Q1297,Chicago,Q30,United States of America,1,False
Q41261783,Ankie Crommelin,1911-10-20,2006-01-13,female,,,,Q29999,Kingdom of the Netherlands,1,False
Q105090122,Ann Mittelman,1898-01-01,1996-01-01,female,,,,,,1,True
Q2734012,Anne Claude de Caylus,1692-10-31,1765-09-05,male,500014478,Q90,Paris,Q142,France,1,False
Q105090649,Annie Herlocker,1982-01-01,,female,,Q6346,Indianapolis,Q30,United States of America,1,True
Q63540053,Ansei Uchima,1921-01-01,2000-05-09,male,500051067,,,Q30,United States of America,1,False
Q314350,Antoine Bourdelle,1861-10-30,1929-10-01,male,500028923,Q172593,Montauban,Q142,France,1,False
Q27942021,Antoine Radigues,1721-11-07,1809-07-20,male,,Q90,Paris,Q142,France,1,False
Q18123317,Antoine-Jean Duclos,1742-01-01,1795-10-30,male,500040734,Q90,Paris,Q142,France,1,False
Q80013984,Antoine-Louis Barye,,,,,,,,,1,False
Q105090027,Anton Wierix III,1596-01-01,1624-01-01,male,,,,,,1,True
Q10803129,Antoni Abad i Roses,1956-01-01,,male,500385143,Q15090,Lleida,Q29,Spain,1,False
Q537652,Antoni Clavé,1913-04-05,2005-09-01,male,500124348,Q1492,Barcelona,Q29,Spain,1,False
Q2406301,Antoni Muntadas,1942-01-01,,male,500027740,Q1492,Barcelona,Q30,United States of America,1,False
Q194820,Antonie Waterloo,1609-01-01,1690-01-01,male,500004986,Q648,Lille,Q55,Netherlands,1,False
Q5547,Antonio Canova,1757-11-01,1822-10-13,male,500115339,Q29369,Possagno,Q4948,Republic of Venice,1,False
Q3610506,Antonio Frasconi,1919-04-28,2013-01-08,male,500030189,Q1486,Buenos Aires,Q30,United States of America,1,False
Q5700294,Antonio Salamanca,1478-04-13,1562-07-21,male,500025118,Q15695,Salamanca,,,1,False
Q3620374,Antonio da Trento,1508-01-01,1550-01-01,male,500020814,Q3376,Trento,,,1,False
Q4782029,April Gornik,1953-01-01,,female,500118770,Q37320,Cleveland,Q30,United States of America,1,False
Q96401814,Armand Étienne Bracony,1825-01-01,1894-01-01,male,,Q90,Paris,Q142,France,1,False
Q18511480,Arnold van Westerhout,1651-01-01,1725-01-01,male,500120165,Q12892,Antwerp,Q1031430,Habsburg Netherlands,1,False
Q710479,Arthur Luiz Piza,1928-01-13,2017-05-26,male,500335008,Q174,São Paulo,Q155,Brazil,1,False
Q29364862,Arthur William Heintzelman,1891-11-22,1965-04-04,male,500057101,Q25395,Newark,Q30,United States of America,1,False
Q4802573,Ary Stillman,1891-02-13,1967-01-01,male,500095124,Q159,Russia,Q30,United States of America,1,False
Q30132143,Asa Cheffetz,1896-01-01,1965-01-01,male,500099606,Q40435,Buffalo,Q30,United States of America,1,False
Q105090061,August M. Young,1837-07-08,1913-11-06,male,,Q183,Germany,,,1,True
Q763477,August Puig,1929-04-01,1999-10-25,male,500348310,Q1492,Barcelona,Q29,Spain,1,False
Q2871039,Auguste André Lançon,1836-12-16,1885-04-13,male,500023482,Q212444,Saint-Claude,Q142,France,1,False
Q30755,Auguste Rodin,1840-11-13,1917-11-17,male,500016619,Q90,Paris,Q142,France,1,False
Q781120,Augustin Feyen-Perrin,1826-04-12,1888-10-14,male,500025647,Q229977,Bey-sur-Seille,Q142,France,1,False
Q43132705,Augustus Koopman,1869-01-02,1914-01-31,male,500020211,Q16565,Charlotte,Q30,United States of America,1,False
Q2591295,Avigdor Arikha,1929-04-28,2010-04-29,male,500103107,Q431347,Rădăuți,Q801,Israel,1,False
Q105090044,Baisetsudo,1751-01-01,1764-01-01,,,,,,,1,True
Q262284,Barbara Kruger,1945-01-26,,female,500118792,Q2096453,Wark,Q30,United States of America,1,False
Q61030012,Barbara Kwasniewska,1931-09-11,,female,,,,Q36,Poland,1,False
Q105090416,Barry Buxkamper,1946-01-01,,male,,,,Q30,United States of America,1,True
Q4865508,Bartolomeo Coriolano,1599-01-01,1676-01-01,male,500014634,Q1891,Bologna,Q170174,Papal States,1,False
Q27979251,Beatrice Riese,1917-01-01,2004-01-01,female,500097869,Q36600,The Hague,Q30,United States of America,1,False
Q3638203,Benigno Bossi,1727-01-01,1792-11-04,male,500020376,Q39489,Arcisate,,,1,False
Q4888453,Benjamin Curtis Porter,1843-08-27,1908-04-02,male,500013156,Q54143,Melrose,Q30,United States of America,1,False
Q817668,Benjamin Haydon,1786-01-26,1846-06-22,male,500021184,Q43382,Plymouth,Q174193,United Kingdom of Great Britain and Ireland,1,False
Q817749,Benjamin Wilson,1721-06-21,1788-06-06,male,500001626,Q39121,Leeds,Q161885,Great Britain,1,False
Q822388,Bernard Dufour,1922-11-21,2016-07-22,male,500020665,Q90,Paris,Q142,France,1,False
Q2898210,Bernard Leach,1887-01-05,1979-05-06,male,500018779,Q1054923,British Hong Kong,Q145,United Kingdom,1,False
Q825382,Bernhard Jäger,1935-06-17,,male,,Q1726,Munich,Q183,Germany,1,False
Q105090085,Bernice M. Branson,1882-01-01,1936-01-01,female,,,,Q30,United States of America,1,True
Q105320,Berthe Morisot,1841-01-14,1895-03-02,female,500029669,Q132404,Bourges,Q142,France,1,False
Q72967120,Betty Esman,1904-01-01,1996-01-01,female,,,,,,1,False
Q105090187,Beveridge Moore,1915-01-01,2004-01-01,male,,Q43421,Richmond,Q30,United States of America,1,True
Q437616,Bill Viola,1951-01-25,,male,500092205,Q1058775,Flushing,Q30,United States of America,1,False
Q744747,Bonifazio Veronese,1487-01-01,1553-11-08,male,500014243,Q2028,Verona,Q4948,Republic of Venice,1,False
Q569021,Bram van Velde,1895-10-19,1981-12-28,male,500020102,Q2180579,Zoeterwoude-Dorp,Q29999,Kingdom of the Netherlands,1,False
Q28948928,Brenda Miller,1941-01-01,,female,500083892,Q60,New York City,,,1,False
Q105090475,Bronlyn Jones,1954-01-01,,male,,Q2099362,Williamsburg,Q30,United States of America,1,True
Q21461198,Bruce Burn,1954-01-01,,male,,,,,,1,False
Q96757477,Bruce Currie,1911-01-01,2011-01-01,male,500048574,,,,,1,False
Q4978091,Bruce Onobrakpeya,1932-08-30,,male,500118582,Q4691648,Agbara-Otor,Q1033,Nigeria,1,False
Q47508828,Bryant Baker,,,,,,,,,1,False
Q102289,Buckminster Fuller,1895-07-12,1983-07-01,male,500015697,Q739428,Milton,Q30,United States of America,1,False
Q2641808,Budd Hopkins,1931-06-15,2011-08-21,male,500008902,Q838112,Wheeling,Q30,United States of America,1,False
Q79460884,Burton Rice,,,male,,,,Q30,United States of America,1,False
