RecordNumber,DateUpdated,DateCreated,LocationCountry,MaterialMedium,Description,RelScriptureChapter,CopyrightStatement,BibliographyLink,StaffNotes,DateCreation,RelScriptureBook,LectionaryLink,CopyrightStatus,RelICANumber,RelScripture,SubjectBuildingName,ImageLink,Unit,Title,SubjectLC,RelScriptureVerse,Subject,ImageAvailable,ObjectFunction,CreatorArtist,SubjectName,LocationCreationSite,LocationState,IconClassNumber,OriginalLocation,BCAD,SortDate,LectionaryRank,CopyrightPermission
46677,2021-06-10 08:20:04.0,2006-08-03 00:00:00.0,Italy,Paint,,||||,https://commons.wikimedia.org/wiki/File:Gentile_da_Fabriano_025.jpg,,,1423,||||,BProp09|AEpDy,Educational Use Permitted,,Matthew 2:1-12,Uffizi Gallery,Gentile_da_Fabriano_025,,Adoration of the Three Kings - landscape detail,Christian art and symbolism -- Italy,||||,City|Landscape,on,Altarpiece,"Gentile, da Fabriano, ca. 1370-1427",,Florence,,,,2,1423,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46678,2021-08-07 07:17:16.0,2006-08-03 00:00:00.0,Italy,,,||||,https://commons.wikimedia.org/wiki/File:Gentile_da_Fabriano_024.jpg,,,1423,||||,AXmas01|AEpDy,Educational Use Permitted,,Matthew 2:1-12|Matthew 2:13-23,Uffizi Gallery,Gentile_da_Fabriano_024,,"Adoration of the Three Kings - Flight into Egypt, detail",Christian art and symbolism -- Italy,||||,Adoration of the Magi|Flight into Egypt,on,Altarpiece,"Gentile, da Fabriano, ca. 1370-1427",,Florence,,73B641|73B57,,2,1423,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46679,2021-08-31 16:59:08.0,2006-08-03 00:00:00.0,Italy,,,||||,https://commons.wikimedia.org/wiki/File:Gentile_da_Fabriano_020.jpg,,,1423,||||,BXmas01|ANatv|,Educational Use Permitted,,Luke 2:22-40|Matthew 2:1-12,Uffizi Gallery,Gentile_da_Fabriano_020,,"Adoration of the Three Kings - Presentation in the Temple, detail",Christian art and symbolism -- Italy,||||,Presentation of Jesus at the Temple,on,Altarpiece,"Gentile, da Fabriano, ca. 1370-1427",Jesus Christ (Biblical figure) ,Florence,,73B4|73B57,,2,1423,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46681,2021-06-10 08:25:03.0,2006-08-03 00:00:00.0,Italy,,A corner panel in the Adoration of the Three Kings altarpiece,||||,https://commons.wikimedia.org/wiki/File:Gentile_da_Fabriano_026.jpg,,,1423,||||,AProp08,Educational Use Permitted,,Psalm 43,Uffizi Gallery,Gentile_da_Fabriano_026,,King David plays the harp,Christian art and symbolism -- Italy,||||,Harp,on,Altarpiece,"Gentile, da Fabriano, ca. 1370-1427","David, King of Israel (Biblical figure) ",Florence,,73B57,,2,1423,21,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46682,2021-06-10 08:26:10.0,2006-08-03 00:00:00.0,Italy,,,||||,https://commons.wikimedia.org/wiki/File:Gentile_da_Fabriano_015.jpg,,,1423,||||,AEpDy|BEpDy|CEpDy,Educational Use Permitted,,Matthew 2:1-12,Uffizi Gallery,Gentile_da_Fabriano_015,,"Adoration of the Three Kings, detail of Mary",Christian art and symbolism -- Italy,||||,Adoration of the Magi,on,Altarpiece,"Gentile, da Fabriano, ca. 1370-1427",,Florence,,73B57,,2,1423,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46683,2021-06-10 08:27:06.0,2006-08-03 00:00:00.0,Italy,,,||||,https://commons.wikimedia.org/wiki/File:Gentile_da_Fabriano_014.jpg,,,1423,||||,AEpDy|BEpDy|CEpDy,Educational Use Permitted,,Matthew 2:1-12,Uffizi Gallery,Gentile_da_Fabriano_014,,"Adoration of the Three Kings, detail of Magi",Christian art and symbolism -- Italy,||||,Adoration of the Magi,on,Altarpiece,"Gentile, da Fabriano, ca. 1370-1427",,Florence,,73B57,,2,1423,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46684,2021-06-10 08:28:22.0,2006-08-03 00:00:00.0,Italy,,,||||,https://commons.wikimedia.org/wiki/File:Gentile_da_Fabriano_002.jpg,,,1423,||||,AEpDy|BEpDy|CEpDy,Educational Use Permitted,,Matthew 2:1-12,Uffizi Gallery,Gentile_da_Fabriano_002,,Adoration of the Three Kings,Christian art and symbolism -- Italy,||||,Adoration of the Child (Mary),on,Altarpiece,"Gentile, da Fabriano, ca. 1370-1427",,Florence,,73B57,,2,1423,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46685,2021-06-10 08:29:40.0,2006-08-03 00:00:00.0,Italy,,,||||,https://commons.wikimedia.org/wiki/File:Gentile_da_Fabriano_029.jpg,,,1423,||||,ANatv|BNatv|CNatv,Educational Use Permitted,,Matthew 2:1-12,Uffizi Gallery,Gentile_da_Fabriano_029,,Adoration of the Three Kings - Birth of Christ,Christian art and symbolism -- Italy,||||,Adoration of the Child (Mary),on,Painting,"Gentile, da Fabriano, ca. 1370-1427",,Florence,,73B57,,2,1423,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46687,2021-06-10 08:33:26.0,2006-08-03 00:00:00.0,Liechtenstein,,,||||,https://commons.wikimedia.org/wiki/File:Giovanni_di_Niccol%C3%B2_Mansueti_001.jpg,,,1499,||||,,Educational Use Permitted,,,Furstlich Lichtensteinisch Gemaldegalerie,Giovanni_di_Niccolo_Mansueti_001,,The Arrest of Mark in the Synagogue,,||||,Synagogue,on,Painting,"Bellini, Giovanni, 1426?-1516","Mark, the Apostle (Biblical figure) ",Vaduz,,,,2,1499,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46696,2021-08-31 16:45:04.0,2006-08-05 00:00:00.0,Germany,Paint,Section of the Passion Altar. <br><br>From The Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Conrad_von_Soest_003.jpg,,,1403,||||,BXmas01|AEpDy|ANatv|AAdvt04,Educational Use Permitted,,"Luke 1:26-38|Luke 2:(1-7), 8-20|Luke 2:22-40|Matthew 2:1-12",Stadtkirche St. Nikolaus,Conrad_von_Soest_003,,"Annunciation, Birth, Adoration and Presentation",Christian art and symbolism,||||,Annunciation to Mary|Nativity|Adoration of the Magi|Presentation of Jesus at the Temple|Adoration of the Child (Mary),on,Altarpiece,"Conrad, von Soest, fl. 1370-1420","Mary, the mother of Jesus (Biblical figure) ",Bad Wildungen,,73AA52|73B1322|73B57|73B4,,2,1403,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46697,2021-07-28 14:13:05.0,2006-08-07 00:00:00.0,Germany,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Conrad_von_Soest_005.jpg,,,1403,||||,BAdvt04|BAnLo,Educational Use Permitted,,Luke 1:26-38,Stadtkirche St. Nikolaus,Conrad_von_Soest_005,,Annunciation to Mary,Christian art and symbolism,||||,Annunciation to Mary,on,Painting,"Conrad, von Soest, fl. 1370-1420","Mary, the mother of Jesus (Biblical figure) ",Bad Wildungen,,73AA52,,2,1403,15,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46698,2021-07-27 12:41:44.0,2006-08-07 00:00:00.0,Belgium,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Jan_de_Beer_001.jpg,,,1510,||||,AEpDy|BEpDy|CEpDy,Public Domain,,Matthew 2:1-12,"Museum of Fine Arts, Ghent",Jan_de_Beer_001,,Adoration of the Christ Child by the Three Kings,Christian art and symbolism,||||,Adoration of the Magi|Adoration of the Child (Mary),on,Painting,"Beer, Jan de, approximately 1475-approximately 1528",,Ghent,,73B57,,2,1510,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46699,2021-08-29 12:19:44.0,2006-08-07 00:00:00.0,Italy,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Camillo_Boccaccino_001.jpg,,,1540,||||,ALent05,Educational Use Permitted,,John 11:1-45,San Sigismondo (Cremona),Camillo_Boccaccino_001,,Raising of Lazarus,Christian art and symbolism,||||,,on,,"Boccaccino, Camillo, 1504-1546","Lazarus, of Bethany (Biblical figure) ",Cremona,,73C52,,2,1540,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46703,2021-09-04 09:01:55.0,2006-08-08 00:00:00.0,France,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Constant_Troyon_003.jpg,,,1860,||||,,Educational Use Permitted,,Psalm 23,Louvre,Constant_Troyon_003,,Woodland Landscape,Christian art and symbolism,||||,Landscape,on,,"Troyon, Constant, 1810-1865",,Paris,,25H,,2,1860,3,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46714,2021-09-02 14:18:31.0,2006-08-12 00:00:00.0,Italy,,"Flower symbols related to Mary, Mother of Jesus, from ""Madonna della Candeletta."" <br><br>From The Yorck Project.",||||,https://commons.wikimedia.org/wiki/File:Carlo_Crivelli_002.jpg,,,1490,||||,AEpip08|AProp03,Educational Use Permitted,,Matthew 6:25-33|Luke 12:27|Hosea 14:5,Pinacoteca di Brera,Carlo_Crivelli_002,,"Lilies, a rose, and a cherry, detail",Christian art and symbolism,||||,Flowers,on,,"Crivelli, Carlo, 15th cent.",,Milan,,,,2,1490,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46722,2021-02-25 08:27:31.0,2006-08-14 00:00:00.0,Germany,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Carl_Spitzweg_-_Aschermittwoch.jpg,,,1855-1860,||||,AAshW|BAshW|CAshW,Educational Use Permitted,,Proverbs 10:23|Proverbs 11:29|Psalm 142:7,Staatsgalerie Stuttgart,Carl_Spitzweg_003,,Ash Wednesday,Christian art and symbolism,||||,Lent,on,Painting,"Spitzweg, Karl, 1808-1885",,Stuttgart,,,,2,1855,6,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46728,2021-02-25 08:32:44.0,2006-08-14 00:00:00.0,Italy,,Parallels between actual towns and the Heavenly Jerusalem were frequent during this time period. <br><br>From The Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Carlo_Crivelli_036.jpg,,,1482,||||,CEast06|BProp09,Educational Use Permitted,,,Pinacoteca di Brera,Carlo_Crivelli_036,,"Model of a city, detail from church altarpiece",,||||,City,on,,"Crivelli, Carlo, 15th cent.",,Milan,,73G5711,,2,1482,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46729,2021-05-25 06:38:45.0,2006-08-15 00:00:00.0,France,,,||||,https://commons.wikimedia.org/wiki/File:Guillaume_Cr%C3%A9tin_001.jpg,,,16th century,||||,,Educational Use Permitted,,,Bibliothèque nationale de France,Guillaume_Cretin_001,,Duel of Roland,,||||,,on,,"Crétin, Guillaume, ca. 1450-1525",,Paris,,,,2,1500,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46731,2021-06-10 08:35:38.0,2006-08-15 00:00:00.0,Austria,,,||||,https://commons.wikimedia.org/wiki/File:Gustav_Klimt_028.jpg,,,1916,||||,BProp11,Educational Use Permitted,,,Sammlung Fritz Bock,Gustav_Klimt_028,,Church in Unterach,,||||,Church,on,,"Klimt, Gustav, 1862-1918",,Graz,,,,2,1916,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46739,2021-07-28 15:18:36.0,2006-08-15 00:00:00.0,Belgium,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Franz%C3%B6sischer_Meister_um_1675_001.jpg,,,1675,||||,AProp04|AVigl,Public Domain,,"Genesis 6:9-22; 7:24; 8:14-19|Genesis 7:1-5, 11-18; 8:6-18; 9:8-13",,Franzosischer_1675_001,,Building of the Ark of Noah,Christian art and symbolism -- France,||||,Noahs Ark,on,Painting,,Noah (Biblical figure) ,Budapest,,71B341,,2,1675,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46740,2021-07-12 15:19:22.0,2006-08-15 00:00:00.0,Italy,,Scrovegni Chapel. <br><br>From The Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Giotto_di_Bondone_006.jpg,,,1304-1306,||||,ANatv|BNatv,Educational Use Permitted,,Matthew 2:1-12,"Cappella degli Scrovegni nell'Arena (Padua, Italy)",Giotto_di_Bondone_006,,Three Magi Bearing Gifts,Christian art and symbolism -- Italy,||||,Magi,on,Fresco,"Bondone, Giotto di, 1266?-1337",Wise Men (Biblical figures) ,Padua,,73B57,,2,1304,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46741,2021-08-03 06:10:45.0,2006-08-15 00:00:00.0,Italy,,Scrovegni Chapel. <br><br>From The Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Giotto_di_Bondone_013.jpg,,,1304-1306,||||,APalm|BPalm|CPalm,Educational Use Permitted,,Matthew 21:1-11|Mark 11:1-11|Luke 19:28-40,"Cappella degli Scrovegni nell'Arena (Padua, Italy)",Giotto_di_Bondone_013,,Breaking of a Palm Leaf for the Entry into Jerusalem,Christian art and symbolism -- Italy,||||,Entry into Jerusalem,on,Fresco,"Bondone, Giotto di, 1266?-1337",,Padua,,73D14,,2,1304,6,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46743,2021-02-25 08:42:12.0,2006-08-15 00:00:00.0,Italy,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Carlo_Crivelli_033.jpg,,,1482,||||,,Educational Use Permitted,,,Pinacoteca di Brera,Carlo_Crivelli_033,,Enthroned Madonna,Christian art and symbolism,||||,Madonna and Child,on,,"Crivelli, Carlo, 15th cent.",,Milan,,11F422,,2,1482,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46744,2021-07-28 14:00:00.0,2006-08-15 00:00:00.0,Germany,Paint,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Carlo_Crivelli_-_Angel_of_the_Annunciation_(St%C3%A4del_Frankfurt).jpg,,,1482,||||,BAdvt04,Educational Use Permitted,,Luke 1:26-38,Städel,Carlo_Crivelli_032,,Angel Gabriel of the Annunciation,Christian art and symbolism,||||,Annunciation to Mary|Angels,on,,"Crivelli, Carlo, 15th cent.",Gabriel (archangel) ,Frankfurt,,73A5,,2,1482,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46746,2021-08-09 08:06:34.0,2006-08-15 00:00:00.0,Italy,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Carlo_Crivelli_029.jpg,,,1468,||||,APass|BPass|AHoly05,Educational Use Permitted,,Matthew 26:14-27:66|Mark 14:1-15:47|John 18:1-19:42,San Silvestro,Carlo_Crivelli_029,,Flagellation of Christ,Christian art and symbolism,||||,Passion of Jesus Christ: Flagellation,on,,"Crivelli, Carlo, 15th cent.",,Massa Fermana,,73D351,,2,1468,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46747,2021-02-25 08:48:10.0,2006-08-15 00:00:00.0,Italy,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Carlo_Crivelli_028.jpg,,,1468,||||,BAdvt04,Educational Use Permitted,,Luke 1:26-38,San Silvestro,Carlo_Crivelli_028,,Annunciation by the Angel Gabriel,Christian art and symbolism,||||,Annunciation to Mary|Angels,on,,"Crivelli, Carlo, 15th cent.",Gabriel (archangel) ,Massa Fermana,,73A5,,2,1468,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46748,2021-08-09 10:32:37.0,2006-08-15 00:00:00.0,Italy,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Carlo_Crivelli_026.jpg,,,1468,||||,APass|BPass,Educational Use Permitted,,Matthew 26:14-27:66|Mark 14:1-15:47,San Silvestro,Carlo_Crivelli_026,,Christ on Gethsemane,Christian art and symbolism,||||,Passion of Jesus Christ: Gethsemane,on,,"Crivelli, Carlo, 15th cent.",,Massa Fermana,,73D31211,,2,1468,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46749,2021-02-25 08:50:37.0,2006-08-15 00:00:00.0,Italy,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Carlo_Crivelli_025.jpg,,,1468,||||,BAdvt04,Educational Use Permitted,,Luke 1:26-38,San Silvestro,Carlo_Crivelli_025,,Mary of the Annunciation,Christian art and symbolism,||||,Annunciation to Mary,on,,"Crivelli, Carlo, 15th cent.","Mary, the mother of Jesus (Biblical figure) ",Massa Fermana,,73A51,,2,1468,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46752,2021-02-25 08:52:16.0,2006-08-15 00:00:00.0,Italy,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Carlo_Crivelli_022.jpg,,,1468,||||,,Educational Use Permitted,,,San Silvestro,Carlo_Crivelli_022,,John the Baptist,Christian art and symbolism,||||,,on,,"Crivelli, Carlo, 15th cent.","John, the Baptist (Biblical figure) ",Massa Fermana,,11H(JOHN THE BAPTIST),,2,1468,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46754,2021-02-25 08:53:09.0,2006-08-15 00:00:00.0,Italy,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Carlo_Crivelli_018.jpg,,,1470,||||,,Educational Use Permitted,,,Santa Lucia,Carlo_Crivelli_018,,"Mary Magdalene, detail",Christian art and symbolism,||||,,on,,"Crivelli, Carlo, 15th cent.",Mary Magdalene (Biblical figure) ,Montefiore dell'Aso,,11HH(MARY MAGDALENE),,2,1470,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46760,2021-02-25 08:55:28.0,2006-08-16 00:00:00.0,United States,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Georges_de_La_Tour_010.jpg,,,1625-1650,||||,,Educational Use Permitted,,,Wrightsman Collection,Georges_de_la_Tour_010,,"Atonement of Mary Magdalene, detail",Christian art and symbolism -- France,||||,Atonement,on,Painting,"La Tour, Georges du Mesnil de, 1593-1652",Mary Magdalene (Biblical figure) ,New York,NY,11HH (MARY MAGDALENE)9,,2,1625,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46761,2021-02-25 08:56:07.0,2006-08-16 00:00:00.0,United States,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Georges_de_La_Tour_008.jpg,,,1625-1650,||||,ALent04,Educational Use Permitted,,Ephesians 5:8-14,Wrightsman Collection,Georges_de_la_Tour_008,,"Atonement of Mary Magdalene, detail of candle and book",Christian art and symbolism -- France,||||,Bible|Light|Atonement,on,Painting,"La Tour, Georges du Mesnil de, 1593-1652",Mary Magdalene (Biblical figure) ,New York,NY,11HH (MARY MAGDALENE)9,,2,1625,8,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46769,2021-06-10 08:58:13.0,2006-08-16 00:00:00.0,Italy,,,||||,https://commons.wikimedia.org/wiki/File:Gentile_da_Fabriano_071.jpg,,,1425,||||,AXmas01,Educational Use Permitted,,Matthew 2:13-23,Uffizi Gallery,Gentile_da_Fabriano_071,,Massacre of the Innocents,,||||,Massacre of the Innocents,on,,"Gentile, da Fabriano, ca. 1370-1427",,Florence,,73B63,,2,1425,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46770,2021-07-30 06:26:19.0,2006-08-16 00:00:00.0,Italy,,,||||,https://commons.wikimedia.org/wiki/File:Gentile_da_Fabriano_076.jpg,,,1425,||||,AEpip01|BEpip01|CEpip01,Educational Use Permitted,,"Matthew 3:13-17|Mark 1:4-11|Luke 3:15-17, 21-22",Uffizi Gallery,Gentile_da_Fabriano_076,,Baptism of Christ,,||||,Baptism of Christ,on,Painting,"Gentile, da Fabriano, ca. 1370-1427",,Florence,,73C121,,2,1425,20,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46771,2021-06-10 09:00:32.0,2006-08-16 00:00:00.0,Italy,,Panel display,||||,https://commons.wikimedia.org/wiki/File:Gentile_da_Fabriano_054.jpg,,,1400,||||,,Educational Use Permitted,,,Brera Museum,Gentile_da_Fabriano_054,,"Mary, detail",Christian art and symbolism -- Italy,||||,Madonna and Child,on,,"Gentile, da Fabriano, ca. 1370-1427",,Milan,,,,2,1400,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46772,2021-06-10 09:22:45.0,2006-08-16 00:00:00.0,Italy,,,||||,https://commons.wikimedia.org/wiki/File:Gentile_da_Fabriano_055.jpg,,,1400,||||,,Educational Use Permitted,,,Brera Museum,Gentile_da_Fabriano_055,,Hieronymous,Christian art and symbolism -- Italy,||||,,on,,"Gentile, da Fabriano, ca. 1370-1427","Jerome (Eusebius Sophronius Hieronymus), ca.347-420 ",Milan,,,,2,1400,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46773,2021-06-21 08:13:49.0,2006-08-16 00:00:00.0,Italy,,Panel display,||||,https://commons.wikimedia.org/wiki/File:Gentile_da_Fabriano_053.jpg,,,1400,||||,,Educational Use Permitted,,,Brera Museum,Gentile_da_Fabriano_053,,Jesus Christ,Christian art and symbolism -- Italy,||||,,on,,"Gentile, da Fabriano, ca. 1370-1427",Jesus Christ (Biblical figure) ,Milan,,,,2,1400,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46774,2021-06-10 09:24:47.0,2006-08-16 00:00:00.0,Italy,,Panel display,||||,https://commons.wikimedia.org/wiki/File:Gentile_da_Fabriano_049.jpg,,,1400,||||,,Educational Use Permitted,,,Brera Museum,Gentile_da_Fabriano_049,,John the Baptist,Christian art and symbolism -- Italy,||||,,on,,"Gentile, da Fabriano, ca. 1370-1427","John, the Baptist (Biblical figure) ",Milan,,,,2,1400,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46776,2021-02-25 08:59:13.0,2006-08-16 00:00:00.0,Italy,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Gentile_da_Fabriano_038.jpg,,,1415-1416,||||,,Educational Use Permitted,,,Museo Civico,Gentile_da_Fabriano_038,,"Madonna and Child, detail of Mary",Christian art and symbolism -- Italy,||||,Madonna and Child,on,,"Gentile, da Fabriano, ca. 1370-1427",,Pisa,,11F6222,,2,1415,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46779,2021-02-26 12:59:44.0,2006-08-16 00:00:00.0,Italy,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Gentile_da_Fabriano_027.jpg,,,1423,||||,AProp25,Educational Use Permitted,,Deuteronomy 34:1-12,Uffizi Gallery,Gentile_da_Fabriano_027,,Adoration of the Three Kings - Moses detail,Christian art and symbolism -- Italy,||||,,on,Altarpiece,"Gentile, da Fabriano, ca. 1370-1427",Moses (Biblical figure) ,Florence,,11I62(MOSES),,2,1423,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46780,2021-06-10 09:26:56.0,2006-08-16 00:00:00.0,Italy,,,||||,https://commons.wikimedia.org/wiki/File:Gentile_da_Fabriano_013.jpg,,,1423,||||,AEpDy|BEpDy|CEpDy,Educational Use Permitted,,Matthew 2:1-12,Uffizi Gallery,Gentile_da_Fabriano_013,,"Adoration of the Three Kings, detail in background",Christian art and symbolism -- Italy,||||,Adoration of the Magi,on,Painting,"Gentile, da Fabriano, ca. 1370-1427",,Florence,,73B57,,2,1423,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46781,2021-07-27 12:58:37.0,2006-08-16 00:00:00.0,Italy,,Part of the Adoration of the Magi altarpiece,||||,https://commons.wikimedia.org/wiki/File:Gentile_da_Fabriano_033.jpg,,,1423,||||,AAdvt03|AEpDy,Educational Use Permitted,,Luke 1:46b-55|Matthew 2:1-12,Uffizi Gallery,Gentile_da_Fabriano_033,,The young Mary in prayer,Christian art and symbolism -- Italy,||||,Prayer|Adoration of the Magi,on,Altarpiece,"Gentile, da Fabriano, ca. 1370-1427","Mary, the mother of Jesus (Biblical figure) ",Florence,,,,2,1423,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46782,2021-07-27 12:48:02.0,2006-08-16 00:00:00.0,Italy,,,||||,https://commons.wikimedia.org/wiki/File:Gentile_da_Fabriano_030.jpg,,,1423,||||,AEpDy|BEpDy|CEpDy,Educational Use Permitted,,Matthew 2:1-12,Uffizi Gallery,Gentile_da_Fabriano_030,,"Adoration of the Three Kings, detail of Joseph at Rest",Christian art and symbolism -- Italy,||||,Adoration of the Magi|Rest,on,Altarpiece,"Gentile, da Fabriano, ca. 1370-1427","Joseph, the husband of Mary (Biblical figure) ",Florence,,11H(JOSEPH),,2,1423,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46784,2021-06-10 09:30:31.0,2006-08-16 00:00:00.0,Italy,Paint,Panel,||||,https://commons.wikimedia.org/wiki/File:Gentile_da_Fabriano_028.jpg,,,1423,||||,,Educational Use Permitted,,,Uffizi Gallery,Gentile_da_Fabriano_028,,Adoration of the Three Kings - Pantocrator - Christ,,||||,,on,Altarpiece,"Gentile, da Fabriano, ca. 1370-1427",Jesus Christ (Biblical figure) ,Florence,,11D321,,2,1423,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46785,2021-02-26 13:01:09.0,2006-08-16 00:00:00.0,Italy,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Carlo_Crivelli_015.jpg,,,1470,||||,,Educational Use Permitted,,,Santa Lucia,Carlo_Crivelli_015,,"Peter, the Apostle",Christian art and symbolism,||||,,on,,"Crivelli, Carlo, 15th cent.","Peter, the Apostle (Biblical figure) ",Montefiore dell'Aso,,11H(PETER),,2,1470,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46787,2021-02-21 10:51:09.0,2006-08-16 00:00:00.0,Italy,,From a Crucifixion altarpiece. <br><br>From The Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Carlo_Crivelli_004.jpg,,,1490,||||,CRegn|BPass|APass,Educational Use Permitted,,,Pinacoteca di Brera,Carlo_Crivelli_004,,"John, the Apostle, detail from Crucifixion",,||||,,on,,"Crivelli, Carlo, 15th cent.","John, the Apostle (Biblical figure) ",Milan,,,,2,1490,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46807,2021-08-29 12:37:22.0,2006-08-21 00:00:00.0,Russia,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Christian_Wilhelm_Ernst_Dietrich_001.jpg,,,1755,||||,APass|BPass|CPass|AHoly05,Educational Use Permitted,,Matthew 26:14-27:66|Mark 14:1-15:47|Luke 22:14-23:56|John 18:1-19:42,Gosudarstvennyĭ Ėrmitazh (Russia)	,Christian_Wilhelm_Ernst_Dietrich_001,,Pilate Debates Christ's Fate,Christian art and symbolism -- Russia,||||,,on,,"Dietrich, Christian Wilhelm Ernst, 1712-1774","Pontius Pilate, 1st century ",St. Petersburg,,73D3231,,2,1755,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46992,2021-02-26 19:11:31.0,2006-09-07 00:00:00.0,Italy,,From the Yorck Project.,||||,https://commons.wikimedia.org/wiki/File:Correggio_042.jpg,,,1530,||||,AXmas01,Educational Use Permitted,,Matthew 2:13-23,Galleria nazionale di Parma,Correggio_042,,Rest on the Flight into Egypt,Christian art and symbolism,||||,Flight into Egypt|Rest,on,,"Correggio, 1489?-1534",,Parma,,73B65,,2,1530,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
46994,2021-02-21 10:51:48.0,2006-09-09 00:00:00.0,United States,,From The Yorck Project.,||||,"https://commons.wikimedia.org/wiki/File:Correggio-Saints_Peter,_Martha,_Mary_Magdalen,_and_Leonard.jpg",,,1517,||||,,Educational Use Permitted,,,Metropolitan Museum of Art,correg394389rhbsdv,,"Four Saints -  Peter, Martha, Mary Magdalen and Leonard",Christian art and symbolism,||||,Saints,on,,"Correggio, 1489?-1534","Peter, the Apostle (Biblical figure) |Martha, of Bethany (Biblical figure)|Mary Magdalene (Biblical figure) |Leonard of Noblac, Saint ",New York,NY,11H|11HH,,2,1517,999,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
