"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"X4F564X9","journalArticle","2010","Baldwin, Lewis V","Review of The fire spreads: holiness and Pentecostalism in the American South","The Journal of Southern Religion","","1094-5253","","http://jsreligion.org/Volume12/Baldwin%20on%20Stephens.html","Review of Stephens, Randall J. The fire spreads: holiness and Pentecostalism in the American South. Publisher: Cambridge, Mass ; London : Harvard University Pr, 2008.","2010","2022-05-17 14:49:51","2022-05-18 20:22:23","","","","","12","","","The fire spreads","","","","","","","","","","","","EBSCOhost","","Place: Cambridge, Mass","","","http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0001806763&site=ehost-live&scope=site&scope=cite","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BHVF7DDQ","journalArticle","2009","Baldwin, Lewis V","Review of American evangelicals: a contemporary history of a mainstream religious movement","Church History","","0009-6407","10.1017/S000964070900095X","http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0001728231&site=ehost-live&scope=site","","2009-06","2022-05-17 14:53:14","2022-05-18 20:15:52","2022-05-17 14:53:14","473-475","","2","78","","","American evangelicals","","","","","","","","","","","","EBSCOhost","","Place: Lanham, Md","","C:\Users\bendacp\Zotero\storage\RXWNTWX2\church-history.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LHHKPKL2","journalArticle","2008","Baldwin, Lewis V","Review of W. E. B. Du Bois: American prophet","Church History","","0009-6407","10.1017/S000964070800036X","http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0001669394&site=ehost-live&scope=site","Review of Blum, Edward J. W. E. B. Du Bois: American prophet. Publisher: Philadelphia : Univ of Pennsylvania Pr, 2007.","2008-03","2022-05-17 14:55:18","2022-05-18 20:22:44","2022-05-17 14:55:18","214-216","","1","77","","","W. E. B. Du Bois","","","","","","","","","","","","EBSCOhost","","Place: Philadelphia","","C:\Users\bendacp\Zotero\storage\FEGN96NN\church-history.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6XU6DF65","journalArticle","2008","Baldwin, Lewis V","Revisioning the church: Martin Luther King, Jr. as a model for reflection","Theology Today","","0040-5736","","http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0001637704&site=ehost-live&scope=site","","2008-04","2022-05-17 14:56:37","2022-05-17 14:56:37","2022-05-17 14:56:37","26-40","","1","65","","","Revisioning the church","","","","","","","","","","","","EBSCOhost","","","","","","","Mission of the church; Social action and church; Race relations and church; 1900-1999; King, Martin Luther,   Jr        , 1929-1968; Church -- History of doctrines","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RU6IZIZE","bookSection","2006","Baldwin, Lewis V; Murphy, Stephen W","Scripture in the African-American Christian tradition: Christian theologies of scripture: a comparative introduction","Christian theologies of scripture: a comparative introduction","978-0-8147-3665-4 978-0-8147-3666-1","","","","","2006","2022-05-17 14:57:14","2022-05-17 14:57:38","","282-299","","","","","","Scripture in the African-American Christian tradition","","","","","New York University Press","New York","","","","","","EBSCOhost","","","","","http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0001910669&site=ehost-live&scope=site&scope=cite","","Black theology; Liberation theology; Slavery and the church; Bible--Criticism, interpretation--History; Bible--Black interpretations; Bible--Criticism, interpretation, Christian; Justice -- Biblical teaching","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XQXPBIRM","journalArticle","2006","Baldwin, Lewis V","Review of Around the family altar: domesticity in the African Methodist Episcopal church, 1865-1900","Church History","","0009-6407","10.1017/S0009640700098899","http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0001551860&site=ehost-live&scope=site","Review of Bailey, Julius H. Around the family altar: domesticity in the African Methodist Episcopal church, 1865-1900. Publisher: Gainesville : University Press of Florida, 2005.","2006-09","2022-05-17 14:59:04","2022-05-18 20:16:02","2022-05-17 14:59:04","684-686","","3","75","","","Around the family altar","","","","","","","","","","","","EBSCOhost","","Place: Gainesville","","C:\Users\bendacp\Zotero\storage\YGBCD67X\church-history.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q6HS6WEE","bookSection","2006","Baldwin, Lewis V","Martin Luther King, Jr., a 'coalition of conscience,' and freedom in South Africa","Freedom's distant shores: American Protestants and post-colonial alliances with Africa","","","","","","2006","2022-05-17 15:03:00","2022-05-17 15:03:32","","53-82","","","","","","Martin Luther King, Jr., a 'coalition of conscience,' and freedom in South Africa","","","","","Baylor","Waco, Texas","","","","","","EBSCOhost","","","","","http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0001537736&site=ehost-live&scope=site&scope=cite","","Blacks; South Africa; Race relations; Race relations and church; Christianity and politics; King, Martin Luther,   Jr        , 1929-1968; Clergy -- Political activity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NMLGL6PX","journalArticle","2006","Baldwin, Lewis V","Review of The beloved community: how faith shapes social justice, from the civil rights movement to today","Political Theology","","1462-317X","10.1558/poth.v7i4.527","http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0001664549&site=ehost-live&scope=site","Review of Marsh, Charles. The beloved community: how faith shapes social justice, from the civil rights movement to today. Publisher: New York : Basic Books, 2005.","2006-10","2022-05-17 15:18:11","2022-05-18 20:22:03","2022-05-17 15:18:11","527-529","","4","7","","","The beloved community","","","","","","","","","","","","EBSCOhost","","Place: New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z743RY4F","journalArticle","2005","Baldwin, Lewis V","Review of Moral evil and redemptive suffering: a history of theodicy in African-American religious thought","Church History","","0009-6407","10.1017/S000964070011011X","http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0001506041&site=ehost-live&scope=site","Review of Pinn, Anthony B. Moral evil and redemptive suffering: a history of theodicy in African-American religious thought. Publisher: Gainesville : University Press of Florida, 2002.","2005-03","2022-05-17 15:22:54","2022-05-18 20:21:03","2022-05-17 15:22:54","204-206","","1","74","","","Moral evil and redemptive suffering","","","","","","","","","","","","EBSCOhost","","Place: Gainesville","","C:\Users\bendacp\Zotero\storage\A5X6AN5J\church-history.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZYXKJSUW","journalArticle","2005","Baldwin, Lewis V","Review of Long march ahead: African American churches and public policy in post-civil rights America","Journal of Church and State","","0021-969X","10.1093/jcs/47.3.636","http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0001608410&site=ehost-live&scope=site","Review of Smith, R Drew. Long march ahead: African American churches and public policy in post-civil rights America. Publisher: Durham, NC : Duke University Press, 2004.","2005","2022-05-17 15:26:00","2022-05-18 20:20:29","2022-05-17 15:26:00","636-637","","3","47","","","Long march ahead","","","","","","","","","","","","EBSCOhost","","Place: Durham, NC","","C:\Users\bendacp\Zotero\storage\D537DSUB\jcs.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GN5KBFLA","journalArticle","2005","Baldwin, Lewis V","Review of For a great and grand purpose: the beginnings of the AMEZ Church in Florida, 1864-1905","The Journal of Southern Religion","","1094-5253","","http://jsr.fsu.edu/Volume8/Baldwin.htm","Review of Brown, Canter, Jr. For a great and grand purpose: the beginnings of the AMEZ Church in Florida, 1864-1905. Publisher: Gainesville, Fla : Univ Pr of Florida, 2004.","2005","2022-05-17 15:29:11","2022-05-18 20:17:00","","","","","8","","","For a great and grand purpose","","","","","","","","","","","","EBSCOhost","","Place: Gainesville, Fla","","","http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0001517725&site=ehost-live&scope=site&scope=cite","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WD6BY42I","journalArticle","2004","Baldwin, Lewis V","Review of God and human responsibility: David Walker and ethical prophecy","Encounter","","0013-7081","","http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0001553970&site=ehost-live&scope=site","Review of Burrow, Rufus, Jr. God and human responsibility: David Walker and ethical prophecy. Publisher: Macon, Ga : Mercer Univ Pr, 2003.","2004","2022-05-17 15:32:00","2022-06-14 14:59:05","2022-05-17 15:32:00","304-305","","3","65","","","God and human responsibility","","","","","","","","","","","","EBSCOhost","","Place: Macon, Ga","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3L45SL2R","journalArticle","2004","Baldwin, Lewis V","Review of Fire from the midst of you: a religious life of John Brown","Journal of the American Academy of Religion","","0002-7189","10.1093/jaarel/lfh043","http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0001495433&site=ehost-live&scope=site","Review of DeCaro, Louis. Fire from the midst of you: a religious life of John Brown. Publisher: [S.l.] : New York Univ Pr, 2002.","2004-06","2022-05-17 15:34:53","2022-05-18 20:16:47","2022-05-17 15:34:53","523-525","","2","72","","","Fire from the midst of you","","","","","","","","","","","","EBSCOhost","","","","C:\Users\bendacp\Zotero\storage\MDP7DX4F\jaar.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DHM3FP6I","journalArticle","2004","Baldwin, Lewis V","Review of Race and the cosmos: an invitation to view the world differently","Memphis Theological Seminary Journal","","1550-7351","","","Review of Holmes, Barbara. Race and the cosmos: an invitation to view the world differently. Publisher: Harrisburg, PA : Trinity Press International, 2002.","2004","2022-05-17 15:37:53","2022-05-18 20:21:17","","82-85","","","40","","","Race and the cosmos","","","","","","","","","","","","EBSCOhost","","Place: Harrisburg, PA","","","http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0001593523&site=ehost-live&scope=site&scope=cite","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PW2YF5N3","journalArticle","2004","Baldwin, Lewis V","Review of An ex-colored church: social activism in the CME Church, 1870-1970","The Journal of Southern Religion","","1094-5253","","http://jsr.fsu.edu/Volume7/Baldwin.htm","Review of Sommerville, Raymond R. An ex-colored church: social activism in the CME Church, 1870-1970. Publisher: Macon, GA : Mercer Univ Pr, 2004.","2004","2022-05-17 15:39:44","2022-05-18 20:23:07","","","","","7","","","An ex-colored church","","","","","","","","","","","","EBSCOhost","","Place: Macon, GA","","","http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0001427184&site=ehost-live&scope=site&scope=cite","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3UUCEA9L","bookSection","2003","Baldwin, Lewis V","Revisiting the 'all-comprehending institution': historical reflections on the public roles of Black churches","New day begun: African American churches and civic culture in post-civil rights America","978-0-8223-3131-5","","","","","2003","2022-05-17 15:41:23","2022-05-17 15:41:48","","15-38","","","","","","Revisiting the 'all-comprehending institution'","","","","","Duke University Press","Durham","","","","","","EBSCOhost","","","","","http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0001399560&site=ehost-live&scope=site&scope=cite","","United States; Church history; Church and state; African American churches; African Americans -- Religion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D5I5JDF5","journalArticle","2003","Baldwin, Lewis V","Review of Heart and head: black theology--past, present, and future","The Christian Century","","0009-5281","","http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0001330952&site=ehost-live&scope=site","Review of Hopkins, Dwight N. Heart and head: black theology--past, present, and future. Head and heart: black theology--past, present and future. Publisher: [S.l.] : St. Martin's ; New York : Palgrave, 2002.","2003-01-11","2022-05-17 22:55:14","2022-05-18 20:20:03","2022-05-17 22:55:14","35-36","","1","120","","","Heart and head","","","","","","","","","","","","EBSCOhost","","ProQuest document ID 217244209","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EE698T9J","journalArticle","2003","Baldwin, Lewis V","Review of Canaan Land: a religious history of African Americans","The Journal of Religious History","","0022-4227","10.1111/1467-9809.00166","http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0001497356&site=ehost-live&scope=site","Review of Raboteau, Albert J. Canaan Land: a religious history of African Americans. Publisher: New York : Oxford Univ Pr, 2001.","2003-02","2022-05-17 22:59:18","2022-05-18 20:16:23","2022-05-17 22:59:18","119-121","","1","27","","","Canaan Land","","","","","","","","","","","","EBSCOhost","","Place: New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EZ6PPFFB","bookSection","2002","Baldwin, Lewis V","'Deliverance to the captives': images of Jesus Christ in the slave community: Reading communities, reading scripture","Reading communities, reading scripture","978-1-56338-369-4","","","","","2002","2022-05-18 19:36:35","2022-05-18 19:36:52","","235-248","","","","","","'Deliverance to the captives'","","","","","Trinity Press International","Harrisburg, Pa.","","","","","","EBSCOhost","","","","","http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0001363408&site=ehost-live&scope=site&scope=cite","","Jesus Christ; United States; Festschriften; Slavery; Folk music and songs -- Spirituals; Missions to African Americans","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FP5UH2SK","journalArticle","2000","Baldwin, Lewis V","Review of Social protest thought in the African Methodist Episcopal Church, 1862-1939","Journal of Church and State","","0021-969X","","http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0000371335&site=ehost-live&scope=site","Review of Angell, Stephen Ward. Social protest thought in the African Methodist Episcopal Church, 1862-1939. Publisher: Knoxville : Univ of Tennessee Pr, 2000.","2000","2022-05-18 19:42:17","2022-05-18 20:21:44","2022-05-18 19:42:17","589-590","","3","42","","","","","","","","","","","JSTOR 23919759","","","","EBSCOhost","","Place: Knoxville","","C:\Users\bendacp\Zotero\storage\6ZEAX47N\jcs.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RVIZHXY8","journalArticle","2000","Baldwin, Lewis V","Review of I may not get there with you: the true Martin Luther King, Jr","The Christian Century","","0009-5281","","http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0000367902&site=ehost-live&scope=site","Review of Dyson, Michael Eric. I may not get there with you: the true Martin Luther King, Jr. Publisher: New York : Free Pr, 2000.","2000-08-16","2022-05-18 19:48:45","2022-05-18 20:20:15","2022-05-18 19:48:45","838-840","","23","117","","","I may not get there with you","","","","","","","","ProQuest document ID 217221585","","","","EBSCOhost","","Place: New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FCSS2V67","journalArticle","2000","Baldwin, Lewis V","Review of Black faith and public talk: critical essays on James H Cone's Black theology and Black power","The Christian Century","","0009-5281","","http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0000368896&site=ehost-live&scope=site","Review of Hopkins, Dwight N. Black faith and public talk: critical essays on James H Cone's Black theology and Black power. Publisher: Maryknoll, NY : Orbis, 1999.","2000-10-25","2022-05-18 19:54:32","2022-05-18 20:16:09","2022-05-18 19:54:32","1084-1085","","29","117","","","Black faith and public talk","","","","","","","","ProQuest document ID 217216558","","","","EBSCOhost","","Place: Maryknoll, NY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QA4QLBJC","journalArticle","2000","Baldwin, Lewis V","Review of Risks of faith: the emergence of a Black theology of liberation, 1968-1998","The Christian Century","","0009-5281","","http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0000368895&site=ehost-live&scope=site","Review of Cone, James H. Risks of faith: the emergence of a Black theology of liberation, 1968-1998. Publisher: Boston : Beacon Pr, 1999.","2000-10-25","2022-05-18 19:58:40","2022-05-18 20:21:32","2022-05-18 19:58:40","1084-1085","","29","117","","","Risks of faith","","","","","","","","ProQuest document ID 217216558","","","","EBSCOhost","","Place: Boston","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RVTGT9LM","journalArticle","1999","Baldwin, Lewis V","Review of God's long summer: stories of faith and civil rights","Journal of Church and State","","0021-969X","","http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0000343601&site=ehost-live&scope=site","Review of Marsh, Charles. God's long summer: stories of faith and civil rights. Publisher: Princeton, NJ : : Princeton Univ Pr, 1997.","1999","2022-05-18 20:00:28","2022-05-18 20:19:54","2022-05-18 20:00:28","151-152","","1","41","","","God's long summer","","","","","","","","JSTOR 23919638","","","","EBSCOhost","","Place: Princeton, NJ","","C:\Users\bendacp\Zotero\storage\CDNB6XKD\jcs.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KL9XG59N","journalArticle","1998","Baldwin, Lewis V","Review of African-American religion: interpretive essays in history and culture","Theology Today","","0040-5736","10.1177/004057369805400426","http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0000347759&site=ehost-live&scope=site","Review of Fulop, Timothy E. African-American religion: interpretive essays in history and culture. Publisher: New York : Routledge, 1997.","1998-01","2022-05-18 20:03:25","2022-05-18 20:22:56","2022-05-18 20:03:25","554-555","","4","54","","","African-American religion","","","","","","","","","","","","EBSCOhost","","Place: New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J79ZKSSJ","journalArticle","1996","Baldwin, Lewis V","Review of The preacher king: Martin Luther King, Jr, and the word that moved America","Church History","","0009-6407","10.2307/3170559","http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0000171196&site=ehost-live&scope=site","Review of Lischer, Richard. The preacher king: Martin Luther King, Jr, and the word that moved America. Publisher: [S.l.] : Oxford Univ Pr, 1995.","1996-03","2022-05-18 20:07:27","2022-05-18 20:22:36","2022-05-18 20:07:27","147-149","","1","65","","","The preacher king","","","","","","","","","","","","EBSCOhost","","","","C:\Users\bendacp\Zotero\storage\4IK2GQ36\church-history.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TRP4HLU4","journalArticle","1996","Baldwin, Lewis V","Review of Songs of Zion: the African Methodist Episcopal Church in the United States and South Africa","Fides et historia","","0884-5379","","http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0000331408&site=ehost-live&scope=site","Review of Campbell, James T. Songs of Zion: the African Methodist Episcopal Church in the United States and South Africa. Publisher: [S.l.] : Oxford Univ Pr, 1995.","1996","2022-05-18 20:10:46","2022-05-18 20:21:55","2022-05-18 20:10:46","102-103","","2","28","","","Songs of Zion","","","","","","","","","","","","EBSCOhost","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WSJGHTJK","journalArticle","1996","Baldwin, Lewis V","Review of A fire in the bones: reflections on African-American religious history","Theology Today","","0040-5736","10.1177/004057369605300222","http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0000319123&site=ehost-live&scope=site","Review of Raboteau, Albert J. A fire in the bones: reflections on African-American religious history. Publisher: Boston : Beacon Pr, 1995.","1996-07","2022-05-18 20:12:45","2022-05-18 20:15:32","2022-05-18 20:12:45","246-248","","2","53","","","A fire in the bones","","","","","","","","","","","","EBSCOhost","","Place: Boston","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"93PQ7W5A","journalArticle","1995","Baldwin, Lewis V","Review of Church People in the Struggle: The National Council of Churches and the Black Freedom Movement, 1950-1970","Church History","","0009-6407","10.2307/3168706","http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0000296064&site=ehost-live&scope=site","Review of Findlay, James F, Jr. Church People in the Struggle: The National Council of Churches and the Black Freedom Movement, 1950-1970. Publisher: New York : Oxford Univ Pr, 1993.","1995-03","2022-05-18 20:30:11","2022-05-18 20:31:43","2022-05-18 20:30:11","148-149","","1","64","","","Church People in the Struggle","","","","","","","","","","","","EBSCOhost","","Place: New York","","C:\Users\bendacp\Zotero\storage\EQQZQDEN\church-history.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P5FKLPNJ","journalArticle","1995","Baldwin, Lewis V","Review of The Rise of Gospel Blues: The Music of Thomas Andrew Dorsey in the Urban Church","Church History","","0009-6407","10.2307/3168904","http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0000308643&site=ehost-live&scope=site","","1995-12","2022-05-18 20:33:25","2022-05-18 20:34:28","2022-05-18 20:33:25","717-718","","4","64","","","The Rise of Gospel Blues","","","","","","","","","","","","EBSCOhost","","Place: New York","","C:\Users\bendacp\Zotero\storage\9T5C39BU\church-history.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YJ2SBJRX","journalArticle","1995","Baldwin, Lewis V","Review of Mysticism and Social Change: The Social Witness of Howard Thurman","Church History","","0009-6407","10.2307/3168910","http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0000308649&site=ehost-live&scope=site","","1995-12","2022-05-18 20:35:40","2022-05-18 20:36:20","2022-05-18 20:35:40","724-726","","4","64","","","Mysticism and Social Change","","","","","","","","","","","","EBSCOhost","","Place: New York","","C:\Users\bendacp\Zotero\storage\T49SIKIE\church-history.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J2ZZRR5W","journalArticle","1991","Baldwin, Lewis V","Review of West African Christianity","Dialogue & Alliance","","0891-5881","","http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0000616361&site=ehost-live&scope=site","Review of Sanneh, Lamin O (Lamin Ousman). West African Christianity. Publisher: [S.l.] : Orbis Bks, 1983.","1991","2022-05-18 20:38:13","2022-05-18 20:38:24","2022-05-18 20:38:13","123-125","","4","5","","","","","","","","","","","","","","","EBSCOhost","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TCSLDILF","journalArticle","1992","Baldwin, Lewis V","Review of Martin and Malcolm and America: A Dream or a Nightmare","Theology Today","","0040-5736","10.1177/004057369204800419","http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0000620449&site=ehost-live&scope=site","Review of Cone, James H. Martin and Malcolm and America: A Dream or a Nightmare. Publisher: Maryknoll, NY : Orbis Bks, 1991.","1992-01","2022-05-18 20:41:17","2022-05-18 20:42:41","2022-05-18 20:41:17","468-469","","4","48","","","Martin and Malcolm and America","","","","","","","","","","","","EBSCOhost","","Place: Maryknoll, NY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7DPFGP2J","journalArticle","1992","Baldwin, Lewis V","Martin and Malcolm and America: A Dream or a Nightmare","Word & World","","0275-5270","","http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0000620450&site=ehost-live&scope=site","","1992","2022-05-18 20:44:07","2022-05-18 20:44:07","2022-05-18 20:44:07","298","","3","12","","","Martin and Malcolm and America","","","","","","","","","","","","EBSCOhost","","Place: Maryknoll, NY","","C:\Users\bendacp\Zotero\storage\6KXH3IS7\DisplayWebError2.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LLAIQVNP","bookSection","1991","Baldwin, Lewis V","'Let us break bread together': Martin Luther King, Jr, and the Black church in the South, 1954-1968","Cultural perspectives on the American South","978-2-88124-394-3","","","","","1991","2022-05-18 20:45:28","2022-05-18 20:45:50","","119-142","","","","","","'Let us break bread together'","","","","","Gordon & Breach","New York","","","","","","EBSCOhost","","","","","http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0001182448&site=ehost-live&scope=site&scope=cite","","African American churches; African American clergy; King, Martin Luther,   Jr        , 1929-1968; African Americans -- Civil rights","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V6X6KFNQ","journalArticle","1990","Baldwin, Lewis V","The vision of Martin Luther King, Jr, and the apartheid system in South Africa","Journal of Religious Studies","","0193-3604","","","","1990","2022-05-18 20:50:04","2022-05-18 20:50:04","","22-45","","1-2","16","","","","","","","","","","","","","","","EBSCOhost","","","","","http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0000831176&site=ehost-live&scope=site&scope=cite","","South Africa; Race relations; King, Martin Luther,   Jr        , 1929-1968; African Americans -- Civil rights; Nonviolence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
