act,comment
57313, Low similarity ratio: 70 between ACT name: Lucas Cranach and Commons name: Werkstatt Lucas Cranachs (
56074, Low similarity ratio: 71 between ACT name: Master of the Catholic Kings and Commons name: Master of the Retablo of the Reyes Catolicos
57255, Low similarity ratio: 72 between ACT name: Johannes van Bronckhorst and Commons name: Johannes Bronkhorst (1648 - 1727)
58619, Low similarity ratio: 72 between ACT name: Julius Schnorr von Carolsfeld and Commons name: Юлиус Шнор (Julius Schnorr)
55317, Low similarity ratio: 72 between ACT name: Pieter Bruegel and Commons name: Pieter Brueghel the Elder
56786, Low similarity ratio: 73 between ACT name: 1528-1588 Veronese and Commons name: Paolo Veronese
58690, Low similarity ratio: 73 between ACT name: 1528-1588 Veronese and Commons name: Paolo Veronese
57789, Low similarity ratio: 73 between ACT name: Friedrich Karl Hermann von Uhde and Commons name: Fritz von Uhde
58845, Low similarity ratio: 74 between ACT name: Hugh Mesibov and Commons name: Deborah Mesibov
56196," Low similarity ratio: 76 between ACT name: Dirk and Wouter Crabeth Crabeth and Commons name: Wouter Crabeth (Gouda), 1562, from his own design"
55208, Low similarity ratio: 77 between ACT name: Niccolò di Pietro Gerini and Commons name: Nicolo di Pietro
58314, Low similarity ratio: 77 between ACT name: Thomas von Gebhardt and Commons name: Eduard von Gebhardt
55993, Low similarity ratio: 78 between ACT name: Thomas John Thomson and Commons name: Tom Thomson
48720, Low similarity ratio: 80 between ACT name: Hubert van Eyck and Commons name: Jan van Eyck
48721, Low similarity ratio: 80 between ACT name: Hubert van Eyck and Commons name: Jan van Eyck
48724, Low similarity ratio: 80 between ACT name: Hubert van Eyck and Commons name: Jan van Eyck
48729, Low similarity ratio: 80 between ACT name: Hubert van Eyck and Commons name: Jan van Eyck
49620, Low similarity ratio: 80 between ACT name: Hubert van Eyck and Commons name: Jan van Eyck
55878, Low similarity ratio: 83 between ACT name: Everhard (possibly) and Gerhard Remisch Rensig and Commons name: Everhard  – maker Rensig
57600, Low similarity ratio: 84 between ACT name: Leopold Layer workshop and Commons name: Workshop of
54749, Low similarity ratio: 88 between ACT name: Bernardo Martorell and Commons name: Bernat Martorell
46304, Low similarity ratio: 9 between ACT name: Albrecht Dürer and Commons name: Possibly
57072, Low similarity ratio: 9 between ACT name: Elmelunde Master and Commons name: Ipigott
57766, Low similarity ratio: 9 between ACT name: Judy Sutcliffe and Commons name: brewbooks
55118, Low similarity ratio: 93 between ACT name: Matthias Stomer and Commons name: Matthias Stom
