qid,type,label,object_description,form_description,design_description,includes
Q102964907,work of art,"Fan Case, with Netsuke (Toggle) in the Form of a Drinking Gourd with an Ivory Screw-Cap","Fan Case, with Netsuke (Toggle)",a Drinking Gourd with an Ivory Screw-Cap,,
Q102964914,ceramics,Fan shaped blue and white glazed dish (kutani ware),Fan shaped blue and white glazed dish (kutani ware),,,
Q102964920,work of art,Fan shaped box with family crest (mon) of three bamboo shoots,Fan shaped box,,,family crest (mon) of three bamboo shoots
Q103299758,ceramics,Fang Hu (storage jar with lid),Fang Hu (storage jar,,,lid)
Q102964946,sculpture,Female Dancer,Female Dancer,,,
Q103299765,ceramics,Female deity,Female deity,,,
Q102964952,ceramics,Female figure with scars from pierced cheeks,Female figure,,,scars from pierced cheeks
Q103299779,sculpture,Female Figure,Female Figure,,,
Q103299793,ceramics,Female figure with chevron design on chest,Female figure,,,chevron design on chest
Q104031968,ceramics,Female figure with child,Female figure,,,child
Q104031969,ceramics,Female figure with child,Female figure,,,child
Q103299785,ceramics,Female figure in ceremonial costume with baby on hip,Female figure in ceremonial costume,,,baby on hip
Q102964958,ceramics,Female funerary figure,Female funerary figure,,,
Q104031970,ceramics,Female funerary figure,Female funerary figure,,,
Q104031972,ceramics,Female funerary figure,Female funerary figure,,,
Q106568533,mask,Female Mask,Female Mask,,,
Q103299804,ceramics,Female standing figurine,Female standing figurine,,,
Q102965023,ceramics,Figure,Figure,,,
Q103299937,ceramics,Figure with child in relief,Figure,,,child in relief
Q103299949,sculpture,Figure with folded hands,Figure,,,folded hands
Q103299954,ceramics,Figure with one hand on chest,Figure,,,one hand on chest
Q103299963,ceramics,Figure with transverse crown,Figure,,,transverse crown
Q104031974,ceramics,Figure,Figure,,,
Q104031976,ceramics,Figure,Figure,,,
Q104031977,ceramics,Figure,Figure,,,
Q104031978,ceramics,Figure,Figure,,,
Q104031979,sculpture,Figure,Figure,,,
Q104031980,sculpture,Figure,Figure,,,
Q104031983,ceramics,Figure with slit-like eyes,Figure,,,slit-like eyes
Q104031984,ceramics,Figure with slit-like eyes,Figure,,,slit-like eyes
Q104031985,ceramics,Figure with slit-like eyes,Figure,,,slit-like eyes
Q103299877,ceramics,Figure (boy with bird),Figure (boy,,,bird)
Q103299887,ceramics,Figure fragment,Figure fragment,,,
Q105091789,sculpture,Figure in Aura,Figure in Aura,,,
Q103299898,sculpture,Figure of a squatting flute player,Figure of a squatting flute player,,,
Q103299919,sculpture,"Figure of Wei-t'o (Viharapala), Protector of Law","Figure of Wei-t'o (Viharapala), Protector of Law",,,
Q103299925,ceramics,Figure vessel,Figure vessel,,,
Q104031986,sculpture,Figurine,Figurine,,,
Q104031987,sculpture,Figurine,Figurine,,,
Q106568536,sculpture,Figurine,Figurine,,,
Q102965076,ceramics,Figurine of Daruma (Sanskrit: Bodhidharma),Figurine of Daruma (Sanskrit: Bodhidharma),,,
Q103299974,work of art,Finial with a design of a standing figure flanked by two serpents,Finial,,of a standing figure flanked by two serpents,
Q103299969,sculpture,Finial of goats,Finial of goats,,,
Q103299988,ceramics,Fish with pattern scales,Fish,,,pattern scales
Q103299999,work of art,Fish-Shaped Hook Adjustor,Fish-Shaped Hook Adjustor,,,
Q102965128,ceramics,Flared bowl with red designs,Flared bowl,,,red designs
Q103300016,ceramics,Flaring bowl with human face,Flaring bowl,,,human face
Q102965138,ceramics,Flat bowl with four bulging legs,Flat bowl,,,four bulging legs
Q106568541,work of art,"Flat Magic, temporarily entitled Cloretta","Flat Magic, temporarily entitled Cloretta",,,
Q106568543,utensil,Flat stone artifact,Flat stone artifact,,,
Q103300023,ceramics,"Flat-bottomed vase, iridescent blue","Flat-bottomed vase, iridescent blue",,,
Q106568546,container,Flat-sided decorative jug,Flat-sided decorative jug,,,
Q103300032,sculpture,"Flat, carved piece of wood","Flat, carved piece of wood",,,
Q104031993,work of art,Flower basket,Flower basket,,,
Q104031994,work of art,Flower basket,Flower basket,,,
Q106568553,container,Flower shaped cup with a design of birds and scrolling vines,Flower shaped cup,,of birds and scrolling vines,
Q105091797,ceramics,Flower Vase (bizen ware),Flower Vase (bizen ware),,,
Q106582673,musical instrument,Flute from Kilikis,Flute from Kilikis,,,
Q104031995,work of art,Folding fan,Folding fan,,,
Q104031996,work of art,Folding fan,Folding fan,,,
Q104031997,work of art,Folding fan,Folding fan,,,
Q104031998,work of art,Folding fan,Folding fan,,,
Q104031999,work of art,Folding fan,Folding fan,,,
Q102965236,ceramics,Footed bowl,Footed bowl,,,
Q103300095,sculpture,Footed bowl with dragon handle,Footed bowl,,,dragon handle
Q102965249,ceramics,"Footed dish with a design of flowers, fruit, and bats",Footed dish,,"of flowers, fruit, and bats",
Q102965242,ceramics,Footed dish (Imari ware),Footed dish (Imari ware),,,
Q102965259,ceramics,Footed gourd vase,Footed gourd vase,,,
Q102965265,ceramics,Footed leaf shaped dish with temmoku glaze,Footed leaf shaped dish,,,temmoku glaze
Q103300116,textile,Forest Scene,Forest Scene,,,
Q104032000,ceramics,"Four sided, melon shaped scroll weight with a design in blue underglaze of flowers","Four sided, melon shaped scroll weight",,in blue underglaze of flowers,
Q104032001,ceramics,"Four sided, melon shaped scroll weight with a design in blue underglaze of flowers","Four sided, melon shaped scroll weight",,in blue underglaze of flowers,
Q103300164,sculpture,Four-faced crest,Four-faced crest,,,
Q103300185,sculpture,Fragment of a sculpture with elephant head and trunk,Fragment of a sculpture,,,elephant head and trunk
Q103300178,sculpture,Fragment of a sculpture of a male figure,Fragment of a sculpture of a male figure,,,
Q103300192,ceramics,Fragment of Attic Black Figure,Fragment of Attic Black Figure,,,
Q103300226,work of art,Frog pendant,Frog pendant,,,
Q102965356,ceramics,Frog-leg bowl,Frog-leg bowl,,,
Q102965558,work of art,Fuchi (Sword Handle Ferrule) with a Design of a Chinese-Style Building and Landscape with a Figure and a Flag,Fuchi (Sword Handle Ferrule),,of a Chinese-Style Building and Landscape with a Figure and a Flag,
Q102965564,work of art,Fuchi (Sword Handle Ferrule) with a Design of a Flying Goose and Bamboo,Fuchi (Sword Handle Ferrule),,of a Flying Goose and Bamboo,
Q102965569,work of art,Fuchi (Sword Handle Ferrule) with a Design of a Man with a Three-Legged Toad,Fuchi (Sword Handle Ferrule),,of a Man with a Three-Legged Toad,
Q102965582,work of art,Fuchi (Sword Handle Ferrule) with a Design of a Tree and Fireflies,Fuchi (Sword Handle Ferrule),,of a Tree and Fireflies,
Q102965590,work of art,Fuchi (Sword Handle Ferrule) with a Design of Cherry Blossoms,Fuchi (Sword Handle Ferrule),,of Cherry Blossoms,
Q102965596,work of art,Fuchi (Sword Handle Ferrule) with a Design of Chrysanthemums,Fuchi (Sword Handle Ferrule),,of Chrysanthemums,
Q102965602,work of art,Fuchi (Sword Handle Ferrule) with a Design of Fish,Fuchi (Sword Handle Ferrule),,of Fish,
Q103300248,ceramics,Funerary figure with ceremonial headdress,Funerary figure,,,ceremonial headdress
Q102965613,ceramics,Funerary figure in shape of a male head,Funerary figure in shape of a male head,,,
Q103300253,ceramics,Funnel-necked vase,Funnel-necked vase,,,
Q103300259,textile,Furashiki with a design of the character kotobuki,Furashiki,,of the character kotobuki,
Q102965617,textile,Furoshiki with a design of a triple arched bridge and a gate to a Shinto Shrine,Furoshiki,,of a triple arched bridge and a gate to a Shinto Shrine,
Q103300269,textile,Furoshiki with a design of a Buddhist temple gate and two flying angels,Furoshiki,,of a Buddhist temple gate and two flying angels,
Q103300281,textile,Furoshiki with a design of flying cranes on red background,Furoshiki,,of flying cranes on red background,
Q103300290,textile,Furoshiki with a design of four sections of landscapes,Furoshiki,,of four sections of landscapes,
Q103300296,textile,Furoshiki with a design of nine roundels,Furoshiki,,of nine roundels,
Q103300310,textile,Furoshiki with a design of three flying cranes against a red sun,Furoshiki,,of three flying cranes against a red sun,
Q102965623,textile,"Furoshiki wrapping cloth with a design of good luck symbols and 100 characters meaning ""good luck""",Furoshiki wrapping cloth,,"of good luck symbols and 100 characters meaning ""good luck""",
Q102965635,ceramics,Futami-ga-ura teapot with a design of a square coin on the lid with matte finish,Futami-ga-ura teapot,,of a square coin on the lid with matte finish,
Q102965641,ceramics,Futami-ga-ura teapot with an abstract design of trees  incised on the sides,Futami-ga-ura teapot,,,an abstract design of trees  incised on the sides
Q103300412,ceramics,Gambler's Netsuke with Dragon Design,Gambler's Netsuke,,,Dragon Design
Q102965677,sculpture,Ge halberd with a design in relief of a bird grasping a snake and cloud patterns,Ge halberd,,in relief of a bird grasping a snake and cloud patterns,
Q102965684,sculpture,Ge halberd with a design of a tiger and clouds,Ge halberd,,of a tiger and clouds,
Q103300455,work of art,Gelede cult mask,Gelede cult mask,,,
Q106568561,compass,Geomancer's compass,Geomancer's compass,,,
Q106582674,work of art,George Peabody plate,George Peabody plate,,,
Q102965690,work of art,"Gilded carved wood panel with a design of two deer, bird and trees",Gilded carved wood panel,,"of two deer, bird and trees",
Q103300516,sculpture,Gilded head of a Buddha,Gilded head of a Buddha,,,
Q102965697,ceramics,"Ginger jar with lid with design in blue underglaze of character for double happiness, flowers and tendrils",Ginger jar with lid,,"in blue underglaze of character for double happiness, flowers and tendrils",
Q102965703,ceramics,Ginko leaf-shaped dish (Kyo-Yaki ware),Ginko leaf-shaped dish (Kyo-Yaki ware),,,
Q102965725,textile,"Girl's beaded apron with orange, green, and blue geometric patterns",Girl's beaded apron,,,"orange, green, and blue geometric patterns"
Q102965731,textile,"Girl's beaded apron with red, yellow and blue geometric patterns",Girl's beaded apron,,,"red, yellow and blue geometric patterns"
Q103300595,work of art,Glass Vase,Glass Vase,,,
Q102965737,ceramics,Glazed ceramic dish with a design of an eggplant (Mashiko ware),Glazed ceramic dish,,of an eggplant (Mashiko ware),
Q102965741,ceramics,Glazed ceramic ewer in the form of a duck (Sawankhalok ware),Glazed ceramic ewer,a duck (Sawankhalok ware),,
Q102965746,ceramics,Glazed ceramic pitcher with brown spots,Glazed ceramic pitcher,,,brown spots
Q103300606,ceramics,Glazed cup with blue and white design of a sparrow and peonies,Glazed cup,,,blue and white design of a sparrow and peonies
Q102965751,ceramics,Glazed dish,Glazed dish,,,
Q102965758,ceramics,Glazed figurine of two ducks neck to neck,Glazed figurine of two ducks neck to neck,,,
Q102965763,ceramics,Glazed grey jar with cylindrical neck,Glazed grey jar,,,cylindrical neck
Q102965771,ceramics,"Glazed jar with lid and painted design of stylized, abstract motifs",Glazed jar,,,"lid and painted design of stylized, abstract motifs"
Q103300617,ceramics,Glazed teardrop shaped weight,Glazed teardrop shaped weight,,,
Q103300627,ceramics,Globular cup with a lotus petal design,Globular cup,,,a lotus petal design
Q102965780,ceramics,Globular ginger jar,Globular ginger jar,,,
Q102965783,ceramics,Globular jar with a petal design,Globular jar,,,a petal design
Q102965788,ceramics,Globular storage jar,Globular storage jar,,,
Q102965798,ceramics,Globular storage jar with brown drip glaze,Globular storage jar,,,brown drip glaze
Q103300639,ceramics,Globular Storage Jar,Globular Storage Jar,,,
Q103300655,ceramics,Goddess with Headdress,Goddess,,,Headdress
Q103300683,sculpture,Gothic carved wood panel,Gothic carved wood panel,,,
Q106582675,ceramics,"Gourd Shaped Vase with design of 2 figures viewing scroll in garden, and morning glories, patterned flowers, and lotus motif at base (Kutani ware)",Gourd Shaped Vase,,"of 2 figures viewing scroll in garden, and morning glories, patterned flowers, and lotus motif at base (Kutani ware)",
Q102965829,ceramics,Gourd-shaped vase with a design in blue underglaze of two dragons,Gourd-shaped vase,,in blue underglaze of two dragons,
Q106582676,work of art,Green bottle,Green bottle,,,
Q106582678,work of art,Green bottle,Green bottle,,,
Q106582679,work of art,Green bottle,Green bottle,,,
Q106582680,work of art,Green bottle,Green bottle,,,
Q106582681,work of art,Green bottle,Green bottle,,,
Q102965841,work of art,Green bowl with encrustations,Green bowl,,,encrustations
Q106582682,work of art,Green brown bottle,Green brown bottle,,,
Q106582683,work of art,Green glass bottle,Green glass bottle,,,
Q102965859,work of art,Green jade dish,Green jade dish,,,
Q106568564,mask,Green Mask,Green Mask,,,
Q103300715,ceramics,Green vase with design of flowers and abstract patterning,Green vase,,of flowers and abstract patterning,
Q103300728,ceramics,Guardian figure,Guardian figure,,,
Q102965876,ceramics,Hagi ware beaker with crackle glaze,Hagi ware beaker,,,crackle glaze
Q102965882,ceramics,Hagi ware bottle vase,Hagi ware bottle vase,,,
Q102965887,ceramics,Hagi ware bowl with fishnet design,Hagi ware bowl,,,fishnet design
Q102965898,ceramics,Hagi ware chawan (tea bowl),Hagi ware chawan (tea bowl),,,
Q102965905,ceramics,Hagi ware cup,Hagi ware cup,,,
Q102965912,work of art,Hair comb with Indian and European figures,Hair comb,,,Indian and European figures
Q103300773,work of art,Hair oil bottle with design in blue underglaze of samisen plectrum and six Chinese good luck symbols,Hair oil bottle,,in blue underglaze of samisen plectrum and six Chinese good luck symbols,
Q103300860,sculpture,Half-Figure Prophet,Half-Figure Prophet,,,
Q103300865,work of art,Hand mirror with flowers and birds,Hand mirror,,,flowers and birds
Q106582684,work of art,Hand mirror with a lotus design on back,Hand mirror,,,a lotus design on back
Q105091848,work of art,Handle-less mug,Handle-less mug,,,
Q102965951,work of art,Handling Stone in the shape of a pomegranate branch with mature and immature fruit and blossom,Handling Stone,a pomegranate branch with mature and immature fruit and blossom,,
Q102965977,ceramics,Handwarmer with design of flowers (kyo-yaki ware),Handwarmer,,of flowers (kyo-yaki ware),
Q102965988,ceramics,Hanging vase with incised abstract design,Hanging vase,,,incised abstract design
Q103301027,ceramics,Head with beard and headdress,Head,,,beard and headdress
Q103300930,ceramics,Head and torso from figure,Head and torso from figure,,,
Q103300937,ceramics,Head from a large figure,Head from a large figure,,,
Q103300943,ceramics,Head from figure,Head from figure,,,
Q103300976,sculpture,Head of a boy,Head of a boy,,,
Q103300998,sculpture,Head of a Hindu Temple Guardian,Head of a Hindu Temple Guardian,,,
Q106582685,sculpture,"Head of a Maenad, (from an antefix)","Head of a Maenad, (from an antefix)",,,
Q103301002,ceramics,Head of a warrior funerary figure,Head of a warrior funerary figure,,,
Q102315787,sculpture,Head of a Young Girl or a Goddess,Head of a Young Girl or a Goddess,,,
Q105091852,sculpture,Head of Avery Handly,Head of Avery Handly,,,
Q102966050,sculpture,Head of Buddha,Head of Buddha,,,
Q104032075,sculpture,Head of Buddha,Head of Buddha,,,
Q102966055,sculpture,Head of John the Baptist,Head of John the Baptist,,,
Q105095990,sculpture,Head of Venus Italica,Head of Venus Italica,,,
Q103301018,work of art,Head to a cane or staff,Head to a cane or staff,,,
Q103301037,work of art,Headrest,Headrest,,,
Q103301070,sculpture,Heddle pulley in the shape of a carved figure,Heddle pulley,a carved figure,,
Q103301076,sculpture,Heddle pulley with carved head,Heddle pulley,,,carved head
Q103301082,sculpture,"Heddle pulley, carved figure with ""x"" design on cheeks","Heddle pulley, carved figure",,,"""x"" design on cheeks"
Q103301089,sculpture,"Heddle pulley, carved figure with horns","Heddle pulley, carved figure",,,horns
Q103301096,sculpture,Helmet or Cap Mask of the Gelede Society in the Yoruba Tribe,Helmet or Cap Mask of the Gelede Society in the Yoruba Tribe,,,
Q102966116,work of art,Hexagonal Censer with a Floral Design and Chain,Hexagonal Censer,,,a Floral Design and Chain
Q103301141,work of art,Hexagonal Incense Burner  with Floral Motifs on Background Meander Pattern,Hexagonal Incense Burner,,,Floral Motifs on Background Meander Pattern
Q102966121,sculpture,Hexagonal Seal Ink Box with a Butterfly Family Crest on the Lid,Hexagonal Seal Ink Box,,,a Butterfly Family Crest on the Lid
Q103301149,ceramics,Hexagonal Vase with cobalt glaze,Hexagonal Vase,,,cobalt glaze
Q102966127,ceramics,High-footed bowl,High-footed bowl,,,
Q103301180,sculpture,Hindu Deity with a Sword,Hindu Deity,,,a Sword
Q103301173,sculpture,Hindu Deity on Horseback,Hindu Deity on Horseback,,,
Q103301189,sculpture,Hindu Goddess Standing on a Bull,Hindu Goddess Standing on a Bull,,,
Q106568565,plaque,Hohao plaque,Hohao plaque,,,
Q106568621,plaque,Hohao plaque,Hohao plaque,,,
Q103301268,sculpture,Hook Fetish,Hook Fetish,,,
Q106568623,amulet,"Hook Figure, from Near the Karawari River (War and Hunting Amulet (Yipwon))","Hook Figure, from Near the Karawari River (War and Hunting Amulet (Yipwon))",,,
Q104032087,sculpture,Horse,Horse,,,
Q104032088,sculpture,Horse,Horse,,,
Q104032089,sculpture,Horse,Horse,,,
Q102966180,sculpture,Horse and Rider,Horse and Rider,,,
Q104032090,sculpture,Horse and Rider,Horse and Rider,,,
Q103301277,sculpture,Horse Groom,Horse Groom,,,
Q103301289,sculpture,Horus Sarcophagus,Horus Sarcophagus,,,
Q103301295,work of art,Hot water heater and teapot,Hot water heater and teapot,,,
Q103301302,work of art,Hot water heater and teapot with cloisonné insets,Hot water heater and teapot,,,cloisonné insets
Q103301313,ceramics,Human figure,Human figure,,,
Q103301320,ceramics,Human figure with elaborate ornaments,Human figure,,,elaborate ornaments
Q102966229,ceramics,Human head,Human head,,,
Q103301328,ceramics,Human-headed bird,Human-headed bird,,,
Q103301334,ceramics,Hump-backed figure with cap in grey-green glaze,Hump-backed figure,,,cap in grey-green glaze
Q103301349,ceramics,Hunchback figure with one hand raised to the head,Hunchback figure,,,one hand raised to the head
Q103301380,sculpture,"Ibeji twin Figure, one of a pair of twin figures, female","Ibeji twin Figure, one of a pair of twin figures, female",,,
Q103301386,sculpture,"Ibeji twin figure, one of a pair of twin figures, male","Ibeji twin figure, one of a pair of twin figures, male",,,
Q103301411,sculpture,Icon depicting standing priestly figure,Icon,,standing priestly figure,
Q102966251,sculpture,Ida Rubinstein,Ida Rubinstein,,,
Q103301518,sculpture,Imaginary or Dream Scene,Imaginary or Dream Scene,,,
Q102966293,ceramics,Imari ware planter,Imari ware planter,,,
Q103301571,ceramics,Incense burner,Incense burner,,,
Q103301583,work of art,Incense burner,Incense burner,,,
Q106577350,work of art,Incense Burner,Incense Burner,,,
Q102966335,sculpture,Incense burner base with four seated Buddhas with mandorlas,Incense burner base,,,four seated Buddhas with mandorlas
Q102966342,ceramics,Incense container (Kogo) in the form of a mythical beast,Incense container (Kogo),a mythical beast,,
Q102966350,ceramics,Incense container in the shape of a heart  with a design of a woman and a boy and a girl,Incense container in the shape of a heart,,of a woman and a boy and a girl,
Q103301588,ceramics,Incised Fertility Doll,Incised Fertility Doll,,,
Q102966396,work of art,Ink stone with a design of grapes and grape leaf,Ink stone,,of grapes and grape leaf,
Q102966438,work of art,"Inro with a design of a snail and bamboo with a drawstring bead in the form of a double gourd, with bone netsuke with inscription",Inro,,"of a snail and bamboo with a drawstring bead in the form of a double gourd, with bone netsuke with inscription",
Q102966406,work of art,Inro  (Medicine Case) with a Design of Autumn Flowers and Insects,Inro  (Medicine Case),,of Autumn Flowers and Insects,
Q102966413,work of art,"Inro  (Medicine Case) with a Design of Autumn Flowers, an Ojime (Closing Bead), and a Netsuke (Toggle) in the Form of a Noh Mask",Inro  (Medicine Case),,"of Autumn Flowers, an Ojime (Closing Bead), and a Netsuke (Toggle) in the Form of a Noh Mask",
Q102966419,work of art,"Inro  (Medicine Case) with a Design of Boats, Mountains, and Pine Trees-(See Notes)",Inro  (Medicine Case),,"of Boats, Mountains, and Pine Trees-(See Notes)",
Q102966427,work of art,"Inro  (Medicine Case) with a Design of Pine Trees, Ojime (Closing Bead), and Netsuke (Toggle)",Inro  (Medicine Case),,"of Pine Trees, Ojime (Closing Bead), and Netsuke (Toggle)",
Q103301631,sculpture,Inro (medicine container) and netsuke,Inro (medicine container) and netsuke,,,
Q102966433,work of art,Inro (Medicine Container) with a Landscape Design on Both Sides and a Netsuke (Toggle) in the Form of a Man Standing with Right Foot Raised,Inro (Medicine Container) with a Landscape Design on Both Sides and a Netsuke (Toggle),a Man Standing with Right Foot Raised,,
Q103301635,sculpture,"Inro in four compartments with netsuke in the shape of a dog, including an ivory ojime on a silk cord",Inro in four compartments with netsuke,"a dog, including an ivory ojime on a silk cord",,
Q102966443,work of art,Inro with ivory drawstring bead (ojime) and ivory netsuke with a design of a fruit,Inro with ivory drawstring bead (ojime) and ivory netsuke,,of a fruit,
Q102966483,sculpture,Iron Deer,Iron Deer,,,
Q103301713,sculpture,Ivory seal with a design of a reclining elephant,Ivory seal,,of a reclining elephant,
Q103301723,sculpture,Ivory seal with an impression of a seated deity,Ivory seal,,,an impression of a seated deity
Q104032091,sculpture,Ivory seal with a design of a seated deity holding a lotus,Ivory seal,,of a seated deity holding a lotus,
Q104032092,sculpture,Ivory seal with a design of a seated deity holding a lotus,Ivory seal,,of a seated deity holding a lotus,
Q102966554,ceramics,Izumo-yaki ware plate with a flower design in brown and white glazes,Izumo-yaki ware plate,,,a flower design in brown and white glazes
Q103301735,ceramics,Jackal figure,Jackal figure,,,
Q103301740,sculpture,Jade Cong,Jade Cong,,,
Q102966576,work of art,Jade drinking cup,Jade drinking cup,,,
Q106582686,work of art,Jade gourd,Jade gourd,,,
Q106582688,work of art,Jade hairpin with a fish design,Jade hairpin,,,a fish design
Q106582689,work of art,Jade hairpin with a plant design,Jade hairpin,,,a plant design
Q106582690,work of art,"Jade pheasant (one of a pair), with head leaning left","Jade pheasant (one of a pair),",,,head leaning left
Q106582691,work of art,"Jade pheasant (one of a pair), with head leaning right","Jade pheasant (one of a pair),",,,head leaning right
Q102966583,sculpture,Jade sculpture of little boy riding on the back of carp,Jade sculpture of little boy riding on the back of carp,,,
Q102966588,sculpture,"Jade vase with deer, crane, and bat designs",Jade vase,,,"deer, crane, and bat designs"
Q102966595,work of art,Jade wedding drinking cup,Jade wedding drinking cup,,,
Q103301747,work of art,Jade wedding pipe stem,Jade wedding pipe stem,,,
Q106582692,work of art,Jadeite pi (bi) ring with a dragon relief,Jadeite pi (bi) ring,,,a dragon relief
Q102966634,ceramics,Jar,Jar,,,
Q102966639,ceramics,Jar with a raised scroll design at base with celadon glaze,Jar,,,a raised scroll design at base with celadon glaze
Q102966646,ceramics,Jar with jun (white) glaze,Jar,,,jun (white) glaze
Q102966651,ceramics,Jar with ormolu decoration,Jar,,,ormolu decoration
Q102966659,ceramics,Jar with straight neck and two loop handles with eight sets of five vertical ribs,Jar,,,straight neck and two loop handles with eight sets of five vertical ribs
Q102966671,ceramics,Jar with upper body brown glaze,Jar,,,upper body brown glaze
Q103301794,ceramics,Jar with incised spiral designs,Jar,,,incised spiral designs
Q103301806,ceramics,Jar with two loop handles,Jar,,,two loop handles
Q106582693,ceramics,Jar (one of a pair),Jar (one of a pair),,,
Q106582695,ceramics,Jar (one of a pair),Jar (one of a pair),,,
Q102966721,work of art,Jewelry box with inlaid scene from Greek mythology,Jewelry box,,,inlaid scene from Greek mythology
Q102966728,ceramics,Jian ware dark glazed bowl,Jian ware dark glazed bowl,,,
Q106582697,ceramics,Jizhou ware with leaf decoration,Jizhou ware,,,leaf decoration
Q102966735,ceramics,Jizhou ware conical bowl with olive green glaze,Jizhou ware conical bowl,,,olive green glaze
Q102966741,ceramics,Jizhou ware tea bowl with stylized plum blossoms,Jizhou ware tea bowl,,,stylized plum blossoms
Q106582696,ceramics,Jizhou ware tea bowl,Jizhou ware tea bowl,,,
Q104032113,ceramics,Jug,Jug,,,
Q104032116,ceramics,Jug,Jug,,,
Q105095833,ceramics,Jug with blue decoration,Jug,,,blue decoration
Q106582698,ceramics,Jug,Jug,,,
Q106582700,work of art,Jug with one handle with blue decoration,Jug,,,one handle with blue decoration
Q106582702,work of art,"Jug with one handle, blue decoration",Jug,,,"one handle, blue decoration"
Q106582703,ceramics,Jugtown Pottery Grey Pitcher,Jugtown Pottery Grey Pitcher,,,
Q105091884,sculpture,Jumping Men,Jumping Men,,,
Q102966767,ceramics,"Jun ware bowl with brown rim glaze pattern fading to blue on the interior and exterior, with drip pattern on exterior",Jun ware bowl,,,"brown rim glaze pattern fading to blue on the interior and exterior, with drip pattern on exterior"
Q102966793,textile,K'o-ssu tapestry silk roundels depicting flowers in vases,K'o-ssu tapestry silk roundels,,flowers in vases,
Q106566929,ceramics,"Kakiemon ware sauce dish with a design in blue, green and red underglaze of abstract patterns in six circles with gold enamel and an outside border in a design of flowers and tendrils.",Kakiemon ware sauce dish,,"in blue, green and red underglaze of abstract patterns in six circles with gold enamel and an outside border in a design of flowers and tendrils.",
Q106566930,ceramics,"Kakiemon ware sauce dish with a design in blue, green and red underglaze of abstract patterns in six circles with gold enamel and an outside border in a design of flowers and tendrils.",Kakiemon ware sauce dish,,"in blue, green and red underglaze of abstract patterns in six circles with gold enamel and an outside border in a design of flowers and tendrils.",
Q106566931,ceramics,"Kakiemon ware sauce dish with a design in blue, green and red underglaze of abstract patterns in six circles with gold enamel and an outside border in a design of flowers and tendrils.",Kakiemon ware sauce dish,,"in blue, green and red underglaze of abstract patterns in six circles with gold enamel and an outside border in a design of flowers and tendrils.",
Q106566932,ceramics,"Kakiemon ware sauce dish with a design in blue, green and red underglaze of abstract patterns in six circles with gold enamel and an outside border in a design of flowers and tendrils.",Kakiemon ware sauce dish,,"in blue, green and red underglaze of abstract patterns in six circles with gold enamel and an outside border in a design of flowers and tendrils.",
Q102966811,work of art,Kama (cast iron tea kettle) with Paulownia leaves and flower design,Kama (cast iron tea kettle),,,Paulownia leaves and flower design
Q103301934,ceramics,Kangxi ware vase,Kangxi ware vase,,,
Q103301944,work of art,Kanzashi (Woman's Hair Ornament),Kanzashi (Woman's Hair Ornament),,,
Q103301949,work of art,Kanzashi (Woman's hair ornament) with a Design of a Peony on Both Sides,Kanzashi (Woman's hair ornament),,of a Peony on Both Sides,
Q106582707,work of art,Kanzashi (Woman's Hair Ornament) With a Design,Kanzashi (Woman's Hair Ornament),,,
Q106582708,work of art,"Kanzashi (Woman's Hair Ornament) with a Design of a Bridge, Weeping Willow, and Two Bats",Kanzashi (Woman's Hair Ornament),,"of a Bridge, Weeping Willow, and Two Bats",
Q106582710,work of art,"Kanzashi (Woman's Hair Ornament) with a Design of Bamboo Grass, Chrysanthemums, and Cherry Blossoms",Kanzashi (Woman's Hair Ornament),,"of Bamboo Grass, Chrysanthemums, and Cherry Blossoms",
Q106582711,work of art,Kanzashi (Woman's Hair Ornament) with a Design of Chrysanthemums and a Stream,Kanzashi (Woman's Hair Ornament),,of Chrysanthemums and a Stream,
Q106582712,work of art,Kanzashi (Woman's Hair Ornament) with a Design of Flowers,Kanzashi (Woman's Hair Ornament),,of Flowers,
Q106582714,work of art,Kanzashi (Woman's Hair Ornament) with a Design of Scattered Flowers,Kanzashi (Woman's Hair Ornament),,of Scattered Flowers,
Q106582715,work of art,Kanzashi (Woman's Hair Ornament) with a Green Glass Bead,Kanzashi (Woman's Hair Ornament),,,a Green Glass Bead
Q106582716,work of art,Kanzashi (Woman's Hair Ornament) with Abstract Design,Kanzashi (Woman's Hair Ornament),,,Abstract Design
Q106582717,work of art,Kanzashi (Woman's Hair Ornament) with Crystal Tips,Kanzashi (Woman's Hair Ornament),,,Crystal Tips
Q106582719,work of art,Kanzashi (Woman's Hair Ornament) with Multi-Color Pattern,Kanzashi (Woman's Hair Ornament),,,Multi-Color Pattern
Q106582720,work of art,Kanzashi (Woman's Hair Ornament) with Tips Capped in Gold Leaf,Kanzashi (Woman's Hair Ornament),,,Tips Capped in Gold Leaf
Q106582705,work of art,Kanzashi (Woman's Hair Ornament) - Circular Pin with a Chrysanthemum Design,Kanzashi (Woman's Hair Ornament) - Circular Pin,,,a Chrysanthemum Design
Q106582706,work of art,Kanzashi (Woman's Hair Ornament) - Circular Pin with a Design of Flowers and Leaves,Kanzashi (Woman's Hair Ornament) - Circular Pin,,of Flowers and Leaves,
Q102966827,work of art,Kanzashi (Woman's Hair Ornament) (See Notes),Kanzashi (Woman's Hair Ornament) (See Notes),,,
