,accession_number,locale,description,qid,label_en,ratio,partial_ratio,prop,category,type,title
175,2016.003.6,en,east nashville robot works o o 0 111 14 32/47 m matial esprit hooper 16,Q105092142,tafty [east nashville robot works],50,76,0.658,,poster,Tafty [East Nashville Robot Works]
176,2004.078,en,pring care,Q103308599,sixth morning camp,50,70,0.714,,poster,Sixth Morning Camp
177,2005.038,en,the ark of hove 55/100 lo eichenberg fritz eichenberg,Q103309533,"the ark of love, from ""fables with a twist""",50,53,0.943,,print,"The Ark of Love, from ""Fables with a Twist"""
178,2016.005.03,en,kathni 115 the best laid plans the best the best laid plans,Q105095876,the best laid plans,49,100,0.49,,poster,The Best Laid Plans
179,2016.005.17,en,inform ational meeting certificate in book arts sept. 5:30 30 315 art &design making paper applecider: candycorn letter press book & binding,Q103301615,informational meeting: certificate in book arts,49,98,0.5,,poster,Informational Meeting: Certificate in Book Arts
180,2000.102,en,6th annual back to school bash saturday —july 31- hchs track infield hawesville elementary 8:30 & 11:30 south hancock 10:00 free school supplies & dental exams for more information call: 502-927-8176 ,Q105091567,"6th annual back to school bash - saturday july 31, hchs track infield",49,96,0.51,,poster,"6th Annual Back to School Bash - Saturday July 31, HCHS Track Infield"
181,2001.039,en,**************** pushin daisi appearing live o www.peculiarred.com/pushindaisies ,Q105092063,pushin' daisies appearing live,49,90,0.544,,poster,Pushin' Daisies Appearing Live
182,2001.083,en,something to crow about courageous опти chicken records presents * jason ringenberg new com a pocketful of soul  appearing at nashville's youngest legend free ,Q105091718,courageous chicken records presents jason ringenberg,49,87,0.563,,poster,Courageous Chicken Records Presents Jason Ringenberg
183,2005.037,en,eichenberg. olo d a and his strength went from itim fritz zirbenber 179/200,Q103296857,"and his strength went from him, from ""ten wood engravings for the old testament""",49,51,0.961,,poster,"And His Strength Went From Him, from ""Ten Wood Engravings for the Old Testament"""
184,2016.005.09,en,this is your brain 3 this is your brain on books the mkimberly press mare bhrker 2015,Q105095878,this is your brain on books,48,100,0.48,,poster,This is Your Brain on Books
185,2017.001.055,en,steppenwolf vaadata way :: eichenbe,Q102973388,steppenwolf,48,100,0.48,,print,Steppenwolf
186,2001.097,en,appearing live br5-49 with special guest  smilin' biff henderson ,Q105091615,appearing live: br5-49,48,95,0.505,,poster,Appearing Live: BR5-49
187,2001.155,en,futures of those who make it: revolutionary speculations keynote speakers: thomas frank and barbara foley dauer hall march 30- aprili web address www.english.ufl.edu/mrg ,Q105092176,the future of those who make it: revolutionary speculations,48,93,0.516,,poster,The Future of those who make it: Revolutionary Speculations
188,2001.130,en,george clinton & parliament/ funkadelic 200 thursday feb 15 9:00pm housfop blues 225 decatur street new orleans la ,Q105091826,george clinton and parliament/funkadelic,48,92,0.522,,poster,George Clinton and Parliament/Funkadelic
189,2001.128,en,duncan may co release cd how 3rd&lindsley july 25 7-9pm www.duncanmay.com ,Q105091753,duncan may: cd release show,48,85,0.565,,poster,Duncan May: CD release show
190,2004.041,en,"3/10 ""sand & smoke richards '02.",Q106568674,sand and smoke,48,79,0.608,,print,Sand and Smoke
191,1966.011,en,perga 밥 awall,Q102969695,pergamon,48,62,0.774,,print,Pergamon
192,2000.092,en,"coming soon walrus  featuring: bill etten, kim french, mike mckelvy & randy tessier with russ ross, randy seppala in concert shamrock i village pub fri. sat. 30 31 july july 8:30 pm 9:30 pm p",Q105091708,"coming soon - walrus - in concert, the shamrock - fri. july 30, the village pub - sat. july 31",48,59,0.814,,poster,"Coming Soon - Walrus - In Concert, The Shamrock - Fri. July 30, The Village Pub - Sat. July 31"
193,1999.153,en,9 the blue heelers n wednesdays at blue 1719 west end avenue copyright 1008 ,Q105092046,"poster for the blue heelers at blue, nashville, tennessee",48,54,0.889,,poster,"Poster for The Blue Heelers at Blue, Nashville, Tennessee"
194,2001.009,en,hey boneheads! bone pony live 3rd & lindsley jan.29-30 tel. 259-9891 for info. hatoh show print,Q103301161,hey boneheads! bone pony live,47,100,0.47,,poster,Hey Boneheads! Bone Pony Live
195,2001.016,en,bomber records presents dispatch b m appearing at: rer o for info-1.800.772.2420 www.dispatchmusic.com ,Q105091669,bomber records presents dispatch,47,100,0.47,,poster,Bomber Records presents Dispatch
196,2001.067,en,"proud larry's presents an evening with bluegrass legend the del mccoury band 2000 dec.7 proudlarry's showtime-10pm tickets-$12 2 1 1 s.lamar blvd oxford, ms tickets available at proud larry's 662.236.0050 or at uncle buck's records 662.234.7744 ",Q105092060,proud larry's presents an evening with bluegrass legend the del mccoury band,47,100,0.47,,poster,Proud Larry's Presents an Evening with Bluegrass Legend The Del McCoury Band
197,2016.005.08,en,"des moines film society presents premiere event #3 10/150 iiii alloy orchestra live with fritz lang's sci-fi masterpiece the complete metropolis september 17, 2015 at hoyt sherman place cau",Q105091736,des moines film society presents premiere event: metropolis,47,83,0.566,,poster,Des Moines Film Society Presents Premiere Event: Metropolis
198,2000.040,en,in concert the allman brothers band **** with special guest нот tuna july 4th first american music center ,Q105092156,the allman brothers band in concert,47,77,0.61,,poster,The Allman Brothers Band In concert
199,2001.181,en,in person tin town recording artists starline rhythm boys stars of stage tv radio  # ,Q103310140,the starline rhythm boys in person,47,76,0.618,,poster,The Starline Rhythm Boys in Person
200,2000.091,en,higher ground concerts and rock 93.5 present the licorice *tea party+ in concert jump.******* little children with special guests club millenium **** nov. 24 8 p.m. ******* 8 p.m. tickets available now at manifest discs & tapes + 803.798.2606 nov. 24 ,Q105092194,"the licorice tea party, in concert - jump, little children, club millenium - nov. 24",47,70,0.671,,poster,"The Licorice Tea Party, In Concert - Jump, Little Children, Club Millenium - Nov. 24"
201,1976.033,en,the old gym. 455/750 dan questre.,Q105095988,the old gym - vanderbilt fine arts building,47,55,0.855,,print,The Old Gym - Vanderbilt Fine Arts Building
202,2001.021,en,"thursday, march 30 3:30 pm polk place-south building in case of rain: gerrard hall first amendment center funglo by the freedom forum the freedom forum free press. free speech. free spirit. ",Q105091803,"freedom signs - thursday, march 30 - 3:30 pm, first amendment days - a celebration of free speech through music",47,48,0.979,,poster,"Freedom Signs - Thursday, March 30 - 3:30 pm, First Amendment Days - A Celebration of Free Speech Through Music"
203,2005.008,en,my morning jacket eburning brides kit the detachment i at,Q105091980,my morning jacket,46,100,0.46,,poster,My Morning Jacket
204,2001.071,en,ryman auditorium national historic andmark ceremon mond june 25.2001 the mother church was chosen for its individual contribution to the broad scope of american history. ,Q105092080,ryman auditorium: national historic landmark ceremony,46,94,0.489,,poster,Ryman Auditorium: National Historic Landmark Ceremony
205,2001.069,en,"the rakes gini dodds dan israel fingergun friday july 27th 8pm door s5 all ages onla at sursumcorda 319 first avenue, minneapolis ",Q105092209,"the rakes, gini dodds, dan isreal, fingergun",46,91,0.505,,poster,"The Rakes, Gini Dodds, dan Isreal, fingergun"
206,2001.098,en,"* * * * * * flatnessisgod     art, design, process, picture plane theory & x.y the new book by ryan mcginness 원 in stores now or go to www.rsub.com published by razorfish studios & soft skull press k",Q105091793,"flatnessis god: art, design, process, picture plan theory and x,y",46,89,0.517,,poster,"Flatnessis God: Art, Design, Process, Picture Plan Theory and x,y"
207,2001.122,en,"benharper and the new album the innocent criminals sept. 21, 1999 burn to shine * copyright virgin records america, inc. ",Q105091648,ben harper and the innocent criminals,46,76,0.605,,poster,Ben Harper and the Innocent Criminals
208,1979.0724P,en,c 119/210 jenser wnie the ivory coast унец доклитол,Q105092188,the ivory coast,45,100,0.45,,print,The Ivory Coast
209,1993.007,en,sule ifta revout-pe marilyn monroe diamot de cop,Q105091960,marilyn monroe,45,100,0.45,,print,Marilyn Monroe
210,2001.012,en,the grand slam of bluegrass & acoustic music 2000 in live streaming internet audio and video broadcasts merlefest 2000 music in the mountains poppy mountain bluegrass festival greyfox bluegrass festival steve kaufman flatpicking camp traditions denton in advance bluegrass first class world of bluegrass spbgma exclusively on the worldwide web the acoustic box office www.acousticboxoffice.com ,Q105091835,"grand slam of bluegrass and acoustic music 2000, merle fest 2000 - music in the mountains, poppy mountain bluegrass festival",45,73,0.616,,poster,"Grand Slam of Bluegrass and Acoustic Music 2000, Merle Fest 2000 - Music in the Mountains, Poppy Mountain Bluegrass Festival"
211,2012.008bb,en,"""to mars and beyond"" junealts frice !",Q102975221,"to mars and beyond, from american abstract artists 60th anniversary print portfolio",45,65,0.692,,print,"To Mars and Beyond, from American Abstract Artists 60th Anniversary Print Portfolio"
212,2005.039,en,the vain crow 55/100 wan inoxin mmmmm eichenberg fritz eichenburg,Q103310219,"the vain crow, from ""fables with a twist""",45,51,0.882,,print,"The Vain Crow, from ""Fables with a Twist"""
213,2015.037nn,en,"79/140 ha det lflj variation in black-and-white ... d by esphyr slobodring, 1987",Q102976477,"variation in black and white no. 1, from american abstract artists 50th anniversary print portfolio",45,48,0.938,,print,"Variation in Black and White No. 1, from American Abstract Artists 50th Anniversary Print Portfolio"
214,1982.063,en,in orbit g.p. helen gerardia,Q104013539,in orbit,44,100,0.44,,print,In Orbit
215,1998.045,en,d 19 coobsa tm barcelona '92 jocs de la xxva olimpíada barcelona 1992 jeux de la xxve olympiade barcelona 1992 juegos de la xxv olimpíada barcelona 1992 games of the xxv olympiad barcelona 1992 //,Q105091631,barcelona '92:  games of the xxv olympiad barcelona 1992,44,95,0.463,,poster,BARCELONA '92:  Games of the XXV Olympiad Barcelona 1992
216,2000.046,en,see and hear sun. june 6th first american music center ,Q105092092,see and hear seal,44,82,0.537,,poster,See and Hear Seal
217,2000.061,en,"friday october 8 in concert dayton, ohio johnny smoke the ass ponys cash money cincinnati, ohio touch-n-go recording artist chicago, il canal st. tavern dayton, ohio u.s.a. ",Q105091868,"in concert, johnny smoke, the ass ponys, and cash money",44,78,0.564,,poster,"In Concert, Johnny Smoke, The Ass Ponys, and Cash Money"
218,2000.038,en,"live in hebron, maine 10th annual hebron pines bluegrass festival featuring the karl shiflett big country and show direct from the ********** of ********** heart texas may 28-30 bring ******* the ******* entire family ",Q105091665,"bluegrass festival, the karl shiflett and big country show, may 28-30, 1999",44,73,0.603,,poster,"Bluegrass Festival, The Karl Shiflett and Big Country Show, May 28-30, 1999"
219,2000.057,en,"grab your partner. get down. repent man it's music for everyone! kentucky aug. 19-29 state far masen gew pro mashville, tenn. everybody's state fuer",Q103307501,"repent, it's music for everyone! aug 19-29, 1999",44,73,0.603,,poster,"Repent, It's music for everyone! Aug 19-29, 1999"
220,1999.164,en,plough stars 912 mass. ave cambridge 3 thursdays in jan. jan 8- jan 22 jan 29 slow river records presents in person we tom leach aa and his band with special guests jan.8 jan.22 jan.29 show starts at 9:30 sponsored by tremont ale ,Q105092048,"poster for tom leach and his band with special guests at plough and stars, cambridge, massachusetts",44,64,0.688,,poster,"Poster for Tom Leach and His Band with Special Guests at Plough and Stars, Cambridge, Massachusetts"
221,2015.037kk,en,79/140 interweaving rhythms rousseau 1987,Q102966464,"interweaving rhythms, from american abstract artists 50th anniversary print portfolio",44,63,0.698,,print,"Interweaving Rhythms, from American Abstract Artists 50th Anniversary Print Portfolio"
222,2015.037z,en,"00 79/140 pride, square and triangle jeanne miles 1987",Q103298467,"circle, square and triangle, from american abstract artists 50th anniversary print portfolio",44,56,0.786,,print,"Circle, Square and Triangle, from American Abstract Artists 50th Anniversary Print Portfolio"
223,1982.100,en,stand up hannah wilke stand up,Q102973305,"stand up, from the revolutions per minute ",44,47,0.936,,print,"Stand Up, from the Revolutions Per Minute (The Art Record)"
224,1998.044,en,q barcelona '92 juegos de la xxv olimpíada barcelona 1992 games of the xxv olympiad barcelona 1992 ©198 c00892 sa tm jocs de la xxva olimpíada barcelona 1992 jeux de la xxve olympiade barcelona 1992,Q105091630,barcelona '92:  games of the xxv olympiad barcelona 1992,43,95,0.453,,poster,BARCELONA '92:  Games of the XXV Olympiad Barcelona 1992
225,2000.075,en,"the louisiana stomp presented by louisiana radio.com geno delafose and french rockin' boogie the traiteurs cory mccauley  & his evangeline aces lafayette sept.1999 *********** louisiana with grant street dancehall *********** doors open at 6:30 pm sio at the door www.louisianaradio.com a benefit for the dr. tommy comeaux endowed fund for traditional music hetch shew print-nastille, tn",Q105092195,"the lousiana stomp, geno delafose and french rockin' boogie the traiteurs, cory mccauley & his evangeline aces",43,92,0.467,,poster,"The Lousiana Stomp, Geno Delafose and French Rockin' Boogie The Traiteurs, Cory McCauley & His Evangeline Aces"
226,2013.004,en,one way 1.09-08.10.1978 wrocław attention a integration cooperation presentation first international meetings ft theatre open art and xx years of kalambur theatre & enter,Q102965082,first international meetings of the theater and open art,43,84,0.512,,poster,First international meetings of the theater and open art
227,2012.008ff,en,millenium moment กา ce roser 1997,Q102968562,"millennium moment, from american abstract artists 60th anniversary print portfolio",43,67,0.642,,print,"Millennium Moment, from American Abstract Artists 60th Anniversary Print Portfolio"
228,2000.044,en,tues. i robert's june 15 west. world 9 p.m. 416 broad rounder records two great performances showcase wylie i rosie wild west flores and the harch show print nashville tn jdm.,Q105092078,"rounder records showcase, wylie and the wild west -  rosie flores",43,65,0.662,,poster,"Rounder Records Showcase, Wylie and the Wild West -  Rosie Flores"
229,1982.087,en,polyhedro polynesian,Q102969901,"polynesian/polyhedron, from the revolutions per minute ",43,60,0.717,,print,"Polynesian/Polyhedron, from the Revolutions Per Minute (The Art Record)"
230,2007.062,en,enit 100 7.. tuscany - siena italy richter & naples,Q102976799,vintage poster for tuscany-siena,43,56,0.768,,poster,Vintage poster for Tuscany-Siena
231,1957.005,en,ivet aroo geo elmer brat. ae,Q106577420,sardine fleet at anchor,43,48,0.896,,print,Sardine Fleet at Anchor
232,2017.001.043,en,bk eichenberg the pearcable kingdem fitzywilemburg eirkenbery 200/200,Q103310006,"the peacable kingdom, from ""ten wood engravings from the old testament""",43,43,1,,print,"The Peacable Kingdom, from ""Ten Wood Engravings from the Old Testament"""
233,1979.0691P,en,"18/25 ""carnival"" bruce born 66",Q102962997,carnival,42,100,0.42,,print,Carnival
234,1998.043,en,barcelona 92 jocs de la xxva olimpíada barcelona 1992 juegos de la xxv olimpíada barcelona 1992 jeux de la xxve olympiade barcelona 1992 games of the xxv olympiad barcelona 1992 sponsored by telefónica,Q105091632,barcelona 92:  games of the xxv olympiad barcelona 1992,42,96,0.438,,poster,BARCELONA 92:  Games of the XXV Olympiad Barcelona 1992
235,2008.161,en,"lincoln on the london & north eastern railway of england and scotland for travel information and illustrated literature apply to hi. ketcham, general agent, lner 311 fifth avenue. new york or principal tourist and shipping offices",Q102968165,"lincoln, london & north eastern railway of england and scotland",42,92,0.457,,poster,"Lincoln, London & North Eastern Railway of England and Scotland"
236,2001.055,en,"coming *the * in on person legendary stage bobby bare & special guests the brand at the historic southgate house 24 east third st. newport, ky march 18,2000*8p.m. call 513.779.9462 one night only *********** ",Q105091706,coming - the legendary bobby bare and special guest the brand,42,79,0.532,,poster,Coming - The Legendary Bobby Bare and special guest The Brand
237,1979.1197P,en,ringling bros r մմմմ the greatest show on earth jawson wo way in otherwis admission 2 nuts barnum & bailey ingling bros and barnum & bailey circus,Q106577416,ringling bros and barnum & bailey; the greatest show on earth,42,70,0.6,,poster,Ringling Bros and Barnum & Bailey; The Greatest Show on Earth
238,2000.041,en,edwin mccain 54 extra messenger available now on cds & tapes from atlantic records k,Q105091756,edwin mccain messenger,42,68,0.618,,poster,Edwin McCain Messenger
239,2012.008j,en,85/100 heraldic tinctures gevertz 97,Q102966093,"heraldic tinctures, from american abstract artists 60th anniversary print portfolio",42,56,0.75,,print,"Heraldic Tinctures, from American Abstract Artists 60th Anniversary Print Portfolio"
240,2012.008y,en,85/100 behind the draw stien tin mirara 27.,Q102962026,"behind the door, from american abstract artists 60th anniversary print portfolio",42,51,0.824,,print,"Behind the Door, from American Abstract Artists 60th Anniversary Print Portfolio"
241,2012.008kk,en,"85/100 boat kertomy fund building hawen sy at esphyr slobodring, 1997",Q102962347,"boat building, from american abstract artists 60th anniversary print portfolio",42,43,0.977,,print,"Boat Building, from American Abstract Artists 60th Anniversary Print Portfolio"
242,2000.085,en,"milton mapes ""maybe you're here. maybe you're not.",Q105091971,"milton mapes, ",41,93,0.441,,poster,"Milton Mapes, Hatch Show Print Poster"
243,2000.036,en,*  *   3000 days in babylon the  white animals steve boyd tim coats ray crabtree rich parks  exi watch show print-navine in m kevin gray whiteanimals.com *2-3*  ,Q105091566,"3000 days in babylon the white animals, july 23",41,85,0.482,,poster,"3000 Days In Babylon The White Animals, July 23"
244,2015.037d,en,59/940 floating landscape boretz 87,Q102965147,"floating landscape, from american abstract artists 50th anniversary print portfolio",41,63,0.651,,print,"Floating Landscape, from American Abstract Artists 50th Anniversary Print Portfolio"
245,2000.013,en,............ eil young **solo at thegrandoleopry 15 produced by cellar door & gaylord entertainment * harch show print nashville ter,Q105091985,"neil young, solo at the grand ole opry",40,87,0.46,,poster,"Neil Young, Solo At The Grand Ole Opry"
246,2006.006,en,www s 20 tix at february 27 $700 the mountain goats manishevitz insound catacombs,Q105092201,the mountain goats poster,40,80,0.5,,poster,The Mountain Goats poster
247,2001.088,en,"elvis 65 birthday party birthweek 2000 香 guerrillamonster & br2 present vegas thunder elvis meets memphis movie premiere by jmm plus live music from thee locals: subteens reginaid the beatles poli sci clone hearafters müller sat. jan. 8, 2000 last place on earth",Q105091656,"birthweek 2000: guerrilla monster and br2 present ""elvis meets the beatles""",40,76,0.526,,poster,"Birthweek 2000: Guerrilla monster and BR2 present ""Elvis meets the Beatles"""
248,2000.010,en,house of blues and kool 95.7 present fri. may 14 * 9 pm jerry lee lewis delbert mcclinton fri.may 21 9 p.m. ✩ house of blues * 225 decatur street call 529-blue for information ekster or www.hob.com ,Q105091877,"jerry lee lewis and delbert mcclinton, house of blues, may 21",40,67,0.597,,poster,"Jerry Lee Lewis and Delbert McClinton, House of Blues, May 21"
249,2001.101,en,fan fair 1999  the  mavericks june 14-17 nashville-tenn than: you ,Q105092199,"the mavericks, fan fair 1999",40,61,0.656,,poster,"The Mavericks, Fan Fair 1999"
250,2001.143,en,"the baseball reliquary's shrine to louis sockalexis 1871-1913 interactive mixed media installation dedicated to the native american baseball immortal oct. 7 & 8, 2000 hahamongna watershed park - pasadena, ca ",Q105092160,the baseball reliquary's shrine to louis sockalexis,39,100,0.39,,poster,The Baseball Reliquary's Shrine to Louis Sockalexis
251,1999.165,en,"  7:30 7:30 saturday, february. 6.** 1999 30 years after nashville skyline bob dylan and his band with special guests brian setzer orchestra nashville municipal auditorium *$25 advance tickets go on sale at 10a.m. saturday, january 9 at the municipal auditorium box office, and all ticket master outlets. or charge by phone at 255-9600. or order online at www.ticketmaster.com produced by ac entertainment nyara      1 ",Q105092036,poster for bob dylan and his band with special guests the brian setzer orchestra at nashville municipal auditorium,39,87,0.448,,poster,Poster for Bob Dylan and His Band with Special Guests The Brian Setzer Orchestra at Nashville Municipal Auditorium
252,2001.066,en,auction fri. aug.11& sat. aug. 12 john deere misc. goods ou many items tractors moline tractor & plow company ,Q105091973,moline tractor and plow company auction,39,82,0.476,,poster,Moline Tractor and Plow Company Auction
253,2001.041,en,"cooooo c00000 * hard work honesty home humor* celebrate a simple life honoring 80 years of cal turner, sr. founder of dollar general stores come gather 'round the radio and share a very special evening at the ryman auditorium. we'll celebrate the simple life of cal turner, sr. with a small-town tale and toe-tapping tunes from our special guest stars: martina m'bride paul overstreet the whites november 6th nineteen ninety-five 8 to 9 p.m. nashville time tune in to wsm - am 650 benefitting the dollar general literacy foundation  o hatoh show print 1e98",Q103298201,"celebrate a simple life - honoring 80 years of cal turner sr. founder of dollar general stores, martina mcbride, paul overstreet, the whites",39,78,0.5,,poster,"Celebrate A Simple Life - Honoring 80 Years of Cal Turner Sr. Founder of Dollar General Stores, Martina McBride, Paul Overstreet, The Whites"
254,2000.070,en,the 400 bar 400 cedar ave s. 332-2903 doug hoekstra combu saturday ept 18 9 p am ville tn - syn 0223,Q105091747,"doug hoekstra combo, september 18",39,73,0.534,,poster,"Doug Hoekstra Combo, September 18"
255,2001.058,en,winn-dixie superstar summer presents sunday july 25 widespread panic at alltel pavilion at walnut creek a call now for tickets 919-834-4000 www.ticketmaster.com tickets available at all ticketmaster outlets featuring schoolkids records ,Q105092359,"widespread panic , sunday  july  25 , alltel pavilion at wallnut creek",39,71,0.549,,poster,"Widespread Panic , Sunday  July  25 , Alltel Pavilion at Wallnut Creek"
256,2001.061,en,"*** * steve earle and jomo entertainment presents dukes georgia theater athens, georgia friday, november 17 tickets are available at bigshot records or charge by phone at 706.543.6666. odoo ",Q105092130,"steve earle and the dukes november 17, georgia theater",39,56,0.696,,poster,"Steve Earle and the Dukes November 17, Georgia Theater"
257,2012.008i,en,35/100 85 slospeed xxx ruth eckstein 197,Q102971602,"slospeed xxx, from american abstract artists 60th anniversary print portfolio",39,45,0.867,,print,"Slospeed XXX, from American Abstract Artists 60th Anniversary Print Portfolio"
258,1999.168,en,*l·u·s•t•r•e* kings the ♬ 5 l 14 2 ,Q105092047,poster for the lustre kings,39,41,0.951,,poster,Poster for The Lustre Kings
259,1988.042,en,ralph & scharf,Q105091874,israel in egypt's land,39,36,1.083,,print,Israel in Egypt's Land
260,2004.049,en,sunlight on wood weybourne norfolk 1992 total eclipse of the sun 11 august 1999 roger ackling 11-08-1947,Q103310492,total eclipse of the sun,38,100,0.38,,poster,Total eclipse of the sun
261,2001.073,en,"* * *  open seven days a week civilization *furniture for the masses 3884 venice blvd. los angeles, ca *310-202-8883*  low down prices from down home folks  ",Q105091701,civilization: furniture for the masses,38,97,0.392,,poster,Civilization: Furniture for the Masses
262,2001.133,en,a swinging string band david peterson. 1946 sat april 14th station inn pm k at ,Q105091730,david peterson &1946,38,95,0.4,,poster,David Peterson &1946
263,1998.010,en,campbell's condensed soup old fashioned vege-gene made with enhanced-beef stock net wt. 10 1/2 oz. (298g) 199 your,Q105091994,old fashioned vege-gene soup,38,86,0.442,,poster,Old Fashioned VEGE-GENE Soup
264,2001.081,en,"bellsouth musical series ryman presents stand by your man at the the tammy ammy wynette story 2001 sep. 13-oct. 28, 8pm to order tickets call (615)-889-3060  ryman auditorium ",Q105092127,stand by your man: the tammy wynette story,38,74,0.514,,poster,Stand By Your Man: The Tammy Wynette Story
265,2000.077,en,"position east. artists of east nashville * group show  participating artists sherri warner hunter barbara harris victoria boone bill brimm jeff hand jan bell marla faith thurman rivers dwana ""sam"" wherry charles laurence nelson laster she artsynergy gallery 615 fifth avenue south - 256-9001 sept. 19-oct. 15, 1999 opening sun. sept. 19 1-5pm reg. hours mon. - fri. 9 to 5 ",Q106567572,"position east: artists of east nashville group show, sherri warner hunter, barbara harris, ",38,73,0.521,,poster,"Position East: Artists of East Nashville Group Show, Sherri Warner Hunter, Barbara Harris, (and more)"
266,2016.005.06,en,"the university of iowa center for the book matt runkle & alexandra janezic ==--- ####1# april 13-17 k. k. merker gallery north hall basement reception friday, april 17 5:30-7:30 mfa thesis show",Q105091966,matt runkle and alexandra janezic mfa thesis show,38,67,0.567,,poster,Matt Runkle and Alexandra Janezic MFA Thesis Show
267,2000.068,en,"hacksonian 10 to mate 3010 west end ave., nashville 1917-1999 c peggy snow apartments",Q105095753,jacksonian apartments,38,62,0.613,,poster,Jacksonian Apartments
268,2005.009,en,"encca from chamber soc car chanse soog volksmusik dvordi, b nch & dohnany fri apr 11 th 7:30 pm $10 a $2 por 229.m.g",Q105091764,ennca-ecco chamber society volksmusik,38,62,0.613,,poster,ENNCA-Ecco Chamber Society VOLKSMUSIK
269,2017.001.044,en,ha wad this a raw youth inz katemburg 3/20,Q103307299,raw youth: child in coffin,38,50,0.76,,print,Raw Youth: Child in Coffin
270,1999.141g,en,mma fremminge gichenserg fritz richiebung,Q106567661,"the follies of princely power, from in praise of folly ",38,41,0.927,,print,"The Follies of Princely Power, from In Praise of Folly (Encomium Moriae)"
271,2017.001.033,en,orphanage n fritz echenberz.,Q103301756,jane eyre: orphanage,38,40,0.95,,print,Jane Eyre: Orphanage
272,2000.045,en,sat. june 26 9pm  doors open at 8 pm showtime vassar clements and the little big band  sio  * adv.-$12 day of show higher ground 1 main street for ticket info call 86flynn ,Q105092331,vassar clements and the little big band,37,100,0.37,,poster,Vassar Clements and The Little Big Band
273,2000.104,en,jongrel usic alejandro escovedo the backsliders big sandy and his fly-rite boys boozoo chavis s a  buddy buddy julie miller chris smither dave alvin & the guilty men gres trooper the iguanas jimmy thackery & the drivers los traitjackets paul cebar & the milwaukeeans peter case regs cowboys robbie fulks saffire - the uppity blues women steve forbert steve riley and the mamou playboys teddy morgan 9*9*9 ,Q106566950,"mongrel music, alejandro escovedo, the backsliders, big sandy and his fly-rite boys, boozoo chavis ",37,94,0.394,,poster,"Mongrel Music, Alejandro Escovedo, The Backsliders, Big Sandy and his Fly-Rite Boys, Boozoo Chavis (and more)"
274,1979.1210P,en,würbel berlin sa germany berlin-1936 1-16 august olympic games 1,Q105091995,"olympic poster, berlin 1936",37,63,0.587,,poster,"Olympic Poster, Berlin 1936"
275,2012.008jj,en,85/100 *** ***** ... ****** **** ************ **** **** ... ****** black square reflection louis silverstein,Q102962233,"black square reflection, from american abstract artists 60th anniversary print portfolio",37,41,0.902,,poster,"Black Square Reflection, from American Abstract Artists 60th Anniversary Print Portfolio"
276,2000.003,en,reginald marsh,Q103300555,girl walking ,37,40,0.925,,print,Girl Walking (Elevated)
277,2002.041.002,en,"бидете eredmiation jonesco, avee toure m of mpertine me sy",Q104032272,"quelques fleurs pour des amis, avec un coup d'oeil sur le jardin ",37,40,0.925,,print,"Quelques fleurs pour des amis, avec un coup d'oeil sur le jardin (A few flowers for some friends, with a glance upon the garden)"
278,2015.037gg,en,"19/140 in low 0000000 talama ""tower fantary thing gran welste pine.",Q103310510,"tower fantasy, from american abstract artists 50th anniversary print portfolio",37,40,0.925,,print,"Tower Fantasy, from American Abstract Artists 50th Anniversary Print Portfolio"
279,2000.066,en,"shanachie recording  artist phil lee ""the mighty king of love"" on tour with duane jarvis and los flacos europe 1999 ansbach kammerspiele saalfeld franziskaner neusuedende festival hamburg knust unna landestelle unna-massen frankfurt sinkkasten langenau pfleghofsaal saulgau franziskaner vill. schwenn. scheuer basel atlantis zuerich elinternational muenchen rattlesnake saloon on stage in person ",Q105092020,"phil lee ""the mighty king of love"" on tour with duane jarvis and los flacos europe 1999",36,100,0.36,,poster,"Phil Lee ""The Mighty King Of Love"" on Tour with Duane Jarvis and Los Flacos Europe 1999"
280,2001.177,en,willie nelson family picnic featuring willie nelson  lyle lovett  shawn colvin wed. july 28th first american music center ,Q105092362,willie nelson family picnic,36,100,0.36,,poster,Willie Nelson Family Picnic
281,2004.040,en,"415 ""lattice"" lofo richards. 102",Q106568630,lattice,36,100,0.36,,print,Lattice
282,2000.049,en,every wednesday 6-10 h sisters  wade & the hipwaders tootsies orchid lounge batch show print hand made quality ofers since 1879,Q105092103,sisters wade & the hipwaders,36,96,0.375,,poster,Sisters Wade & The Hipwaders
283,2000.016,en,"saturday may 8th '99 4pm darcey lynn james gurney seaver dungan getting married baltic ballroom 2337 central ave, northwest, minneapolis, mn fancy hat 0010 optional dinner and dancing following the ceremony hatch smow print-mashville, tm.",Q105091729,"darcey lynn seaver and james gurney dungan, getting married, may 8th",36,74,0.486,,poster,"Darcey Lynn Seaver and James Gurney Dungan, Getting Married, May 8th"
284,2005.040,en,wwwwww (137) semper fidelis croco endangered species 55/100 dieu et mon droit r a bulo mais tttt ttttt am gyon fon lly fritz eichenburg,Q103299587,"endangered species, from ""fables with a twist""",36,59,0.61,,poster,"Endangered Species, from ""Fables with a Twist"""
285,2004.068,en,small birds a continuous 101 mile walk without sleep country roads kent and sussex england full moon 10 11 november 1992,Q102971611,small birds from the portfolio dear stieglitz,36,53,0.679,,print,Small Birds from the portfolio Dear Stieglitz
