qid,dimension,type,label
Q105091871,2D,painting,Incident at My Lai
Q104013544,2D,painting,Indomeneo: Echo
Q102966448,2D,painting,Interior Scene
Q105095895,2D,painting,Iris or Goat Flower
Q102966531,2D,painting,Italian Lake Scene
Q102966759,2D,painting,Journey
Q102966782,2D,painting,"Juno and Argus, Guardian of the Jupitern Herds"
Q102966788,2D,painting,K'o-ssu tapestry silk roundels depicting flowers in vases
Q102966805,2D,painting,Kabuki Theater Signboard Showing an Actor in a Feature Role
Q102966932,2D,painting,Kimono coat with a design of peonies and cherry blossoms done in the Yuzen dye technique
Q105091889,2D,painting,Kitchen Interior
Q102967145,2D,painting,La Eojida de Ibiza
Q102967154,2D,painting,La Forêt
Q102967270,2D,painting,Lake George
Q102967275,2D,painting,Lake Landscape with Dock
Q102967296,2D,painting,Landscape
Q102967752,2D,painting,Landscape
Q102967760,2D,painting,Landscape
Q104032125,2D,painting,Landscape
Q105091899,2D,painting,Landscape
Q105091900,2D,painting,Landscape
Q105091901,2D,painting,Landscape
Q102967789,2D,painting,Landscape and river
Q106577369,2D,painting,Landscape of Greece
Q102967802,2D,painting,Landscape Painting
Q105095888,2D,painting,Landscape with Cattle
Q105095899,2D,painting,Landscape with Cattle
Q102967808,2D,painting,Landscape with Cows
Q102967814,2D,painting,Landscape with Figures
Q102967821,2D,painting,Landscape with Figures
Q102967836,2D,painting,Landscape with Harbor and Men on Horseback
Q102967843,2D,painting,Landscape with Moon
Q102967848,2D,painting,Landscape with Shepherds
Q102967855,2D,painting,Landscape with Two Figures
Q105091904,2D,painting,Landscape with Woman
Q102967862,2D,painting,"Landscape, Purple Sky"
Q105095975,2D,painting,"Largely white, abstract painting of ghosts"
Q102968020,2D,painting,Leeds Woods
Q103304736,2D,painting,Louise Nevelson Spraying Oil on Canvas
Q105095875,2D,painting,Love Bridges All
Q104032169,2D,painting,Lunar Circuit II
Q103304761,2D,painting,Luz Morada
Q94696965,2D,painting,Madonna and Child
Q94702413,2D,painting,Madonna and Child
Q80566046,2D,painting,Madonna and Child with Apollonia and Another Female Saint
Q94696481,2D,painting,Madonna and Child with St. Anne
Q103304813,2D,painting,Madonna and Child with St. Elizabeth and infant John the Baptist
Q94702218,2D,painting,"Madonna and Child with the Holy Trinity and the Annunciation; Anonymous Martyr Saint; Resurrection; ""Noli me tangere"""
Q103304820,2D,painting,Madonna and Christ Child
Q106577373,2D,painting,Madonna in Clouds (copy of Madonna and Child with Music Making Angels by Correggio)
Q103304827,2D,painting,Madonna of the Harpies (copy)
Q94696574,2D,painting,Madonna with Three Saints and John
Q102968353,2D,painting,Man in a Boat and Man in a Building Over Water
Q102968359,2D,painting,Man in a Boat Viewing a Waterfall
Q102968365,2D,painting,"Man in Building, Viewing Water"
Q102968390,2D,painting,Man with a Staff Viewing a Waterfall
Q102968395,2D,painting,Man with a Staff Walking Towards Buildings in Hills
Q105091958,2D,painting,Marchand de Poissons
Q94002062,2D,painting,Marine Landscape
Q102968417,2D,painting,Marine view with three-masted black schooner in misty weather
Q102968423,2D,painting,"Marine View, Teutonic Rescuing the Crew of the Josie Reeves"
Q102968430,2D,painting,"Marine view, white brigantine, pilot boat #2"
Q102968482,2D,painting,Matthew 7:19
Q102968532,2D,painting,Mercury and Argus
Q103305361,2D,painting,Mister Hasting
Q102968652,2D,painting,Model in landscape
Q102968693,2D,painting,Moonlight Nymphs
Q105091974,2D,painting,Moorish Painting
Q102968780,2D,painting,Mount Fuji and the Pine Beach at Miho
Q103305616,2D,painting,Multi-Generational Family Portrait
Q105091981,2D,painting,My Toscanini
Q103305640,2D,painting,Mystic Marriage of St. Catherine
Q105095881,2D,painting,Nativity (after Peter Paul Rubens)
Q105096072,2D,painting,"New Year's Greeting, Year of the Boar"
Q105096100,2D,painting,"New Year's Greeting, Year of the Dog"
Q105096104,2D,painting,"New Year's Greeting, Year of the Dragon"
Q105096065,2D,painting,"New Year's Greeting, Year of the Horse"
Q105096066,2D,painting,"New Year's Greeting, Year of the Horse"
Q105096095,2D,painting,"New Year's Greeting, Year of the Monkey"
Q105096079,2D,painting,"New Year's Greeting, Year of the Ox"
Q105096081,2D,painting,"New Year's Greeting, Year of the Rat"
Q105096082,2D,painting,"New Year's Greeting, Year of the Rat"
Q105096098,2D,painting,"New Year's Greeting, Year of the Rooster"
Q105096063,2D,painting,"New Year's Greeting, Year of the Sheep"
Q105096089,2D,painting,"New Year's Greeting, Year of the Snake"
Q102969017,2D,painting,Night: Sea and Cliff Scene
Q105091988,2D,painting,Nine Pieces of Everything
Q105095760,2D,painting,Noon
Q102969054,2D,painting,North African Battle Scene
Q105095883,2D,painting,Nude
Q103306029,2D,painting,Number 38
Q102969141,2D,painting,"Ocean Scene Harbor, Brittany"
Q102969173,2D,painting,October 14th Corn
Q102969186,2D,painting,Odalisque
Q105095779,2D,painting,Oil Sketch
Q105095780,2D,painting,Oil Sketch
Q105095782,2D,painting,Oil Sketch
Q105095771,2D,painting,Oil Sketch of Florida
Q105095772,2D,painting,Oil Sketch of Florida
Q105095773,2D,painting,Oil Sketch of Florida
Q105095775,2D,painting,Oil Sketch of Florida
Q105095776,2D,painting,Oil Sketch of Florida
Q105095777,2D,painting,Oil Sketch of Florida
Q102969343,2D,painting,Opus 87
Q102969347,2D,painting,Opus 88
Q105096035,2D,painting,"Original Illustration for Saturday Evening Post, ""What happened to MAB"""
Q102969547,2D,painting,Paisaje Cireolar
Q105092008,2D,painting,Panoramic Figres
Q102969583,2D,painting,Paris Garden
Q103306344,2D,painting,Parlor Scene
Q105096078,2D,painting,Passerelle des Arts
Q103306369,2D,painting,Pastoral Couple
Q102969634,2D,painting,Peasants in a Landscape
Q102969665,2D,painting,Pembroke
Q105092018,2D,painting,Permanent Record of an Unusual Leaf
Q104032222,2D,painting,Picture Album of Twelve Chinese Men
Q104032223,2D,painting,Picture Album of Twelve Chinese Men
Q104032224,2D,painting,Picture Album of Twelve Chinese Men
Q104032225,2D,painting,Picture Album of Twelve Chinese Men
Q104032226,2D,painting,Picture Album of Twelve Chinese Men
Q104032227,2D,painting,Picture Album of Twelve Chinese Men
Q104032228,2D,painting,Picture Album of Twelve Chinese Men
Q104032229,2D,painting,Picture Album of Twelve Chinese Men
Q104032230,2D,painting,Picture Album of Twelve Chinese Men
Q104032231,2D,painting,Picture Album of Twelve Chinese Men
Q104032232,2D,painting,Picture Album of Twelve Chinese Men
Q104032233,2D,painting,Picture Album of Twelve Chinese Men
Q105092022,2D,painting,Pilar
Q103306543,2D,painting,Pincer
Q106577406,2D,painting,Pink Shift
Q103306576,2D,painting,Pipe Smoker
Q105095870,2D,painting,Poissons et Huitres
Q103306844,2D,painting,Portrait
Q94440586,2D,painting,Portrait of a Gentleman
Q103306879,2D,painting,Portrait of a Lady
Q105092026,2D,painting,Portrait of a Lady
Q105095853,2D,painting,Portrait of a Lady
Q103306890,2D,painting,Portrait of a Lady with Rose
Q103306897,2D,painting,Portrait of a Man
Q103306902,2D,painting,Portrait of a Man
Q103306908,2D,painting,Portrait of a Man
Q103306922,2D,painting,Portrait of a Man in Armor
Q103306927,2D,painting,Portrait of a Man in Red
Q105092032,2D,painting,Portrait of a Nobleman with Cap
Q103306938,2D,painting,Portrait of a Woman
Q103306950,2D,painting,Portrait of a Woman
Q105095955,2D,painting,Portrait of a Woman
Q103306966,2D,painting,Portrait of a Young Girl
Q103306973,2D,painting,Portrait of a Young Man (Peabody Official)
Q103306980,2D,painting,Portrait of a Young Woman
Q104032249,2D,painting,Portrait of a Young Woman
Q105095966,2D,painting,Portrait of Algernon Sidney Sullivan
Q103307007,2D,painting,Portrait of Confederate General Edmund Kirby Smith
Q103307013,2D,painting,Portrait of Edward Bridgen
Q102969948,2D,painting,Portrait of George Peabody
Q104032250,2D,painting,Portrait of George Peabody
Q103307033,2D,painting,"Portrait of Jacob McGavock Dickinson, Peabody Trustee, 1909-1928"
Q103307047,2D,painting,Portrait of Joseph Montgomery Peters
Q103307053,2D,painting,"Portrait of Judge James C. Bradford (1852-1914), First Chairman of the Executive Board of Directors of Peabody College"
Q102969953,2D,painting,Portrait of Julián Trujillo Largacha
Q103307100,2D,painting,Portrait of Mrs. Algernon Sidney Sullivan (Mary Mildred Hammond)
Q103307126,2D,painting,Portrait of Robert C. Winthrup
Q103307212,2D,painting,Primaries
Q105096049,2D,painting,Pumpkin Harvest
Q102970219,2D,painting,"Rakuchu-Rakugai (View of Daily Life in Kyoto), six panel screen"
Q102970248,2D,painting,Recess #1
Q105095989,2D,painting,Reclining Nude
Q94835121,2D,painting,Reclining Nude
Q102970269,2D,painting,Reclining Nude (after Titian)
Q106577414,2D,painting,Redwall
Q105095807,2D,painting,Reflected Man
Q102970353,2D,painting,Rest on the Flight into Egypt
Q102970360,2D,painting,Restaurant Scene
Q105095858,2D,painting,River and Woods
Q102970542,2D,painting,Road Accident by a Windmill
Q102970564,2D,painting,Rockport (Bearskin Neck)
Q102970577,2D,painting,Rockport (Front Beach)
Q102970586,2D,painting,Roentgenologist's Nightmare
Q103307762,2D,painting,Rural Landscape with Cows
Q105095893,2D,painting,Save for the Sun at Superbank
Q104017130,2D,painting,Scene in Florida
Q102971059,2D,painting,Scene in Haiti #1
Q102971068,2D,painting,Scene in Haiti #2
Q103307948,2D,painting,Scituate Harbor
Q102971097,2D,painting,"Screen painting of five cranes (three flying), with a rushing stream on the left and the bank on the right"
Q102971105,2D,painting,"Screen painting of four cranes (three flying), with flowing water, bamboo, and cherry blossoms"
Q103307988,2D,painting,Seascape
Q103308141,2D,painting,Seated Woman
Q105095864,2D,painting,Self-Portrait
Q102971418,2D,painting,Shinnecock Cloudburst
Q103308408,2D,painting,Ships in Moonlight
Q102971521,2D,painting,Singer's Fan Painted with a Design of Two Goldfish
Q102971540,2D,painting,Six Figures
Q102971560,2D,painting,Six panel screen with scenes from the Tale of Genji
Q103308637,2D,painting,Ski Jumpers
Q102971636,2D,painting,Small City
Q102973016,2D,painting,Soldiers Before a Queen (Tribute to a Sultana)
Q102973079,2D,painting,Space Drawing
Q103308726,2D,painting,Spirit of the Flowers
Q105095964,2D,painting,Spring Day in Early Morning
Q103308814,2D,painting,St. John Consoling the Virgin
Q94702395,2D,painting,St. Louis of Toulouse
Q94696638,2D,painting,St. Sebastian
Q94702974,2D,painting,St. Sebastian
Q103309022,2D,painting,Starting the Day
Q102973401,2D,painting,Sticks at a Glance
Q104032530,2D,painting,Still Life with Fish
Q102973416,2D,painting,Still-Life
Q105092131,2D,painting,Still-life with Blue Coffee Pot
Q105092132,2D,painting,Still-life with Fish and Kettle
Q105092133,2D,painting,Still-Life with Flowers in Vase
Q94832545,2D,painting,Still-life with Poppies
Q106568703,2D,painting,Stooping Man with Cherub Sitting on His Right
Q102973465,2D,painting,Stop
Q102973497,2D,painting,Stream and Golden Sunset
Q102973502,2D,painting,Stream with Golden Sunset
Q102973525,2D,painting,Strolling Musicians in an Inn Garden
Q102973547,2D,painting,Studie 334
Q102973570,2D,painting,Studie 64
Q102973684,2D,painting,Summer Landscape
Q103309316,2D,painting,"Sunrise, San Remo"
Q105095860,2D,painting,Sunset
Q102973777,2D,painting,Swingline
Q102973792,2D,painting,T. Manola Triste #12
Q105095829,2D,painting,Taupe #1
Q102973986,2D,painting,Tennessee Cabin
Q105092153,2D,painting,Tennessee Hillside
Q102973993,2D,painting,Tennessee Landscape
Q105092164,2D,painting,The Breakwater
Q105095866,2D,painting,The Continuous Crucifixion
Q103309630,2D,painting,The Countess of Kildare after Sir Peter Lely)
Q94544652,2D,painting,"The Crucifixion with the Virgin Mary, St. Mary Magdalene, St. John the Evangelist, and a Female Saint"
Q94702420,2D,painting,"The Crucifixion with the Virgin, Mary Magdalene and St. John the Evangelist"
Q103309655,2D,painting,The Edge of the Forest
Q105095825,2D,painting,The Family
Q103551113,2D,painting,The Green House
Q105092180,2D,painting,The Green Umbrella
Q103309798,2D,painting,The Harling Gate
Q94971573,2D,painting,The Infant Shakespeare Attended by Nature and the Passions
Q105092189,2D,painting,The Jester
Q102974452,2D,painting,The Jungfrau
Q105092192,2D,painting,"The Lamentation of Christ, from the Church of St. Panteleimon, Monastery of Nerezi, Macedonia (copy)"
Q102974506,2D,painting,The Legend of Virgil the Sorcerer
Q103309955,2D,painting,The Love Letter
Q105092196,2D,painting,The Lovers
Q105092197,2D,painting,"The Marriage at Cana, from the Church of the Presentation of the Virgin, Monastery of Kalenic, Serbia (copy)"
Q102974574,2D,painting,The Martyred
Q102974580,2D,painting,The Monks
Q102974631,2D,painting,"The Old Homestead, Wyoming Valley"
Q102974638,2D,painting,The Orchard
Q103310030,2D,painting,The Pianist
Q102974673,2D,painting,"The Picnic, Vermont"
Q105092208,2D,painting,"The Presentation of the Virgin, from the Chapel of Joachim and Anna, Monastery of Studenica, Serbia (copy)"
Q102974719,2D,painting,The Repentance of Mary Magdalene
Q103310124,2D,painting,The Skyscraper Window
Q103310199,2D,painting,The Three Judges
Q105092216,2D,painting,The Time of Singing is Come; Song of Songs:  2:12
Q105092220,2D,painting,The Waterfalls
Q103310258,2D,painting,The Wilderness of Waters
Q105092223,2D,painting,There Is No Time
Q103310346,2D,painting,Three Dimensional Plaster/Painting
Q103310358,2D,painting,Three Female Figures in a Landscape
Q103310368,2D,painting,Three Masted Black Schooner
Q105092228,2D,painting,Tomco
Q105092229,2D,painting,Torrin
Q105095855,2D,painting,Trees by a River
Q105095890,2D,painting,"Tromp l'oeil, still-life"
Q105092233,2D,painting,Tulip
Q105095969,2D,painting,Two in the Gallery
Q102975617,2D,painting,Two Men Conversing on a Bluff by Water
Q102975625,2D,painting,Two Personages
Q104032737,2D,painting,Unsigned album paintings depicting Taoist immortals
Q104032738,2D,painting,Unsigned album paintings depicting Taoist immortals
Q104032739,2D,painting,Unsigned album paintings depicting Taoist immortals
Q104032740,2D,painting,Unsigned album paintings depicting Taoist immortals
Q104032741,2D,painting,Unsigned album paintings depicting Taoist immortals
Q104032742,2D,painting,Unsigned album paintings depicting Taoist immortals
Q102975813,2D,painting,Untitled
Q102975821,2D,painting,Untitled
Q102975828,2D,painting,Untitled
Q102975839,2D,painting,Untitled
Q102975856,2D,painting,Untitled
Q102975865,2D,painting,Untitled
Q103311125,2D,painting,Untitled
Q103311132,2D,painting,Untitled
Q103311136,2D,painting,Untitled
Q103311144,2D,painting,Untitled
Q104032778,2D,painting,Untitled
Q104032779,2D,painting,Untitled
Q104032780,2D,painting,Untitled
Q104032781,2D,painting,Untitled
Q104032782,2D,painting,Untitled
Q104032783,2D,painting,Untitled
Q104032784,2D,painting,Untitled
Q104032785,2D,painting,Untitled
Q104032786,2D,painting,Untitled
Q104032787,2D,painting,Untitled
Q104032788,2D,painting,Untitled
Q104032789,2D,painting,Untitled
Q104032790,2D,painting,Untitled
Q104032791,2D,painting,Untitled
Q104032792,2D,painting,Untitled
Q104032793,2D,painting,Untitled
Q104032794,2D,painting,Untitled
Q104032796,2D,painting,Untitled
Q104032798,2D,painting,Untitled
Q104032799,2D,painting,Untitled
Q104032800,2D,painting,Untitled
Q104032801,2D,painting,Untitled
Q104032802,2D,painting,Untitled
Q104032803,2D,painting,Untitled
Q104032805,2D,painting,Untitled
Q104032806,2D,painting,Untitled
Q104032807,2D,painting,Untitled
Q104032808,2D,painting,Untitled
Q104032809,2D,painting,Untitled
Q104032810,2D,painting,Untitled
Q104032811,2D,painting,Untitled
Q104032813,2D,painting,Untitled
Q104032814,2D,painting,Untitled
Q104032815,2D,painting,Untitled
Q104032816,2D,painting,Untitled
Q104032817,2D,painting,Untitled
Q104032818,2D,painting,Untitled
Q104032819,2D,painting,Untitled
Q104032821,2D,painting,Untitled
Q104032822,2D,painting,Untitled
Q104032823,2D,painting,Untitled
Q104032824,2D,painting,Untitled
Q105092257,2D,painting,Untitled
Q105092258,2D,painting,Untitled
Q105092259,2D,painting,Untitled
Q105092260,2D,painting,Untitled
Q105092261,2D,painting,Untitled
Q105092262,2D,painting,Untitled
Q105092263,2D,painting,Untitled
Q105095827,2D,painting,Untitled
Q105095901,2D,painting,Untitled
Q105095919,2D,painting,Untitled
Q106577470,2D,painting,Untitled
Q106577472,2D,painting,Untitled
Q106577474,2D,painting,Untitled
Q106568717,2D,painting,"Untitled (Abstract - Black, White, and Yellow Ochre)"
Q103311462,2D,painting,Untitled (half-figure of a woman)
Q103311476,2D,painting,Untitled (No. 16)
Q103311499,2D,painting,Untitled (still life at a seashore)
Q105095977,2D,painting,Untitled Abstract Painting
Q105092322,2D,painting,Untitled Dedicated gouache
Q105095823,2D,painting,Untitled painting of a bullet
Q105095908,2D,painting,Venice Canal
Q105095910,2D,painting,Venice Church
Q105095916,2D,painting,Venice Scene
Q105095917,2D,painting,Venice Scene
Q105095918,2D,painting,Venice Scene
Q105095921,2D,painting,Venice Scene with Bridge
Q103312067,2D,painting,View near Thorpe; Moonlight scene
Q105092338,2D,painting,"View of the Woolworth Building in Winter Through the Arch of the Municipal Building, New York City"
Q102976771,2D,painting,Village scene with a mill on the right
Q103312085,2D,painting,Village scene with two men and a woman
Q102976779,2D,painting,Village Street
Q103312093,2D,painting,Virgin
Q106577500,2D,painting,Visiting the Poor
Q106577501,2D,painting,"Wakakusa, Album of bird studies"
Q105092347,2D,painting,Watching CNN
Q105092364,2D,painting,Winter in the Highlands
Q105092365,2D,painting,Winter Landscape
Q103312397,2D,painting,Woman and Child Begging
Q102977193,2D,painting,Woman and Parrot
Q102977204,2D,painting,Woman and Two Children in a Kitchen
Q102977217,2D,painting,Woman Gathering Fagots
Q105095991,2D,painting,Woman in Red
Q103312405,2D,painting,Woman Looking to Right
Q102977247,2D,painting,Woman Reading
Q103312440,2D,painting,Woman Winding Yarn
Q103312479,2D,painting,Woman's Head (taken from a larger painting)
Q105092370,2D,painting,Young Lady
Q103312620,2D,painting,Young Man with Two Geese (Copy of a Dutch Old Master)
Q103296109,2D,photograph,113
Q102949359,2D,photograph,"'I Hate You For Hitting My Mother,’ Minneapolis"
Q106577240,2D,photograph,"'Woman’. Composition. Studio of Miró in the Pasaje del Crédito, Barcelona, from Creation in Space of Joan Miró"
Q102958390,2D,photograph,"#1, Scenes from a Marriage, Garth and Lisa"
Q102961164,2D,photograph,"#2, Scenes from a Marriage, Lisa and Garth"
Q102961170,2D,photograph,"#3, Scenes from a Marriage, Lisa and Garth"
Q103296329,2D,photograph,"05-01, Carrara, Italy"
Q103296335,2D,photograph,"05-16, Carrara, Italy"
Q103296343,2D,photograph,"05-23, Carrara, Italy"
Q103296350,2D,photograph,"06-08, Carrara, Italy"
Q103296357,2D,photograph,"06-11, Carrara, Italy"
Q103296366,2D,photograph,"06-22, Carrara, Italy"
Q104030923,2D,photograph,3 Proyectos
Q104030925,2D,photograph,3 Proyectos
Q106577241,2D,photograph,3 Proyectos
Q102961293,2D,photograph,A Mexican woman stands next to the Mexican/US border
Q105091581,2D,photograph,"A Painting for a King (Humayun's Tomb, India)"
Q102961406,2D,photograph,"A victim of landmines, Kabul, Afghanistan"
Q106566595,2D,photograph,"A Zairean soldier looks alert while on patrol in Goma, where thousands of Rwandan refugees had come to escape the civil war in Rwanda, Goma, Democratic Republic of the Congo"
Q103296669,2D,photograph,"Al Gore, from ""America: Now + Here"" a portfolio"
Q103296700,2D,photograph,"Allium, from Flower Portraits: The Life Cycle of Beauty"
Q102961594,2D,photograph,"American Flag, from ""America: Now + Here"" a portfolio"
Q102961601,2D,photograph,"American Gothic, from ""America: Now + Here"" a portfolio"
Q102961636,2D,photograph,"An American soldier stands on top of a destroyed Iraqi tank. Kuwaiti oil wells, ignited by Saddam's retreating forces, burn in the distance, Kuwait"
Q103296862,2D,photograph,Andy Warhol and Christopher Makos in Colorado
Q103550897,2D,photograph,"Andy Warhol, Christopher Makos and Unidentified People in Colorado"
Q103296895,2D,photograph,"Angel's Trumpet, from Flower Portraits: The Life Cycle of Beauty"
Q103296903,2D,photograph,"Angela Lansbury, 76, from Wise Women: A Celebration of Their Insights, Courage, and Beauty"
Q103296932,2D,photograph,"Anthurium, from Flower Portraits: The Life Cycle of Beauty"
Q103297063,2D,photograph,"Arms, from A Word Made Flesh (with verse from Emily Dickinson)"
Q103297090,2D,photograph,Arturo Toscanini and unidentified baby
Q103297199,2D,photograph,"Back, from A Word Made Flesh (with verse from Emily Dickinson)"
Q106577290,2D,photograph,Backdrops Circa 1940s
Q103297237,2D,photograph,Bastienne
Q102961953,2D,photograph,"Battered Woman & Cop, Philadelphia"
Q104030938,2D,photograph,Bed
Q104030939,2D,photograph,Bed
Q103297306,2D,photograph,Bed and Wall Lamp
Q103297390,2D,photograph,Bianca Jagger
Q106577293,2D,photograph,Big Sur #2
Q103550914,2D,photograph,Birch Trees in Colorado
Q103297476,2D,photograph,"Black Horse, All Saints Bay, Itaparica, Brazil"
Q103550926,2D,photograph,"Black Void With Reflection (Lisbon), from the ongoing project Material Witness"
Q106577295,2D,photograph,"Block 00-49, Carrara, Italy"
Q106577296,2D,photograph,"Block 01-81, Carrara, Italy"
Q106577297,2D,photograph,"Block 02-71, Carrara, Italy"
Q103297505,2D,photograph,"Blow Up II (Armory), from ""America: Now + Here"" a portfolio"
Q102962287,2D,photograph,"Blowup Doll Jay St, from the series Tribeca, 10013"
Q105096054,2D,photograph,Blue Pitcher
Q103297576,2D,photograph,Blushing Bride from Intimacy
Q103297583,2D,photograph,"Blushing Bride, from Flower Portraits: The Life Cycle of Beauty"
Q103297616,2D,photograph,Bonnie Wintersteen (1 of 7)
Q103297620,2D,photograph,Bonnie Wintersteen (2 of 7)
Q103297624,2D,photograph,Bonnie Wintersteen (3 of 7)
Q103297636,2D,photograph,Bonnie Wintersteen (4 of 7)
Q103297642,2D,photograph,Bonnie Wintersteen (5 of 7)
Q103297649,2D,photograph,Bonnie Wintersteen (6 of 7)
Q103297655,2D,photograph,Bonnie Wintersteen (7 of 7)
Q102962384,2D,photograph,"Bosnian-Muslim Displaced Refugees, Croatia"
Q103297789,2D,photograph,"Brooke Astor, 98, from Wise Women: A Celebration of Their Insights, Courage, and Beauty"
Q103297887,2D,photograph,"Bubble Lounge, from the series Tribeca, 10013"
Q103297948,2D,photograph,"Burle Marx, Rio de Janeiro, Brazil"
Q103297965,2D,photograph,Burma
Q105096056,2D,photograph,Burned-Out Window
Q103298041,2D,photograph,"Camargue Beach, I"
Q103298049,2D,photograph,"Camargue Beach, II"
Q103298054,2D,photograph,"Camargue Beach, III"
Q103298059,2D,photograph,Camargue Sunset
Q103550968,2D,photograph,Cars on the Street
Q103298155,2D,photograph,"Castelldefels, from Fotografias de los Anõs 40, Volumen I"
Q106577303,2D,photograph,"Castelldefels, from Fotografias de los Anõs 40, Volumen I"
Q103298175,2D,photograph,"Catedral de Barcelona, from Fotografias de los Anõs 40, Volumen I"
Q103550975,2D,photograph,"Catherine Oxenberg, George Hamilton, Woman and Man"
Q102963231,2D,photograph,"Children who Witness Abuse, Ernie and Brianna"
Q102963235,2D,photograph,"Children who Witness Abuse, Ernie and Brianna's Doll"
Q103550982,2D,photograph,China: Two Young Men
Q103298403,2D,photograph,Chinese Lantern from Intimacy
Q103298459,2D,photograph,"Christine Lee, 67, from Wise Women: A Celebration of Their Insights, Courage, and Beauty"
Q103550989,2D,photograph,"Christopher Makos (left) and Unidentified Man, Undated"
Q104031910,2D,photograph,"Clematis, from Flower Portraits: The Life Cycle of Beauty"
Q104031911,2D,photograph,"Clematis, from Flower Portraits: The Life Cycle of Beauty"
Q104031913,2D,photograph,"Clematis, from Flower Portraits: The Life Cycle of Beauty"
Q106577313,2D,photograph,"Cobblestonded, Leonard Street, from the series Tribeca, 10013"
Q105091703,2D,photograph,Cologne
Q103550995,2D,photograph,"Composition in Grey (Collage) (Barcelona), from the ongoing project Material Witness"
Q103551001,2D,photograph,"Composition in Light Grey with Four Circular Forms (Reykjavik), from the ongoing project Material Witness"
Q103551008,2D,photograph,Composition in White (London) from the ongoing project Material Witness
Q103551016,2D,photograph,"Composition of Rectangles (B, G, W) (Lisbon), from the ongoing project Material Witness"
Q103551023,2D,photograph,"Composition of Rectangles (Grey) (Reykjavik), from the ongoing project Material Witness"
Q103298813,2D,photograph,"Copacabana Walk, Rio de Janeiro, Brazil"
Q103298828,2D,photograph,"Coretta Scott King, 74, from Wise Women: A Celebration of Their Insights, Courage, and Beauty"
Q102963875,2D,photograph,"Counseling, Denver, Colorado"
Q102964032,2D,photograph,"Damár and Tofifirár (with Koos Breukel), Sa-Er / Asmat, Papua, 21-11-2011, #2"
Q102964037,2D,photograph,"Damár and Tofifirár, Sa-Er / Asmat, Papua, 21-11-2011, #1"
Q103299002,2D,photograph,"Damár and Tofifirár, Sa-Er / Asmat, Papua, 21-11-2011, #4"
Q103299012,2D,photograph,"Dame Judi Dench, 67, from Wise Women: A Celebration of Their Insights, Courage, and Beauty"
Q103299057,2D,photograph,"Dancing Lesson, Camp Treetops, Lake Placid"
Q103551032,2D,photograph,"Dark Grey Enclosure (Hafnarfjordur), from the ongoing project Material Witness"
Q102964188,2D,photograph,"Delirium (Alessandria, Italy)"
Q103299216,2D,photograph,Diagram of Doom for Steichen the Photographer
Q102964271,2D,photograph,"Diamond, age 27, became a hairdresser and chose to live free from all forms of abuse"
Q102964279,2D,photograph,"Diana, Minneapolis"
Q102964290,2D,photograph,"Diana, Tire Marks"
Q102964298,2D,photograph,Diane Hawkins and Her Daughter
Q102964511,2D,photograph,"Displaced Iraqis During the War in Iraq, Near Basra, Iraq"
Q103551039,2D,photograph,"Divided Grey With Blue Accent (Lisbon), from the ongoing project Material Witness"
Q103299279,2D,photograph,Dogwood from Intimacy
Q103299305,2D,photograph,Dolly Parton and Olivia Newton-John
Q106568528,2D,photograph,Driekoningenverf (Three Kings Painting)
Q106577322,2D,photograph,"Drying Nets, Baicul, Itaparica, Brazil"
Q105091754,2D,photograph,Early Bird
Q105096064,2D,photograph,"Echevaria, Botanical Gardens, Ann Arbor, MI"
Q103299563,2D,photograph,"Elva Azzara, 93, from Wise Women: A Celebration of Their Insights, Courage, and Beauty"
Q102964749,2D,photograph,"Emma & her Mama on the back porch, from the series, I Am Unbeatable"
Q104031955,2D,photograph,"Emma, from the series, I Am Unbeatable"
Q104031956,2D,photograph,"Emma, from the series, I Am Unbeatable"
Q103299593,2D,photograph,Enrico Carimati Jr.
Q102964801,2D,photograph,"Eritrean Refugees, Eastern Sudan"
Q102964822,2D,photograph,"Ethiopian Refugee Running in Rainstorm, Togwajaale, Somalia"
Q105091775,2D,photograph,Fall Colors at Radnor Lake
Q102964901,2D,photograph,"Famine Crisis, Wajid, Somalia"
Q104031965,2D,photograph,Fashion
Q104031966,2D,photograph,Fashion
Q103299843,2D,photograph,"Ferns, Italy"
Q103299862,2D,photograph,"Fifth Floor Concrete Pour, 34 Leonard Street from the series Tribeca, 10013"
Q106577331,2D,photograph,"Fish and Arm, Salvador, Bahia, Brazil"
Q106577332,2D,photograph,"Fish Racks, Baicul, Itaparica, Brazil"
Q104031990,2D,photograph,Flea Market
Q104031991,2D,photograph,Flea Market
Q105091800,2D,photograph,Foggy Morning on Peabody Campus
Q102965303,2D,photograph,Fossil in Formation
Q102965324,2D,photograph,Four Nudes in Town - New York
Q104032002,2D,photograph,Fred Hughes and Unidentified Men and Women
Q104032003,2D,photograph,Fred Hughes and Unidentified Men and Women
Q103300201,2D,photograph,Fred Hughes/Kentucky Derby
Q102965342,2D,photograph,"Freedom Lights on Greenwich Street, from the series ""Tribeca, 10013"""
Q103300214,2D,photograph,"Freedom Lights on Greenwich Street, from the series Tribeca, 10013"
Q103300233,2D,photograph,"Front, from A Word Made Flesh (with verse from Emily Dickinson)"
Q103300326,2D,photograph,"Futbol Graffiti, Rio de Janeiro, Brazil"
