Librarian,Unit,Type,Variety,pub_qid,Title,Venue,Year
"Nejdl, Clanitra ",Law,Publication,PA News,,Year Teaching: How I Got Here from There,MALL Markings (Mid-America Association of Law Libraries),2015
"Nejdl, Clanitra ",Law,Publication,PA News,,Program Report: Designers’ Workshop: Subject Guides That Create the Effect You Want,ALL-SIS Newsletter (American Association of Law Libraries),2015
"Nejdl, Clanitra ",Law,Publication,PA News,,Program Report: Transitioning to the Revised ABA Law School Accreditation Standards,ALL-SIS Newsletter (American Association of Law Libraries),2015
"Nejdl, Clanitra ",Law,Presentation,Panel,,Diverse Interactions: Addressing Race and Implicit Bias in Legal Research Instruction,American Association of Law Libraries Annual Meeting and Conference,2018
"Nejdl, Clanitra ",Law,Presentation,Panel,,"Preserving Our Histories, Telling Our Stories: What’s in Your Chapter Archives?","MAALL, LLAW, MichALL, MALL, and CALL Joint Annual Meeting",2017
"Nejdl, Clanitra ",Law,Presentation,CP Talk,,Staying Current -- Together!,"MAALL, LLAW, MichALL, MALL, and CALL Joint Annual Meeting",2018
"Nejdl, Clanitra ",Law,Presentation,CP Talk,,Research Instruction I: Innovating Your Legal Research Classes,Teaching Today’s Students with Today’s Tools for Tomorrow’s Practice (Legal Writing Institute),2015
"Nejdl, Clanitra ",Law,Presentation,Talk,,Issues and Trends in Federal Education,NIU College of Education’s TLEE 461 Professional Development Day,2015
"Osinski, Keegan",Divinity,Publication,Chapter,Q103836684,Liturgy,The Handbook of Radical Theology,2018
"Osinski, Keegan",Divinity,Publication,Chapter,Q103836674,Exposing the Null Curriculum,Information Literacy and Theological Librarianship: Theory and Praxis,2019
"Osinski, Keegan",Divinity,Publication,Chapter,,,Octavia Bulter and Religion,2020
"Osinski, Keegan",Divinity,Presentation,Talk,,"Indeterminate Ontology & the Body of Christ, or Niels Bohr Goes to Church",Wesleyan Theological Society annual meeting,2018
"Osinski, Keegan",Divinity,Publication,Chapter,,Keegan Osinski,Theologians and Philosophers Using Social Media,2017
"Osinski, Keegan",Divinity,Presentation,Talk,,"Queering Wesley, Queering the Church: Toward an Ecclesial Circumcision of the Heart",Wesleyan Theological Society annual meeting,2017
"Osinski, Keegan",Divinity,Publication,PR Article,Q103836679,(Not Your) Grandpa’s Church Service: Pyrotheology’s Familial Resemblance to Liberal Theology and Possibilities for Political Liturgy,Modern Believing,2016
"Osinski, Keegan",Divinity,Presentation,CP Talk,Q103837192,Relational Librarianship @ Your Library,American Theological Library Association (ATLA) Annual Conference,2016
"Osinski, Keegan",Divinity,Presentation,CP Talk,,Christian Liturgy as Micro-Protest,Subverting the Norm (conference),2016
"Osinski, Keegan",Divinity,Publication,NR Article,Q103836680,There is Nothing New Under the Sun?: ‘New Librarianship’ and the Theological Library,Theological Librarianship,2015
"Osinski, Keegan",Divinity,Presentation,Talk,,Deconstructive Liturgy as Pedagogy for Christian Formation,Wesleyan Theological Society annual meeting,2015
"Osinski, Keegan",Divinity,Publication,Chapter,Q103836688,"Haunted Houses, Spooky Rituals, and Practicing Perhaps",It Spooks ,2015
"Osinski, Keegan",Divinity,Publication,PR Article,Q103836675,"
Archive, Anamnesis, & a Real-Beyond-Presence in the Eucharistic Liturgy",Practical Matters: Journal of Religious Practices and Practical Theology,2014
"Osinski, Keegan",Divinity,Presentation,Talk,,Changing User Expectations and Behaviors,Tennessee Theological Library Association fall meeting,2014
"Poulter, Dale",LTDS,Presentation,CP Talk,,Deep Search between Northwestern and Vanderbilt,ELUNA 2015,2015
"Poulter, Dale",LTDS,Presentation,CP Talk,,Customization Tips and Tricks,ELUNA 2015,2015
"Romero, Ramona",Central,Presentation,Poster,,Moving from the Sidelines to the Playing Field: Developing a Relationship with Student Athletics,ACRL 2019 Conference,2019
"Romero, Ramona",Central,Presentation,Poster,,Embedding Librarians: How One University Used Technology to Connect Students to the Library (and you can too!),ACRL 2019 Conference,2019
"Romero, Ramona",Central,Presentation,Webinar,,Library Support for Digital Scholarship at Vanderbilt,ASERL Digital Scholarship Show & Tell,2018
"Romero, Ramona",Central,Presentation,Poster,,Embedding Librarians: How One University Used Technology to Connect Students to the Library (and you can too!),Library Instruction Tennessee Conference,2018
"Romero, Ramona",Central,Publication,CA Report,Q58763061,Supporting the Changing Research Practices of Religious Studies ,Ithaka S+R,2017
"Ryland, Christopher",EBL,Presentation,Talk,,What’s in the Box? Caring for Unusual Materials in Collections,Society of American Archivists Annual Meeting,2015
"Ryland, Christopher",EBL,Presentation,CP Talk,,A Book Worth Keeping: Strategies for Preserving Historical Rare Books,2014 SC/MLA Annual Meeting,2014
"Schultz, Jason",Central,Publication,Chapter,,"Africana Collections at the University of California, Berkeley: A History Since 1960",Collecting Africa in U.S. Libraries: From Collection Development to the Digital Age,2020
"Shook, Elisabeth",DiSC,Presentation,CP Talk,,Leveraging YouTube for Storage Management and Accessibility,ALAO Annual Conference,2016
"Shook, Elisabeth",DiSC,Presentation,CP Talk,,Compatibility between Discovery Layers and Digital Commons,Digital Commons + Great Lakes User Group,2015
"Smiley, Bobby",Divinity,Publication,Ed Book,,Information Literacy and Theological Librarianship: Theory and Praxis,Atla Open Press,2019
"Smiley, Bobby",Divinity,Publication,Chapter,Q104978597,"From Humanities to Scholarship: Librarians, Labor, and The Digital",Debates in Digital Humanities 2019,2019
"Smiley, Bobby",Divinity,Publication,Chapter,Q104977852,Crosswalking the disciplines: Reimagining information literacy instruction for history methods courses,The Grounded Instruction Librarian: Participating in The Scholarship of Teaching and Learning,2019
"Smiley, Bobby",Divinity,Publication,Proceedings,Q103837275,Library as Thesis Laboratory: A Workshop-Based Approach to How Librarians Can Support Writing and Research,"Summary of Proceedings, 72nd Annual Conference of the American Theological Library Association.",2019
"Smiley, Bobby",Divinity,Publication,Proceedings,Q104976160,Data Curation 101 for Theological Librarians,"Summary of Proceedings, 71st Annual Conference of the American Theological Library Association.",2018
"Smiley, Bobby",Divinity,Publication,CA Entry,Q104976841,Digital Humanities and Academic Libraries,Encyclopedia of Library and Information Sciences (4th Edition),2018
"Smiley, Bobby",Divinity,Publication,Entry,,"Taylor, Rev. Nathaniel William",A Jonathan Edwards Encyclopedia,2018
"Smiley, Bobby",Divinity,Publication,Entry,Q104986918,New Haven,A Jonathan Edwards Encyclopedia,2018
"Smiley, Bobby",Divinity,Publication,Review,Q104987704,Review of Sensational Religion: Sensory Cultures in Material Practice,Religious Studies Review,2017
"Smiley, Bobby",Divinity,Publication,Review,,Review of Religion and Popular Culture: A Cultural Studies Approach,Religious Studies Review,2015
"Smiley, Bobby",Divinity,Publication,Proceedings,Q104987548,Theological Librarianship in the Age of Digital Humanities,"Summary of Proceedings, 70th Annual Conference of the American Theological Library Association.",2017
"Smiley, Bobby",Divinity,Publication,Review,Q104988221,Review of Toward Spatial Humanities: Historical GIS and Spatial History,Information & Culture:A Journal of History,2015
"Smiley, Bobby",Divinity,Publication,Review,Q104988071,Review of Import of the Archive: U.S. Colonial Rule of the Philippines and the Making of American Archival History,Information & Culture:A Journal of History,2015
"Smiley, Bobby",Divinity,Publication,Review,Q104987956,Review of Comparative Textual Media:Transforming the Humanities in the Postprint Era,Information & Culture:A Journal of History,2014
"Smiley, Bobby",Divinity,Publication,CPR Article,Q104988832,Proposed model of information behaviour in crisis: the case of Hurricane Sandy,Information Review,2014
"Smiley, Bobby",Divinity,Presentation,Poster,,Fostering the Development of Teaching Identity with Communities of Practice,ACRL 2019 Conference,2019
"Smiley, Bobby",Divinity,Presentation,CP Talk,Q103837275,Library as Thesis Laboratory: A Workshop-Based Approach to How Librarians Can Support Writing and Research,American Theological Library Association (ATLA) Annual Conference,2018
"Smiley, Bobby",Divinity,Presentation,CP Talk,,"Apulian Vases, Network Visualizations, and the Hegemony of the Written Word","HASTAC (Humanities, Arts, Science, and Technology Alliance and Collaboratory) 2017 Conference",2017
"Smiley, Bobby",Divinity,Presentation,CP Talk,Q104976160,Data Curation 101 for Theological Librarians,American Theological Library Association (ATLA) Annual Conference,2017
"Smiley, Bobby",Divinity,Presentation,Talk,,Representing the un/der-represented: Using data visualization to explore diversity and inclusion in academic library collections,National Diversity in Libraries Annual Conference,2016
"Smiley, Bobby",Divinity,Presentation,Talk,,Representing the un/der-represented: Using data visualization to explore diversity and inclusion in academic library collections,Keystone DH,2016
"Smiley, Bobby",Divinity,Presentation,Poster,,To render visible what precisely is visible: Using data visualization for exploration and analysis of academic library collections,Michigan Academic Libraries Association (MI- ALA) Annual Conference ,2016
"Smiley, Bobby",Divinity,Presentation,CP Talk,,Mundi in Parvo: Finding Religion and the Global in Space and Sound,First Annual Global Digital Humanities Symposium,2016
"Smiley, Bobby",Divinity,Presentation,CP Talk,,Creating an Interdisciplinary Community of Practice for Teaching Subject Librarians around the ACRL Framework for Information Literacy,LOEX 2015 Fall Focus,2015
"Smiley, Bobby",Divinity,Presentation,CP Talk,,Modeling Approaches to Library-led DH Pedagogy,DH 2015: Global Digital Humanities Conference,2015
"Smiley, Bobby",Divinity,Presentation,Talk,,"The Religious Soundmap of the Global Midwest: Process, Project, and Possibilities","HASTAC (Humanities, Arts, Science, and Technology Alliance and Collaboratory) 2015 Conference",2015
"Smiley, Bobby",Divinity,Presentation,Poster,,Digital Humanities Pedagogy in the Library,ACRL 2015 Conference,2015
"Smiley, Bobby",Divinity,Presentation,Panel,,"Romance, Reverends, and Renegades: Scandal as Gilded Age History",Organization of American Historians (OAH) Annual Meeting,2018
"Smiley, Bobby",Divinity,Presentation,Invited Talk,,Theological Librarianship in the Age of Digital Humanities (Opening Keynote),American Theological Library Association (ATLA) Annual Conference,2016
"Smiley, Bobby",Divinity,Presentation,Panel,,Participation and DH: Crafting Invitations to the Big(ger) Tent,"HASTAC (Humanities, Arts, Science, and Technology Alliance and Collaboratory) 2015 Conference",2015
"Smiley, Bobby",Divinity,Presentation,Invited Talk,,Meet the Notables: Best Practices in Chat Reference,Research Help Now Annual Conference ,2015
"Smiley, Bobby",Divinity,Presentation,Panel,,Day in the Life of a Digital Humanities Librarian,Digital Humanities Collective (Univ. Michigan),2015
"Smith-Borne, Holling",Music,Publication,Chapter,,"Professional Development, Continuing Education, and Leadership Training",Careers in Music Librarianship IV,2020
"Smith-Borne, Holling",Music,Publication,PR Article,,Creating a Welcoming and Inclusive Environment for Transgender and Gender Fluid Music Library Users,Music Reference Services Quarterly ,2019
"Smith-Borne, Holling",Music,Presentation,Talk,,Plenary II: Recruiting & Retaining a Diverse Workforce: Considerations for MLA,Music Library Association (Annual),2019
"Smith-Borne, Holling",Music,Presentation,CP Talk,,It’s More Than Boy George’s Pronouns,The Library Collective (Conference),2019
"Smith-Borne, Holling",Music,Publication,CA Chapter,,Music (Libraries) for Everyone! Flexible Outreach Initiatives,Music Library Association Basic Manual Series ,2018
"Smith-Borne, Holling",Music,Publication,CA Chapter,,Sound Recordings: East Africa,"Basic Music Library, 4th Edition",2018
"Smith-Borne, Holling",Music,Presentation,Talk,,Best Practices for Creating a Welcoming Environment for Transgender and Gender Non-Conforming Individuals in Libraries,Brick & Click: An Academic Library Conference,2017
"Smith-Borne, Holling",Music,Presentation,Talk,,Best Practices for Being an Ally to Transgender and Gender Non-Conforming Individuals in Libraries,Music Library Association (Annual),2017
"Smith, Kathleen",SPC,Presentation,Talk,,Collaborating with Other Cultural Institutions in Tennessee,Society of Tennessee Archivists Conference,2015
"Stringer-Hye, Richard",SEL,Publication,CA Chapter,,Implementing an Open News and Information System in the Vanderbilt University Libraries,Leading Change in Academic Libraries,2019
"Walden, Rachel",EBL,Publication,CPR Article,,Evidence- Based Use of Perioperative Antibiotics in Otolaryngology,Otolaryngol Head Neck Surg,2018
"Walden, Rachel",EBL,Presentation,Poster,,Who (re) moved my digital library? A case study of library integration and its impact,2017 SC/MLA Annual Meeting,2017
"Walden, Rachel",EBL,Presentation,CP Talk,,Developing entrustable learners in problem-based learning activities: a collaboration between librarians and medical educators ,2016 SC/MLA Annual Meeting,2016
"Walden, Rachel",EBL,Presentation,Talk,,CATS! or: How to Implement a Consistent Social Media Strategy: A Student Organization Example,South Carolina Library Association,2014
"Walker, Philip",EBL,Publication,CA Chapter,,Essentials of Integrating Evidence into Practice,"Evidence-Based Practice in Nursing: Foundations, Skills and Roles",2018
"Walker, Philip",EBL,Presentation,CP Talk,,Who (re)Moved my Digital Library: A case study of library integration and its impact,2017 SC/MLA Annual Meeting,2017
"Walker, Philip",EBL,Presentation,CP Talk,,Developing entrustable learners in problem-based learning activities: a collaboration between librarians and medical educators ,2016 SC/MLA Annual Meeting,2016
"Walker, Philip",EBL,Presentation,CP Talk,,Standardized Exercise to Assess Medical Student Ability to Ask and Answer Clinical Questions in a Post-Clerkship Clinical Experience ,Southern Group on Education Affairs ,2016
"Walker, Philip",EBL,Presentation,CP Talk,,Ideas Made Manifest: One Library’s Patron-focused 3D Printing Program,Medical Library Association’s Southern Chapter Annual Meeting,2015
"Walker, Philip",EBL,Presentation,CP Talk,,Using a Translational Architecture Framework to Capture Institutional Knowledge,Medical Library Association Annual Meeting,2015
"Walker, Philip",EBL,Presentation,Poster,,Complementary and Alternative Medicine (CAM) Modalities for Management of Non-specific Chronic Low Back Pain: A Systematic Review of Spinal Manipulation by Chiropractors,2014 American Occupational Health Conference,2014
"Wesolek, Andrew",DiSC,Publication,CEd Book,,OER: A Field Guide for Academic Librarians,Pacific University Press,2018
"Wesolek, Andrew",DiSC,Publication,CEd Book,,Making Institutional Repositories Work,Purdue University Press,2015
"Wesolek, Andrew",DiSC,Publication,Ac Post,,What’s in a Container? The Future of the Scholarly ,"Against the Grain: Linking Publisher, Librarians, and Vendors",2016
"Wesolek, Andrew",DiSC,Publication,CPR Article,,Collaborate to Innovate: Expanding Access to Faculty Patents through the Institutional Repository and Library Catalog,Journal of Collection Management,2015
"Wesolek, Andrew",DiSC,Publication,CPR Article,Q57083009,"The NSF/NIH Effect: Surveying the Effect of Data Management Requirements on Faculty, Sponsored Programs, and Institutional Repositories",Journal of Academic Librarianship,2014
"Wesolek, Andrew",DiSC,Publication,PR Article,Q56844082,"Bridging the Gap between Digital Measures and Digital Commons in Support of Open Access: Or, How I Stopped  Worrying and Love Human Mediation",Journal of Collection Management,2014
"Wesolek, Andrew",DiSC,Presentation,CP Talk,,"Collaborations and divisions: Sharing, strategizing, and supporting nascent institution-wide OER initiatives in higher education ",Open Education Conference,2016
"Wesolek, Andrew",DiSC,Presentation,CP Talk,,Surveying ETD Infrastructure Needs: From Author to End User ,International Symposium on Electronic Theses and Dissertations,2016
"Wesolek, Andrew",DiSC,Presentation,,,Making Institutional Repositories Work: From the front lines to the future ,Charleston Conference,2015
"Wesolek, Andrew",DiSC,Presentation,Talk,,Enhancing Discoverability: How to describe DigitalCommons content for harvest into cultural heritage institutions ,Digital Commons South Eastern User Group Meeting,2015
"Wesolek, Andrew",DiSC,Presentation,Talk,,Promoting your scholarship through open access ,UCCS Copyright Conference,2015
"Wesolek, Andrew",DiSC,Presentation,CP Talk,,"A game of spot the difference: Librarians, repository managers, and publishers",Library Publishing Forum,2015
"Wesolek, Andrew",DiSC,Presentation,Talk,,"Technology as a service: Using an institutional repository to educate faculty on author’s rights, copyright, and sharing research openly and effectively ",South Carolina Library Association Conference,2014
"Wesolek, Andrew",DiSC,Presentation,CP Talk,,Turning the Corner on ETDs ,Digital Initiatives Symposium,2014
"Williams, Mark",Law,Presentation,Talk,,It Takes a Community to Cultivate an Assessment Crop.,LOEX Annual Conference,2016
"Williams, Mark",Law,Publication,Book Review,,Intellectual Property at the Edge: The Contested Contours of IP,Journal of International Legal Information,2015
"Williams, Mark",Law,Presentation,Talk,,"Lightning Talks on Process, Workflows, and Strategies with Digital Repositories",Law Repositories 2015,2015
"Williams, Mark",Law,Presentation,Talk,,The Value-Added Repository: Enhancing Discoverability Through Linked Data,CALI Conference for Law School Computing,2014
"You, Tao",LTDS,Presentation,Poster,,What’s the ROI? Tracking LibQUAL+® Marketing with Short URLs,2016 Library Assessment Conference,2016
